,SBAC
2015-08-06,115.0390396118164
2015-08-07,115.31365966796875
2015-08-10,116.91405487060547
2015-08-11,117.70005798339844
2015-08-12,119.01637268066406
2015-08-13,119.1962661743164
2015-08-14,120.6451644897461
2015-08-17,121.22281646728516
2015-08-18,119.79287719726562
2015-08-19,120.17167663574219
2015-08-20,116.72466278076172
2015-08-21,114.0541763305664
2015-08-24,108.41018676757812
2015-08-25,107.699951171875
2015-08-26,108.89314270019531
2015-08-27,112.60531616210938
2015-08-28,112.90833282470703
2015-08-31,111.93294525146484
2015-09-01,108.46700286865234
2015-09-02,109.70753479003906
2015-09-03,110.47461700439453
2015-09-04,109.32876586914062
2015-09-08,111.60150909423828
2015-09-09,108.98785400390625
2015-09-10,105.79651641845703
2015-09-11,105.16204833984375
2015-09-14,106.05220794677734
2015-09-15,106.88556671142578
2015-09-16,107.02759552001953
2015-09-17,106.52569580078125
2015-09-18,105.41773986816406
2015-09-21,105.8817367553711
2015-09-22,103.21126556396484
2015-09-23,103.21126556396484
2015-09-24,100.60706329345703
2015-09-25,100.08623504638672
2015-09-28,99.66957092285156
2015-09-29,98.11651611328125
2015-09-30,99.18659973144531
2015-10-01,98.26801300048828
2015-10-02,99.8021469116211
2015-10-05,103.70369720458984
2015-10-06,102.51998138427734
2015-10-07,104.12983703613281
2015-10-08,104.66012573242188
2015-10-09,104.35711669921875
2015-10-12,103.29649353027344
2015-10-13,103.36278533935547
2015-10-14,103.12605285644531
2015-10-15,104.8779525756836
2015-10-16,104.52755737304688
2015-10-19,104.94422912597656
2015-10-20,106.21321105957031
2015-10-21,105.24726867675781
2015-10-22,109.62230682373047
2015-10-23,109.92536926269531
2015-10-26,111.3931655883789
2015-10-27,111.02383422851562
2015-10-28,111.12800598144531
2015-10-29,112.46324157714844
2015-10-30,112.70946502685547
2015-11-02,114.73601531982422
2015-11-03,113.75115966796875
2015-11-04,111.3931655883789
2015-11-05,103.93096160888672
2015-11-06,102.69989013671875
2015-11-09,101.13738250732422
2015-11-10,100.1146469116211
2015-11-11,101.2320785522461
2015-11-12,100.43663024902344
2015-11-13,99.65061950683594
2015-11-16,101.62981414794922
2015-11-17,100.37033081054688
2015-11-18,100.18093872070312
2015-11-19,99.65061950683594
2015-11-20,97.55780029296875
2015-11-23,97.0748519897461
2015-11-24,99.90631103515625
2015-11-25,100.03890228271484
2015-11-27,100.74911499023438
2015-11-30,99.58433532714844
2015-12-01,103.6468734741211
2015-12-02,102.39688110351562
2015-12-03,101.2320785522461
2015-12-04,102.77564239501953
2015-12-07,103.24916076660156
2015-12-08,102.1790542602539
2015-12-09,99.44229888916016
2015-12-10,99.10138702392578
2015-12-11,95.72066497802734
2015-12-14,96.3646011352539
2015-12-15,97.15060424804688
2015-12-16,98.3816909790039
2015-12-17,95.65437316894531
2015-12-18,95.09565734863281
2015-12-21,96.01422119140625
2015-12-22,96.2888412475586
2015-12-23,97.89872741699219
2015-12-24,98.52371978759766
2015-12-28,99.36653900146484
2015-12-29,100.5692138671875
2015-12-30,99.52751159667969
2015-12-31,99.4991226196289
2016-01-04,100.15251159667969
2016-01-05,101.46883392333984
2016-01-06,100.540771484375
2016-01-07,97.15060424804688
2016-01-08,96.25098419189453
2016-01-11,98.36272430419922
2016-01-12,95.48392486572266
2016-01-13,92.538818359375
2016-01-14,94.20549011230469
2016-01-15,87.0842056274414
2016-01-19,86.00465393066406
2016-01-20,83.8644790649414
2016-01-21,82.85120391845703
2016-01-22,89.03498077392578
2016-01-25,88.74142456054688
2016-01-26,91.89486694335938
2016-01-27,90.19977569580078
2016-01-28,90.0293197631836
2016-01-29,94.01609802246094
2016-02-01,92.93655395507812
2016-02-02,91.29828643798828
2016-02-03,90.70167541503906
2016-02-04,90.8153076171875
2016-02-05,88.4478530883789
2016-02-08,82.24514770507812
2016-02-09,81.1939926147461
2016-02-10,81.76219940185547
2016-02-11,80.4553451538086
2016-02-12,84.08226776123047
2016-02-16,85.73002624511719
2016-02-17,86.80013275146484
2016-02-18,86.71489715576172
2016-02-19,84.88722229003906
2016-02-22,88.08802032470703
2016-02-23,87.84178924560547
2016-02-24,90.62589263916016
2016-02-25,91.47819519042969
2016-02-26,89.64105987548828
2016-02-29,89.85887908935547
2016-03-01,91.22251892089844
2016-03-02,90.90998077392578
2016-03-03,91.68653106689453
2016-03-04,91.45925903320312
2016-03-07,91.34559631347656
2016-03-08,88.57098388671875
2016-03-09,86.89481353759766
2016-03-10,86.99899291992188
2016-03-11,89.5368881225586
2016-03-14,89.36644744873047
2016-03-15,90.0293197631836
2016-03-16,90.5028076171875
2016-03-17,94.04449462890625
2016-03-18,93.91194152832031
2016-03-21,93.211181640625
2016-03-22,92.55775451660156
2016-03-23,91.80964660644531
2016-03-24,92.71875762939453
2016-03-28,92.54828643798828
2016-03-29,94.87786102294922
2016-03-30,94.66002655029297
2016-03-31,94.85890197753906
2016-04-01,96.62976837158203
2016-04-04,96.44983673095703
2016-04-05,94.78314208984375
2016-04-06,95.25663757324219
2016-04-07,93.8172378540039
2016-04-08,94.51799011230469
2016-04-11,93.53312683105469
2016-04-12,95.08619689941406
2016-04-13,96.08050537109375
2016-04-14,95.5123291015625
2016-04-15,96.20361328125
2016-04-18,96.80020904541016
2016-04-19,96.4593276977539
2016-04-20,97.93659210205078
2016-04-21,97.53886413574219
2016-04-22,98.23961639404297
2016-04-25,98.00288391113281
2016-04-26,98.79834747314453
2016-04-27,99.26237487792969
2016-04-28,98.53321075439453
2016-04-29,97.57672882080078
2016-05-02,99.61274719238281
2016-05-03,93.77934265136719
2016-05-04,94.49903869628906
2016-05-05,94.66002655029297
2016-05-06,95.57860565185547
2016-05-09,94.89678192138672
2016-05-10,96.72447204589844
2016-05-11,96.27936553955078
2016-05-12,95.81534576416016
2016-05-13,94.69792175292969
2016-05-16,94.5937728881836
2016-05-17,93.94032287597656
2016-05-18,93.2301025390625
2016-05-19,92.27366638183594
2016-05-20,92.14108276367188
2016-05-23,92.45356750488281
2016-05-24,93.25852966308594
2016-05-25,93.31534576416016
2016-05-26,93.46685028076172
2016-05-27,93.60889434814453
2016-05-31,94.12973022460938
2016-06-01,93.1448974609375
2016-06-02,96.35514068603516
2016-06-03,96.59188842773438
2016-06-06,96.73393249511719
2016-06-07,98.8835678100586
2016-06-08,98.59000396728516
2016-06-09,98.33432006835938
2016-06-10,95.66384887695312
2016-06-13,95.41764831542969
2016-06-14,94.9251937866211
2016-06-15,95.1240463256836
2016-06-16,95.13351440429688
2016-06-17,94.413818359375
2016-06-20,96.66764831542969
2016-06-21,97.21691131591797
2016-06-22,97.44416809082031
2016-06-23,101.57300567626953
2016-06-24,97.83241271972656
2016-06-27,95.6259765625
2016-06-28,98.05022430419922
2016-06-29,101.74344635009766
2016-06-30,102.21692657470703
2016-07-01,104.06354522705078
2016-07-05,103.16390991210938
2016-07-06,103.83626556396484
2016-07-07,104.75485229492188
2016-07-08,108.34391021728516
2016-07-11,107.29275512695312
2016-07-12,106.80032348632812
2016-07-13,106.14691162109375
2016-07-14,107.45375061035156
2016-07-15,107.98404693603516
2016-07-18,107.7283706665039
2016-07-19,106.86662292480469
2016-07-20,106.64881896972656
2016-07-21,106.02378845214844
2016-07-22,107.1696548461914
2016-07-25,106.86662292480469
2016-07-26,106.4215316772461
2016-07-27,106.77191925048828
2016-07-28,106.5162353515625
2016-07-29,108.9026107788086
2016-08-01,109.85906982421875
2016-08-02,107.27381134033203
2016-08-03,107.20751953125
2016-08-04,107.56735229492188
2016-08-05,107.82303619384766
2016-08-08,108.87419128417969
2016-08-09,110.23786926269531
2016-08-10,110.00111389160156
2016-08-11,109.99163818359375
2016-08-12,110.15263366699219
2016-08-15,109.6412582397461
2016-08-16,108.27760314941406
2016-08-17,108.39122772216797
2016-08-18,108.62798309326172
2016-08-19,107.20751953125
2016-08-22,107.46319580078125
2016-08-23,106.97076416015625
2016-08-24,107.28326416015625
2016-08-25,108.06927490234375
2016-08-26,107.81359100341797
2016-08-29,108.17344665527344
2016-08-30,107.92723083496094
2016-08-31,108.0976791381836
2016-09-01,108.1260986328125
2016-09-02,109.72647094726562
2016-09-06,111.38371276855469
2016-09-07,112.18864440917969
2016-09-08,111.11854553222656
2016-09-09,104.47076416015625
2016-09-12,105.59765625
2016-09-13,103.21126556396484
2016-09-14,102.9650650024414
2016-09-15,103.12605285644531
2016-09-16,102.59571838378906
2016-09-19,104.48969268798828
2016-09-20,103.41012573242188
2016-09-21,104.6790771484375
2016-09-22,106.72455596923828
2016-09-23,105.95751953125
2016-09-26,105.49348449707031
2016-09-27,105.95751953125
2016-09-28,107.14124298095703
2016-09-29,105.68286895751953
2016-09-30,106.21321105957031
2016-10-03,105.85335540771484
2016-10-04,105.7775650024414
2016-10-05,103.26808166503906
2016-10-06,103.75106048583984
2016-10-07,103.39119720458984
2016-10-10,104.00674438476562
2016-10-11,102.72830963134766
2016-10-12,104.6412124633789
2016-10-13,105.29461669921875
2016-10-14,105.95751953125
2016-10-17,104.95370483398438
2016-10-18,105.44612884521484
2016-10-19,106.10902404785156
2016-10-20,105.6166000366211
2016-10-21,107.48213958740234
2016-10-24,109.0825424194336
2016-10-25,109.02571868896484
2016-10-26,109.1488265991211
2016-10-27,108.58063507080078
2016-10-28,107.68099975585938
2016-10-31,107.27381134033203
2016-11-01,105.01053619384766
2016-11-02,101.73397827148438
2016-11-03,102.21692657470703
2016-11-04,100.37033081054688
2016-11-07,101.88550567626953
2016-11-08,103.17340087890625
2016-11-09,98.06917572021484
2016-11-10,94.69792175292969
2016-11-11,93.76988220214844
2016-11-14,91.7717514038086
2016-11-15,91.91381072998047
2016-11-16,93.97822570800781
2016-11-17,95.29450225830078
2016-11-18,95.40816497802734
2016-11-21,96.2320327758789
2016-11-22,96.57293701171875
2016-11-23,95.16195678710938
2016-11-25,95.72066497802734
2016-11-28,94.33808135986328
2016-11-29,94.51799011230469
2016-11-30,93.71305847167969
2016-12-01,91.00469970703125
2016-12-02,91.54449462890625
2016-12-05,92.86077880859375
2016-12-06,92.62403869628906
2016-12-07,95.05778503417969
2016-12-08,94.02555847167969
2016-12-09,93.32481384277344
2016-12-12,94.46117401123047
2016-12-13,97.71878814697266
2016-12-14,95.9858169555664
2016-12-15,96.55400085449219
2016-12-16,96.38356018066406
2016-12-19,99.1771240234375
2016-12-20,98.4195556640625
2016-12-21,99.02562713623047
2016-12-22,99.08244323730469
2016-12-23,99.28131103515625
2016-12-27,99.74534606933594
2016-12-28,98.58053588867188
2016-12-29,98.43849182128906
2016-12-30,97.78507995605469
2017-01-03,99.93472290039062
2017-01-04,100.07677459716797
2017-01-05,98.75099182128906
2017-01-06,98.03125762939453
2017-01-09,97.52938079833984
2017-01-10,97.1600570678711
2017-01-11,99.1581802368164
2017-01-12,99.54646301269531
2017-01-13,99.97260284423828
2017-01-17,99.97260284423828
2017-01-18,101.38357543945312
2017-01-19,100.15251159667969
2017-01-20,99.93472290039062
2017-01-23,99.28131103515625
2017-01-24,98.58053588867188
2017-01-25,98.01234436035156
2017-01-26,99.34760284423828
2017-01-27,98.5142593383789
2017-01-30,98.76993560791016
2017-01-31,99.67904663085938
2017-02-01,98.35326385498047
2017-02-02,98.85516357421875
2017-02-03,100.08623504638672
2017-02-06,98.86463928222656
2017-02-07,99.23397064208984
2017-02-08,101.19420623779297
2017-02-09,101.9233627319336
2017-02-10,101.28890228271484
2017-02-13,103.80786895751953
2017-02-14,102.9650650024414
2017-02-15,102.55786895751953
2017-02-16,103.15444946289062
2017-02-17,102.7188491821289
2017-02-21,104.84007263183594
2017-02-22,105.73970794677734
2017-02-23,105.29461669921875
2017-02-24,105.2662124633789
2017-02-27,106.80978393554688
2017-02-28,109.63179779052734
2017-03-01,109.24352264404297
2017-03-02,109.16776275634766
2017-03-03,108.88367462158203
2017-03-06,109.06360626220703
2017-03-07,109.29088592529297
2017-03-08,108.57115936279297
