,ADP
2015-05-07,69.8395004272461
2015-05-08,70.68923950195312
2015-05-11,70.57593536376953
2015-05-12,70.21177673339844
2015-05-13,69.84761810302734
2015-05-14,71.20716094970703
2015-05-15,71.02913665771484
2015-05-18,70.7944564819336
2015-05-19,71.13434600830078
2015-05-20,70.75398254394531
2015-05-21,70.62451171875
2015-05-22,70.26033782958984
2015-05-26,69.12737274169922
2015-05-27,69.5239028930664
2015-05-28,69.57244873046875
2015-05-29,69.20020294189453
2015-06-01,69.03024291992188
2015-06-02,69.15164184570312
2015-06-03,69.1678237915039
2015-06-04,68.0429458618164
2015-06-05,68.18861389160156
2015-06-08,67.57356262207031
2015-06-09,67.29843139648438
2015-06-10,68.52764892578125
2015-06-11,68.88583374023438
2015-06-12,68.25902557373047
2015-06-15,67.50193786621094
2015-06-16,67.79499053955078
2015-06-17,67.79499053955078
2015-06-18,68.8532943725586
2015-06-19,68.71488952636719
2015-06-22,69.19519805908203
2015-06-23,69.00796508789062
2015-06-24,68.07994079589844
2015-06-25,67.85198211669922
2015-06-26,67.81944274902344
2015-06-29,65.86566925048828
2015-06-30,65.3121337890625
2015-07-01,65.84940338134766
2015-07-02,65.80055236816406
2015-07-06,65.80055236816406
2015-07-07,65.99592590332031
2015-07-08,65.14930725097656
2015-07-09,65.68658447265625
2015-07-10,66.36226654052734
2015-07-13,66.533203125
2015-07-14,66.6634750366211
2015-07-15,67.16002655029297
2015-07-16,67.48566436767578
2015-07-17,67.07049560546875
2015-07-20,66.89141082763672
2015-07-21,66.27271270751953
2015-07-22,66.50062561035156
2015-07-23,65.89010620117188
2015-07-24,64.94578552246094
2015-07-27,64.89696502685547
2015-07-28,65.59706115722656
2015-07-29,67.02978515625
2015-07-30,65.23069763183594
2015-07-31,64.9376449584961
2015-08-03,65.21444702148438
2015-08-04,65.6784439086914
2015-08-05,66.62275695800781
2015-08-06,65.36908721923828
2015-08-07,65.36096954345703
2015-08-10,66.42739868164062
2015-08-11,66.20759582519531
2015-08-12,66.38668060302734
2015-08-13,67.11934661865234
2015-08-14,67.5589370727539
2015-08-17,68.95098876953125
2015-08-18,68.9428482055664
2015-08-19,68.76371765136719
2015-08-20,67.33099365234375
2015-08-21,64.49807739257812
2015-08-24,62.09654998779297
2015-08-25,59.84975814819336
2015-08-26,63.33397674560547
2015-08-27,63.52119445800781
2015-08-28,63.83055114746094
2015-08-31,62.94320297241211
2015-09-01,61.135982513427734
2015-09-02,62.75596618652344
2015-09-03,63.130435943603516
2015-09-04,61.99074172973633
2015-09-08,63.65956497192383
2015-09-09,63.49570846557617
2015-09-10,63.831600189208984
2015-09-11,64.1511001586914
2015-09-14,63.700523376464844
2015-09-15,64.626220703125
2015-09-16,65.19964599609375
2015-09-17,65.06858825683594
2015-09-18,64.72453308105469
2015-09-21,65.45360565185547
2015-09-22,64.87198638916016
2015-09-23,65.01944732666016
2015-09-24,65.19147491455078
2015-09-25,65.78128051757812
2015-09-28,64.40503692626953
2015-09-29,64.79006958007812
2015-09-30,65.83042907714844
2015-10-01,66.26461029052734
2015-10-02,66.64962005615234
2015-10-05,67.74735260009766
2015-10-06,67.53434753417969
2015-10-07,68.52557373046875
2015-10-08,69.72979736328125
2015-10-09,69.8281021118164
2015-10-12,70.18854522705078
2015-10-13,69.76256561279297
2015-10-14,69.74620056152344
2015-10-15,70.42611694335938
2015-10-16,71.01595306396484
2015-10-19,71.51564025878906
2015-10-20,71.61392974853516
2015-10-21,71.63851928710938
2015-10-22,73.47351837158203
2015-10-23,74.16162872314453
2015-10-26,73.81758880615234
2015-10-27,73.99779510498047
2015-10-28,72.01536560058594
2015-10-29,72.38399505615234
2015-10-30,71.26166534423828
2015-11-02,71.26166534423828
2015-11-03,71.04872131347656
2015-11-04,71.23712158203125
2015-11-05,71.25352478027344
2015-11-06,71.78598022460938
2015-11-09,71.07328796386719
2015-11-10,71.22893524169922
2015-11-11,71.41732025146484
2015-11-12,70.63090515136719
2015-11-13,69.67247009277344
2015-11-16,70.87665557861328
2015-11-17,70.36060333251953
2015-11-18,70.86029052734375
2015-11-19,70.77017974853516
2015-11-20,71.5074691772461
2015-11-23,71.55661010742188
2015-11-24,71.03231048583984
2015-11-25,70.78658294677734
2015-11-27,71.01595306396484
2015-11-30,70.6636962890625
2015-12-01,71.72863006591797
2015-12-02,71.19615173339844
2015-12-03,69.84449005126953
2015-12-04,71.62213897705078
2015-12-07,70.94221496582031
2015-12-08,70.71282958984375
2015-12-09,70.02044677734375
2015-12-10,70.44083404541016
2015-12-11,68.68516540527344
2015-12-14,69.73196411132812
2015-12-15,70.4490737915039
2015-12-16,71.05078887939453
2015-12-17,69.90506744384766
2015-12-18,68.64392852783203
2015-12-21,69.35282897949219
2015-12-22,69.9462890625
2015-12-23,70.66336822509766
2015-12-24,70.83648681640625
2015-12-28,70.67988586425781
2015-12-29,71.57831573486328
2015-12-30,71.19913482666016
2015-12-31,69.83088684082031
2016-01-04,67.64663696289062
2016-01-05,67.81144714355469
2016-01-06,66.97895812988281
2016-01-07,64.93482208251953
2016-01-08,64.39904022216797
2016-01-11,64.71224975585938
2016-01-12,65.50353240966797
2016-01-13,63.74786376953125
2016-01-14,65.10791015625
2016-01-15,64.2259521484375
2016-01-19,65.20681762695312
2016-01-20,64.47325134277344
2016-01-21,65.32219696044922
2016-01-22,66.8553466796875
2016-01-25,66.01458740234375
2016-01-26,66.67398834228516
2016-01-27,66.33602905273438
2016-01-28,66.5585708618164
2016-01-29,68.4873275756836
2016-02-01,68.38843536376953
2016-02-02,67.72905731201172
2016-02-03,67.7125473022461
2016-02-04,68.24832916259766
2016-02-05,67.02015686035156
2016-02-08,66.970703125
2016-02-09,66.49266815185547
2016-02-10,66.6245346069336
2016-02-11,66.11349487304688
2016-02-12,67.37459564208984
2016-02-16,69.05606842041016
2016-02-17,70.33367919921875
2016-02-18,69.98750305175781
2016-02-19,70.52326965332031
2016-02-22,71.21563720703125
2016-02-23,69.93802642822266
2016-02-24,70.2759780883789
2016-02-25,70.82000732421875
2016-02-26,70.60568237304688
2016-02-29,69.80616760253906
2016-03-01,71.52059936523438
2016-03-02,70.59744262695312
2016-03-03,70.59744262695312
2016-03-04,71.04252624511719
2016-03-07,70.96013641357422
2016-03-08,70.46556091308594
2016-03-09,71.0959243774414
2016-03-10,70.66458129882812
