,RSG
2015-08-10,36.22147750854492
2015-08-11,36.263710021972656
2015-08-12,36.2130126953125
2015-08-13,36.14543914794922
2015-08-14,36.41575241088867
2015-08-17,36.618473052978516
2015-08-18,36.75364303588867
2015-08-19,36.280601501464844
2015-08-20,36.297481536865234
2015-08-21,35.478111267089844
2015-08-24,33.89849090576172
2015-08-25,33.50148010253906
2015-08-26,34.56582260131836
2015-08-27,34.87836837768555
2015-08-28,34.717872619628906
2015-08-31,34.616493225097656
2015-09-01,33.80558395385742
2015-09-02,34.17724609375
2015-09-03,34.42222595214844
2015-09-04,33.881595611572266
2015-09-08,34.599605560302734
2015-09-09,34.01675796508789
2015-09-10,34.050540924072266
2015-09-11,34.17724609375
2015-09-14,34.10966110229492
2015-09-15,34.396873474121094
2015-09-16,34.599605560302734
2015-09-17,34.43065643310547
2015-09-18,34.371524810791016
2015-09-21,34.67563247680664
2015-09-22,34.35462951660156
2015-09-23,34.540470123291016
2015-09-24,34.717872619628906
2015-09-25,35.13177490234375
2015-09-28,34.768558502197266
2015-09-29,34.309059143066406
2015-09-30,35.0578727722168
2015-10-01,35.06636047363281
2015-10-02,35.32164764404297
2015-10-05,35.815185546875
2015-10-06,35.4918327331543
2015-10-07,36.02790832519531
2015-10-08,36.751190185546875
2015-10-09,36.80224609375
2015-10-12,37.108577728271484
2015-10-13,36.79375076293945
2015-10-14,36.3938102722168
2015-10-15,36.546958923339844
2015-10-16,36.44486999511719
2015-10-19,36.810760498046875
2015-10-20,36.870323181152344
2015-10-21,36.700138092041016
2015-10-22,37.117088317871094
2015-10-23,36.99795913696289
2015-10-26,37.13410186767578
2015-10-27,37.083045959472656
2015-10-28,37.17665100097656
2015-10-29,37.40640640258789
2015-10-30,37.21919631958008
2015-11-02,37.43192672729492
2015-11-03,37.36385726928711
2015-11-04,37.2106819152832
2015-11-05,37.287269592285156
2015-11-06,37.500003814697266
2015-11-09,37.083045959472656
2015-11-10,37.27025604248047
2015-11-11,37.31279754638672
2015-11-12,36.870323181152344
2015-11-13,36.44486999511719
2015-11-16,37.091556549072266
2015-11-17,37.02348327636719
