,BXP
2018-12-31,86.30451965332031
2019-01-02,83.69735717773438
2019-01-03,84.05009460449219
2019-01-04,85.50703430175781
2019-01-07,86.04380798339844
2019-01-08,88.58961486816406
2019-01-09,90.05422973632812
2019-01-10,91.41913604736328
2019-01-11,91.36549377441406
2019-01-14,90.58331298828125
2019-01-15,91.30414581298828
2019-01-16,91.88691711425781
2019-01-17,92.33932495117188
2019-01-18,93.18281555175781
2019-01-22,92.94510650634766
2019-01-23,92.61537170410156
2019-01-24,92.83775329589844
2019-01-25,94.6857681274414
2019-01-28,95.75162506103516
2019-01-29,96.91718292236328
2019-01-30,100.0381088256836
2019-01-31,101.11929321289062
2019-02-01,100.5902099609375
2019-02-04,101.57173156738281
2019-02-05,101.25733947753906
2019-02-06,100.91226959228516
2019-02-07,101.68675231933594
2019-02-08,101.52571105957031
2019-02-11,102.2311782836914
2019-02-12,101.74810028076172
2019-02-13,102.53023529052734
2019-02-14,102.07017517089844
2019-02-15,102.46121215820312
2019-02-19,103.22036743164062
2019-02-20,102.65291595458984
2019-02-21,103.18202209472656
2019-02-22,104.03318786621094
2019-02-25,103.31238555908203
2019-02-26,102.76026916503906
2019-02-27,101.52571105957031
2019-02-28,101.74810028076172
2019-03-01,101.08863830566406
2019-03-04,101.44904327392578
2019-03-05,102.20818328857422
2019-03-06,101.60238647460938
2019-03-07,101.57173156738281
2019-03-08,101.54871368408203
2019-03-11,102.13916015625
2019-03-12,103.5194091796875
2019-03-13,103.55008697509766
2019-03-14,103.72644805908203
2019-03-15,101.78643798828125
2019-03-18,101.90144348144531
2019-03-19,101.40303039550781
2019-03-20,101.13463592529297
2019-03-21,101.91677856445312
2019-03-22,100.84325408935547
2019-03-25,100.53650665283203
2019-03-26,101.8094482421875
2019-03-27,101.4566879272461
2019-03-28,103.1867904663086
2019-03-29,103.40304565429688
2019-04-01,104.62335205078125
2019-04-02,106.283935546875
2019-04-03,106.87090301513672
2019-04-04,106.52334594726562
2019-04-05,106.878662109375
2019-04-08,106.60057830810547
2019-04-09,106.029052734375
2019-04-10,106.88636779785156
2019-04-11,106.93270111083984
2019-04-12,106.50019073486328
2019-04-15,105.85140991210938
2019-04-16,103.69651794433594
2019-04-17,101.78880310058594
2019-04-18,102.71564483642578
2019-04-22,101.60345458984375
2019-04-23,104.10588073730469
2019-04-24,104.99408721923828
2019-04-25,104.95545959472656
2019-04-26,105.77418518066406
2019-04-29,104.56157684326172
2019-04-30,106.2916259765625
2019-05-01,106.52334594726562
2019-05-02,104.45343780517578
2019-05-03,104.05953979492188
2019-05-06,103.3489761352539
2019-05-07,101.6266098022461
2019-05-08,100.84656524658203
2019-05-09,101.0782699584961
2019-05-10,102.11320495605469
2019-05-13,101.14776611328125
2019-05-14,102.73106384277344
2019-05-15,103.4107666015625
2019-05-16,104.04409790039062
2019-05-17,103.22539520263672
2019-05-20,102.05912780761719
2019-05-21,102.53028106689453
2019-05-22,102.3062973022461
2019-05-23,101.6266098022461
2019-05-24,101.9664535522461
2019-05-28,102.53028106689453
2019-05-29,101.60345458984375
2019-05-30,101.03189849853516
2019-05-31,101.0473403930664
2019-06-03,101.81970977783203
2019-06-04,102.03595733642578
2019-06-05,104.40709686279297
2019-06-06,104.95545959472656
2019-06-07,105.16402435302734
2019-06-10,103.98230743408203
2019-06-11,103.25628662109375
2019-06-12,103.69651794433594
2019-06-13,104.42256164550781
