,OXY
2020-09-21,10.867271423339844
2020-09-22,10.66513442993164
2020-09-23,10.020222663879395
2020-09-24,10.24161148071289
2020-09-25,9.837334632873535
2020-09-28,9.952841758728027
2020-09-29,9.615946769714355
2020-09-30,9.635200500488281
2020-10-01,9.317554473876953
2020-10-02,9.500439643859863
2020-10-05,10.116476058959961
2020-10-06,9.75070571899414
2020-10-07,9.895089149475098
2020-10-08,10.76138973236084
2020-10-09,10.414872169494629
2020-10-12,10.405243873596191
2020-10-13,10.12610149383545
2020-10-14,10.058722496032715
2020-10-15,10.21273422241211
2020-10-16,9.712202072143555
2020-10-19,9.452312469482422
2020-10-20,9.692950248718262
2020-10-21,9.298303604125977
2020-10-22,9.789205551147461
2020-10-23,9.644824981689453
2020-10-26,9.105792045593262
2020-10-27,8.922905921936035
2020-10-28,8.547508239746094
2020-10-29,8.788148880004883
2020-10-30,8.788148880004883
2020-11-02,9.288677215576172
2020-11-03,9.32718276977539
2020-11-04,9.44268798828125
2020-11-05,10.077973365783691
2020-11-06,9.635200500488281
2020-11-09,11.772074699401855
2020-11-10,11.916459083557129
2020-11-11,11.45443058013916
2020-11-12,10.886523246765137
2020-11-13,11.358176231384277
2020-11-16,12.224475860595703
2020-11-17,12.503619194030762
2020-11-18,12.388113021850586
2020-11-19,12.85976505279541
2020-11-20,12.984896659851074
2020-11-23,15.169903755187988
2020-11-24,16.15171241760254
2020-11-25,16.093955993652344
2020-11-27,15.939947128295898
2020-11-30,15.169903755187988
2020-12-01,14.563492774963379
2020-12-02,15.295036315917969
2020-12-03,15.776312828063965
2020-12-04,17.893943786621094
2020-12-07,17.508920669555664
2020-12-08,18.413721084594727
2020-12-09,18.67374038696289
2020-12-10,20.5228214263916
2020-12-11,20.11833953857422
2020-12-14,18.46187973022461
2020-12-15,19.107126235961914
2020-12-16,18.73153305053711
2020-12-17,18.471506118774414
2020-12-18,17.83588409423828
2020-12-21,16.824670791625977
2020-12-22,16.29498863220215
2020-12-23,17.229156494140625
2020-12-24,17.01728057861328
2020-12-28,16.75725746154785
2020-12-29,16.603166580200195
2020-12-30,17.2484188079834
2020-12-31,16.670578002929688
