,UNP
2016-11-23,84.60104370117188
2016-11-25,85.19347381591797
2016-11-28,84.51774597167969
2016-11-29,84.41703796386719
2016-11-30,85.05497741699219
2016-12-01,86.78411102294922
2016-12-02,86.16293334960938
2016-12-05,86.32244110107422
2016-12-06,86.5826416015625
2016-12-07,89.25191497802734
2016-12-08,88.44607543945312
2016-12-09,88.12711334228516
2016-12-12,87.56473541259766
2016-12-13,87.3297119140625
2016-12-14,86.3056411743164
2016-12-15,87.86690521240234
2016-12-16,86.71694946289062
2016-12-19,86.79248809814453
2016-12-20,87.84172821044922
2016-12-21,87.84172821044922
2016-12-22,88.29497528076172
2016-12-23,88.28657531738281
2016-12-27,88.7314682006836
2016-12-28,87.93405151367188
2016-12-29,87.648681640625
2016-12-30,87.0274887084961
2017-01-03,86.05382537841797
2017-01-04,86.57423400878906
2017-01-05,85.72647094726562
2017-01-06,86.61621856689453
2017-01-09,85.9698715209961
2017-01-10,86.80928802490234
2017-01-11,87.52275085449219
2017-01-12,87.88368225097656
2017-01-13,88.34534454345703
2017-01-17,86.76729583740234
2017-01-18,87.10306549072266
2017-01-19,89.17634582519531
2017-01-20,91.15730285644531
2017-01-23,90.645263671875
2017-01-24,91.2580337524414
2017-01-25,92.6849594116211
2017-01-26,92.45836639404297
2017-01-27,91.66092681884766
2017-01-30,90.65367889404297
2017-01-31,89.46175384521484
2017-02-01,90.40185546875
2017-02-02,90.06611633300781
2017-02-03,91.08174896240234
2017-02-06,90.39348602294922
2017-02-07,90.35987854003906
2017-02-08,90.09965515136719
2017-02-09,90.16681671142578
2017-02-10,90.54456329345703
2017-02-13,90.9222640991211
2017-02-14,91.62734985351562
2017-02-15,92.14777374267578
2017-02-16,91.82041931152344
2017-02-17,92.18135070800781
2017-02-21,92.05545806884766
2017-02-22,91.38394165039062
2017-02-23,89.56246948242188
2017-02-24,90.95113372802734
2017-02-27,90.74853515625
2017-02-28,91.11996459960938
2017-03-01,92.95181274414062
2017-03-02,92.05702209472656
2017-03-03,92.03166198730469
2017-03-06,92.37777709960938
2017-03-07,91.4745101928711
2017-03-08,90.08161926269531
2017-03-09,89.63420867919922
2017-03-10,89.7186508178711
2017-03-13,89.86215209960938
2017-03-14,88.10624694824219
2017-03-15,89.12772369384766
2017-03-16,89.0179672241211
2017-03-17,89.47383880615234
2017-03-20,88.70564270019531
2017-03-21,87.49847412109375
2017-03-22,87.8445816040039
2017-03-23,87.68418884277344
2017-03-24,87.7601547241211
2017-03-27,87.81082153320312
2017-03-28,89.06016540527344
2017-03-29,89.12772369384766
2017-03-30,90.27578735351562
2017-03-31,89.41472625732422
2017-04-03,89.06016540527344
2017-04-04,90.49528503417969
2017-04-05,90.12384033203125
2017-04-06,90.38552856445312
2017-04-07,90.35177612304688
2017-04-10,90.84984588623047
2017-04-11,90.84137725830078
2017-04-12,89.11927032470703
2017-04-13,88.45238494873047
2017-04-17,89.46537780761719
2017-04-18,89.68486785888672
2017-04-19,90.14916229248047
2017-04-20,91.08619689941406
2017-04-21,91.40697479248047
2017-04-24,92.29337310791016
2017-04-25,93.26417541503906
2017-04-26,93.00247955322266
2017-04-27,95.83888244628906
2017-04-28,94.51351928710938
2017-05-01,94.20963287353516
2017-05-02,93.77911376953125
2017-05-03,93.60183715820312
2017-05-04,93.13754272460938
2017-05-05,93.46675872802734
2017-05-08,92.87583923339844
2017-05-09,92.82518005371094
2017-05-10,92.28492736816406
2017-05-11,92.94340515136719
2017-05-12,93.26417541503906
2017-05-15,93.93949127197266
2017-05-16,93.70314025878906
2017-05-17,89.95500183105469
2017-05-18,90.44462585449219
2017-05-19,90.36866760253906
2017-05-22,91.02711486816406
2017-05-23,91.1706314086914
2017-05-24,91.21283721923828
2017-05-25,92.60569763183594
2017-05-26,93.85777282714844
2017-05-30,94.06148529052734
2017-05-31,93.62860107421875
2017-06-01,93.87474060058594
2017-06-02,94.39254760742188
2017-06-05,93.53519439697266
2017-06-06,92.49112701416016
2017-06-07,92.61845397949219
2017-06-08,93.23809814453125
2017-06-09,93.16170501708984
2017-06-12,93.48426818847656
2017-06-13,94.68116760253906
2017-06-14,93.20416259765625
2017-06-15,93.9426498413086
2017-06-16,94.54534149169922
2017-06-19,94.92732238769531
2017-06-20,91.97330474853516
2017-06-21,91.35365295410156
2017-06-22,91.15841674804688
2017-06-23,91.76110076904297
2017-06-26,91.70166778564453
2017-06-27,91.12445831298828
2017-06-28,92.329833984375
2017-06-29,91.58283996582031
2017-06-30,92.44867706298828
2017-07-03,93.40786743164062
2017-07-05,91.888427734375
2017-07-06,91.47247314453125
2017-07-07,91.97330474853516
2017-07-10,92.10065460205078
2017-07-11,92.17704010009766
2017-07-12,92.70333099365234
2017-07-13,92.39775085449219
2017-07-14,92.97496795654297
2017-07-17,92.5675277709961
2017-07-18,92.73726654052734
2017-07-19,91.54039001464844
2017-07-20,90.09735107421875
2017-07-21,89.00232696533203
2017-07-24,87.99219512939453
2017-07-25,89.09569549560547
2017-07-26,88.63732147216797
2017-07-27,86.07379913330078
