,AMCR
2014-09-29,6.63526725769043
2014-09-30,6.63526725769043
2014-10-01,6.63526725769043
2014-10-02,6.63526725769043
2014-10-03,6.63526725769043
2014-10-06,6.63526725769043
2014-10-07,6.63526725769043
2014-10-08,6.63526725769043
2014-10-09,6.351267337799072
2014-10-10,6.351267337799072
2014-10-13,6.351267337799072
2014-10-14,6.351267337799072
2014-10-15,6.351267337799072
2014-10-16,6.351267337799072
2014-10-17,6.351267337799072
2014-10-20,6.351267337799072
2014-10-21,6.351267337799072
2014-10-22,6.351267337799072
2014-10-23,6.351267337799072
2014-10-24,6.351267337799072
2014-10-27,6.351267337799072
2014-10-28,6.351267337799072
2014-10-29,6.351267337799072
2014-10-30,6.351267337799072
2014-10-31,6.351267337799072
2014-11-03,6.351267337799072
