,SYY
2016-03-10,36.108036041259766
2016-03-11,36.70048904418945
2016-03-14,36.6684684753418
2016-03-15,36.72451400756836
2016-03-16,36.86062240600586
2016-03-17,36.916664123535156
2016-03-18,37.332984924316406
2016-03-21,37.108802795410156
2016-03-22,37.100799560546875
2016-03-23,37.108802795410156
2016-03-24,37.0207405090332
2016-03-28,37.0207405090332
2016-03-29,37.19688415527344
2016-03-30,37.58375549316406
2016-03-31,37.66435241699219
2016-04-01,37.94645690917969
2016-04-04,37.8739128112793
2016-04-05,37.64017105102539
2016-04-06,37.8658561706543
2016-04-07,37.68852996826172
2016-04-08,37.83361053466797
2016-04-11,37.64824295043945
2016-04-12,37.84168243408203
2016-04-13,37.96257781982422
2016-04-14,37.567630767822266
2016-04-15,37.736900329589844
2016-04-18,37.785255432128906
2016-04-19,37.8658561706543
2016-04-20,37.68047332763672
2016-04-21,36.737449645996094
2016-04-22,36.89060592651367
2016-04-25,37.317771911621094
2016-04-26,37.317771911621094
2016-04-27,37.40643310546875
2016-04-28,37.28553771972656
2016-04-29,37.13240051269531
2016-05-02,39.17963790893555
2016-05-03,39.099037170410156
2016-05-04,39.107093811035156
2016-05-05,39.38919448852539
2016-05-06,39.79219436645508
2016-05-09,40.074310302734375
2016-05-10,40.43699264526367
2016-05-11,40.47730255126953
2016-05-12,40.445072174072266
2016-05-13,40.420875549316406
2016-05-16,40.469234466552734
2016-05-17,39.73577880859375
2016-05-18,39.252174377441406
2016-05-19,39.550392150878906
2016-05-20,39.13127517700195
2016-05-23,39.00231170654297
2016-05-24,39.260223388671875
2016-05-25,39.163509368896484
2016-05-26,39.36501693725586
2016-05-27,39.21993637084961
2016-05-31,38.776641845703125
2016-06-01,39.34083938598633
2016-06-02,39.30052947998047
2016-06-03,39.413387298583984
2016-06-06,39.31665802001953
2016-06-07,39.236061096191406
2016-06-08,39.236061096191406
2016-06-09,39.493980407714844
2016-06-10,39.31665802001953
2016-06-13,39.03456497192383
2016-06-14,39.06679916381836
2016-06-15,39.21993637084961
2016-06-16,40.106536865234375
2016-06-17,40.1387825012207
