,CDW
2019-07-15,108.84408569335938
2019-07-16,107.37930297851562
2019-07-17,106.5530014038086
2019-07-18,105.54830169677734
2019-07-19,105.64221954345703
2019-07-22,105.45443725585938
2019-07-23,106.72201538085938
2019-07-24,106.66567993164062
2019-07-25,107.23843383789062
2019-07-26,107.45439910888672
2019-07-29,106.0177993774414
2019-07-30,106.64691162109375
2019-07-31,110.94734954833984
2019-08-01,111.28536224365234
2019-08-02,109.23843383789062
2019-08-05,100.96620178222656
2019-08-06,101.72676849365234
2019-08-07,102.0178451538086
2019-08-08,105.82063293457031
2019-08-09,107.72671508789062
2019-08-12,105.50138092041016
2019-08-13,106.43093872070312
2019-08-14,103.29483032226562
2019-08-15,102.08358001708984
2019-08-16,104.87226867675781
2019-08-19,107.33235168457031
2019-08-20,106.78773498535156
2019-08-21,108.80651092529297
2019-08-22,109.40743255615234
2019-08-23,105.64678192138672
2019-08-26,106.15511322021484
2019-08-27,105.97624969482422
2019-08-28,105.17610168457031
2019-08-29,107.97188568115234
2019-08-30,108.7249755859375
2019-09-03,109.2144775390625
2019-09-04,111.1347885131836
2019-09-05,111.520751953125
2019-09-06,111.44546508789062
2019-09-09,110.6170654296875
2019-09-10,104.95960998535156
2019-09-11,106.1927490234375
2019-09-12,107.61419677734375
2019-09-13,105.15728759765625
2019-09-16,106.37162017822266
2019-09-17,107.12468719482422
2019-09-18,113.31871032714844
2019-09-19,114.6554183959961
2019-09-20,113.9588394165039
2019-09-23,112.3397216796875
2019-09-24,111.69962310791016
2019-09-25,114.39183044433594
2019-09-26,116.16158294677734
2019-09-27,114.64600372314453
2019-09-30,116.01093292236328
2019-10-01,114.01532745361328
2019-10-02,112.79154968261719
2019-10-03,112.65979766845703
2019-10-04,115.22023010253906
2019-10-07,115.89800262451172
2019-10-08,115.77560424804688
2019-10-09,114.6554183959961
2019-10-10,115.35202026367188
2019-10-11,117.11231994628906
2019-10-14,116.09568786621094
2019-10-15,116.1239242553711
2019-10-16,116.41575622558594
2019-10-17,116.69815826416016
2019-10-18,116.64166259765625
2019-10-21,116.7828369140625
2019-10-22,115.22966003417969
2019-10-23,115.82268524169922
2019-10-24,117.14997863769531
2019-10-25,117.53593444824219
2019-10-28,118.59963989257812
2019-10-29,118.77850341796875
2019-10-30,119.90811920166016
2019-10-31,120.40701293945312
2019-11-01,123.50402069091797
2019-11-04,124.06884765625
2019-11-05,127.84362030029297
2019-11-06,125.16078186035156
2019-11-07,125.13253021240234
2019-11-08,125.6879653930664
2019-11-11,126.24336242675781
2019-11-12,125.97034454345703
2019-11-13,127.532958984375
2019-11-14,125.02900695800781
2019-11-15,128.5402374267578
2019-11-18,129.56629943847656
2019-11-19,129.7168731689453
2019-11-20,129.62277221679688
2019-11-21,129.5192108154297
2019-11-22,128.7923583984375
2019-11-25,130.2838134765625
2019-11-26,129.3115234375
2019-11-27,128.80178833007812
2019-11-29,127.48026275634766
2019-12-02,126.56465148925781
2019-12-03,125.67731475830078
2019-12-04,127.74456787109375
2019-12-05,126.88558197021484
2019-12-06,129.00003051757812
2019-12-09,126.81004333496094
2019-12-10,128.1410675048828
2019-12-11,128.05609130859375
2019-12-12,129.13223266601562
2019-12-13,130.04783630371094
2019-12-16,132.80416870117188
2019-12-17,131.54872131347656
2019-12-18,132.73806762695312
2019-12-19,134.27670288085938
2019-12-20,135.85313415527344
2019-12-23,134.8619842529297
2019-12-24,134.9563751220703
2019-12-26,136.52328491210938
2019-12-27,135.89083862304688
2019-12-30,134.77700805664062
2019-12-31,134.83363342285156
2020-01-02,135.8153533935547
2020-01-03,134.18231201171875
