,PRU
2014-07-01,58.155574798583984
2014-07-02,58.103965759277344
2014-07-03,59.01980972290039
2014-07-07,58.36838912963867
2014-07-08,57.64603805541992
2014-07-09,57.78794860839844
2014-07-10,57.26552963256836
2014-07-11,57.865333557128906
2014-07-14,58.439361572265625
2014-07-15,58.458683013916016
2014-07-16,58.59414291381836
2014-07-17,57.60735321044922
2014-07-18,58.52318572998047
2014-07-21,58.258750915527344
2014-07-22,58.536075592041016
2014-07-23,58.23939895629883
2014-07-24,57.92983627319336
2014-07-25,57.349365234375
2014-07-28,57.38807678222656
2014-07-29,56.45932388305664
2014-07-30,57.50416946411133
2014-07-31,56.09170913696289
2014-08-01,55.369346618652344
2014-08-04,55.52415466308594
2014-08-05,55.30485534667969
2014-08-06,55.8337287902832
2014-08-07,55.73053741455078
2014-08-08,56.44643020629883
2014-08-11,56.23360061645508
2014-08-12,56.401283264160156
2014-08-13,56.63993453979492
2014-08-14,57.05269241333008
2014-08-15,56.66572189331055
2014-08-18,57.75571060180664
2014-08-19,57.568641662597656
2014-08-20,57.588016510009766
2014-08-21,58.12332534790039
2014-08-22,57.51348876953125
2014-08-25,58.227134704589844
2014-08-26,58.434715270996094
2014-08-27,58.69424057006836
2014-08-28,57.77946472167969
2014-08-29,58.19468688964844
2014-09-02,58.24658966064453
2014-09-03,58.168731689453125
2014-09-04,57.92869186401367
2014-09-05,57.896244049072266
2014-09-08,57.831363677978516
2014-09-09,57.253971099853516
2014-09-10,57.9805793762207
2014-09-11,58.026004791259766
2014-09-12,58.99916076660156
2014-09-15,58.62287139892578
2014-09-16,58.99266815185547
2014-09-17,58.921287536621094
2014-09-18,60.30317687988281
2014-09-19,60.439430236816406
2014-09-22,59.609012603759766
2014-09-23,59.00564193725586
2014-09-24,59.349491119384766
2014-09-25,58.1557502746582
2014-09-26,58.4217529296875
2014-09-29,57.80541229248047
2014-09-30,57.05284118652344
2014-10-01,55.5931282043457
2014-10-02,55.885047912597656
2014-10-03,56.46895980834961
2014-10-06,56.28728485107422
2014-10-07,54.97679138183594
2014-10-08,55.63202667236328
2014-10-09,54.09444808959961
2014-10-10,53.29647445678711
2014-10-13,52.037864685058594
2014-10-14,52.063804626464844
2014-10-15,50.51323318481445
2014-10-16,51.13605499267578
2014-10-17,52.589298248291016
2014-10-20,52.550384521484375
2014-10-21,54.250160217285156
2014-10-22,53.4456787109375
2014-10-23,54.010108947753906
2014-10-24,54.87301254272461
2014-10-27,55.01572036743164
2014-10-28,56.306766510009766
2014-10-29,56.24835968017578
2014-10-30,56.76091003417969
2014-10-31,57.442115783691406
2014-11-03,57.01393127441406
2014-11-04,57.11771774291992
2014-11-05,57.682167053222656
2014-11-06,55.16493225097656
2014-11-07,55.359554290771484
2014-11-10,56.14457702636719
2014-11-11,55.86561584472656
2014-11-12,55.31414031982422
2014-11-13,54.840538024902344
2014-11-14,54.48371505737305
2014-11-17,54.37343215942383
2014-11-18,54.49668884277344
2014-11-19,54.5940055847168
2014-11-20,54.52912902832031
2014-11-21,55.25429916381836
2014-11-24,56.12314224243164
2014-11-25,55.8487434387207
2014-11-26,56.038204193115234
2014-11-28,55.51558303833008
2014-12-01,54.6859130859375
2014-12-02,55.711551666259766
2014-12-03,56.606544494628906
2014-12-04,56.76987075805664
2014-12-05,57.71059799194336
2014-12-08,57.65834426879883
2014-12-09,57.599544525146484
2014-12-10,56.4301643371582
2014-12-11,58.65787124633789
2014-12-12,56.61308288574219
2014-12-15,55.93367004394531
2014-12-16,55.35880661010742
2014-12-17,56.67188262939453
2014-12-18,58.74931716918945
2014-12-19,58.66437911987305
2014-12-22,58.97794723510742
2014-12-23,59.76189041137695
2014-12-24,59.742305755615234
2014-12-26,59.59859848022461
2014-12-29,59.88600540161133
2014-12-30,59.82723617553711
2014-12-31,59.095558166503906
2015-01-02,58.86690902709961
2015-01-05,56.99852752685547
2015-01-06,55.81608963012695
2015-01-07,55.8487434387207
2015-01-08,56.74375915527344
2015-01-09,55.73768997192383
2015-01-12,55.01255798339844
2015-01-13,54.470333099365234
2015-01-14,53.033138275146484
2015-01-15,52.11854553222656
2015-01-16,52.91553497314453
2015-01-20,52.59543228149414
2015-01-21,52.65422058105469
2015-01-22,53.71253204345703
2015-01-23,52.713008880615234
2015-01-26,52.75220489501953
2015-01-27,51.916019439697266
2015-01-28,50.2958869934082
2015-01-29,50.27629089355469
2015-01-30,49.570762634277344
2015-02-02,51.03410339355469
2015-02-03,52.32106018066406
2015-02-04,52.19038772583008
2015-02-05,49.20489501953125
2015-02-06,50.825050354003906
