,CTRA
2020-09-25,14.511689186096191
2020-09-28,14.47164535522461
2020-09-29,14.12727165222168
2020-09-30,13.903026580810547
2020-10-01,13.494585990905762
2020-10-02,13.622726440429688
2020-10-05,14.207355499267578
2020-10-06,14.103242874145508
2020-10-07,14.623806953430176
2020-10-08,14.808009147644043
2020-10-09,15.160386085510254
2020-10-12,15.672940254211426
2020-10-13,15.456708908081055
2020-10-14,15.368609428405762
2020-10-15,15.592857360839844
2020-10-16,15.29653263092041
2020-10-19,15.280519485473633
2020-10-20,15.432680130004883
2020-10-21,15.360602378845215
2020-10-22,16.15346336364746
2020-10-23,15.761034965515137
2020-10-26,15.488744735717773
2020-10-27,15.28852653503418
2020-10-28,14.551732063293457
2020-10-29,14.72791862487793
2020-10-30,14.247400283813477
2020-11-02,13.951079368591309
2020-11-03,13.45454216003418
2020-11-04,12.821861267089844
2020-11-05,13.174239158630371
2020-11-06,13.166231155395508
2020-11-09,13.334412574768066
2020-11-10,13.850064277648926
2020-11-11,13.922579765319824
2020-11-12,13.624468803405762
2020-11-13,14.196518898010254
2020-11-16,13.737266540527344
2020-11-17,13.842008590698242
2020-11-18,13.487496376037598
2020-11-19,13.842008590698242
2020-11-20,13.753379821777344
2020-11-23,14.204574584960938
2020-11-24,14.52685546875
2020-11-25,14.31737232208252
2020-11-27,14.31737232208252
2020-11-30,14.115946769714355
2020-12-01,14.003145217895508
2020-12-02,13.737266540527344
2020-12-03,12.82681941986084
2020-12-04,13.245786666870117
2020-12-07,13.318300247192383
2020-12-08,13.2296724319458
2020-12-09,13.511667251586914
2020-12-10,14.220687866210938
2020-12-11,13.696980476379395
2020-12-14,13.898406028747559
2020-12-15,13.954805374145508
2020-12-16,13.713095664978027
2020-12-17,13.882290840148926
2020-12-18,13.672810554504395
2020-12-21,13.584184646606445
2020-12-22,13.52778148651123
2020-12-23,13.83395004272461
2020-12-24,13.648636817932129
2020-12-28,13.278014183044434
2020-12-29,12.955732345581055
2020-12-30,13.269956588745117
2020-12-31,13.116874694824219
2021-01-04,13.374699592590332
2021-01-05,13.503612518310547
2021-01-06,13.753379821777344
2021-01-07,14.035377502441406
2021-01-08,13.914522171020508
2021-01-11,14.534914016723633
2021-01-12,14.969992637634277
2021-01-13,15.24393367767334
2021-01-14,15.550100326538086
2021-01-15,15.364786148071289
2021-01-19,14.994166374206543
2021-01-20,14.840255737304688
2021-01-21,14.87265682220459
2021-01-22,15.01846981048584
2021-01-25,15.139974594116211
2021-01-26,14.896955490112305
2021-01-27,15.431594848632812
2021-01-28,14.888856887817383
2021-01-29,14.848356246948242
2021-02-01,15.075173377990723
2021-02-02,14.799751281738281
2021-02-03,15.342489242553711
2021-02-04,15.285787582397461
2021-02-05,14.224610328674316
2021-02-08,14.427124977111816
2021-02-09,14.167905807495117
2021-02-10,14.427124977111816
2021-02-11,14.10309886932373
2021-02-12,14.767349243164062
2021-02-16,14.83215618133545
2021-02-17,15.05086898803711
2021-02-18,14.62964153289795
2021-02-19,15.034669876098633
2021-02-22,14.85645580291748
2021-02-23,14.62964153289795
2021-02-24,15.55310344696045
2021-02-25,15.318187713623047
2021-02-26,14.99416446685791
2021-03-01,15.27768325805664
2021-03-02,15.204781532287598
2021-03-03,15.131875991821289
2021-03-04,15.107575416564941
2021-03-05,15.366792678833008
2021-03-08,15.447795867919922
2021-03-09,15.010369300842285
2021-03-10,15.545001983642578
2021-03-11,15.634113311767578
2021-03-12,15.229080200195312
2021-03-15,15.35869026184082
2021-03-16,15.269586563110352
2021-03-17,15.010369300842285
2021-03-18,14.491931915283203
2021-03-19,14.621537208557129
2021-03-22,14.581035614013672
2021-03-23,14.54863166809082
2021-03-24,14.767349243164062
2021-03-25,15.164276123046875
2021-03-26,15.536905288696289
2021-03-29,15.577404975891113
2021-03-30,15.220983505249023
2021-03-31,15.212881088256836
2021-04-01,15.463997840881348
2021-04-05,15.026564598083496
2021-04-06,14.977965354919434
2021-04-07,14.969864845275879
2021-04-08,14.459526062011719
2021-04-09,14.0787992477417
2021-04-12,13.738574981689453
2021-04-13,13.544159889221191
2021-04-14,13.722373962402344
2021-04-15,13.633270263671875
2021-04-16,13.41455078125
2021-04-19,13.39835262298584
2021-04-20,13.2687406539917
2021-04-21,13.284942626953125
2021-04-22,13.260643005371094
2021-04-23,13.058127403259277
2021-04-26,13.31734561920166
2021-04-27,13.600865364074707
2021-04-28,13.746678352355957
2021-04-29,13.819581031799316
2021-04-30,13.503657341003418
2021-05-03,13.835782051086426
2021-05-04,13.924890518188477
2021-05-05,14.151704788208008
2021-05-06,13.860084533691406
2021-05-07,14.086898803710938
2021-05-10,14.338017463684082
2021-05-11,14.10309886932373
2021-05-12,14.266143798828125
2021-05-13,14.013428688049316
2021-05-14,14.486250877380371
2021-05-17,14.92646312713623
2021-05-18,14.543312072753906
2021-05-19,14.673748016357422
2021-05-20,14.469944953918457
2021-05-21,14.518857955932617
2021-05-24,13.53245735168457
2021-05-25,13.410174369812012
2021-05-26,13.613978385925293
2021-05-27,13.353109359741211
2021-05-28,13.369412422180176
2021-06-01,13.418326377868652
2021-06-02,13.891148567199707
2021-06-03,13.695497512817383
2021-06-04,13.801472663879395
2021-06-07,13.744412422180176
2021-06-08,13.866692543029785
2021-06-09,14.037884712219238
2021-06-10,14.103102684020996
2021-06-11,14.086799621582031
2021-06-14,13.785172462463379
2021-06-15,13.760713577270508
2021-06-16,13.508000373840332
2021-06-17,12.969962120056152
2021-06-18,12.497142791748047
2021-06-21,12.986265182495117
2021-06-22,13.084092140197754
2021-06-23,13.361263275146484
2021-06-24,13.508000373840332
2021-06-25,13.711801528930664
2021-06-28,13.304197311401367
2021-06-29,13.271589279174805
2021-06-30,14.233534812927246
2021-07-01,14.55146598815918
2021-07-02,14.543312072753906
2021-07-06,13.858539581298828
2021-07-07,13.874844551086426
2021-07-08,14.192771911621094
2021-07-09,14.355816841125488
2021-07-12,14.42103385925293
2021-07-13,14.42103385925293
2021-07-14,13.703649520874023
2021-07-15,13.43463134765625
2021-07-16,13.173765182495117
2021-07-19,12.749856948852539
2021-07-20,12.6683349609375
2021-07-21,13.173765182495117
2021-07-22,12.790616035461426
2021-07-23,12.863983154296875
2021-07-26,13.190067291259766
2021-07-27,12.937353134155273
2021-07-28,12.929201126098633
2021-07-29,12.961811065673828
2021-07-30,13.04333209991455
2021-08-02,13.141156196594238
