,WAB
2014-10-10,69.82308959960938
2014-10-13,68.2344970703125
2014-10-14,68.8302230834961
2014-10-15,69.69075012207031
2014-10-16,70.61742401123047
2014-10-17,70.5985107421875
2014-10-20,70.63632202148438
2014-10-21,73.28401184082031
2014-10-22,72.32894134521484
2014-10-23,74.77806854248047
2014-10-24,74.97663879394531
2014-10-27,74.76863098144531
2014-10-28,78.0025634765625
2014-10-29,79.05216217041016
2014-10-30,79.65737915039062
2014-10-31,81.60529327392578
2014-11-03,81.59583282470703
2014-11-04,80.44222259521484
2014-11-05,81.7093276977539
2014-11-06,83.47756958007812
2014-11-07,84.41372680664062
2014-11-10,84.6595687866211
2014-11-11,84.92435455322266
2014-11-12,84.92434692382812
2014-11-13,84.77293395996094
2014-11-14,84.64045715332031
2014-11-17,84.49853515625
2014-11-18,84.64045715332031
2014-11-19,84.69721221923828
2014-11-20,84.5647964477539
2014-11-21,85.24604797363281
2014-11-24,86.33422088623047
2014-11-25,86.03143310546875
2014-11-26,85.6245346069336
2014-11-28,83.73208618164062
2014-12-01,80.8177261352539
2014-12-02,81.9815673828125
2014-12-03,83.11702728271484
2014-12-04,81.86801147460938
2014-12-05,81.9248046875
2014-12-08,81.74500274658203
2014-12-09,82.62500762939453
2014-12-10,79.9849853515625
2014-12-11,80.864990234375
2014-12-12,80.34457397460938
2014-12-15,79.84305572509766
2014-12-16,79.43617248535156
2014-12-17,81.565185546875
2014-12-18,82.98455810546875
2014-12-19,82.70069122314453
2014-12-22,82.93724060058594
2014-12-23,83.47661590576172
2014-12-24,83.61853790283203
2014-12-26,84.01596069335938
2014-12-29,84.2241439819336
2014-12-30,83.32521057128906
2014-12-31,82.21810150146484
2015-01-02,82.4262924194336
2015-01-05,80.56222534179688
2015-01-06,79.52134704589844
2015-01-07,80.2972640991211
2015-01-08,81.94371032714844
2015-01-09,80.2972640991211
2015-01-12,79.38887023925781
2015-01-13,78.97254180908203
2015-01-14,78.72649383544922
2015-01-15,77.81815338134766
2015-01-16,78.76436614990234
2015-01-20,78.85897827148438
2015-01-21,79.54026794433594
2015-01-22,80.92176818847656
2015-01-23,80.42028045654297
2015-01-26,82.71963500976562
2015-01-27,81.9815673828125
2015-01-28,80.39191436767578
2015-01-29,81.12994384765625
2015-01-30,78.96308135986328
2015-02-02,80.09854125976562
2015-02-03,82.08564758300781
2015-02-04,80.8082504272461
2015-02-05,82.26543426513672
2015-02-06,82.1329574584961
2015-02-09,82.44522094726562
2015-02-10,82.82369995117188
2015-02-11,82.72899627685547
2015-02-12,84.53755950927734
2015-02-13,85.72115325927734
2015-02-17,85.85371398925781
2015-02-18,87.8421859741211
2015-02-19,89.98213958740234
2015-02-20,89.98213958740234
2015-02-23,91.288818359375
2015-02-24,91.62968444824219
2015-02-25,90.96688079833984
2015-02-26,90.45555114746094
2015-02-27,89.8495864868164
2015-03-02,90.15254974365234
2015-03-03,89.6696548461914
2015-03-04,88.88374328613281
2015-03-05,88.60911560058594
2015-03-06,87.52022552490234
2015-03-09,87.58650970458984
2015-03-10,86.69645690917969
2015-03-11,87.7569580078125
2015-03-12,89.2814712524414
2015-03-13,88.52393341064453
2015-03-16,90.48397827148438
2015-03-17,90.635498046875
2015-03-18,90.96688079833984
2015-03-19,90.12416076660156
2015-03-20,91.4403305053711
2015-03-23,91.10890197753906
2015-03-24,90.92901611328125
2015-03-25,90.20938873291016
2015-03-26,89.22462463378906
2015-03-27,89.52763366699219
2015-03-30,91.288818359375
2015-03-31,89.96318054199219
2015-04-01,89.19621276855469
2015-04-02,89.2814712524414
2015-04-06,90.36087036132812
