,WEC
2014-04-10,33.30298614501953
2014-04-11,33.31718063354492
2014-04-14,33.54447555541992
2014-04-15,34.14105224609375
2014-04-16,34.3896484375
2014-04-17,33.81436538696289
2014-04-21,33.72914123535156
2014-04-22,33.75042724609375
2014-04-23,33.81436538696289
2014-04-24,33.92089080810547
2014-04-25,34.53879928588867
2014-04-28,34.3896484375
2014-04-29,34.17658233642578
2014-04-30,34.432254791259766
2014-05-01,34.76606750488281
2014-05-02,33.935096740722656
2014-05-05,34.10555648803711
2014-05-06,33.84986877441406
2014-05-07,34.410953521728516
2014-05-08,33.78593826293945
2014-05-09,32.90525817871094
2014-05-12,32.482643127441406
2014-05-13,32.33224868774414
2014-05-14,32.79781723022461
2014-05-15,32.62591552734375
2014-05-16,32.496986389160156
2014-05-19,32.08153533935547
2014-05-20,32.11019515991211
2014-05-21,31.97411346435547
2014-05-22,32.31075668334961
2014-05-23,32.32508087158203
2014-05-27,32.33224868774414
2014-05-28,32.4611701965332
2014-05-29,32.30357360839844
2014-05-30,32.60441970825195
2014-06-02,32.554283142089844
2014-06-03,32.51131057739258
2014-06-04,32.59726333618164
2014-06-05,32.85511779785156
2014-06-06,32.77631759643555
2014-06-09,32.61157989501953
2014-06-10,32.454002380371094
2014-06-11,31.988426208496094
2014-06-12,32.074371337890625
2014-06-13,32.28209686279297
2014-06-16,32.568607330322266
2014-06-17,32.396705627441406
2014-06-18,33.177425384521484
2014-06-19,33.57853698730469
2014-06-20,33.58570861816406
2014-06-23,32.42535400390625
2014-06-24,32.976890563964844
2014-06-25,33.04133987426758
2014-06-26,33.4138069152832
2014-06-27,33.51409149169922
2014-06-30,33.60719299316406
2014-07-01,33.29203796386719
2014-07-02,32.47549057006836
2014-07-03,32.16749954223633
2014-07-07,32.37521743774414
2014-07-08,32.51847457885742
2014-07-09,32.38954544067383
2014-07-10,32.66889190673828
2014-07-11,32.38954544067383
2014-07-14,32.08871078491211
2014-07-15,32.21047592163086
2014-07-16,32.34657287597656
2014-07-17,32.131690979003906
2014-07-18,32.504146575927734
2014-07-21,32.4611701965332
2014-07-22,32.489830017089844
2014-07-23,32.575775146484375
2014-07-24,32.65455627441406
2014-07-25,32.33940505981445
