,AJG
2020-01-02,89.82461547851562
2020-01-03,89.63652801513672
2020-01-06,90.0503158569336
2020-01-07,89.08164978027344
2020-01-08,89.20390319824219
2020-01-09,90.07855987548828
2020-01-10,89.75877380371094
2020-01-13,89.69295501708984
2020-01-14,89.42961120605469
2020-01-15,90.10675048828125
2020-01-16,90.33246612548828
2020-01-17,90.70866394042969
2020-01-21,90.46412658691406
2020-01-22,90.53936767578125
2020-01-23,91.21651458740234
2020-01-24,91.09426879882812
2020-01-27,90.46412658691406
2020-01-28,92.51437377929688
2020-01-29,92.93758392333984
2020-01-30,94.23541259765625
2020-01-31,96.46435546875
2020-02-03,98.05376434326172
2020-02-04,98.46757507324219
2020-02-05,98.82495880126953
2020-02-06,98.86257934570312
2020-02-07,98.68387603759766
2020-02-10,100.42375946044922
2020-02-11,101.00686645507812
2020-02-12,100.3014907836914
2020-02-13,101.75923919677734
2020-02-14,102.66207885742188
2020-02-18,102.05077362060547
2020-02-19,102.30470275878906
2020-02-20,101.73101043701172
2020-02-21,101.4112548828125
2020-02-24,99.8876953125
2020-02-25,97.68697357177734
2020-02-26,97.65875244140625
2020-02-27,93.18211364746094
2020-02-28,91.6867446899414
2020-03-02,97.34841918945312
2020-03-03,94.6962661743164
2020-03-04,99.8876953125
2020-03-05,96.44035339355469
2020-03-06,95.2408676147461
2020-03-09,88.91287994384766
2020-03-10,92.14300537109375
2020-03-11,89.70624542236328
2020-03-12,81.38542938232422
2020-03-13,85.05943298339844
2020-03-16,75.41632843017578
2020-03-17,80.71485900878906
2020-03-18,68.41776275634766
2020-03-19,64.74378204345703
2020-03-20,67.60552978515625
2020-03-23,64.45097351074219
2020-03-24,72.97958374023438
2020-03-25,72.92292785644531
2020-03-26,76.2947006225586
2020-03-27,75.71857452392578
2020-03-30,78.5992202758789
2020-03-31,76.98416900634766
2020-04-01,72.72457885742188
2020-04-02,74.38685607910156
2020-04-03,72.02568054199219
2020-04-06,77.64529418945312
2020-04-07,77.71141052246094
2020-04-08,80.31814575195312
2020-04-09,82.01820373535156
2020-04-13,78.92979431152344
2020-04-14,81.73486328125
2020-04-15,79.00533294677734
2020-04-16,76.30413818359375
2020-04-17,78.95812225341797
2020-04-20,76.2947006225586
2020-04-21,73.2345962524414
2020-04-22,73.28181457519531
2020-04-23,70.66564178466797
2020-04-24,71.10008239746094
2020-04-27,73.08349609375
2020-04-28,72.932373046875
2020-04-29,75.24632263183594
2020-04-30,74.14129638671875
2020-05-01,73.20628356933594
2020-05-04,75.69023895263672
2020-05-05,78.51420593261719
2020-05-06,75.98302459716797
2020-05-07,80.6392822265625
2020-05-08,81.6026382446289
2020-05-11,82.037109375
2020-05-12,82.19766998291016
2020-05-13,81.0643081665039
2020-05-14,81.68766021728516
2020-05-15,82.3865737915039
2020-05-18,85.28610229492188
2020-05-19,85.21053314208984
2020-05-20,85.65445709228516
2020-05-21,85.94722747802734
2020-05-22,86.04166412353516
2020-05-26,87.25059509277344
2020-05-27,88.61067199707031
2020-05-28,88.78065490722656
2020-05-29,89.04512023925781
2020-06-01,89.21512603759766
2020-06-02,90.1973876953125
2020-06-03,92.5113525390625
2020-06-04,93.17552185058594
2020-06-05,95.31039428710938
2020-06-08,96.68621063232422
2020-06-09,95.9745864868164
2020-06-10,95.27245330810547
2020-06-11,89.63636779785156
2020-06-12,90.44287109375
2020-06-15,90.26260375976562
2020-06-16,90.75601196289062
2020-06-17,93.3178482055664
2020-06-18,94.09588623046875
2020-06-19,89.89254760742188
2020-06-22,91.79021453857422
2020-06-23,92.53031921386719
2020-06-24,89.9305191040039
2020-06-25,92.30260467529297
2020-06-26,91.72381591796875
2020-06-29,90.77499389648438
2020-06-30,92.50184631347656
2020-07-01,92.36900329589844
2020-07-02,92.35952758789062
2020-07-06,91.92304992675781
2020-07-07,92.67262268066406
2020-07-08,93.33682250976562
2020-07-09,92.59672546386719
2020-07-10,94.06741333007812
2020-07-13,93.19449615478516
2020-07-14,95.89867401123047
2020-07-15,96.29717254638672
2020-07-16,97.3029556274414
2020-07-17,98.25179290771484
2020-07-20,98.8021240234375
2020-07-21,98.71672058105469
2020-07-22,99.10575103759766
2020-07-23,98.70721435546875
2020-07-24,98.61235046386719
2020-07-27,98.23280334472656
2020-07-28,98.45104217529297
2020-07-29,99.43782043457031
2020-07-30,99.21961975097656
2020-07-31,101.99018859863281
2020-08-03,100.66182708740234
2020-08-04,100.04507446289062
2020-08-05,100.10200500488281
2020-08-06,100.15894317626953
2020-08-07,101.34498596191406
2020-08-10,101.94274139404297
2020-08-11,101.87635040283203
2020-08-12,101.48731994628906
2020-08-13,101.70552825927734
2020-08-14,101.51575469970703
2020-08-17,101.19318389892578
2020-08-18,101.88583374023438
2020-08-19,101.16471099853516
2020-08-20,100.9275131225586
2020-08-21,98.17587280273438
2020-08-24,98.69772338867188
2020-08-25,98.9349365234375
2020-08-26,99.12471008300781
2020-08-27,100.57643127441406
2020-08-28,99.67503356933594
2020-08-31,99.91223907470703
2020-09-01,100.28229522705078
2020-09-02,101.85734558105469
2020-09-03,99.64678192138672
2020-09-04,98.78924560546875
2020-09-08,96.31189727783203
2020-09-09,98.3604736328125
2020-09-10,97.1218032836914
2020-09-11,96.98838806152344
2020-09-14,97.76972198486328
2020-09-15,98.12227630615234
2020-09-16,98.179443359375
2020-09-17,98.81782531738281
2020-09-18,99.29424285888672
2020-09-21,99.198974609375
2020-09-22,99.37047576904297
2020-09-23,97.53152465820312
2020-09-24,97.61726379394531
2020-09-25,98.11273193359375
2020-09-28,100.00887298583984
2020-09-29,99.82783508300781
2020-09-30,100.59962463378906
2020-10-01,100.6281967163086
2020-10-02,101.19989776611328
2020-10-05,102.00980377197266
2020-10-06,100.77112579345703
2020-10-07,101.39998626708984
2020-10-08,102.05746459960938
2020-10-09,103.42951965332031
2020-10-12,104.34422302246094
2020-10-13,103.54386901855469
2020-10-14,102.74349975585938
2020-10-15,103.05790710449219
2020-10-16,103.63912963867188
2020-10-19,102.00980377197266
2020-10-20,102.44811248779297
2020-10-21,102.54340362548828
2020-10-22,102.67679595947266
2020-10-23,102.82923889160156
2020-10-26,101.15226745605469
2020-10-27,100.59008026123047
2020-10-28,99.38951873779297
2020-10-29,98.14131927490234
2020-10-30,98.81782531738281
2020-11-02,101.50482940673828
2020-11-03,102.89592742919922
2020-11-04,106.47857666015625
2020-11-05,104.59197998046875
2020-11-06,105.29707336425781
2020-11-09,104.79205322265625
2020-11-10,108.27940368652344
2020-11-11,108.78440856933594
2020-11-12,107.8125228881836
2020-11-13,110.25177764892578
2020-11-16,111.89064025878906
2020-11-17,111.5571517944336
2020-11-18,110.00403594970703
2020-11-19,110.56619262695312
2020-11-20,110.09932708740234
2020-11-23,109.96592712402344
2020-11-24,110.92826843261719
2020-11-25,110.59478759765625
2020-11-27,110.39469146728516
2020-11-30,109.96592712402344
2020-12-01,111.20458984375
2020-12-02,110.93781280517578
2020-12-03,110.7369384765625
2020-12-04,110.97606658935547
2020-12-07,110.95694732666016
2020-12-08,111.81781768798828
2020-12-09,112.37261199951172
2020-12-10,114.3143539428711
2020-12-11,114.72566986083984
2020-12-14,115.26130676269531
2020-12-15,118.25521850585938
2020-12-16,120.95262908935547
2020-12-17,122.61698913574219
2020-12-18,119.87175750732422
2020-12-21,119.565673828125
2020-12-22,118.42741394042969
2020-12-23,117.69087219238281
2020-12-24,118.05435943603516
2020-12-28,117.6812973022461
2020-12-29,116.24653625488281
2020-12-30,116.40912628173828
2020-12-31,118.33175659179688
2021-01-04,115.01261138916016
2021-01-05,114.24739074707031
2021-01-06,116.62914276123047
2021-01-07,117.01176452636719
2021-01-08,115.59609985351562
2021-01-11,113.30998992919922
2021-01-12,113.38650512695312
2021-01-13,112.80303192138672
2021-01-14,110.96650695800781
2021-01-15,111.06214904785156
2021-01-19,112.29608154296875
2021-01-20,114.2761001586914
2021-01-21,113.91260528564453
2021-01-22,112.71695709228516
2021-01-25,113.14737701416016
2021-01-26,112.30563354492188
2021-01-27,108.19258117675781
2021-01-28,110.48822784423828
2021-01-29,110.39259338378906
2021-02-01,110.18217468261719
2021-02-02,112.56390380859375
2021-02-03,111.17692565917969
2021-02-04,111.30128479003906
2021-02-05,113.25259399414062
2021-02-08,112.56390380859375
2021-02-09,111.82738494873047
2021-02-10,112.07608032226562
2021-02-11,111.27259826660156
2021-02-12,111.60737609863281
2021-02-16,112.55433654785156
2021-02-17,112.5447769165039
2021-02-18,113.4630355834961
2021-02-19,114.95520782470703
2021-02-22,115.6439208984375
2021-02-23,117.77696228027344
2021-02-24,118.40826416015625
2021-02-25,116.14130401611328
2021-02-26,114.59174346923828
2021-03-01,116.9830551147461
2021-03-02,116.40912628173828
2021-03-03,116.69609069824219
2021-03-04,115.77421569824219
2021-03-05,119.18328094482422
2021-03-08,120.3548583984375
2021-03-09,119.78826904296875
2021-03-10,120.27803039550781
2021-03-11,119.50019073486328
2021-03-12,121.14229583740234
2021-03-15,122.16021728515625
2021-03-16,122.82283020019531
2021-03-17,123.33177947998047
2021-03-18,121.55524444580078
2021-03-19,116.61927795410156
2021-03-22,117.20506286621094
2021-03-23,117.68521118164062
2021-03-24,119.2889175415039
2021-03-25,119.9995346069336
2021-03-26,120.71015167236328
2021-03-29,121.80491638183594
2021-03-30,120.6429443359375
2021-03-31,119.81707000732422
2021-04-01,121.58403778076172
2021-04-05,123.20695495605469
2021-04-06,124.84906768798828
2021-04-07,124.67623138427734
2021-04-08,127.11537170410156
2021-04-09,127.28824615478516
2021-04-12,127.09619903564453
2021-04-13,128.63267517089844
2021-04-14,127.7011489868164
2021-04-15,129.6986083984375
2021-04-16,131.36953735351562
2021-04-19,130.85098266601562
2021-04-20,130.85098266601562
2021-04-21,131.724853515625
2021-04-22,130.84136962890625
2021-04-23,132.4642791748047
2021-04-26,130.4380340576172
2021-04-27,133.08848571777344
2021-04-28,134.50010681152344
2021-04-29,135.1627197265625
2021-04-30,139.19601440429688
2021-05-03,139.3016357421875
2021-05-04,139.72418212890625
2021-05-05,141.6063690185547
2021-05-06,142.93154907226562
2021-05-07,145.1595001220703
2021-05-10,144.8041534423828
2021-05-11,142.56668090820312
2021-05-12,138.1492462158203
2021-05-13,140.0699005126953
2021-05-14,141.45272827148438
2021-05-17,140.68446350097656
2021-05-18,141.22225952148438
2021-05-19,139.61854553222656
2021-05-20,140.81890869140625
2021-05-21,139.14797973632812
2021-05-24,139.33042907714844
2021-05-25,138.6678466796875
2021-05-26,139.38807678222656
2021-05-27,140.5404510498047
2021-05-28,140.7901153564453
2021-06-01,140.71328735351562
2021-06-02,140.82850646972656
2021-06-03,139.29660034179688
2021-06-04,139.5760040283203
2021-06-07,138.29461669921875
2021-06-08,138.73779296875
2021-06-09,139.11355590820312
2021-06-10,139.0557403564453
2021-06-11,139.32554626464844
2021-06-14,139.18101501464844
2021-06-15,139.25807189941406
2021-06-16,136.61822509765625
2021-06-17,134.30593872070312
2021-06-18,132.53314208984375
2021-06-21,134.55641174316406
2021-06-22,135.0863037109375
2021-06-23,135.2982940673828
2021-06-24,135.21156311035156
2021-06-25,136.71456909179688
2021-06-28,135.53912353515625
2021-06-29,136.0401611328125
2021-06-30,134.96109008789062
2021-07-01,135.28868103027344
2021-07-02,135.1730194091797
2021-07-06,135.80894470214844
2021-07-07,136.65673828125
2021-07-08,133.74710083007812
2021-07-09,135.36572265625
2021-07-12,135.8281707763672
2021-07-13,134.055419921875
2021-07-14,133.82418823242188
2021-07-15,135.01889038085938
2021-07-16,134.80690002441406
2021-07-19,131.64678955078125
2021-07-20,134.1806640625
2021-07-21,135.7029266357422
2021-07-22,136.91690063476562
2021-07-23,137.8225555419922
2021-07-26,135.09597778320312
2021-07-27,135.20193481445312
2021-07-28,132.48500061035156
2021-07-29,134.41189575195312
2021-07-30,134.21920776367188
2021-08-02,134.09396362304688
2021-08-03,133.4869842529297
2021-08-04,131.9454345703125
2021-08-05,133.55441284179688
2021-08-06,133.9783172607422
2021-08-09,135.18264770507812
2021-08-10,135.7318115234375
2021-08-11,137.0806427001953
2021-08-12,136.34844970703125
2021-08-13,135.1730194091797
2021-08-16,137.70692443847656
2021-08-17,136.5218505859375
2021-08-18,135.9727020263672
2021-08-19,136.81089782714844
2021-08-20,137.7743682861328
2021-08-23,137.8706817626953
2021-08-24,138.1597442626953
2021-08-25,137.68765258789062
2021-08-26,137.5238800048828
2021-08-27,138.50656127929688
2021-08-30,138.20790100097656
2021-08-31,138.3717041015625
2021-09-01,139.1617431640625
2021-09-02,140.95974731445312
2021-09-03,140.6407470703125
2021-09-07,138.90072631835938
2021-09-08,139.6837615966797
2021-09-09,140.54405212402344
2021-09-10,139.2777557373047
2021-09-13,139.6160430908203
2021-09-14,140.16709899902344
2021-09-15,145.18411254882812
2021-09-16,144.80711364746094
2021-09-17,143.44406127929688
2021-09-20,141.22073364257812
2021-09-21,143.55043029785156
2021-09-22,146.34410095214844
2021-09-23,147.18508911132812
2021-09-24,148.90574645996094
2021-09-27,147.32040405273438
2021-09-28,144.80711364746094
2021-09-29,145.86074829101562
2021-09-30,143.69541931152344
2021-10-01,147.3590850830078
2021-10-04,144.26576232910156
2021-10-05,146.78878784179688
2021-10-06,147.73611450195312
2021-10-07,148.31613159179688
2021-10-08,150.47177124023438
2021-10-11,151.68978881835938
2021-10-12,151.96046447753906
2021-10-13,153.2364501953125
2021-10-14,156.28143310546875
2021-10-15,157.45114135742188
2021-10-18,155.25677490234375
2021-10-19,156.5714569091797
2021-10-20,157.07412719726562
2021-10-21,158.01181030273438
2021-10-22,159.66481018066406
2021-10-25,158.7754669189453
2021-10-26,158.7174530029297
2021-10-27,156.79379272460938
2021-10-28,158.64981079101562
2021-10-29,162.08148193359375
2021-11-01,157.06446838378906
2021-11-02,157.615478515625
2021-11-03,155.93344116210938
2021-11-04,155.42112731933594
2021-11-05,154.91842651367188
2021-11-08,155.54676818847656
2021-11-09,156.1751251220703
2021-11-10,155.81747436523438
2021-11-11,157.27713012695312
2021-11-12,160.20614624023438
2021-11-15,159.8677978515625
2021-11-16,161.2115020751953
2021-11-17,159.41346740722656
2021-11-18,157.38345336914062
2021-11-19,157.96347045898438
2021-11-22,159.30715942382812
2021-11-23,159.28781127929688
2021-11-24,160.87313842773438
2021-11-26,157.70248413085938
2021-11-29,159.3168182373047
2021-11-30,157.47044372558594
2021-12-01,156.91949462890625
2021-12-02,161.4471893310547
2021-12-03,160.4388427734375
2021-12-06,162.34886169433594
2021-12-07,164.5109405517578
2021-12-08,164.0843505859375
2021-12-09,162.5718536376953
2021-12-10,164.43336486816406
