,TDG
2020-06-05,435.95562744140625
2020-06-08,439.65093994140625
2020-06-09,425.6692199707031
2020-06-10,409.5733642578125
2020-06-11,373.5798034667969
2020-06-12,397.4126892089844
2020-06-15,408.383056640625
2020-06-16,413.2331237792969
2020-06-17,408.338623046875
2020-06-18,413.7217102050781
2020-06-19,411.2789001464844
2020-06-22,412.8156433105469
2020-06-23,407.02398681640625
2020-06-24,385.42962646484375
2020-06-25,387.2950134277344
2020-06-26,374.0505676269531
2020-06-29,394.18817138671875
2020-06-30,392.669189453125
2020-07-01,390.4839782714844
2020-07-02,392.91790771484375
2020-07-06,386.8331298828125
2020-07-07,372.62933349609375
2020-07-08,379.2115783691406
2020-07-09,365.07000732421875
2020-07-10,373.86407470703125
2020-07-13,368.0812683105469
2020-07-14,375.4452209472656
2020-07-15,385.7049865722656
2020-07-16,383.27105712890625
2020-07-17,384.5146484375
2020-07-20,382.7203063964844
2020-07-21,391.6298828125
2020-07-22,395.79595947265625
2020-07-23,388.600830078125
2020-07-24,378.0212707519531
2020-07-27,376.79541015625
2020-07-28,379.2560119628906
2020-07-29,384.95880126953125
2020-07-30,384.9321594238281
2020-07-31,383.3687438964844
2020-08-03,387.3039245605469
2020-08-04,398.6118469238281
2020-08-05,418.92706298828125
2020-08-06,419.335693359375
2020-08-07,422.2848205566406
2020-08-10,428.6627502441406
2020-08-11,435.46710205078125
2020-08-12,442.8043518066406
2020-08-13,439.8374328613281
2020-08-14,443.07086181640625
2020-08-17,435.2361145019531
2020-08-18,429.0447082519531
2020-08-19,428.87591552734375
2020-08-20,428.8937072753906
2020-08-21,425.7402648925781
2020-08-24,433.9303283691406
2020-08-25,431.7539978027344
2020-08-26,430.7236022949219
2020-08-27,442.6533508300781
2020-08-28,450.1593933105469
2020-08-31,443.8525695800781
2020-09-01,447.50341796875
2020-09-02,448.7203674316406
2020-09-03,438.65606689453125
2020-09-04,447.09478759765625
2020-09-08,445.86004638671875
2020-09-09,444.9718017578125
2020-09-10,443.67486572265625
2020-09-11,449.2533264160156
2020-09-14,450.63018798828125
2020-09-15,450.63018798828125
2020-09-16,460.9255065917969
2020-09-17,461.0321044921875
2020-09-18,449.03125
2020-09-21,433.3173828125
2020-09-22,445.94891357421875
2020-09-23,425.7402648925781
2020-09-24,426.0245361328125
2020-09-25,439.5087890625
2020-09-28,442.90203857421875
2020-09-29,434.44549560546875
2020-09-30,422.04498291015625
2020-10-01,427.5701599121094
2020-10-02,431.33648681640625
2020-10-05,432.5978698730469
2020-10-06,426.8595275878906
2020-10-07,433.9303283691406
2020-10-08,436.1244201660156
2020-10-09,430.8213195800781
2020-10-12,431.7095947265625
2020-10-13,420.5082702636719
2020-10-14,429.69317626953125
2020-10-15,436.435302734375
2020-10-16,437.0304260253906
2020-10-19,430.07513427734375
2020-10-20,438.27410888671875
2020-10-21,428.9647521972656
2020-10-22,437.98980712890625
2020-10-23,445.8956298828125
2020-10-26,429.2223815917969
2020-10-27,412.1849365234375
2020-10-28,406.9618225097656
2020-10-29,423.3063659667969
2020-10-30,424.07916259765625
2020-11-02,439.1978759765625
2020-11-03,451.74945068359375
2020-11-04,454.8495788574219
2020-11-05,461.2807922363281
2020-11-06,462.32012939453125
2020-11-09,504.83380126953125
2020-11-10,510.21673583984375
2020-11-11,498.1626892089844
2020-11-12,494.3608093261719
2020-11-13,503.46575927734375
2020-11-16,509.84375
2020-11-17,513.4057006835938
2020-11-18,522.1998291015625
2020-11-19,524.6693115234375
2020-11-20,509.9947509765625
2020-11-23,528.4801025390625
2020-11-24,546.663330078125
2020-11-25,536.3947143554688
2020-11-27,525.4598388671875
2020-11-30,514.4894409179688
2020-12-01,527.2897338867188
2020-12-02,528.3912353515625
2020-12-03,531.7667236328125
2020-12-04,538.0114135742188
2020-12-07,533.8720092773438
2020-12-08,534.8401489257812
2020-12-09,528.9774780273438
2020-12-10,533.8720092773438
2020-12-11,534.5647583007812
2020-12-14,529.2617797851562
2020-12-15,545.179931640625
2020-12-16,536.1104736328125
2020-12-17,531.5090942382812
2020-12-18,540.3743286132812
2020-12-21,533.6055297851562
2020-12-22,529.6259155273438
2020-12-23,543.5455322265625
2020-12-24,538.935302734375
2020-12-28,541.7333374023438
2020-12-29,539.9301147460938
2020-12-30,547.3118286132812
2020-12-31,549.7191162109375
2021-01-04,522.0221557617188
2021-01-05,532.2819213867188
2021-01-06,531.9977416992188
2021-01-07,537.5761108398438
2021-01-08,544.7535400390625
2021-01-11,544.4515380859375
2021-01-12,548.8840942382812
2021-01-13,542.7548828125
2021-01-14,538.3667602539062
2021-01-15,519.6415405273438
2021-01-19,509.3551330566406
2021-01-20,512.9793701171875
2021-01-21,509.8614807128906
2021-01-22,512.0111694335938
2021-01-25,497.54083251953125
2021-01-26,483.42584228515625
2021-01-27,460.6590270996094
2021-01-28,493.6501159667969
2021-01-29,491.47381591796875
2021-02-01,506.6014404296875
2021-02-02,523.5588989257812
2021-02-03,532.36181640625
2021-02-04,541.8577270507812
2021-02-05,537.4163208007812
2021-02-08,533.1257934570312
2021-02-09,529.9901123046875
2021-02-10,514.960205078125
2021-02-11,510.7852783203125
2021-02-12,512.091064453125
2021-02-16,508.5912170410156
2021-02-17,506.65478515625
2021-02-18,512.1354370117188
2021-02-19,533.4189453125
2021-02-22,524.2073364257812
2021-02-23,536.79443359375
2021-02-24,541.1026611328125
2021-02-25,512.2332763671875
2021-02-26,512.2509155273438
2021-03-01,530.1944580078125
2021-03-02,530.087890625
2021-03-03,524.1895751953125
2021-03-04,508.3424987792969
2021-03-05,530.2477416992188
2021-03-08,538.571044921875
2021-03-09,523.6299438476562
2021-03-10,532.4151611328125
2021-03-11,530.5675048828125
2021-03-12,550.6429443359375
2021-03-15,548.484375
2021-03-16,538.9974365234375
2021-03-17,542.2574462890625
2021-03-18,530.851806640625
2021-03-19,534.3250732421875
2021-03-22,530.6296997070312
2021-03-23,517.8294067382812
2021-03-24,526.596923828125
2021-03-25,520.7341918945312
2021-03-26,520.9295654296875
2021-03-29,514.4805908203125
2021-03-30,519.32177734375
2021-03-31,522.2442016601562
2021-04-01,536.2703857421875
2021-04-05,536.3236694335938
2021-04-06,545.7484130859375
2021-04-07,538.704345703125
2021-04-08,547.2762451171875
2021-04-09,546.5123291015625
2021-04-12,553.9740600585938
2021-04-13,549.2572021484375
2021-04-14,558.6641845703125
2021-04-15,554.107177734375
2021-04-16,548.510986328125
2021-04-19,538.3046264648438
2021-04-20,529.1995849609375
2021-04-21,529.5903930664062
2021-04-22,527.45849609375
2021-04-23,528.8264770507812
2021-04-26,536.4835815429688
2021-04-27,535.1600341796875
2021-04-28,537.6472778320312
2021-04-29,541.8577270507812
2021-04-30,545.179931640625
2021-05-03,539.9478759765625
2021-05-04,530.0078735351562
2021-05-05,528.9774780273438
2021-05-06,532.1220703125
2021-05-07,540.072265625
2021-05-10,534.1917724609375
2021-05-11,533.028076171875
2021-05-12,513.6455688476562
2021-05-13,521.0450439453125
2021-05-14,530.674072265625
2021-05-17,529.8213500976562
2021-05-18,524.544921875
2021-05-19,521.9866333007812
2021-05-20,536.1016235351562
2021-05-21,533.863037109375
2021-05-24,546.2280883789062
2021-05-25,544.2738647460938
2021-05-26,551.6644897460938
2021-05-27,576.9452514648438
2021-05-28,576.3589477539062
2021-06-01,586.24560546875
2021-06-02,585.828125
2021-06-03,586.9385375976562
2021-06-04,590.9802856445312
2021-06-07,588.5374145507812
2021-06-08,594.2669067382812
2021-06-09,589.825439453125
2021-06-10,586.2723388671875
2021-06-11,587.9955444335938
2021-06-14,594.1869506835938
2021-06-15,600.9290771484375
2021-06-16,590.9091186523438
2021-06-17,592.943359375
2021-06-18,581.7686157226562
2021-06-21,595.9812622070312
2021-06-22,603.1498413085938
2021-06-23,606.3743286132812
2021-06-24,604.0291748046875
2021-06-25,598.0154418945312
2021-06-28,582.9855346679688
2021-06-29,572.263916015625
2021-06-30,574.9821166992188
2021-07-01,585.3662109375
2021-07-02,587.5514526367188
2021-07-06,583.10107421875
2021-07-07,581.2711791992188
2021-07-08,574.9110717773438
2021-07-09,586.3255615234375
2021-07-12,580.6405029296875
2021-07-13,576.1102294921875
2021-07-14,573.7828979492188
2021-07-15,565.45068359375
2021-07-16,562.8036499023438
2021-07-19,539.779052734375
2021-07-20,565.5573120117188
2021-07-21,576.3678588867188
2021-07-22,574.9288330078125
2021-07-23,575.2930297851562
2021-07-26,577.9578857421875
2021-07-27,576.0658569335938
2021-07-28,576.07470703125
2021-07-29,581.7330932617188
2021-07-30,569.4746704101562
2021-08-02,564.3314208984375
2021-08-03,561.3646240234375
2021-08-04,547.28515625
2021-08-05,554.7823486328125
2021-08-06,558.8329467773438
2021-08-09,558.2999877929688
2021-08-10,551.62890625
2021-08-11,554.3381958007812
2021-08-12,545.7395629882812
2021-08-13,538.2778930664062
2021-08-16,536.3858032226562
2021-08-17,536.0394287109375
2021-08-18,535.7817993164062
2021-08-19,523.62109375
2021-08-20,528.888671875
2021-08-23,535.7018432617188
2021-08-24,540.3475952148438
2021-08-25,536.5546264648438
2021-08-26,527.96484375
2021-08-27,540.747314453125
2021-08-30,536.1460571289062
2021-08-31,539.6102905273438
2021-09-01,541.41357421875
2021-09-02,541.662353515625
2021-09-03,534.9912109375
2021-09-07,524.9268798828125
2021-09-08,519.668212890625
2021-09-09,531.2603759765625
2021-09-10,532.583984375
2021-09-13,543.4033203125
2021-09-14,545.410888671875
2021-09-15,544.487060546875
2021-09-16,537.0609130859375
2021-09-17,541.8043823242188
2021-09-20,546.1748046875
2021-09-21,545.1888427734375
2021-09-22,558.815185546875
2021-09-23,566.898681640625
2021-09-24,572.4326782226562
2021-09-27,576.3411865234375
2021-09-28,566.9874267578125
2021-09-29,563.620849609375
2021-09-30,554.8001708984375
2021-10-01,579.9921264648438
2021-10-04,572.0685424804688
2021-10-05,573.1966552734375
2021-10-06,577.9135131835938
2021-10-07,575.6394653320312
2021-10-08,572.1129150390625
2021-10-11,565.9659423828125
2021-10-12,560.7161254882812
2021-10-13,561.3912353515625
2021-10-14,564.7223510742188
2021-10-15,568.0355834960938
2021-10-18,568.4976196289062
2021-10-19,574.760009765625
2021-10-20,571.4822387695312
2021-10-21,577.3893432617188
2021-10-22,575.817138671875
2021-10-25,565.0421142578125
2021-10-26,571.1180419921875
2021-10-27,558.9306640625
2021-10-28,558.1934204101562
2021-10-29,554.1339111328125
2021-11-01,560.1031494140625
2021-11-02,559.4014282226562
2021-11-03,553.4054565429688
2021-11-04,558.8951416015625
2021-11-05,590.8380737304688
2021-11-08,599.2235717773438
2021-11-09,608.4795532226562
2021-11-10,601.5952758789062
2021-11-11,582.9057006835938
2021-11-12,571.1713256835938
2021-11-15,580.7115478515625
2021-11-16,574.8045043945312
2021-11-17,585.32177734375
2021-11-18,586.8140869140625
2021-11-19,561.258056640625
2021-11-22,559.2948608398438
2021-11-23,555.4041748046875
2021-11-24,548.9639892578125
2021-11-26,498.5890197753906
2021-11-29,518.95751953125
2021-11-30,513.4767456054688
2021-12-01,491.5538024902344
2021-12-02,516.9766845703125
2021-12-03,518.67333984375
2021-12-06,534.413818359375
2021-12-07,535.9594116210938
2021-12-08,544.140625
2021-12-09,537.9848022460938
2021-12-10,537.691650390625
2021-12-13,525.7796020507812
2021-12-14,518.5311889648438
2021-12-15,517.5097045898438
2021-12-16,512.2243041992188
2021-12-17,518.6555786132812
2021-12-20,516.1505737304688
2021-12-21,541.22705078125
2021-12-22,546.03271484375
2021-12-23,557.8469848632812
2021-12-27,557.40283203125
2021-12-28,560.0677490234375
2021-12-29,560.0765380859375
2021-12-30,563.5409545898438
2021-12-31,565.2020263671875
2022-01-03,569.9188842773438
2022-01-04,572.0863037109375
2022-01-05,575.4706420898438
2022-01-06,572.7346801757812
2022-01-07,581.1290893554688
2022-01-10,572.0596313476562
2022-01-11,580.4362182617188
2022-01-12,585.0198364257812
2022-01-13,577.9222412109375
2022-01-14,573.2854614257812
2022-01-18,560.2808837890625
2022-01-19,559.8456420898438
2022-01-20,558.815185546875
2022-01-21,547.7382202148438
2022-01-24,551.8687744140625
2022-01-25,545.94384765625
2022-01-26,544.1583862304688
2022-01-27,527.5384521484375
2022-01-28,536.6611938476562
2022-01-31,547.3562622070312
2022-02-01,554.7201538085938
2022-02-02,557.9091796875
2022-02-03,550.1365966796875
2022-02-04,550.4119873046875
2022-02-07,562.5016479492188
2022-02-08,573.6763305664062
2022-02-09,577.6114501953125
2022-02-10,576.7142333984375
2022-02-11,567.0230102539062
2022-02-14,560.2808837890625
2022-02-15,582.9057006835938
2022-02-16,593.3519897460938
2022-02-17,584.3180541992188
2022-02-18,576.465576171875
2022-02-22,573.9249877929688
2022-02-23,557.0652465820312
2022-02-24,576.6609497070312
