,KR
2020-11-23,30.459081649780273
2020-11-24,30.145540237426758
2020-11-25,29.804346084594727
2020-11-27,29.905780792236328
2020-11-30,30.431419372558594
2020-12-01,30.440631866455078
2020-12-02,29.776676177978516
2020-12-03,28.47642707824707
2020-12-04,28.19977378845215
2020-12-07,28.540977478027344
2020-12-08,28.86373519897461
2020-12-09,28.78074073791504
2020-12-10,28.78074073791504
2020-12-11,28.900623321533203
2020-12-14,28.86373519897461
2020-12-15,28.762300491333008
2020-12-16,28.55942153930664
2020-12-17,28.587085723876953
2020-12-18,28.467206954956055
2020-12-21,28.402658462524414
2020-12-22,28.485647201538086
2020-12-23,28.946733474731445
2020-12-24,29.07583236694336
2020-12-28,28.946733474731445
2020-12-29,29.011280059814453
2020-12-30,29.09427833557129
2020-12-31,29.287935256958008
2021-01-04,29.629135131835938
2021-01-05,29.41703224182129
2021-01-06,29.702903747558594
2021-01-07,29.343259811401367
2021-01-08,29.168048858642578
2021-01-11,29.287935256958008
2021-01-12,29.06661033630371
2021-01-13,29.500030517578125
2021-01-14,30.560514450073242
2021-01-15,31.076934814453125
2021-01-19,31.003158569335938
2021-01-20,30.495969772338867
2021-01-21,30.62506675720215
2021-01-22,30.94782829284668
2021-01-25,31.879215240478516
2021-01-26,34.18462371826172
2021-01-27,35.733863830566406
2021-01-28,32.62617111206055
2021-01-29,31.814661026000977
2021-02-01,31.076934814453125
2021-02-02,30.523635864257812
2021-02-03,31.31669807434082
2021-02-04,30.84639549255371
2021-02-05,30.569746017456055
2021-02-08,30.689624786376953
2021-02-09,30.975492477416992
2021-02-10,30.993938446044922
2021-02-11,30.96612548828125
2021-02-12,31.47604751586914
2021-02-16,31.207172393798828
2021-02-17,31.86543083190918
2021-02-18,31.37405776977539
2021-02-19,31.54094123840332
2021-02-22,31.142274856567383
2021-02-23,30.62308692932129
2021-02-24,30.36349105834961
2021-02-25,30.048263549804688
2021-02-26,29.862836837768555
2021-03-01,30.4932861328125
2021-03-02,30.187335968017578
2021-03-03,30.82705307006836
2021-03-04,31.605836868286133
2021-03-05,31.93033218383789
2021-03-08,32.20847702026367
2021-03-09,31.94887924194336
2021-03-10,32.67203903198242
2021-03-11,32.393898010253906
2021-03-12,32.876007080078125
2021-03-15,33.25613021850586
2021-03-16,33.209774017333984
2021-03-17,32.70912551879883
2021-03-18,32.16211700439453
2021-03-19,32.82038879394531
2021-03-22,33.55281066894531
2021-03-23,33.97002410888672
2021-03-24,33.107791900634766
2021-03-25,33.83094787597656
2021-03-26,34.517024993896484
2021-03-29,35.1845588684082
2021-03-30,35.305091857910156
2021-03-31,33.36738967895508
2021-04-01,33.330299377441406
2021-04-05,34.0534553527832
2021-04-06,34.20179748535156
2021-04-07,34.4428596496582
2021-04-08,34.517024993896484
2021-04-09,35.02694320678711
2021-04-12,35.20310974121094
2021-04-13,34.841522216796875
2021-04-14,34.52629470825195
2021-04-15,34.479942321777344
2021-04-16,34.40576934814453
2021-04-19,34.70245361328125
2021-04-20,35.00840759277344
2021-04-21,35.1474723815918
2021-04-22,34.70245361328125
2021-04-23,34.62828826904297
2021-04-26,33.877315521240234
2021-04-27,34.09054946899414
2021-04-28,33.97929763793945
2021-04-29,34.35940933227539
2021-04-30,33.877315521240234
2021-05-03,34.65609359741211
2021-05-04,33.2746696472168
2021-05-05,33.81240463256836
2021-05-06,34.94349670410156
2021-05-07,34.980587005615234
2021-05-10,36.02824783325195
2021-05-11,35.62031173706055
2021-05-12,33.96075439453125
2021-05-13,34.296165466308594
2021-05-14,34.65953826904297
2021-05-17,34.8365478515625
2021-05-18,34.65953826904297
2021-05-19,33.914161682128906
2021-05-20,33.876895904541016
2021-05-21,34.091190338134766
2021-05-24,34.10050964355469
2021-05-25,33.97005844116211
2021-05-26,33.904850006103516
2021-05-27,33.81167221069336
2021-05-28,34.45455551147461
2021-06-01,34.734066009521484
2021-06-02,35.35831069946289
2021-06-03,35.8614387512207
2021-06-04,35.973243713378906
2021-06-07,36.308658599853516
2021-06-08,36.23411560058594
2021-06-09,35.665775299072266
2021-06-10,36.14094161987305
2021-06-11,36.06640625
2021-06-14,35.77758026123047
2021-06-15,35.28377151489258
2021-06-16,34.985626220703125
2021-06-17,36.504310607910156
2021-06-18,36.10368347167969
2021-06-21,36.876991271972656
2021-06-22,37.109928131103516
2021-06-23,36.51362991333008
2021-06-24,36.47636795043945
2021-06-25,36.532264709472656
2021-06-28,36.67202377319336
2021-06-29,36.19684600830078
2021-06-30,35.693721771240234
2021-07-01,35.52602005004883
2021-07-02,35.74962615966797
2021-07-06,34.85518264770508
2021-07-07,35.06948471069336
2021-07-08,35.293094635009766
2021-07-09,35.65645217895508
2021-07-12,35.693721771240234
2021-07-13,35.470115661621094
2021-07-14,35.70302963256836
2021-07-15,36.18752670288086
2021-07-16,36.67202377319336
2021-07-19,38.2652473449707
2021-07-20,37.799381256103516
2021-07-21,37.37080383300781
2021-07-22,37.0167350769043
2021-07-23,37.16582489013672
2021-07-26,37.07264709472656
2021-07-27,37.296260833740234
2021-07-28,37.296260833740234
2021-07-29,37.93914031982422
2021-07-30,37.92050552368164
2021-08-02,38.20933151245117
2021-08-03,39.70938491821289
2021-08-04,39.057193756103516
2021-08-05,39.01060104370117
2021-08-06,38.8988037109375
2021-08-09,39.39260482788086
2021-08-10,39.858455657958984
2021-08-11,40.06343078613281
2021-08-12,39.92299270629883
2021-08-13,40.08216094970703
2021-08-16,40.68137741088867
2021-08-17,42.544578552246094
2021-08-18,43.31232452392578
2021-08-19,43.003360748291016
2021-08-20,43.94900131225586
2021-08-23,43.76174545288086
2021-08-24,42.8348274230957
2021-08-25,42.88163757324219
2021-08-26,42.291778564453125
2021-08-27,42.59138488769531
2021-08-30,43.25614929199219
2021-08-31,43.096981048583984
2021-09-01,42.825469970703125
2021-09-02,44.2954216003418
2021-09-03,43.6774787902832
2021-09-07,43.059532165527344
2021-09-08,43.34041976928711
2021-09-09,43.19061279296875
2021-09-10,39.951072692871094
2021-09-13,40.147701263427734
2021-09-14,39.12715148925781
2021-09-15,38.481117248535156
2021-09-16,38.265777587890625
2021-09-17,38.33131408691406
2021-09-20,37.8350944519043
2021-09-21,37.87254333496094
2021-09-22,37.54484176635742
2021-09-23,37.61974334716797
2021-09-24,37.432491302490234
2021-09-27,37.62910079956055
2021-09-28,37.92871856689453
2021-09-29,38.70582580566406
2021-09-30,37.85381317138672
2021-10-01,36.64601135253906
2021-10-04,37.104793548583984
2021-10-05,37.3388557434082
2021-10-06,37.029884338378906
2021-10-07,36.98307418823242
2021-10-08,36.95498275756836
2021-10-11,37.057979583740234
2021-10-12,37.29204559326172
2021-10-13,36.95498275756836
2021-10-14,36.62728500366211
2021-10-15,36.13106155395508
2021-10-18,36.71155548095703
2021-10-19,36.58047103881836
2021-10-20,36.81454086303711
2021-10-21,36.795814514160156
2021-10-22,37.66655349731445
2021-10-25,37.760189056396484
2021-10-26,37.41375732421875
2021-10-27,36.9643440246582
2021-10-28,37.16096115112305
2021-10-29,37.46993637084961
2021-11-01,37.87254333496094
2021-11-02,38.10660934448242
2021-11-03,40.2132453918457
2021-11-04,40.653289794921875
2021-11-05,39.62338638305664
2021-11-08,39.04289245605469
2021-11-09,39.258243560791016
2021-11-10,39.76382827758789
2021-11-11,39.57656478881836
2021-11-12,39.924720764160156
2021-11-15,40.14113998413086
2021-11-16,39.22840881347656
2021-11-17,38.24982452392578
2021-11-18,38.955535888671875
2021-11-19,38.475650787353516
2021-11-22,40.3293342590332
2021-11-23,40.51752471923828
2021-11-24,40.02822494506836
2021-11-26,40.59280014038086
2021-11-29,39.84944534301758
2021-11-30,39.07786178588867
2021-12-01,37.83580017089844
2021-12-02,42.013641357421875
2021-12-03,40.86567687988281
2021-12-06,42.446475982666016
2021-12-07,42.408836364746094
2021-12-08,40.282291412353516
2021-12-09,41.10091781616211
2021-12-10,41.966590881347656
2021-12-13,42.93577575683594
2021-12-14,42.88872528076172
2021-12-15,43.49094772338867
2021-12-16,43.19924545288086
2021-12-17,42.14537811279297
2021-12-20,42.82286071777344
2021-12-21,41.27969741821289
2021-12-22,40.950355529785156
2021-12-23,40.658668518066406
2021-12-27,41.15737533569336
2021-12-28,41.79722213745117
2021-12-29,42.070091247558594
2021-12-30,42.47471237182617
2021-12-31,42.587615966796875
2022-01-03,42.521759033203125
2022-01-04,43.44388961791992
2022-01-05,44.04610061645508
2022-01-06,44.33780288696289
2022-01-07,45.27875900268555
2022-01-10,46.20088577270508
2022-01-11,44.89295959472656
2022-01-12,44.35661697387695
2022-01-13,46.55845260620117
2022-01-14,46.21970748901367
2022-01-18,45.72099685668945
2022-01-19,45.71158981323242
2022-01-20,44.478946685791016
2022-01-21,44.14960861206055
2022-01-24,44.90237045288086
2022-01-25,42.41825485229492
2022-01-26,41.75958251953125
2022-01-27,42.7193603515625
2022-01-28,40.903316497802734
2022-01-31,41.0162353515625
2022-02-01,41.52434158325195
2022-02-02,41.496116638183594
2022-02-03,42.446475982666016
2022-02-04,42.12655258178711
2022-02-07,42.03245544433594
2022-02-08,42.813453674316406
2022-02-09,42.484127044677734
2022-02-10,42.5029411315918
2022-02-11,43.537994384765625
2022-02-14,43.18825149536133
2022-02-15,43.86882400512695
2022-02-16,42.129573822021484
2022-02-17,42.75343322753906
2022-02-18,43.09372329711914
2022-02-22,42.57384490966797
2022-02-23,42.09177017211914
2022-02-24,42.00669479370117
2022-02-25,43.91609191894531
2022-02-28,44.23746871948242
2022-03-01,45.702606201171875
2022-03-02,46.666751861572266
2022-03-03,52.0830078125
2022-03-04,55.712745666503906
2022-03-07,54.65407180786133
2022-03-08,52.65959930419922
2022-03-09,52.30986404418945
2022-03-10,53.96404266357422
2022-03-11,52.829742431640625
2022-03-14,52.38549041748047
2022-03-15,53.113319396972656
2022-03-16,51.979026794433594
2022-03-17,52.612342834472656
2022-03-18,52.76358413696289
2022-03-21,52.63124465942383
2022-03-22,53.47251510620117
2022-03-23,53.35908126831055
2022-03-24,53.642662048339844
2022-03-25,53.878971099853516
2022-03-28,53.878971099853516
2022-03-29,53.302371978759766
2022-03-30,53.28346252441406
2022-03-31,54.22871398925781
2022-04-01,54.33268737792969
2022-04-04,54.29487991333008
2022-04-05,54.49337387084961
2022-04-06,55.514244079589844
2022-04-07,56.60127639770508
2022-04-08,58.29326248168945
2022-04-11,57.32911682128906
2022-04-12,55.53314971923828
2022-04-13,55.14559555053711
2022-04-14,55.12668991088867
2022-04-18,54.65407180786133
2022-04-19,54.62571716308594
2022-04-20,54.5406494140625
2022-04-21,54.99435806274414
2022-04-22,53.878971099853516
2022-04-25,53.5859489440918
2022-04-26,52.66905212402344
2022-04-27,52.53672409057617
2022-04-28,52.451656341552734
2022-04-29,51.00542449951172
2022-05-02,50.778564453125
2022-05-03,51.789981842041016
2022-05-04,52.71631622314453
2022-05-05,50.901451110839844
2022-05-06,50.901451110839844
2022-05-09,51.837242126464844
2022-05-10,52.16807556152344
2022-05-11,51.35516357421875
2022-05-12,51.45005798339844
2022-05-13,50.66246032714844
2022-05-16,50.48216247558594
2022-05-17,48.6128044128418
2022-05-18,45.45293045043945
2022-05-19,45.547813415527344
2022-05-20,46.174102783203125
2022-05-23,47.6544075012207
2022-05-24,48.878501892089844
2022-05-25,48.54638671875
2022-05-26,49.476318359375
2022-05-27,50.254425048828125
2022-05-31,50.263912200927734
2022-06-01,48.726680755615234
2022-06-02,50.17851257324219
2022-06-03,49.855892181396484
2022-06-06,49.485809326171875
2022-06-07,49.3719367980957
2022-06-08,48.60332489013672
2022-06-09,47.853675842285156
2022-06-10,48.479957580566406
2022-06-13,47.758785247802734
2022-06-14,47.81571960449219
2022-06-15,48.28068923950195
2022-06-16,47.274837493896484
2022-06-17,43.83977508544922
2022-06-21,45.92738342285156
2022-06-22,44.92153549194336
2022-06-23,45.29160690307617
2022-06-24,45.974830627441406
2022-06-27,46.212059020996094
2022-06-28,45.955848693847656
2022-06-29,45.652198791503906
2022-06-30,44.91204833984375
2022-07-01,45.6806640625
2022-07-05,44.81715393066406
2022-07-06,44.97846984863281
2022-07-07,46.25001525878906
2022-07-08,45.56679153442383
2022-07-11,45.45293045043945
2022-07-12,45.168251037597656
2022-07-13,45.500370025634766
2022-07-14,45.073360443115234
2022-07-15,45.31058883666992
2022-07-18,45.101829528808594
2022-07-19,44.883575439453125
2022-07-20,44.7886848449707
2022-07-21,43.915687561035156
2022-07-22,43.87773513793945
2022-07-25,43.37480545043945
2022-07-26,43.668968200683594
2022-07-27,43.593055725097656
2022-07-28,43.68795394897461
2022-07-29,44.0675163269043
2022-08-01,44.35218811035156
2022-08-02,44.390140533447266
2022-08-03,44.5704345703125
2022-08-04,44.314231872558594
2022-08-05,44.83613967895508
2022-08-08,44.6843147277832
2022-08-09,44.47554016113281
2022-08-10,44.39963150024414
2022-08-11,44.779197692871094
2022-08-12,45.046363830566406
2022-08-15,45.342159271240234
2022-08-16,46.830665588378906
2022-08-17,46.324947357177734
2022-08-18,47.34591293334961
2022-08-19,47.23141860961914
2022-08-22,47.822994232177734
2022-08-23,47.32683563232422
2022-08-24,47.38407897949219
