,TROW
2018-08-06,93.33097839355469
2018-08-07,93.96867370605469
2018-08-08,94.23634338378906
2018-08-09,93.59864807128906
2018-08-10,92.22091674804688
2018-08-13,91.78004455566406
2018-08-14,92.55946350097656
2018-08-15,90.92192840576172
2018-08-16,91.57534790039062
2018-08-17,91.01640319824219
2018-08-20,91.08726501464844
2018-08-21,91.48876953125
2018-08-22,91.07939147949219
2018-08-23,90.58340454101562
2018-08-24,90.85895538330078
2018-08-27,91.5517349243164
2018-08-28,91.70919036865234
2018-08-29,91.5360107421875
2018-08-30,90.85895538330078
2018-08-31,91.23686218261719
2018-09-04,90.66214752197266
2018-09-05,90.14253234863281
2018-09-06,89.16631317138672
2018-09-07,84.81269836425781
2018-09-10,86.19044494628906
2018-09-11,86.81237030029297
2018-09-12,86.70216369628906
2018-09-13,86.49615478515625
2018-09-14,87.4468994140625
2018-09-17,86.32977294921875
2018-09-18,86.59122467041016
2018-09-19,87.86685943603516
2018-09-20,88.37390899658203
2018-09-21,88.55615997314453
2018-09-24,87.92229461669922
2018-09-25,87.39146423339844
2018-09-26,86.94776916503906
2018-09-27,87.23297882080078
2018-09-28,86.50407409667969
2018-10-01,87.04285430908203
2018-10-02,88.12036895751953
2018-10-03,88.56407165527344
2018-10-04,87.78761291503906
2018-10-05,86.614990234375
2018-10-08,86.54370880126953
2018-10-09,85.56122589111328
2018-10-10,80.45877838134766
2018-10-11,78.0501480102539
2018-10-12,79.3970718383789
2018-10-15,79.76153564453125
2018-10-16,80.78362274169922
2018-10-17,81.3382568359375
2018-10-18,79.11185455322266
2018-10-19,79.27823638916016
2018-10-22,78.75530242919922
2018-10-23,77.50345611572266
2018-10-24,74.37387084960938
2018-10-25,75.68115234375
2018-10-26,74.37387084960938
2018-10-29,74.29461669921875
2018-10-30,76.23576354980469
2018-10-31,76.8458480834961
2018-11-01,77.66192626953125
2018-11-02,76.79829406738281
2018-11-05,77.18655395507812
2018-11-06,78.54137420654297
2018-11-07,80.41913604736328
2018-11-08,79.1435546875
2018-11-09,78.02638244628906
2018-11-12,75.72870635986328
2018-11-13,75.95054626464844
2018-11-14,74.90470123291016
2018-11-15,76.10899353027344
2018-11-16,75.95848083496094
2018-11-19,75.2374496459961
2018-11-20,72.89226531982422
2018-11-21,74.88093566894531
2018-11-23,74.99185180664062
2018-11-26,76.02978515625
2018-11-27,75.16614532470703
2018-11-28,77.91548156738281
