,HLT
2019-09-03,90.16480255126953
2019-09-04,91.14240264892578
2019-09-05,92.29772186279297
2019-09-06,92.56431579589844
2019-09-09,91.36949157714844
2019-09-10,92.40632629394531
2019-09-11,93.98626708984375
2019-09-12,93.58140563964844
2019-09-13,94.84536743164062
2019-09-16,92.48533630371094
2019-09-17,93.67029571533203
2019-09-18,94.15412902832031
2019-09-19,94.57874298095703
2019-09-20,94.02576446533203
2019-09-23,93.06795501708984
2019-09-24,91.0633773803711
2019-09-25,91.60649108886719
2019-09-26,90.85601806640625
2019-09-27,90.30305480957031
2019-09-30,91.94223022460938
2019-10-01,90.9942626953125
2019-10-02,89.7994384765625
2019-10-03,90.83626556396484
2019-10-04,92.17921447753906
2019-10-07,89.85868072509766
2019-10-08,89.56244659423828
2019-10-09,90.35242462158203
2019-10-10,90.40180206298828
2019-10-11,92.25821685791016
2019-10-14,90.38204193115234
2019-10-15,90.51042175292969
2019-10-16,91.04363250732422
2019-10-17,91.04363250732422
2019-10-18,90.0068130493164
2019-10-21,91.23124694824219
2019-10-22,89.59207916259766
2019-10-23,94.56886291503906
2019-10-24,95.69457244873047
2019-10-25,96.46477508544922
2019-10-28,95.97106170654297
2019-10-29,96.08956146240234
2019-10-30,96.09944152832031
2019-10-31,95.74393463134766
2019-11-01,95.10209655761719
2019-11-04,96.7610092163086
2019-11-05,98.8939437866211
2019-11-06,98.32119750976562
2019-11-07,97.83663177490234
2019-11-08,97.99486541748047
2019-11-11,97.04546356201172
2019-11-12,97.00590515136719
2019-11-13,96.6795654296875
2019-11-14,97.75751495361328
2019-11-15,98.5882339477539
2019-11-18,99.06292724609375
2019-11-19,99.10247039794922
2019-11-20,98.16297149658203
2019-11-21,97.98497009277344
2019-11-22,100.101318359375
2019-11-25,101.95065307617188
2019-11-26,104.15599822998047
2019-11-27,105.19441223144531
2019-11-29,103.83956146240234
2019-12-02,103.5923080444336
2019-12-03,102.80113220214844
2019-12-04,103.02859497070312
2019-12-05,103.75054168701172
2019-12-06,104.3043441772461
2019-12-09,103.5923080444336
2019-12-10,103.5428466796875
2019-12-11,104.53179931640625
2019-12-12,105.34273529052734
2019-12-13,106.01522827148438
2019-12-16,107.28108215332031
2019-12-17,107.59754943847656
2019-12-18,108.04256439208984
2019-12-19,109.12052154541016
2019-12-20,110.1885757446289
2019-12-23,110.05014038085938
2019-12-24,110.1391372680664
2019-12-26,110.70285034179688
2019-12-27,111.14785766601562
2019-12-30,110.1391372680664
2019-12-31,109.6842269897461
2020-01-02,110.21824645996094
2020-01-03,108.7743911743164
2020-01-06,108.210693359375
2020-01-07,107.09318542480469
2020-01-08,108.00299835205078
2020-01-09,107.88433837890625
2020-01-10,107.39974975585938
2020-01-13,108.0821304321289
2020-01-14,107.88433837890625
2020-01-15,108.4183578491211
2020-01-16,110.3666000366211
2020-01-17,112.66094970703125
2020-01-21,109.39742279052734
2020-01-22,109.62489318847656
2020-01-23,109.73365783691406
2020-01-24,107.29096221923828
2020-01-27,103.78020477294922
2020-01-28,106.66793060302734
2020-01-29,108.79418182373047
2020-01-30,107.86457061767578
2020-01-31,106.60859680175781
2020-02-03,106.65804290771484
2020-02-04,109.71388244628906
2020-02-05,112.00825500488281
2020-02-06,111.45443725585938
2020-02-07,109.614990234375
2020-02-10,110.1391372680664
2020-02-11,111.69178009033203
2020-02-12,112.44338989257812
2020-02-13,111.71156311035156
2020-02-14,111.97858428955078
2020-02-18,110.69293975830078
2020-02-19,111.42476654052734
2020-02-20,110.76217651367188
2020-02-21,108.35901641845703
2020-02-24,102.87037658691406
2020-02-25,97.78717803955078
2020-02-26,96.81800842285156
2020-02-27,94.91632080078125
2020-02-28,96.27324676513672
2020-03-02,95.5403060913086
2020-03-03,92.44013977050781
2020-03-04,97.451904296875
2020-03-05,90.62759399414062
2020-03-06,89.5876235961914
