,MKC
2018-09-19,58.27552032470703
2018-09-20,58.369747161865234
2018-09-21,58.423580169677734
2018-09-24,58.154380798339844
2018-09-25,57.99734878540039
2018-09-26,58.27552032470703
2018-09-27,57.55766677856445
2018-09-28,59.11003494262695
2018-10-01,59.50033187866211
2018-10-02,59.85029983520508
2018-10-03,60.12844467163086
2018-10-04,60.88668441772461
2018-10-05,61.13888931274414
2018-10-08,61.28302001953125
2018-10-09,61.17042922973633
2018-10-10,60.48583984375
2018-10-11,59.30134582519531
2018-10-12,59.81928634643555
2018-10-15,60.472328186035156
2018-10-16,61.71987533569336
2018-10-17,62.012630462646484
2018-10-18,61.913551330566406
2018-10-19,63.345733642578125
2018-10-22,63.68806076049805
2018-10-23,63.51689147949219
2018-10-24,63.63399124145508
2018-10-25,62.90438461303711
2018-10-26,62.3278923034668
2018-10-29,63.24665832519531
2018-10-30,65.19232177734375
2018-10-31,64.85452270507812
2018-11-01,65.39497375488281
2018-11-02,64.61132049560547
2018-11-05,66.13810729980469
2018-11-06,66.88121032714844
2018-11-07,67.56129455566406
2018-11-08,68.16029357910156
2018-11-09,67.7369155883789
2018-11-12,67.20999145507812
2018-11-13,66.75059509277344
2018-11-14,66.51641845703125
2018-11-15,66.94426727294922
2018-11-16,67.5567855834961
2018-11-19,67.1739730834961
2018-11-20,66.05702209472656
2018-11-21,65.05267333984375
2018-11-23,65.38593292236328
2018-11-26,65.18782043457031
2018-11-27,66.25970458984375
2018-11-28,66.63800048828125
2018-11-29,67.12894439697266
2018-11-30,67.5567855834961
2018-12-03,68.23233795166016
2018-12-04,68.25935363769531
2018-12-06,68.2909164428711
2018-12-07,67.73243713378906
2018-12-10,68.11975860595703
2018-12-11,68.86739349365234
2018-12-12,69.7591323852539
2018-12-13,70.18250274658203
2018-12-14,68.26387786865234
2018-12-17,65.81382751464844
2018-12-18,65.61115264892578
2018-12-19,63.93122863769531
2018-12-20,62.625144958496094
2018-12-21,62.215309143066406
2018-12-24,60.37325668334961
2018-12-26,62.30538558959961
2018-12-27,63.07099533081055
2018-12-28,62.86298751831055
2018-12-31,62.96701431274414
2019-01-02,61.32996368408203
2019-01-03,61.619380950927734
2019-01-04,61.804805755615234
2019-01-07,62.33389663696289
2019-01-08,63.446346282958984
2019-01-09,63.441837310791016
2019-01-10,63.708648681640625
2019-01-11,63.36494827270508
2019-01-14,63.03483200073242
2019-01-15,63.66792678833008
2019-01-16,63.11624526977539
2019-01-17,63.52773666381836
2019-01-18,63.05744934082031
2019-01-22,62.768009185791016
2019-01-23,62.85847473144531
2019-01-24,56.233463287353516
2019-01-25,54.881324768066406
2019-01-28,55.10291290283203
2019-01-29,54.804447174072266
2019-01-30,55.45112609863281
2019-01-31,55.912384033203125
2019-02-01,55.65009307861328
2019-02-04,55.07126235961914
2019-02-05,56.43243408203125
2019-02-06,55.6953239440918
2019-02-07,56.45957565307617
2019-02-08,57.291648864746094
2019-02-11,57.65343475341797
2019-02-12,58.22322463989258
2019-02-13,58.15087127685547
2019-02-14,57.61273193359375
2019-02-15,58.096595764160156
2019-02-19,58.64830780029297
2019-02-20,58.97843551635742
2019-02-21,60.48884201049805
2019-02-22,61.38423156738281
2019-02-25,60.339595794677734
2019-02-26,60.16324234008789
2019-02-27,60.93653869628906
2019-02-28,61.492759704589844
2019-03-01,61.82289123535156
2019-03-04,61.26212692260742
2019-03-05,61.42494201660156
2019-03-06,61.714351654052734
2019-03-07,61.334495544433594
2019-03-08,61.976654052734375
2019-03-11,62.8946533203125
2019-03-12,62.587127685546875
2019-03-13,62.94890213012695
2019-03-14,63.066505432128906
2019-03-15,63.30616760253906
2019-03-18,63.63177490234375
2019-03-19,63.446346282958984
2019-03-20,63.03483200073242
2019-03-21,64.7939682006836
2019-03-22,64.38246154785156
2019-03-25,65.08789825439453
2019-03-26,65.73458862304688
2019-03-27,66.65260314941406
2019-03-28,67.24500274658203
2019-03-29,68.1177978515625
2019-04-01,67.99117279052734
2019-04-02,68.28962707519531
2019-04-03,68.38005828857422
2019-04-04,68.7373275756836
2019-04-05,68.94612121582031
2019-04-08,69.57707214355469
2019-04-09,69.58615112304688
2019-04-10,70.16265106201172
2019-04-11,69.92206573486328
2019-04-12,69.84034729003906
2019-04-15,70.34873962402344
2019-04-16,69.54076385498047
2019-04-17,69.2048568725586
2019-04-18,70.07640075683594
2019-04-22,69.30020904541016
2019-04-23,68.66925811767578
2019-04-24,68.69192504882812
2019-04-25,68.52852630615234
2019-04-26,69.37735748291016
2019-04-29,69.61793518066406
2019-04-30,69.89029693603516
2019-05-01,69.2184829711914
2019-05-02,69.37281799316406
2019-05-03,69.06867980957031
2019-05-06,69.50898742675781
2019-05-07,69.4908218383789
2019-05-08,70.01737976074219
2019-05-09,70.3260498046875
2019-05-10,71.11588287353516
2019-05-13,69.90845489501953
2019-05-14,70.14448547363281
2019-05-15,70.36236572265625
2019-05-16,70.73912048339844
2019-05-17,70.38505554199219
2019-05-20,70.3215103149414
2019-05-21,69.78133392333984
2019-05-22,70.63016510009766
2019-05-23,70.93431091308594
2019-05-24,70.4440689086914
2019-05-28,69.39550018310547
2019-05-29,69.45450592041016
2019-05-30,70.47127532958984
2019-05-31,70.82990264892578
2019-06-03,71.31106567382812
2019-06-04,69.50444030761719
2019-06-05,70.99784851074219
2019-06-06,71.59249114990234
2019-06-07,71.62879180908203
2019-06-10,71.23845672607422
2019-06-11,71.16580963134766
2019-06-12,71.31558227539062
2019-06-13,71.19757843017578
2019-06-14,71.08409881591797
2019-06-17,70.57569122314453
2019-06-18,69.74048614501953
2019-06-19,70.6982650756836
2019-06-20,70.79814910888672
2019-06-21,70.09000396728516
2019-06-24,69.97198486328125
2019-06-25,69.4908218383789
2019-06-26,68.37419128417969
2019-06-27,70.75274658203125
2019-06-28,70.36236572265625
2019-07-01,70.67556762695312
2019-07-02,71.7195816040039
2019-07-03,73.69869995117188
2019-07-05,73.53925323486328
2019-07-08,72.74666595458984
2019-07-09,72.00416564941406
2019-07-10,71.72173309326172
2019-07-11,71.51673889160156
2019-07-12,72.2045669555664
2019-07-15,72.82864379882812
2019-07-16,72.7557601928711
2019-07-17,72.91063690185547
2019-07-18,72.96529388427734
2019-07-19,72.31390380859375
2019-07-22,72.36400604248047
2019-07-23,72.21369171142578
2019-07-24,72.35033416748047
2019-07-25,73.15205383300781
2019-07-26,74.05399322509766
2019-07-29,74.01299285888672
2019-07-30,73.49824523925781
2019-07-31,72.21822357177734
2019-08-01,71.72173309326172
2019-08-02,72.50979614257812
2019-08-05,70.48727416992188
2019-08-06,70.83802032470703
2019-08-07,72.72840881347656
2019-08-08,73.89454650878906
2019-08-09,74.47761535644531
2019-08-12,75.20645141601562
2019-08-13,76.13115692138672
2019-08-14,75.91251373291016
2019-08-15,76.98299407958984
2019-08-16,77.41117095947266
2019-08-19,76.78254699707031
2019-08-20,73.44357299804688
2019-08-21,73.3433837890625
2019-08-22,73.96744537353516
2019-08-23,73.24771881103516
2019-08-26,73.60758209228516
2019-08-27,74.26354217529297
2019-08-28,74.6416015625
2019-08-29,74.30908966064453
2019-08-30,74.19064331054688
2019-09-03,74.75550079345703
2019-09-04,75.23833465576172
2019-09-05,74.59150695800781
2019-09-06,75.15180969238281
2019-09-09,73.42992401123047
2019-09-10,71.06121063232422
2019-09-11,71.71261596679688
2019-09-12,71.88571166992188
2019-09-13,71.57140350341797
2019-09-16,72.09978485107422
2019-09-17,72.4186782836914
2019-09-18,72.54166412353516
2019-09-19,72.89698028564453
2019-09-20,72.94708251953125
2019-09-23,72.79676818847656
2019-09-24,72.81041717529297
2019-09-25,73.13383483886719
2019-09-26,73.15662384033203
2019-09-27,71.42562103271484
2019-09-30,71.19788360595703
2019-10-01,76.04916381835938
2019-10-02,75.04248809814453
2019-10-03,76.23138427734375
2019-10-04,77.22782135009766
2019-10-07,76.88956451416016
2019-10-08,76.16740417480469
2019-10-09,76.05769348144531
2019-10-10,75.73316955566406
2019-10-11,75.3080825805664
2019-10-14,74.50819396972656
2019-10-15,73.58946228027344
2019-10-16,73.32892608642578
2019-10-17,74.0922622680664
2019-10-18,73.85914611816406
2019-10-21,74.2202377319336
2019-10-22,73.3609390258789
2019-10-23,73.34265899658203
2019-10-24,73.13238525390625
2019-10-25,72.84899139404297
2019-10-28,73.23294830322266
2019-10-29,74.238525390625
2019-10-30,74.53103637695312
2019-10-31,73.44776916503906
2019-11-01,73.42036437988281
2019-11-04,72.42849731445312
2019-11-05,72.68446350097656
2019-11-06,72.82157897949219
2019-11-07,73.32892608642578
2019-11-08,72.99067687988281
2019-11-11,73.3335189819336
2019-11-12,73.64433288574219
2019-11-13,74.80530548095703
2019-11-14,74.55389404296875
2019-11-15,74.2202377319336
2019-11-18,75.63260650634766
2019-11-19,75.85658264160156
2019-11-20,76.76615905761719
2019-11-21,76.07140350341797
2019-11-22,76.29080200195312
2019-11-25,76.15824890136719
2019-11-26,77.21409606933594
2019-11-27,77.44263458251953
2019-11-29,77.36035919189453
2019-12-02,77.3420639038086
2019-12-03,78.08711242675781
2019-12-04,78.32937622070312
2019-12-05,78.69959259033203
2019-12-06,78.6127700805664
2019-12-09,78.95555114746094
2019-12-10,78.32479858398438
2019-12-11,78.00025177001953
2019-12-12,76.08512878417969
2019-12-13,76.56047058105469
2019-12-16,76.6153335571289
2019-12-17,76.34565734863281
2019-12-18,76.5467758178711
2019-12-19,76.93070220947266
2019-12-20,76.90328979492188
2019-12-23,76.44620513916016
2019-12-24,76.90328979492188
2019-12-26,77.52948760986328
2019-12-27,78.54875183105469
2019-12-30,78.1588363647461
2019-12-31,77.86067199707031
2020-01-02,76.85145568847656
2020-01-03,78.0762710571289
2020-01-06,78.544189453125
2020-01-07,77.19551849365234
2020-01-08,76.78263854980469
2020-01-09,74.42475128173828
2020-01-10,75.3376235961914
2020-01-13,75.82846069335938
2020-01-14,76.55787658691406
2020-01-15,76.88814544677734
2020-01-16,76.67713165283203
2020-01-17,77.37899780273438
2020-01-21,78.51207733154297
2020-01-22,79.14511108398438
2020-01-23,79.25519561767578
2020-01-24,79.20933532714844
2020-01-27,79.22769927978516
2020-01-28,76.1771240234375
2020-01-29,76.7964096069336
2020-01-30,75.92479705810547
2020-01-31,74.94313049316406
2020-02-03,74.84678649902344
2020-02-04,73.71831512451172
