,DFS
2020-06-08,55.40689468383789
2020-06-09,53.20109939575195
2020-06-10,49.68449020385742
2020-06-11,44.667232513427734
2020-06-12,47.903587341308594
2020-06-15,49.31385040283203
2020-06-16,50.55234146118164
2020-06-17,49.79297637939453
2020-06-18,48.662960052490234
2020-06-19,48.57255554199219
2020-06-22,48.8347282409668
2020-06-23,49.594093322753906
2020-06-24,45.93284606933594
2020-06-25,47.062862396240234
2020-06-26,43.998260498046875
2020-06-29,44.58586883544922
2020-06-30,45.281959533691406
2020-07-01,43.591453552246094
2020-07-02,44.16097640991211
2020-07-06,45.752037048339844
2020-07-07,43.52818298339844
2020-07-08,44.007301330566406
2020-07-09,41.99135208129883
2020-07-10,43.7360954284668
2020-07-13,43.5552978515625
2020-07-14,42.95864486694336
2020-07-15,45.51699447631836
2020-07-16,45.4627571105957
2020-07-17,44.28754425048828
2020-07-20,42.93152618408203
2020-07-21,44.305625915527344
2020-07-22,45.83340835571289
2020-07-23,46.674137115478516
2020-07-24,45.94187545776367
2020-07-27,46.79166030883789
2020-07-28,45.3000373840332
2020-07-29,46.85493469238281
2020-07-30,45.57123947143555
2020-07-31,44.6853141784668
2020-08-03,44.74859619140625
2020-08-04,44.04345703125
2020-08-05,45.607398986816406
2020-08-06,45.3000373840332
2020-08-07,46.45718002319336
2020-08-10,48.60871887207031
2020-08-11,50.40769958496094
2020-08-12,49.259613037109375
2020-08-13,48.30136489868164
2020-08-14,49.08784484863281
2020-08-17,47.5419807434082
2020-08-18,46.05036163330078
2020-08-19,46.33305740356445
2020-08-20,45.53971481323242
2020-08-21,45.20231246948242
2020-08-24,47.773834228515625
2020-08-25,47.618812561035156
2020-08-26,46.98960876464844
2020-08-27,48.9775276184082
2020-08-28,49.469947814941406
2020-08-31,48.40304183959961
2020-09-01,48.302730560302734
2020-09-02,48.950172424316406
2020-09-03,50.53685760498047
2020-09-04,52.087066650390625
2020-09-08,50.254173278808594
2020-09-09,50.19034194946289
2020-09-10,49.305809020996094
2020-09-11,49.916770935058594
2020-09-14,52.88042068481445
2020-09-15,52.02323532104492
2020-09-16,54.002037048339844
2020-09-17,54.29383850097656
2020-09-18,53.82877731323242
2020-09-21,50.1721076965332
2020-09-22,49.716156005859375
2020-09-23,48.539833068847656
2020-09-24,48.4577522277832
2020-09-25,49.36052322387695
2020-09-28,51.4852294921875
2020-09-29,50.73747634887695
2020-09-30,52.68891143798828
2020-10-01,53.719356536865234
2020-10-02,55.55223083496094
2020-10-05,57.60398483276367
2020-10-06,55.71638107299805
2020-10-07,58.10552978515625
2020-10-08,59.64662551879883
2020-10-09,59.17243957519531
2020-10-12,58.93535232543945
2020-10-13,58.479408264160156
2020-10-14,58.66179275512695
2020-10-15,58.89887237548828
2020-10-16,59.71045684814453
2020-10-19,57.959632873535156
2020-10-20,57.448974609375
2020-10-21,55.260433197021484
2020-10-22,60.33053970336914
2020-10-23,62.008419036865234
2020-10-26,60.07521438598633
2020-10-27,59.50983428955078
2020-10-28,57.020389556884766
2020-10-29,58.36997985839844
2020-10-30,59.2818717956543
2020-11-02,61.288021087646484
2020-11-03,63.24858093261719
2020-11-04,61.889862060546875
2020-11-05,62.464359283447266
2020-11-06,61.92635726928711
2020-11-09,69.4767837524414
2020-11-10,69.61356353759766
2020-11-11,67.70771789550781
2020-11-12,66.92349243164062
2020-11-13,69.85977935791016
2020-11-16,70.91755676269531
2020-11-17,70.30661010742188
2020-11-18,69.77466583251953
2020-11-19,70.39830780029297
2020-11-20,68.60074615478516
2020-11-23,71.64559173583984
2020-11-24,74.8371810913086
2020-11-25,72.71864318847656
2020-11-27,72.33343505859375
2020-11-30,69.85721588134766
2020-12-01,73.50735473632812
2020-12-02,74.91971588134766
2020-12-03,74.14017486572266
2020-12-04,75.84600830078125
2020-12-07,75.61674499511719
2020-12-08,75.15817260742188
2020-12-09,76.29541015625
2020-12-10,77.18501281738281
2020-12-11,76.54302978515625
2020-12-14,75.78181457519531
