,ESS
2014-12-18,152.23233032226562
2014-12-19,152.16650390625
2014-12-22,155.60223388671875
2014-12-23,155.39756774902344
2014-12-24,154.0378875732422
2014-12-26,154.63003540039062
2014-12-29,154.60806274414062
2014-12-30,154.43894958496094
2014-12-31,151.96014404296875
2015-01-02,154.71841430664062
2015-01-05,155.33624267578125
2015-01-06,157.57228088378906
2015-01-07,159.947998046875
2015-01-08,160.97775268554688
2015-01-09,162.27224731445312
2015-01-12,163.31674194335938
2015-01-13,163.61093139648438
2015-01-14,165.81753540039062
2015-01-15,167.16354370117188
2015-01-16,167.82553100585938
2015-01-20,166.3103790283203
2015-01-21,166.10438537597656
2015-01-22,168.30364990234375
2015-01-23,167.59750366210938
2015-01-26,169.2523956298828
2015-01-27,168.64930725097656
2015-01-28,167.19297790527344
2015-01-29,168.81854248046875
2015-01-30,166.2662353515625
2015-02-02,166.5089111328125
2015-02-03,167.98731994628906
2015-02-04,167.81817626953125
2015-02-05,169.52456665039062
2015-02-06,164.53768920898438
2015-02-09,163.38294982910156
2015-02-10,164.9790496826172
2015-02-11,164.6112518310547
2015-02-12,167.693115234375
2015-02-13,166.7369384765625
2015-02-17,166.38388061523438
2015-02-18,167.6710662841797
2015-02-19,164.4273681640625
2015-02-20,166.64132690429688
2015-02-23,168.0535125732422
2015-02-24,164.1478729248047
2015-02-25,163.56678771972656
2015-02-26,162.06629943847656
2015-02-27,163.60357666015625
2015-03-02,165.61155700683594
2015-03-03,164.39060974121094
2015-03-04,162.7283477783203
2015-03-05,166.36917114257812
2015-03-06,161.34548950195312
2015-03-09,163.412353515625
2015-03-10,164.39060974121094
2015-03-11,164.44940185546875
2015-03-12,168.26683044433594
2015-03-13,168.07559204101562
2015-03-16,172.5623321533203
2015-03-17,171.12071228027344
2015-03-18,174.11428833007812
2015-03-19,172.73147583007812
2015-03-20,176.93133544921875
2015-03-23,176.41650390625
2015-03-24,174.87925720214844
2015-03-25,171.4738006591797
2015-03-26,171.6208038330078
2015-03-27,171.97608947753906
2015-03-30,173.24903869628906
2015-03-31,170.1480255126953
2015-04-01,168.090576171875
2015-04-02,169.59295654296875
2015-04-06,170.9103546142578
2015-04-07,168.1349639892578
2015-04-08,168.85292053222656
2015-04-09,164.2198944091797
2015-04-10,164.44189453125
2015-04-13,164.1976776123047
2015-04-14,165.0561981201172
2015-04-15,163.990478515625
2015-04-16,165.27081298828125
2015-04-17,164.64175415039062
2015-04-20,165.1375732421875
2015-04-21,166.6326141357422
2015-04-22,167.83897399902344
2015-04-23,168.5568084716797
2015-04-24,168.0092010498047
2015-04-27,168.76405334472656
2015-04-28,169.85198974609375
2015-04-29,166.3883819580078
2015-04-30,164.26426696777344
2015-05-01,166.24774169921875
2015-05-04,167.15806579589844
2015-05-05,162.3178253173828
2015-05-06,162.717529296875
2015-05-07,165.9220733642578
2015-05-08,168.32742309570312
2015-05-11,163.709228515625
