,UHS
2014-09-17,107.04273986816406
2014-09-18,107.89586639404297
2014-09-19,109.20907592773438
2014-09-22,108.499755859375
2014-09-23,108.11632537841797
2014-09-24,110.08138275146484
2014-09-25,107.1002426147461
2014-09-26,104.51215362548828
2014-09-29,105.01060485839844
2014-09-30,100.16986083984375
2014-10-01,99.31674194335938
2014-10-02,101.36808013916016
2014-10-03,102.94967651367188
2014-10-06,101.09965515136719
2014-10-07,101.33930206298828
2014-10-08,103.68780517578125
2014-10-09,99.99730682373047
2014-10-10,99.5563735961914
2014-10-13,97.90763092041016
2014-10-14,98.66490936279297
2014-10-15,96.10553741455078
2014-10-16,98.9620590209961
2014-10-17,99.0291519165039
2014-10-20,100.56285095214844
2014-10-21,102.52792358398438
2014-10-22,100.93669128417969
2014-10-23,102.16368865966797
2014-10-24,104.09037017822266
2014-10-27,103.92743682861328
2014-10-28,102.99760437011719
2014-10-29,100.3807601928711
2014-10-30,98.40608978271484
2014-10-31,99.41259765625
2014-11-03,99.15377807617188
2014-11-04,97.86930084228516
2014-11-05,94.61019897460938
2014-11-06,96.09595489501953
2014-11-07,93.8720703125
2014-11-10,93.7570571899414
2014-11-11,94.72520446777344
2014-11-12,94.95526123046875
2014-11-13,94.71561431884766
2014-11-14,93.8720703125
2014-11-17,96.74779510498047
2014-11-18,99.21128845214844
2014-11-19,97.97474670410156
2014-11-20,98.78952026367188
2014-11-21,99.25920104980469
2014-11-24,99.46050262451172
2014-11-25,100.39031982421875
2014-11-26,99.69055938720703
2014-11-28,100.38140869140625
2014-12-01,99.67138671875
2014-12-02,100.11276245117188
2014-12-03,101.57117462158203
2014-12-04,102.58821868896484
2014-12-05,103.1447525024414
2014-12-08,103.89311218261719
2014-12-09,102.95281982421875
2014-12-10,102.09886932373047
2014-12-11,103.76838684082031
2014-12-12,102.3196029663086
2014-12-15,102.13728332519531
2014-12-16,100.14155578613281
2014-12-17,101.3216781616211
2014-12-18,105.22681427001953
2014-12-19,105.418701171875
2014-12-22,106.17671966552734
2014-12-23,106.3877944946289
2014-12-24,107.33765411376953
2014-12-26,107.76945495605469
2014-12-29,107.10739135742188
2014-12-30,106.99225616455078
2014-12-31,106.75238800048828
2015-01-02,106.47413635253906
2015-01-05,104.29611206054688
2015-01-06,104.33447265625
2015-01-07,107.45281982421875
2015-01-08,108.55622100830078
2015-01-09,108.27796936035156
2015-01-12,101.9357681274414
2015-01-13,101.94536590576172
2015-01-14,100.08396911621094
2015-01-15,101.3792724609375
2015-01-16,103.83554077148438
2015-01-20,102.78971862792969
2015-01-21,103.90270233154297
2015-01-22,105.89846801757812
2015-01-23,102.19485473632812
2015-01-26,103.47093963623047
2015-01-27,102.51145935058594
2015-01-28,101.39847564697266
2015-01-29,101.16820526123047
2015-01-30,98.37609100341797
2015-02-02,98.96134948730469
2015-02-03,100.61168670654297
2015-02-04,100.96669006347656
