,ADI
2018-09-13,82.18689727783203
2018-09-14,82.30254364013672
2018-09-17,81.21739196777344
2018-09-18,81.70658874511719
2018-09-19,82.34701538085938
2018-09-20,84.58845520019531
2018-09-21,84.108154296875
2018-09-24,84.49952697753906
2018-09-25,82.3292236328125
2018-09-26,82.11573028564453
2018-09-27,81.9912109375
2018-09-28,82.2402572631836
2018-10-01,82.17798614501953
2018-10-02,82.08905029296875
2018-10-03,81.67991638183594
2018-10-04,80.04328918457031
2018-10-05,77.51720428466797
2018-10-08,76.92124938964844
2018-10-09,77.17029571533203
2018-10-10,74.62641143798828
2018-10-11,74.42182922363281
2018-10-12,74.86658477783203
2018-10-15,74.62641143798828
2018-10-16,76.28083038330078
2018-10-17,75.82720947265625
2018-10-18,73.97710418701172
2018-10-19,73.23883819580078
2018-10-22,73.42564392089844
2018-10-23,73.51457977294922
2018-10-24,69.21845245361328
2018-10-25,70.33918762207031
2018-10-26,70.2947006225586
2018-10-29,71.52217102050781
2018-10-30,73.64800262451172
2018-10-31,74.4574203491211
2018-11-01,78.27326965332031
2018-11-02,77.54388427734375
2018-11-05,76.83230590820312
2018-11-06,78.23766326904297
2018-11-07,78.54896545410156
2018-11-08,79.98992919921875
2018-11-09,77.9085693359375
2018-11-12,74.89325714111328
2018-11-13,75.87167358398438
2018-11-14,76.60993194580078
2018-11-15,79.89208221435547
2018-11-16,79.58966064453125
2018-11-19,76.06735229492188
2018-11-20,79.18049621582031
2018-11-21,79.76753997802734
2018-11-23,78.84248352050781
2018-11-26,80.11443328857422
2018-11-27,79.67860412597656
2018-11-28,81.12730407714844
2018-11-29,80.05419158935547
2018-11-30,82.2004165649414
2018-12-03,83.62230682373047
2018-12-04,80.87692260742188
2018-12-06,80.06314849853516
2018-12-07,77.281982421875
2018-12-10,79.12417602539062
2018-12-11,79.26725769042969
2018-12-12,79.66072845458984
2018-12-13,79.10626983642578
2018-12-14,78.04209899902344
2018-12-17,78.077880859375
2018-12-18,78.7396240234375
2018-12-19,74.84064483642578
2018-12-20,73.9911117553711
2018-12-21,73.61550903320312
2018-12-24,71.9164047241211
2018-12-26,75.42191314697266
2018-12-27,76.33405303955078
2018-12-28,76.42349243164062
2018-12-31,76.75435638427734
2019-01-02,76.83485412597656
2019-01-03,72.19365692138672
2019-01-04,73.94640350341797
2019-01-07,74.41140747070312
2019-01-08,76.22675323486328
2019-01-09,78.15837097167969
2019-01-10,79.24040985107422
2019-01-11,80.53710174560547
2019-01-14,78.24778747558594
2019-01-15,78.34615325927734
2019-01-16,77.80064392089844
2019-01-17,79.41927337646484
2019-01-18,81.69961547851562
2019-01-22,79.70542907714844
2019-01-23,79.46398162841797
2019-01-24,84.73117065429688
2019-01-25,87.34241485595703
2019-01-28,87.04731750488281
