,JNJ
2020-10-19,128.15269470214844
2020-10-20,128.35693359375
2020-10-21,127.80641174316406
2020-10-22,128.8275604248047
2020-10-23,128.96966552734375
2020-10-26,127.84188842773438
2020-10-27,127.11378479003906
2020-10-28,122.86035919189453
2020-10-29,121.82142639160156
2020-10-30,121.75037384033203
2020-11-02,123.15338897705078
2020-11-03,122.9847183227539
2020-11-04,123.7838363647461
2020-11-05,124.10350799560547
2020-11-06,126.31458282470703
2020-11-09,129.7155303955078
2020-11-10,131.6690673828125
2020-11-11,131.24285888671875
2020-11-12,131.68687438964844
2020-11-13,133.10757446289062
2020-11-16,133.95120239257812
2020-11-17,132.6192169189453
2020-11-18,130.86097717285156
2020-11-19,130.65676879882812
2020-11-20,129.9641876220703
2020-11-23,128.6408233642578
2020-11-24,128.6408233642578
2020-11-25,128.470947265625
2020-11-27,128.75704956054688
2020-11-30,129.36509704589844
2020-12-01,131.8418731689453
2020-12-02,132.45884704589844
2020-12-03,133.22779846191406
2020-12-04,134.36337280273438
2020-12-07,133.2010040283203
2020-12-08,135.5078887939453
2020-12-09,136.89381408691406
2020-12-10,136.13377380371094
2020-12-11,136.7596435546875
2020-12-14,133.29042053222656
2020-12-15,134.63162231445312
2020-12-16,133.826904296875
2020-12-17,137.35874938964844
2020-12-18,138.154541015625
2020-12-21,136.82229614257812
2020-12-22,136.5540313720703
2020-12-23,135.8566131591797
2020-12-24,136.3305206298828
2020-12-28,136.97427368164062
2020-12-29,137.82371520996094
2020-12-30,139.53152465820312
2020-12-31,140.72076416015625
2021-01-04,139.93392944335938
2021-01-05,141.57913208007812
2021-01-06,142.9114227294922
2021-01-07,143.39422607421875
2021-01-08,143.09918212890625
2021-01-11,142.5000762939453
2021-01-12,141.39137268066406
2021-01-13,141.1767578125
2021-01-14,143.64462280273438
2021-01-15,143.33164978027344
2021-01-19,145.5491485595703
2021-01-20,145.1914520263672
2021-01-21,144.6103057861328
2021-01-22,146.23764038085938
2021-01-25,148.41038513183594
2021-01-26,152.43406677246094
2021-01-27,150.1092987060547
2021-01-28,151.25379943847656
2021-01-29,145.862060546875
