,COO
2019-03-01,72.61197662353516
2019-03-04,71.90751647949219
2019-03-05,72.49956512451172
2019-03-06,70.63597869873047
2019-03-07,72.04240417480469
2019-03-08,71.96996307373047
2019-03-11,72.14732360839844
2019-03-12,73.19153594970703
2019-03-13,72.97168731689453
2019-03-14,73.64619445800781
2019-03-15,73.75110626220703
2019-03-18,73.2389907836914
2019-03-19,73.5887222290039
2019-03-20,72.74687194824219
2019-03-21,74.25572967529297
2019-03-22,72.88426208496094
2019-03-25,73.02166748046875
2019-03-26,73.4713134765625
2019-03-27,73.15654754638672
2019-03-28,73.68614959716797
2019-03-29,73.98592376708984
2019-04-01,73.89848327636719
2019-04-02,74.34065246582031
2019-04-03,74.21074676513672
2019-04-04,72.626953125
2019-04-05,72.3047103881836
2019-04-08,72.45209503173828
2019-04-09,72.30970764160156
2019-04-10,72.86426544189453
2019-04-11,72.91426086425781
2019-04-12,73.17903900146484
2019-04-15,73.8485336303711
2019-04-16,72.1897964477539
2019-04-17,69.76914978027344
2019-04-18,70.25128173828125
2019-04-22,71.02318572998047
2019-04-23,71.6302261352539
2019-04-24,70.56103515625
2019-04-25,70.32122039794922
2019-04-26,72.01992797851562
2019-04-29,71.41790008544922
2019-04-30,72.42462158203125
2019-05-01,71.79509735107422
2019-05-02,72.64694213867188
2019-05-03,73.42135620117188
2019-05-06,73.63369750976562
2019-05-07,72.25225830078125
2019-05-08,72.67692565917969
2019-05-09,72.79933166503906
2019-05-10,72.89176177978516
2019-05-13,71.6427230834961
2019-05-14,71.89501953125
2019-05-15,72.63445281982422
2019-05-16,72.85926818847656
2019-05-17,73.12659454345703
2019-05-20,72.31470489501953
2019-05-21,73.07161712646484
2019-05-22,73.32893371582031
2019-05-23,72.9267349243164
2019-05-24,72.74937438964844
2019-05-28,71.59024047851562
2019-05-29,71.18556213378906
2019-05-30,71.55529022216797
2019-05-31,74.39060974121094
2019-06-03,75.38236236572266
2019-06-04,77.59317016601562
2019-06-05,78.00784301757812
2019-06-06,79.92388153076172
2019-06-07,80.42601013183594
2019-06-10,80.59086608886719
2019-06-11,80.9605941772461
2019-06-12,81.96731567382812
2019-06-13,81.07798767089844
2019-06-14,80.71327209472656
2019-06-17,81.06050872802734
2019-06-18,80.98556518554688
2019-06-19,82.81417846679688
2019-06-20,81.79743957519531
2019-06-21,82.15467071533203
2019-06-24,82.17216491699219
2019-06-25,82.43196868896484
2019-06-26,82.04476928710938
2019-06-27,82.82916259765625
2019-06-28,84.15815734863281
2019-07-01,84.93504333496094
2019-07-02,83.13394165039062
2019-07-03,83.7509536743164
2019-07-05,83.11895751953125
2019-07-08,82.55936431884766
2019-07-09,83.16639709472656
2019-07-10,82.67927551269531
2019-07-11,83.44869232177734
2019-07-12,82.6717758178711
2019-07-15,82.92160034179688
2019-07-16,81.98480224609375
2019-07-17,82.77670288085938
2019-07-18,82.91410064697266
2019-07-19,82.8166732788086
2019-07-22,83.18391418457031
2019-07-23,83.6935806274414
2019-07-24,84.09831237792969
2019-07-25,84.36812591552734
2019-07-26,84.43807220458984
2019-07-29,85.31497955322266
2019-07-30,85.21505737304688
2019-07-31,84.29316711425781
2019-08-01,84.44056701660156
2019-08-02,83.65860748291016
2019-08-05,81.36514282226562
2019-08-06,82.13213348388672
2019-08-07,82.59931945800781
2019-08-08,83.47872161865234
2019-08-09,84.1607666015625
2019-08-12,83.20641326904297
2019-08-13,84.98770141601562
2019-08-14,83.12895965576172
2019-08-15,83.93341064453125
2019-08-16,83.78851318359375
2019-08-19,83.78851318359375
2019-08-20,83.02653503417969
2019-08-21,83.09647369384766
2019-08-22,82.39945983886719
2019-08-23,80.36331939697266
2019-08-26,81.00537872314453
2019-08-27,81.54254150390625
2019-08-28,80.18844604492188
2019-08-29,82.0921630859375
2019-08-30,77.38533782958984
2019-09-03,74.83455657958984
2019-09-04,75.25676727294922
2019-09-05,76.88066864013672
2019-09-06,75.65900421142578
2019-09-09,74.36986541748047
2019-09-10,74.1725082397461
2019-09-11,74.74211883544922
2019-09-12,76.19862365722656
2019-09-13,75.32671356201172
2019-09-16,75.7214584350586
2019-09-17,76.3360366821289
2019-09-18,75.72396087646484
2019-09-19,75.26176452636719
2019-09-20,75.52908325195312
2019-09-23,75.49659729003906
2019-09-24,74.68465423583984
2019-09-25,74.26992797851562
2019-09-26,74.66967010498047
2019-09-27,73.512939453125
2019-09-30,74.1999740600586
2019-10-01,73.1606674194336
2019-10-02,72.18383026123047
2019-10-03,73.38803100585938
2019-10-04,74.1675033569336
2019-10-07,73.43550109863281
2019-10-08,71.46932220458984
2019-10-09,72.19633483886719
2019-10-10,72.65351867675781
2019-10-11,73.42300415039062
2019-10-14,73.07823181152344
2019-10-15,73.73779296875
2019-10-16,72.83340454101562
2019-10-17,73.0132827758789
2019-10-18,71.90402221679688
2019-10-21,71.7865982055664
2019-10-22,70.24764251708984
2019-10-23,70.50247192382812
2019-10-24,70.63237762451172
2019-10-25,70.39005279541016
2019-10-28,70.9571533203125
2019-10-29,72.62603759765625
2019-10-30,72.97579956054688
2019-10-31,72.70098876953125
2019-11-01,72.90835571289062
2019-11-04,72.48613739013672
2019-11-05,72.68600463867188
2019-11-06,72.82341003417969
2019-11-07,73.63786315917969
2019-11-08,72.80091857910156
2019-11-11,73.18315887451172
2019-11-12,73.58289337158203
2019-11-13,74.14250946044922
2019-11-14,74.84955596923828
2019-11-15,75.44413757324219
2019-11-18,76.37100982666016
2019-11-19,77.2154541015625
2019-11-20,76.06621551513672
2019-11-21,76.57087707519531
2019-11-22,76.90065002441406
2019-11-25,78.05237579345703
2019-11-26,78.24224853515625
2019-11-27,79.18911743164062
2019-11-29,78.21976470947266
2019-12-02,77.89248657226562
2019-12-03,77.80256652832031
2019-12-04,77.96992492675781
2019-12-05,78.16230010986328
2019-12-06,76.74576568603516
2019-12-09,75.51409149169922
2019-12-10,76.08370208740234
2019-12-11,76.61833953857422
2019-12-12,78.58452606201172
2019-12-13,79.17662811279297
2019-12-16,79.68878936767578
2019-12-17,79.51388549804688
2019-12-18,79.9061279296875
2019-12-19,79.8636703491211
2019-12-20,79.71875762939453
2019-12-23,80.1135025024414
2019-12-24,80.458251953125
2019-12-26,79.9486083984375
2019-12-27,80.22341918945312
2019-12-30,79.80870056152344
2019-12-31,80.26839447021484
2020-01-02,80.77555084228516
2020-01-03,80.52071380615234
2020-01-06,80.73808288574219
2020-01-07,80.95792388916016
2020-01-08,81.85730743408203
2020-01-09,83.25636291503906
2020-01-10,83.3563003540039
2020-01-13,83.33131408691406
2020-01-14,83.96090698242188
2020-01-15,85.90457916259766
2020-01-16,87.20622253417969
2020-01-17,88.76766204833984
2020-01-21,89.57962036132812
2020-01-22,89.94189453125
2020-01-23,89.19734191894531
2020-01-24,88.03801727294922
2020-01-27,88.50025177001953
2020-01-28,88.70763397216797
2020-01-29,88.52774047851562
2020-01-30,88.29786682128906
2020-01-31,86.67132568359375
2020-02-03,86.50891876220703
2020-02-04,87.48584747314453
2020-02-05,88.34034729003906
2020-02-06,88.20291900634766
2020-02-07,86.99864196777344
