,PCG
2015-11-30,49.39955520629883
2015-12-01,49.586910247802734
2015-12-02,48.9217643737793
2015-12-03,48.537662506103516
2015-12-04,49.764923095703125
2015-12-07,49.783653259277344
2015-12-08,49.39017868041992
2015-12-09,49.249656677246094
2015-12-10,48.38776779174805
2015-12-11,48.4439697265625
2015-12-14,48.97797393798828
2015-12-15,49.37144088745117
2015-12-16,50.8048095703125
2015-12-17,50.44880294799805
2015-12-18,49.75555419921875
2015-12-21,49.708709716796875
2015-12-22,49.84923553466797
2015-12-23,50.66428756713867
2015-12-24,50.53312301635742
2015-12-28,50.57060241699219
2015-12-29,50.839866638183594
2015-12-30,50.94379806518555
2015-12-31,50.254093170166016
2016-01-04,50.017887115478516
2016-01-05,50.09347152709961
2016-01-06,49.810028076171875
2016-01-07,49.564388275146484
2016-01-08,49.18647003173828
2016-01-11,49.34708023071289
2016-01-12,49.65886688232422
2016-01-13,49.403770446777344
2016-01-14,50.46194076538086
2016-01-15,49.573829650878906
2016-01-19,50.05568313598633
2016-01-20,48.45896911621094
2016-01-21,48.63847351074219
2016-01-22,49.469905853271484
2016-01-25,48.76130294799805
2016-01-26,49.26205062866211
2016-01-27,49.81948471069336
2016-01-28,50.792633056640625
2016-01-29,51.87915802001953
2016-02-01,52.39878845214844
2016-02-02,53.54200744628906
2016-02-03,54.288394927978516
2016-02-04,53.22077941894531
2016-02-05,53.135746002197266
2016-02-08,53.19243240356445
2016-02-09,52.83340835571289
2016-02-10,53.069602966308594
2016-02-11,52.1153564453125
2016-02-12,52.1625862121582
2016-02-16,52.67279052734375
2016-02-17,52.72947311401367
2016-02-18,52.90898895263672
2016-02-19,52.805057525634766
2016-02-22,53.362491607666016
2016-02-23,54.06165313720703
2016-02-24,54.288394927978516
2016-02-25,55.11982345581055
2016-02-26,53.31525421142578
2016-02-29,53.59869384765625
2016-03-01,53.107391357421875
2016-03-02,53.12629318237305
2016-03-03,53.182979583740234
2016-03-04,53.381385803222656
2016-03-07,53.35304260253906
2016-03-08,53.7971076965332
2016-03-09,54.11833190917969
2016-03-10,53.89157485961914
2016-03-11,54.156131744384766
2016-03-14,54.363983154296875
2016-03-15,54.30730056762695
2016-03-16,54.85528564453125
2016-03-17,55.743404388427734
2016-03-18,55.49775314331055
2016-03-21,55.34658432006836
2016-03-22,55.337127685546875
2016-03-23,55.705604553222656
2016-03-24,55.60167694091797
2016-03-28,55.28989791870117
2016-03-29,56.36111831665039
2016-03-30,56.59917449951172
2016-03-31,56.86579513549805
2016-04-01,56.97053909301758
2016-04-04,56.675350189208984
2016-04-05,55.4470100402832
2016-04-06,55.8659782409668
2016-04-07,55.94215393066406
2016-04-08,56.46586227416992
2016-04-11,56.084991455078125
2016-04-12,56.380165100097656
2016-04-13,56.018333435058594
2016-04-14,56.03738021850586
2016-04-15,56.44682693481445
2016-04-18,56.70391845703125
2016-04-19,56.73249053955078
2016-04-20,55.60888671875
2016-04-21,53.91395568847656
2016-04-22,54.266273498535156
2016-04-25,54.371009826660156
2016-04-26,54.27579116821289
2016-04-27,54.99946975708008
2016-04-28,54.99946975708008
2016-04-29,55.41844177246094
2016-05-02,55.8659782409668
2016-05-03,56.18972396850586
2016-05-04,56.31351089477539
2016-05-05,56.323036193847656
2016-05-06,56.18021011352539
2016-05-09,56.294471740722656
2016-05-10,56.41825866699219
2016-05-11,56.31351089477539
2016-05-12,56.40874099731445
2016-05-13,56.342079162597656
2016-05-16,56.275428771972656
2016-05-17,54.89472961425781
2016-05-18,54.28532028198242
2016-05-19,54.78998565673828
2016-05-20,54.87569046020508
2016-05-23,54.85663986206055
2016-05-24,55.74219512939453
2016-05-25,55.656494140625
2016-05-26,56.55156707763672
2016-05-27,56.675350189208984
2016-05-31,57.20859146118164
2016-06-01,57.42759704589844
2016-06-02,57.7037353515625
2016-06-03,58.60832977294922
2016-06-06,58.37027359008789
2016-06-07,58.69403839111328
2016-06-08,59.04634475708008
2016-06-09,59.969993591308594
2016-06-10,60.00807571411133
2016-06-13,59.608154296875
2016-06-14,59.969993591308594
2016-06-15,59.370094299316406
2016-06-16,59.94142150878906
2016-06-17,60.00807571411133
2016-06-20,59.579586029052734
2016-06-21,59.63671875
2016-06-22,59.179664611816406
2016-06-23,59.16061019897461
2016-06-24,59.665283203125
2016-06-27,60.15090560913086
2016-06-28,59.88220977783203
2016-06-29,60.0549430847168
2016-06-30,61.340877532958984
