,GPN
2016-10-19,71.57815551757812
2016-10-20,70.8274154663086
2016-10-21,70.14408874511719
2016-10-24,71.27977752685547
2016-10-25,70.51944732666016
2016-10-26,70.89481353759766
2016-10-27,69.74946594238281
2016-10-28,69.8649673461914
2016-10-31,69.79759216308594
2016-11-01,69.05650329589844
2016-11-02,67.97852325439453
2016-11-03,67.83418273925781
2016-11-04,68.1517562866211
2016-11-07,69.12386322021484
2016-11-08,69.91319274902344
2016-11-09,70.08645629882812
2016-11-10,68.27678680419922
2016-11-11,66.89064025878906
2016-11-14,64.07987976074219
2016-11-15,65.50452423095703
2016-11-16,67.3238296508789
2016-11-17,67.15055847167969
2016-11-18,68.06502532958984
2016-11-21,69.29714965820312
2016-11-22,69.03724670410156
2016-11-23,69.39340209960938
2016-11-25,69.39340209960938
2016-11-28,68.86396789550781
2016-11-29,67.94951629638672
2016-11-30,65.98582458496094
2016-12-01,63.93550109863281
2016-12-02,65.5815200805664
2016-12-05,67.12167358398438
2016-12-06,67.28532409667969
2016-12-07,68.21903991699219
2016-12-08,69.0949935913086
2016-12-09,69.4896469116211
2016-12-12,68.5751953125
2016-12-13,69.16236877441406
2016-12-14,68.78697204589844
2016-12-15,67.9880142211914
2016-12-16,67.66073608398438
2016-12-19,68.13239288330078
2016-12-20,68.74845123291016
2016-12-21,68.21903991699219
2016-12-22,67.41044616699219
2016-12-23,67.67035675048828
2016-12-27,68.08428192138672
2016-12-28,67.06392669677734
2016-12-29,67.20830535888672
2016-12-30,66.81364440917969
2017-01-03,67.86285400390625
2017-01-04,70.39448547363281
2017-01-05,70.67362976074219
2017-01-06,71.66510772705078
2017-01-09,76.8053970336914
2017-01-10,74.96681213378906
2017-01-11,75.30372619628906
2017-01-12,74.697265625
2017-01-13,74.83206176757812
2017-01-17,75.120849609375
2017-01-18,75.67913055419922
2017-01-19,76.42034912109375
2017-01-20,76.12191772460938
2017-01-23,75.4577407836914
2017-01-24,76.07381439208984
2017-01-25,75.35186767578125
2017-01-26,73.92721557617188
2017-01-27,74.54326629638672
2017-01-30,74.89942932128906
2017-01-31,74.3892593383789
2017-02-01,74.16785430908203
2017-02-02,73.85020446777344
2017-02-03,75.65987396240234
2017-02-06,75.25559997558594
2017-02-07,75.75611877441406
2017-02-08,76.1219711303711
2017-02-09,75.68875885009766
2017-02-10,75.54435729980469
2017-02-13,75.30364990234375
2017-02-14,76.25674438476562
2017-02-15,76.01607513427734
2017-02-16,74.77418518066406
2017-02-17,75.04373931884766
2017-02-21,75.91020202636719
2017-02-22,75.7657470703125
2017-02-23,75.29405212402344
2017-02-24,76.0257339477539
2017-02-27,76.92102813720703
2017-02-28,76.71888732910156
2017-03-01,76.4878158569336
2017-03-02,75.35179901123047
2017-03-03,77.60456085205078
2017-03-06,77.21949768066406
2017-03-07,77.8741226196289
2017-03-08,77.27721405029297
2017-03-09,76.69963073730469
2017-03-10,76.18936920166016
2017-03-13,76.69963073730469
2017-03-14,76.1219711303711
2017-03-15,75.79467010498047
2017-03-16,76.7284927368164
2017-03-17,77.0461654663086
2017-03-20,76.42041778564453
2017-03-21,75.33255767822266
2017-03-22,76.1219711303711
2017-03-23,75.99681854248047
2017-03-24,75.4962158203125
2017-03-27,75.20740509033203
2017-03-28,75.81392669677734
2017-03-29,75.89092254638672
2017-03-30,77.69120788574219
2017-03-31,77.67193603515625
2017-04-03,76.37226104736328
2017-04-04,75.42880249023438
2017-04-05,74.85118865966797
2017-04-06,75.17852783203125
2017-04-07,75.02446746826172
2017-04-10,74.61052703857422
2017-04-11,74.79341888427734
2017-04-12,74.62013244628906
2017-04-13,74.64900970458984
2017-04-17,75.6502685546875
2017-04-18,76.0545654296875
2017-04-19,76.00646209716797
2017-04-20,77.97041320800781
2017-04-21,77.8452377319336
2017-04-24,78.35546112060547
2017-04-25,78.92347717285156
