,TECH
2018-10-18,44.523399353027344
2018-10-19,43.126338958740234
2018-10-22,43.889244079589844
2018-10-23,44.552547454833984
2018-10-24,42.19820785522461
2018-10-25,43.69487380981445
2018-10-26,43.77262496948242
2018-10-29,43.11661911010742
2018-10-30,40.417274475097656
2018-10-31,40.75012969970703
2018-11-01,41.14617156982422
2018-11-02,41.3599739074707
2018-11-05,41.44259262084961
2018-11-06,41.95038986206055
2018-11-07,43.410606384277344
2018-11-08,42.07676315307617
2018-11-09,41.572933197021484
2018-11-12,39.83746337890625
2018-11-13,39.4212532043457
2018-11-14,39.287391662597656
2018-11-15,39.68656921386719
2018-11-16,39.00017547607422
2018-11-19,37.76369857788086
2018-11-20,38.0484733581543
2018-11-21,38.087425231933594
2018-11-23,38.817626953125
2018-11-26,38.63507080078125
2018-11-27,38.50120162963867
2018-11-28,39.71334457397461
2018-11-29,39.523494720458984
2018-11-30,39.28982162475586
2018-12-03,39.96890640258789
2018-12-04,39.039119720458984
2018-12-06,39.0634651184082
2018-12-07,38.024139404296875
2018-12-10,37.880531311035156
2018-12-11,38.342987060546875
2018-12-12,39.426124572753906
2018-12-13,37.89026641845703
2018-12-14,36.797393798828125
2018-12-17,35.73130416870117
2018-12-18,35.57307815551758
2018-12-19,35.42461395263672
2018-12-20,34.39015197753906
2018-12-21,33.53824996948242
2018-12-24,32.31151580810547
2018-12-26,33.91065216064453
2018-12-27,34.41206359863281
2018-12-28,34.50210952758789
2018-12-31,35.22502899169922
2019-01-02,34.54106521606445
2019-01-03,33.12446212768555
2019-01-04,35.169044494628906
2019-01-07,35.507362365722656
2019-01-08,35.85785675048828
2019-01-09,36.25703811645508
2019-01-10,37.408329010009766
2019-01-11,38.40140151977539
2019-01-14,38.03873825073242
2019-01-15,38.65211486816406
2019-01-16,39.02208709716797
2019-01-17,39.41881561279297
2019-01-18,39.71577835083008
2019-01-22,39.190032958984375
2019-01-23,39.462650299072266
2019-01-24,39.489410400390625
2019-01-25,39.98838424682617
2019-01-28,39.9031982421875
2019-01-29,40.04679870605469
2019-01-30,40.986331939697266
2019-01-31,42.46377182006836
2019-02-01,42.763153076171875
2019-02-04,43.2718620300293
2019-02-05,45.90059280395508
2019-02-06,45.5720100402832
2019-02-07,44.84181213378906
2019-02-08,44.720096588134766
2019-02-11,44.737144470214844
2019-02-12,45.43083572387695
2019-02-13,46.01499938964844
2019-02-14,45.97111129760742
2019-02-15,46.7220573425293
2019-02-19,46.78057861328125
2019-02-20,47.229190826416016
2019-02-21,47.29015350341797
2019-02-22,47.536399841308594
2019-02-25,47.536399841308594
2019-02-26,46.704986572265625
2019-02-27,47.37791442871094
2019-02-28,47.275508880615234
2019-03-01,47.98501968383789
2019-03-04,47.58515548706055
2019-03-05,47.753395080566406
2019-03-06,46.63184356689453
2019-03-07,46.51237487792969
2019-03-08,46.20273971557617
2019-03-11,46.804962158203125
2019-03-12,47.14385986328125
2019-03-13,47.54127883911133
2019-03-14,47.42668151855469
2019-03-15,47.70218276977539
2019-03-18,47.97038269042969
2019-03-19,48.53603744506836
2019-03-20,48.40193176269531
2019-03-21,48.87006378173828
2019-03-22,46.895164489746094
2019-03-25,47.34621810913086
2019-03-26,47.772884368896484
2019-03-27,47.35841751098633
2019-03-28,48.0093879699707
2019-03-29,48.40924072265625
2019-04-01,48.74571228027344
2019-04-02,48.81153869628906
2019-04-03,49.22359848022461
2019-04-04,48.49701690673828
2019-04-05,48.37998962402344
2019-04-08,49.165077209472656
2019-04-09,49.03341293334961
2019-04-10,49.59418487548828
2019-04-11,49.31135940551758
2019-04-12,49.12849807739258
2019-04-15,48.913944244384766
2019-04-16,47.60953903198242
2019-04-17,46.01255798339844
2019-04-18,46.11983871459961
2019-04-22,46.60746383666992
2019-04-23,46.79032516479492
2019-04-24,46.55138397216797
2019-04-25,46.636722564697266
2019-04-26,47.533966064453125
2019-04-29,47.84360885620117
2019-04-30,49.88187789916992
2019-05-01,49.2821044921875
2019-05-02,49.087059020996094
2019-05-03,50.12081527709961
2019-05-06,50.55481719970703
2019-05-07,49.1016845703125
2019-05-08,49.235782623291016
2019-05-09,49.29683303833008
2019-05-10,49.26020050048828
2019-05-13,47.5361442565918
2019-05-14,48.20525360107422
2019-05-15,48.02943420410156
2019-05-16,49.21135711669922
2019-05-17,48.219905853271484
2019-05-20,48.21745300292969
2019-05-21,49.10634994506836
2019-05-22,49.338340759277344
2019-05-23,48.31758117675781
2019-05-24,48.300498962402344
2019-05-28,47.873138427734375
2019-05-29,47.31391906738281
2019-05-30,47.606956481933594
2019-05-31,48.363990783691406
2019-06-03,48.33956527709961
2019-06-04,49.787681579589844
2019-06-05,50.444576263427734
2019-06-06,50.99158477783203
2019-06-07,51.26996994018555
2019-06-10,51.79988098144531
2019-06-11,51.9317512512207
2019-06-12,52.60818862915039
2019-06-13,51.584999084472656
2019-06-14,50.87680435180664
2019-06-17,50.605751037597656
2019-06-18,50.66923904418945
2019-06-19,51.55812072753906
2019-06-20,52.31271743774414
2019-06-21,51.357887268066406
2019-06-24,50.26630783081055
2019-06-25,49.680213928222656
2019-06-26,49.382301330566406
2019-06-27,50.40061950683594
2019-06-28,50.9134407043457
2019-07-01,51.10147476196289
2019-07-02,52.14910125732422
2019-07-03,52.9232177734375
2019-07-05,52.45679473876953
2019-07-08,51.870704650878906
2019-07-09,51.887813568115234
2019-07-10,52.0147705078125
2019-07-11,50.9085578918457
2019-07-12,51.11368179321289
2019-07-15,51.4189338684082
2019-07-16,51.350563049316406
2019-07-17,51.28950881958008
2019-07-18,52.361549377441406
2019-07-19,51.15275192260742
2019-07-22,50.9793701171875
2019-07-23,50.79867172241211
2019-07-24,51.03797149658203
2019-07-25,51.25532150268555
2019-07-26,52.40795135498047
2019-07-29,52.51784133911133
2019-07-30,51.3920783996582
2019-07-31,51.31881332397461
2019-08-01,51.5214958190918
2019-08-02,50.310264587402344
2019-08-05,48.71562576293945
2019-08-06,47.41159439086914
2019-08-07,46.49828338623047
2019-08-08,47.78279495239258
2019-08-09,46.90855407714844
2019-08-12,46.50316619873047
2019-08-13,48.156410217285156
2019-08-14,46.9451904296875
2019-08-15,47.17265701293945
2019-08-16,48.327213287353516
2019-08-19,47.42949676513672
2019-08-20,47.10905838012695
2019-08-21,47.260719299316406
2019-08-22,46.825313568115234
2019-08-23,45.89335632324219
2019-08-26,46.49509811401367
2019-08-27,46.2602653503418
2019-08-28,46.62228775024414
2019-08-29,47.12129211425781
2019-08-30,46.85957336425781
2019-09-03,45.41148376464844
2019-09-04,45.77350997924805
2019-09-05,46.43149948120117
2019-09-06,46.03034210205078
2019-09-09,44.90025329589844
2019-09-10,45.99609375
2019-09-11,47.85755920410156
2019-09-12,48.90203857421875
2019-09-13,49.15398025512695
2019-09-16,48.95341491699219
2019-09-17,48.3516731262207
2019-09-18,48.53268051147461
2019-09-19,48.310096740722656
2019-09-20,49.026790618896484
2019-09-23,49.457298278808594
2019-09-24,49.15153503417969
2019-09-25,49.28852081298828
2019-09-26,49.64565658569336
2019-09-27,48.268497467041016
2019-09-30,47.86244583129883
2019-10-01,46.39724349975586
2019-10-02,46.85221481323242
2019-10-03,48.14864730834961
2019-10-04,49.26405715942383
2019-10-07,49.332550048828125
2019-10-08,48.04834747314453
2019-10-09,49.15643310546875
2019-10-10,48.79685974121094
2019-10-11,49.15398025512695
2019-10-14,48.94851303100586
2019-10-15,49.07815933227539
2019-10-16,49.418155670166016
2019-10-17,49.28852081298828
2019-10-18,48.982749938964844
2019-10-21,49.74839401245117
2019-10-22,49.08793640136719
2019-10-23,49.518455505371094
2019-10-24,49.3227653503418
2019-10-25,49.731258392333984
2019-10-28,51.172000885009766
2019-10-29,51.426387786865234
2019-10-30,51.167110443115234
2019-10-31,50.92005920410156
2019-11-01,51.46308135986328
2019-11-04,50.646095275878906
2019-11-05,50.071266174316406
2019-11-06,49.94651794433594
2019-11-07,49.726016998291016
2019-11-08,49.78482437133789
2019-11-11,49.75052261352539
2019-11-12,49.96857452392578
2019-11-13,50.196407318115234
2019-11-14,49.87546920776367
2019-11-15,52.048545837402344
2019-11-18,51.79619598388672
2019-11-19,53.00156021118164
2019-11-20,53.440101623535156
2019-11-21,52.597328186035156
2019-11-22,52.790870666503906
2019-11-25,53.920291900634766
2019-11-26,53.895782470703125
2019-11-27,54.388221740722656
2019-11-29,53.46949768066406
2019-12-02,53.37640380859375
2019-12-03,52.80312728881836
2019-12-04,53.501346588134766
2019-12-05,53.351905822753906
2019-12-06,53.72918701171875
2019-12-09,53.716941833496094
2019-12-10,53.89088821411133
2019-12-11,52.84231185913086
2019-12-12,53.48419189453125
2019-12-13,52.18819046020508
2019-12-16,53.621395111083984
2019-12-17,53.244102478027344
2019-12-18,52.92561721801758
2019-12-19,53.10936737060547
2019-12-20,54.4102668762207
2019-12-23,54.31227493286133
2019-12-24,54.07952880859375
2019-12-26,53.491546630859375
2019-12-27,53.486656188964844
2019-12-30,53.27595138549805
2019-12-31,53.77819061279297
2020-01-02,53.76594161987305
2020-01-03,53.084861755371094
2020-01-06,53.20246124267578
2020-01-07,52.91336441040039
2020-01-08,52.697776794433594
2020-01-09,53.08732223510742
2020-01-10,52.95256805419922
2020-01-13,53.23676300048828
2020-01-14,53.37396240234375
2020-01-15,53.97173309326172
2020-01-16,53.753684997558594
2020-01-17,54.04767990112305
2020-01-21,54.268165588378906
2020-01-22,53.69733810424805
2020-01-23,53.59444808959961
2020-01-24,52.66347122192383
2020-01-27,53.1118049621582
2020-01-28,53.51359939575195
2020-01-29,53.293113708496094
2020-01-30,52.183292388916016
2020-01-31,51.44097137451172
2020-02-03,50.77458953857422
2020-02-04,51.048980712890625
2020-02-05,50.625144958496094
2020-02-06,50.064109802246094
2020-02-07,49.258087158203125
2020-02-10,50.39240646362305
2020-02-11,50.348304748535156
2020-02-12,50.3385009765625
2020-02-13,50.46118927001953
2020-02-14,51.167877197265625
2020-02-18,50.635414123535156
2020-02-19,51.68806076049805
2020-02-20,51.25130081176758
2020-02-21,50.55443572998047
2020-02-24,49.47233200073242
2020-02-25,48.49574279785156
2020-02-26,48.54236602783203
2020-02-27,47.35966110229492
2020-02-28,46.34872817993164
2020-03-02,48.49574279785156
2020-03-03,47.4504508972168
2020-03-04,48.50801467895508
2020-03-05,47.62221145629883
2020-03-06,47.65165710449219
2020-03-09,46.29228591918945
2020-03-10,46.12542724609375
2020-03-11,44.309661865234375
2020-03-12,40.84988021850586
2020-03-13,44.0740966796875
2020-03-16,39.54695129394531
2020-03-17,41.590919494628906
2020-03-18,40.41802978515625
2020-03-19,40.83516311645508
2020-03-20,41.04127502441406
2020-03-23,41.79703140258789
2020-03-24,41.68415832519531
2020-03-25,42.324588775634766
2020-03-26,45.718109130859375
2020-03-27,45.244544982910156
2020-03-30,46.8149299621582
2020-03-31,46.52784729003906
2020-04-01,45.499725341796875
2020-04-02,46.82229995727539
2020-04-03,45.735286712646484
2020-04-06,47.737545013427734
2020-04-07,47.50688171386719
2020-04-08,48.8294563293457
2020-04-09,47.28114700317383
2020-04-13,46.837013244628906
2020-04-14,48.89815139770508
2020-04-15,49.44043731689453
2020-04-16,52.014404296875
2020-04-17,52.46590042114258
2020-04-20,50.98629379272461
2020-04-21,49.165618896484375
2020-04-22,51.00101089477539
2020-04-23,51.462310791015625
2020-04-24,49.528770446777344
2020-04-27,51.25130081176758
2020-04-28,50.24034881591797
2020-04-29,51.818115234375
2020-04-30,55.209190368652344
2020-05-01,55.83243179321289
2020-05-04,58.062889099121094
2020-05-05,60.37676239013672
2020-05-06,64.1972427368164
