,CHRW
2016-10-20,56.205162048339844
2016-10-21,56.29509353637695
2016-10-24,56.50764083862305
2016-10-25,56.76105880737305
2016-10-26,55.01973342895508
2016-10-27,55.12602996826172
2016-10-28,55.25682067871094
2016-10-31,55.690120697021484
2016-11-01,55.935359954833984
2016-11-02,55.96806335449219
2016-11-03,56.36048126220703
2016-11-04,56.15610885620117
2016-11-07,57.60314178466797
2016-11-08,57.627655029296875
2016-11-09,58.41248321533203
2016-11-10,59.51615524291992
2016-11-11,60.15382385253906
2016-11-14,60.096595764160156
2016-11-15,60.56261444091797
2016-11-16,60.644325256347656
2016-11-17,60.50536346435547
2016-11-18,60.82421112060547
2016-11-21,60.799678802490234
2016-11-22,60.44813537597656
2016-11-23,60.595279693603516
2016-11-25,60.74245071411133
2016-11-28,60.66886901855469
2016-11-29,61.29838180541992
2016-11-30,61.19207763671875
2016-12-01,61.20026779174805
2016-12-02,60.52989959716797
2016-12-05,61.633544921875
2016-12-06,61.772525787353516
2016-12-07,62.72087478637695
2016-12-08,63.334014892578125
2016-12-09,62.982479095458984
2016-12-12,63.154151916503906
2016-12-13,62.99882888793945
2016-12-14,62.63911819458008
2016-12-15,61.10953903198242
2016-12-16,60.12270736694336
2016-12-19,61.36445236206055
2016-12-20,61.29045104980469
2016-12-21,61.3726692199707
2016-12-22,61.24109649658203
2016-12-23,61.29866027832031
2016-12-27,61.24933624267578
2016-12-28,60.41874313354492
2016-12-29,60.632568359375
2016-12-30,60.24605178833008
2017-01-03,59.908897399902344
2017-01-04,60.02400588989258
2017-01-05,60.640785217285156
2017-01-06,60.97795104980469
2017-01-09,60.163822174072266
2017-01-10,60.14735412597656
2017-01-11,60.39408874511719
2017-01-12,60.39408874511719
2017-01-13,60.34474182128906
2017-01-17,60.49275588989258
2017-01-18,60.89570999145508
2017-01-19,60.336509704589844
2017-01-20,60.52565002441406
2017-01-23,60.5914421081543
2017-01-24,61.3973503112793
2017-01-25,61.41381072998047
2017-01-26,62.293724060058594
2017-01-27,63.79864501953125
2017-01-30,62.9187126159668
2017-01-31,62.54866027832031
2017-02-01,61.76741027832031
2017-02-02,61.62761688232422
2017-02-03,62.12925338745117
2017-02-06,61.53715896606445
2017-02-07,62.18679428100586
2017-02-08,62.606201171875
2017-02-09,62.18679428100586
2017-02-10,62.959835052490234
2017-02-13,63.30522537231445
2017-02-14,63.48615264892578
2017-02-15,64.04534149169922
2017-02-16,64.1933822631836
2017-02-17,65.0157241821289
2017-02-21,65.311767578125
2017-02-22,65.30354309082031
2017-02-23,65.34468841552734
2017-02-24,65.89567565917969
2017-02-27,65.97789764404297
2017-02-28,66.09302520751953
2017-03-01,66.8703842163086
2017-03-02,66.59749603271484
2017-03-03,65.96894836425781
2017-03-06,65.56372833251953
2017-03-07,65.28257751464844
2017-03-08,65.10891723632812
2017-03-09,64.93524932861328
2017-03-10,65.61336517333984
2017-03-13,65.58854675292969
2017-03-14,64.96831512451172
2017-03-15,64.95179748535156
2017-03-16,64.67888641357422
2017-03-17,65.26603698730469
2017-03-20,65.27428436279297
2017-03-21,64.80292510986328
2017-03-22,64.57962799072266
2017-03-23,64.24057006835938
2017-03-24,64.0669174194336
2017-03-27,63.69475173950195
2017-03-28,64.10823822021484
2017-03-29,63.91805648803711
2017-03-30,64.21574401855469
2017-03-31,63.91805648803711
2017-04-03,63.43840026855469
2017-04-04,63.562442779541016
2017-04-05,63.19029998779297
2017-04-06,63.082786560058594
2017-04-07,62.62794876098633
2017-04-10,63.04972457885742
2017-04-11,62.64448928833008
2017-04-12,61.8505744934082
2017-04-13,61.577640533447266
2017-04-17,62.578311920166016
2017-04-18,62.264068603515625
2017-04-19,62.305419921875
2017-04-20,63.223365783691406
2017-04-21,63.29779052734375
2017-04-24,64.16614532470703
2017-04-25,64.2571029663086
2017-04-26,60.213111877441406
2017-04-27,60.213111877441406
2017-04-28,60.12213897705078
2017-05-01,59.99810791015625
2017-05-02,60.13870620727539
2017-05-03,60.18831253051758
2017-05-04,60.00638198852539
