,AMP
2016-05-18,81.20543670654297
2016-05-19,80.43940734863281
2016-05-20,81.322021484375
2016-05-23,81.22209930419922
2016-05-24,83.07049560546875
2016-05-25,84.3943862915039
2016-05-26,83.40355682373047
2016-05-27,84.5276107788086
2016-05-31,84.6524887084961
2016-06-01,85.21867370605469
2016-06-02,84.94390869140625
2016-06-03,83.6783447265625
2016-06-06,84.94390869140625
2016-06-07,84.71908569335938
2016-06-08,84.46099090576172
2016-06-09,83.81987762451172
2016-06-10,82.88734436035156
2016-06-13,82.30448913574219
2016-06-14,80.0897445678711
2016-06-15,80.5643081665039
2016-06-16,80.14800262451172
2016-06-17,80.51436614990234
2016-06-20,81.83826446533203
2016-06-21,82.17130279541016
2016-06-22,82.5709457397461
2016-06-23,84.68577575683594
2016-06-24,76.0348892211914
2016-06-27,71.20565795898438
2016-06-28,71.35555267333984
2016-06-29,74.0782241821289
2016-06-30,74.81092071533203
2016-07-01,74.74431610107422
2016-07-05,72.31306457519531
2016-07-06,72.71272277832031
2016-07-07,73.33719635009766
2016-07-08,75.6352310180664
2016-07-11,76.31794738769531
2016-07-12,78.78254699707031
2016-07-13,78.14138793945312
2016-07-14,79.73170471191406
2016-07-15,80.13136291503906
2016-07-18,80.60598754882812
2016-07-19,80.2479248046875
2016-07-20,80.34785461425781
2016-07-21,80.13969421386719
2016-07-22,80.83074188232422
2016-07-25,80.18130493164062
2016-07-26,80.43110656738281
2016-07-27,79.5735092163086
2016-07-28,79.55685424804688
2016-07-29,79.7983169555664
2016-08-01,78.95736694335938
2016-08-02,77.43367767333984
2016-08-03,78.94071960449219
2016-08-04,78.8399887084961
2016-08-05,81.00531005859375
2016-08-08,81.24867248535156
2016-08-09,80.7870864868164
2016-08-10,80.33386993408203
2016-08-11,80.67798614501953
2016-08-12,80.23316955566406
2016-08-15,81.28221893310547
2016-08-16,81.02207946777344
2016-08-17,81.59278869628906
2016-08-18,81.55081176757812
2016-08-19,81.41654205322266
2016-08-22,81.24867248535156
2016-08-23,81.96208953857422
2016-08-24,81.85294342041016
2016-08-25,81.76061248779297
2016-08-26,82.5327377319336
2016-08-29,83.11183166503906
2016-08-30,84.47982025146484
2016-08-31,84.83231353759766
2016-09-01,83.8335952758789
2016-09-02,84.85748291015625
2016-09-06,84.47982025146484
2016-09-07,84.56372833251953
2016-09-08,84.55535125732422
2016-09-09,83.43075561523438
2016-09-12,85.20157623291016
2016-09-13,83.28807067871094
2016-09-14,83.26289367675781
2016-09-15,84.69802856445312
2016-09-16,83.3468246459961
2016-09-19,83.89234924316406
2016-09-20,83.39717864990234
2016-09-21,84.6476821899414
2016-09-22,84.6728744506836
2016-09-23,83.62378692626953
2016-09-26,82.12989807128906
2016-09-27,82.55790710449219
2016-09-28,83.21251678466797
2016-09-29,81.76061248779297
2016-09-30,83.73287200927734
2016-10-03,84.62248229980469
2016-10-04,84.79034423828125
2016-10-05,86.6031494140625
2016-10-06,86.28423309326172
2016-10-07,84.89947509765625
2016-10-10,85.28551483154297
2016-10-11,83.66575622558594
2016-10-12,84.00144958496094
2016-10-13,82.83487701416016
2016-10-14,81.47528839111328
2016-10-17,80.90457153320312
2016-10-18,81.51725006103516
2016-10-19,82.32292938232422
2016-10-20,82.12150573730469
2016-10-21,81.88652801513672
2016-10-24,82.23062133789062
2016-10-25,81.60118103027344
2016-10-26,75.6424331665039
2016-10-27,76.28026580810547
2016-10-28,74.88709259033203
2016-10-31,74.1821060180664
2016-11-01,73.60301208496094
2016-11-02,72.8141098022461
2016-11-03,74.11785888671875
2016-11-04,74.30412292480469
2016-11-07,77.20783996582031
2016-11-08,76.80998229980469
2016-11-09,86.35090637207031
2016-11-10,93.03041076660156
2016-11-11,93.84309387207031
2016-11-14,96.72994232177734
2016-11-15,96.69609069824219
2016-11-16,96.50981903076172
2016-11-17,96.16271209716797
2016-11-18,95.7817611694336
2016-11-21,96.7130126953125
2016-11-22,96.3320541381836
2016-11-23,96.24739074707031
2016-11-25,96.89925384521484
2016-11-28,95.2399673461914
2016-11-29,94.86746215820312
