,APH
2020-07-14,23.32345962524414
2020-07-15,24.051420211791992
2020-07-16,24.16396713256836
2020-07-17,24.42976188659668
2020-07-20,24.300458908081055
2020-07-21,24.448928833007812
2020-07-22,24.72909164428711
2020-07-23,25.287033081054688
2020-07-24,24.997289657592773
2020-07-27,25.423526763916016
2020-07-28,24.954181671142578
2020-07-29,25.342111587524414
2020-07-30,25.184066772460938
2020-07-31,25.325353622436523
2020-08-03,25.715673446655273
2020-08-04,25.962312698364258
2020-08-05,26.01738929748535
2020-08-06,25.94554901123047
2020-08-07,25.85215950012207
2020-08-10,25.89047622680664
2020-08-11,26.055702209472656
2020-08-12,26.290374755859375
2020-08-13,26.477153778076172
2020-08-14,26.287981033325195
2020-08-17,26.314319610595703
2020-08-18,26.13711929321289
2020-08-19,26.134727478027344
2020-08-20,25.694122314453125
2020-08-21,25.919208526611328
2020-08-24,26.04133415222168
2020-08-25,26.079648971557617
2020-08-26,26.113178253173828
2020-08-27,25.88568687438965
2020-08-28,26.287981033325195
2020-08-31,26.292770385742188
2020-09-01,26.529834747314453
2020-09-02,27.049468994140625
2020-09-03,25.97428321838379
2020-09-04,25.96949577331543
2020-09-08,25.157730102539062
2020-09-09,25.569599151611328
2020-09-10,25.03080940246582
2020-09-11,24.973346710205078
2020-09-14,25.63104248046875
2020-09-15,26.003103256225586
2020-09-16,26.183120727539062
2020-09-17,26.37515640258789
2020-09-18,26.13271713256836
2020-09-21,24.841320037841797
2020-09-22,25.11256217956543
2020-09-23,24.79331398010254
2020-09-24,25.00935173034668
2020-09-25,25.36220359802246
2020-09-28,25.967090606689453
2020-09-29,26.07510757446289
2020-09-30,25.988691329956055
2020-10-01,26.353548049926758
2020-10-02,26.250333786010742
2020-10-05,26.77121353149414
2020-10-06,26.437562942504883
2020-10-07,27.131267547607422
2020-10-08,27.244081497192383
2020-10-09,27.241680145263672
2020-10-12,27.546527862548828
2020-10-13,27.1192626953125
2020-10-14,27.239286422729492
2020-10-15,27.450511932373047
2020-10-16,27.642545700073242
2020-10-19,27.1480712890625
2020-10-20,27.50812339782715
2020-10-21,27.589733123779297
2020-10-22,28.44666290283203
2020-10-23,28.744306564331055
2020-10-26,27.952190399169922
2020-10-27,27.616140365600586
2020-10-28,26.766416549682617
2020-10-29,27.164875030517578
2020-10-30,27.08565902709961
2020-11-02,27.62093734741211
2020-11-03,27.964189529418945
2020-11-04,27.824974060058594
2020-11-05,28.674697875976562
2020-11-06,28.88593101501465
2020-11-09,29.185972213745117
2020-11-10,29.248380661010742
2020-11-11,29.8316707611084
2020-11-12,28.854724884033203
2020-11-13,29.620437622070312
2020-11-16,30.31174087524414
2020-11-17,30.498971939086914
2020-11-18,30.19652557373047
2020-11-19,30.532573699951172
2020-11-20,30.578182220458984
2020-11-23,30.741413116455078
2020-11-24,31.504724502563477
2020-11-25,31.40390396118164
2020-11-27,31.67274284362793
2020-11-30,31.399106979370117
2020-12-01,31.591135025024414
2020-12-02,31.46630859375
2020-12-03,31.612730026245117
2020-12-04,31.90317726135254
2020-12-07,31.787965774536133
2020-12-08,31.98239517211914
2020-12-09,32.073604583740234
2020-12-10,31.543127059936523
2020-12-11,31.447113037109375
2020-12-14,31.3460750579834
2020-12-15,31.64678382873535
2020-12-16,31.48078727722168
2020-12-17,31.79593276977539
2020-12-18,31.430273056030273
2020-12-21,31.119945526123047
2020-12-22,31.00206184387207
2020-12-23,30.97559928894043
2020-12-24,31.074230194091797
2020-12-28,31.23541831970215
2020-12-29,30.898618698120117
2020-12-30,31.23541831970215
2020-12-31,31.45914077758789
2021-01-04,30.917861938476562
2021-01-05,31.451923370361328
2021-01-06,32.233768463134766
2021-01-07,32.6956672668457
2021-01-08,32.563350677490234
2021-01-11,32.64033889770508
2021-01-12,32.462318420410156
2021-01-13,32.34684753417969
2021-01-14,32.19768524169922
2021-01-15,31.692495346069336
2021-01-19,31.839237213134766
2021-01-20,32.22414779663086
2021-01-21,32.01967239379883
2021-01-22,31.812776565551758
2021-01-25,31.952314376831055
2021-01-26,31.27871322631836
2021-01-27,30.20818519592285
2021-01-28,30.51611328125
2021-01-29,30.042190551757812
2021-02-01,30.222620010375977
2021-02-02,30.547386169433594
2021-02-03,30.427104949951172
2021-02-04,30.881776809692383
2021-02-05,31.153621673583984
2021-02-08,31.827211380004883
2021-02-09,31.805557250976562
2021-02-10,31.591453552246094
2021-02-11,31.896976470947266
2021-02-12,32.69325637817383
2021-02-16,32.65475845336914
2021-02-17,32.228965759277344
2021-02-18,31.451923370361328
2021-02-19,31.858488082885742
2021-02-22,31.271501541137695
2021-02-23,30.646020889282227
2021-02-24,31.165651321411133
2021-02-25,30.121580123901367
2021-02-26,30.23464584350586
2021-03-01,31.2642822265625
2021-03-02,31.040552139282227
2021-03-03,30.23946189880371
2021-03-04,28.88746452331543
2021-03-05,29.618791580200195
2021-03-08,29.512941360473633
2021-03-09,29.926719665527344
2021-03-10,29.873798370361328
2021-03-11,30.754276275634766
2021-03-12,30.836071014404297
2021-03-15,31.682863235473633
2021-03-16,31.423053741455078
2021-03-17,31.403804779052734
2021-03-18,31.27390480041504
2021-03-19,30.93711280822754
2021-03-22,31.204740524291992
2021-03-23,30.346385955810547
2021-03-24,30.693586349487305
2021-03-25,31.103473663330078
2021-03-26,32.06310272216797
2021-03-29,31.92807960510254
2021-03-30,31.62909698486328
2021-03-31,31.812345504760742
2021-04-01,32.333152770996094
2021-04-05,33.18667984008789
2021-04-06,32.9262809753418
2021-04-07,32.448883056640625
2021-04-08,32.820194244384766
2021-04-09,33.01308059692383
2021-04-12,32.6562385559082
2021-04-13,32.70928955078125
2021-04-14,32.65142059326172
2021-04-15,33.04202651977539
2021-04-16,33.022735595703125
2021-04-19,32.55497360229492
2021-04-20,32.20777130126953
2021-04-21,32.66106033325195
2021-04-22,32.5983772277832
2021-04-23,33.17704391479492
2021-04-26,33.26383590698242
2021-04-27,32.916648864746094
2021-04-28,32.55979919433594
2021-04-29,33.09988021850586
2021-04-30,32.472991943359375
2021-05-03,31.947372436523438
2021-05-04,31.86057472229004
2021-05-05,32.26081466674805
2021-05-06,32.28492736816406
2021-05-07,32.84429931640625
2021-05-10,32.33797073364258
2021-05-11,31.976301193237305
2021-05-12,30.9443416595459
2021-05-13,31.4892578125
2021-05-14,32.00041580200195
2021-05-17,32.067928314208984
2021-05-18,31.682140350341797
2021-05-19,31.797882080078125
2021-05-20,32.111324310302734
2021-05-21,31.99559211730957
2021-05-24,32.342796325683594
2021-05-25,32.28975296020508
2021-05-26,32.357261657714844
2021-05-27,32.40065002441406
2021-05-28,32.434417724609375
2021-06-01,32.59355163574219
2021-06-02,32.67552947998047
2021-06-03,32.8105583190918
2021-06-04,33.35064697265625
2021-06-07,32.88289260864258
2021-06-08,32.87323760986328
2021-06-09,32.8587760925293
2021-06-10,32.92146301269531
2021-06-11,33.008262634277344
2021-06-14,32.94075012207031
2021-06-15,32.998619079589844
2021-06-16,32.8973503112793
2021-06-17,32.497100830078125
2021-06-18,31.961835861206055
2021-06-21,32.394371032714844
2021-06-22,32.63601303100586
2021-06-23,32.58768081665039
2021-06-24,32.88249206542969
2021-06-25,32.829322814941406
2021-06-28,33.05646514892578
2021-06-29,33.104793548583984
2021-06-30,33.061302185058594
2021-07-01,33.32710647583008
2021-07-02,33.8055534362793
2021-07-06,33.49625778198242
2021-07-07,33.75239181518555
2021-07-08,33.3947639465332
2021-07-09,33.979530334472656
2021-07-12,34.0085334777832
2021-07-13,33.7958869934082
2021-07-14,33.757232666015625
2021-07-15,33.38992691040039
2021-07-16,32.877655029296875
2021-07-19,32.5683479309082
2021-07-20,33.157958984375
2021-07-21,33.9022102355957
2021-07-22,33.84422302246094
2021-07-23,34.31300735473633
2021-07-26,34.18735122680664
2021-07-27,34.0181999206543
2021-07-28,34.201847076416016
2021-07-29,34.77695083618164
2021-07-30,35.0330810546875
2021-08-02,35.12491989135742
2021-08-03,35.680686950683594
2021-08-04,35.545372009277344
2021-08-05,35.60820007324219
2021-08-06,35.58403015136719
2021-08-09,35.48737335205078
2021-08-10,35.58403015136719
2021-08-11,35.627532958984375
2021-08-12,35.719356536865234
2021-08-13,35.75801086425781
2021-08-16,36.00448989868164
2021-08-17,35.816017150878906
2021-08-18,35.719356536865234
2021-08-19,35.82083511352539
2021-08-20,35.989994049072266
2021-08-23,36.37177658081055
2021-08-24,36.41044616699219
2021-08-25,36.62308120727539
2021-08-26,36.54576110839844
2021-08-27,37.09186935424805
2021-08-30,37.17885971069336
2021-08-31,37.03387451171875
2021-09-01,36.893714904785156
2021-09-02,37.1353645324707
2021-09-03,37.23202133178711
2021-09-07,36.71974563598633
2021-09-08,36.51676559448242
2021-09-09,36.352447509765625
2021-09-10,36.420108795166016
2021-09-13,36.69075012207031
2021-09-14,36.59892654418945
2021-09-15,36.92755889892578
2021-09-16,36.9565544128418
2021-09-17,36.59408950805664
2021-09-20,35.92829895019531
2021-09-21,35.76852035522461
2021-09-22,36.58682632446289
2021-09-23,37.30345916748047
2021-09-24,37.52135467529297
2021-09-27,37.414825439453125
2021-09-28,36.62556076049805
2021-09-29,36.092933654785156
2021-09-30,35.45862579345703
2021-10-01,36.126827239990234
2021-10-04,35.608734130859375
2021-10-05,36.11714553833008
2021-10-06,36.088096618652344
2021-10-07,36.60619354248047
2021-10-08,36.673980712890625
2021-10-11,36.34956359863281
2021-10-12,35.83147048950195
2021-10-13,36.03966522216797
2021-10-14,37.008087158203125
2021-10-15,37.31798553466797
2021-10-18,37.51651382446289
2021-10-19,37.68598175048828
2021-10-20,37.937767028808594
2021-10-21,38.48976135253906
2021-10-22,38.39776611328125
2021-10-25,38.31060791015625
2021-10-26,38.13629913330078
2021-10-27,36.688514709472656
2021-10-28,37.10493469238281
2021-10-29,37.17271423339844
2021-11-01,37.26472091674805
2021-11-02,37.690826416015625
2021-11-03,37.94746017456055
2021-11-04,38.31060791015625
2021-11-05,39.433982849121094
2021-11-08,39.53565979003906
2021-11-09,39.845558166503906
2021-11-10,39.845558166503906
2021-11-11,40.1021842956543
2021-11-12,40.683231353759766
2021-11-15,41.138389587402344
2021-11-16,41.17713165283203
2021-11-17,41.109344482421875
2021-11-18,41.04155349731445
2021-11-19,41.22555160522461
2021-11-22,40.7994499206543
2021-11-23,41.06092071533203
2021-11-24,40.818817138671875
2021-11-26,39.52113342285156
2021-11-29,40.15544891357422
2021-11-30,39.01755142211914
2021-12-01,38.73188018798828
2021-12-02,39.443660736083984
2021-12-03,39.54534912109375
2021-12-06,40.06828689575195
2021-12-07,40.60091781616211
2021-12-08,40.4508171081543
2021-12-09,40.242610931396484
2021-12-10,40.80428695678711
2021-12-13,40.47986602783203
2021-12-14,39.93271255493164
2021-12-15,40.852718353271484
2021-12-16,40.45566177368164
2021-12-17,39.93755340576172
2021-12-20,39.384212493896484
2021-12-21,40.316162109375
2021-12-22,40.76756286621094
2021-12-23,41.286930084228516
2021-12-27,42.19459915161133
2021-12-28,42.28681945800781
2021-12-29,42.684837341308594
2021-12-30,42.238277435302734
2021-12-31,42.45185089111328
2022-01-03,41.98588562011719
2022-01-04,42.11693572998047
2022-01-05,41.31604766845703
2022-01-06,41.35002136230469
2022-01-07,39.859886169433594
2022-01-10,39.7628173828125
2022-01-11,40.09772872924805
2022-01-12,40.228782653808594
2022-01-13,39.73369598388672
2022-01-14,39.61235046386719
2022-01-18,38.75807189941406
2022-01-19,38.10764694213867
2022-01-20,37.8164176940918
2022-01-21,37.3892707824707
2022-01-24,37.54459762573242
2022-01-25,36.894187927246094
2022-01-26,37.05435562133789
2022-01-27,36.41851043701172
2022-01-28,37.42810821533203
