,VICI
2019-03-22,15.972460746765137
2019-03-25,15.979754447937012
2019-03-26,16.111034393310547
2019-03-27,16.016223907470703
2019-03-28,16.110815048217773
2019-03-29,16.169939041137695
2019-04-01,16.103431701660156
2019-04-02,16.103431701660156
2019-04-03,16.19950294494629
2019-04-04,16.20688819885254
2019-04-05,16.347307205200195
2019-04-08,16.3177433013916
2019-04-09,16.280792236328125
2019-04-10,16.435991287231445
2019-04-11,16.391643524169922
2019-04-12,16.369474411010742
2019-04-15,16.443378448486328
2019-04-16,16.258623123168945
2019-04-17,16.15515899658203
2019-04-18,16.184720993041992
2019-04-22,16.073863983154297
2019-04-23,16.354694366455078
2019-04-24,16.61335563659668
2019-04-25,16.69464874267578
2019-04-26,16.81289291381836
2019-04-29,16.702045440673828
2019-04-30,16.849843978881836
2019-05-01,16.872018814086914
2019-05-02,16.872018814086914
2019-05-03,16.894187927246094
2019-05-06,16.81289291381836
2019-05-07,16.554229736328125
2019-05-08,16.42121124267578
2019-05-09,16.31035614013672
2019-05-10,16.56901741027832
2019-05-13,16.5911865234375
2019-05-14,16.45076560974121
2019-05-15,16.480329513549805
2019-05-16,16.731603622436523
2019-05-17,16.724206924438477
2019-05-20,16.480329513549805
2019-05-21,16.532062530517578
2019-05-22,16.61335563659668
2019-05-23,16.702045440673828
2019-05-24,16.827672958374023
2019-05-28,16.67987060546875
2019-05-29,16.53944969177246
2019-05-30,16.52467155456543
2019-05-31,16.391643524169922
2019-06-03,16.332534790039062
2019-06-04,16.147768020629883
2019-06-05,16.53944969177246
2019-06-06,16.628137588500977
2019-06-07,16.369474411010742
2019-06-10,16.472942352294922
2019-06-11,16.546844482421875
2019-06-12,16.57640266418457
2019-06-13,16.65770149230957
2019-06-14,16.798114776611328
2019-06-17,16.849843978881836
2019-06-18,16.81289291381836
2019-06-19,16.90896224975586
2019-06-20,17.00503921508789
2019-06-21,16.842456817626953
2019-06-24,16.46554946899414
2019-06-25,16.110815048217773
2019-06-26,15.948227882385254
2019-06-27,16.261322021484375
2019-06-28,16.50850486755371
2019-07-01,16.695758819580078
2019-07-02,16.845561981201172
2019-07-03,17.032814025878906
2019-07-05,16.71822738647461
2019-07-08,16.590896606445312
2019-07-09,16.658306121826172
2019-07-10,16.710739135742188
2019-07-11,16.538463592529297
2019-07-12,16.68077850341797
2019-07-15,16.845561981201172
2019-07-16,16.65081214904785
2019-07-17,16.396148681640625
2019-07-18,16.471052169799805
2019-07-19,16.208892822265625
2019-07-22,16.156463623046875
2019-07-23,16.074066162109375
2019-07-24,16.066574096679688
2019-07-25,15.939244270324709
2019-07-26,16.00665855407715
2019-07-29,15.931757926940918
2019-07-30,16.09653663635254
2019-07-31,15.984187126159668
2019-08-01,15.707045555114746
2019-08-02,15.901793479919434
2019-08-05,15.617161750793455
2019-08-06,15.624653816223145
2019-08-07,15.714534759521484
2019-08-08,15.871831893920898
2019-08-09,15.856850624084473
2019-08-12,15.886807441711426
2019-08-13,15.92426300048828
2019-08-14,15.474849700927734
2019-08-15,15.407437324523926
2019-08-16,15.5272798538208
2019-08-19,15.81190586090088
2019-08-20,15.5272798538208
2019-08-21,15.699556350708008
2019-08-22,15.931757926940918
2019-08-23,15.729514122009276
2019-08-26,16.238849639892578
2019-08-27,16.31375503540039
2019-08-28,16.328739166259766
2019-08-29,16.538463592529297
2019-08-30,16.59838104248047
2019-09-03,16.59838104248047
2019-09-04,16.613365173339844
2019-09-05,16.62085723876953
2019-09-06,16.710739135742188
2019-09-09,16.441091537475586
2019-09-10,16.321245193481445
2019-09-11,16.44858169555664
2019-09-12,16.478538513183594
2019-09-13,16.29877471923828
2019-09-16,16.553443908691406
2019-09-17,16.73320960998535
2019-09-18,16.823095321655273
2019-09-19,17.017833709716797
2019-09-20,17.182626724243164
2019-09-23,17.16764259338379
2019-09-24,17.21258544921875
2019-09-25,17.257526397705078
2019-09-26,17.07389259338379
2019-09-27,17.08147430419922
2019-09-30,17.187715530395508
2019-10-01,17.142183303833008
2019-10-02,17.15736198425293
2019-10-03,17.339479446411133
2019-10-04,17.415367126464844
2019-10-07,17.483659744262695
2019-10-08,17.498836517333984
2019-10-09,17.438133239746094
2019-10-10,17.498836517333984
2019-10-11,17.415367126464844
2019-10-14,17.44571876525879
2019-10-15,17.54436492919922
2019-10-16,17.498836517333984
2019-10-17,17.55954360961914
2019-10-18,17.55954360961914
2019-10-21,17.825138092041016
2019-10-22,17.908611297607422
2019-10-23,17.946552276611328
2019-10-24,17.992080688476562
2019-10-25,17.954145431518555
2019-10-28,18.037612915039062
2019-10-29,18.014846801757812
2019-10-30,18.204559326171875
2019-10-31,17.87066650390625
2019-11-01,18.614330291748047
2019-11-04,18.65227508544922
2019-11-05,18.25767517089844
2019-11-06,18.348737716674805
2019-11-07,18.204559326171875
2019-11-08,18.424625396728516
2019-11-11,18.65227508544922
2019-11-12,18.500503540039062
2019-11-13,18.477739334106445
2019-11-14,18.65986061096191
2019-11-15,18.69780540466309
2019-11-18,18.637094497680664
2019-11-19,18.57638931274414
2019-11-20,18.743330001831055
2019-11-21,18.477739334106445
2019-11-22,18.454973220825195
2019-11-25,18.57638931274414
2019-11-26,18.66744804382324
2019-11-27,18.887510299682617
2019-11-29,18.766098022460938
2019-12-02,18.568798065185547
2019-12-03,18.71297836303711
2019-12-04,18.57638931274414
2019-12-05,18.743330001831055
2019-12-06,18.92545509338379
2019-12-09,18.910280227661133
2019-12-10,18.895097732543945
2019-12-11,18.73574447631836
2019-12-12,18.70539093017578
2019-12-13,18.462566375732425
2019-12-16,18.675039291381836
2019-12-17,18.85715675354004
2019-12-18,18.993751525878903
2019-12-19,19.213809967041016
2019-12-20,19.24416732788086
2019-12-23,19.228992462158203
2019-12-24,19.122753143310547
2019-12-26,19.22104835510254
2019-12-27,19.382308959960938
2019-12-30,19.413028717041016
2019-12-31,19.620365142822266
2020-01-02,19.413028717041016
2020-01-03,19.428382873535156
2020-01-06,19.228723526000977
2020-01-07,19.151931762695312
2020-01-08,19.274797439575195
2020-01-09,19.46678352355957
2020-01-10,19.48213768005371
2020-01-13,19.46678352355957
2020-01-14,19.55893325805664
2020-01-15,19.950572967529297
2020-01-16,20.11182975769043
2020-01-17,20.173269271850582
2020-01-21,20.25006103515625
2020-01-22,20.38828468322754
2020-01-23,20.434364318847656
2020-01-24,20.4650821685791
2020-01-27,20.25006103515625
2020-01-28,20.203981399536133
2020-01-29,20.526514053344727
2020-01-30,20.60330390930176
2020-01-31,20.580263137817383
2020-02-03,20.61865997314453
2020-02-04,20.75689125061035
2020-02-05,20.70313262939453
2020-02-06,20.84903907775879
2020-02-07,20.826004028320312
2020-02-10,21.10245132446289
2020-02-11,21.263717651367188
2020-02-12,21.28675079345703
2020-02-13,21.41729736328125
2020-02-14,21.58624267578125
2020-02-18,21.40962028503418
2020-02-19,21.094772338867188
2020-02-20,21.601600646972656
2020-02-21,21.61695671081543
2020-02-24,21.117809295654297
2020-02-25,20.49579429626465
2020-02-26,19.689481735229492
2020-02-27,19.044424057006836
2020-02-28,19.244081497192383
2020-03-02,18.93691635131836
2020-03-03,18.982995986938477
2020-03-04,19.69715881347656
2020-03-05,19.121213912963867
2020-03-06,18.599029541015625
2020-03-09,16.64083480834961
2020-03-10,17.677528381347656
2020-03-11,15.834522247314451
2020-03-12,12.46334743499756
2020-03-13,13.515398979187012
2020-03-16,9.645081520080566
2020-03-17,9.99832248687744
2020-03-18,8.600709915161133
2020-03-19,8.823407173156738
2020-03-20,9.453100204467772
2020-03-23,9.015384674072266
2020-03-24,10.067435264587402
2020-03-25,11.84901237487793
2020-03-26,12.40191650390625
2020-03-27,12.371197700500488
2020-03-30,12.549583435058594
2020-03-31,13.019020080566406
2020-04-01,11.767187118530272
2020-04-02,11.602888107299805
2020-04-03,10.781375885009766
2020-04-06,11.156922340393066
2020-04-07,11.360346794128418
2020-04-08,12.455694198608398
2020-04-09,13.425864219665527
2020-04-13,12.972070693969728
2020-04-14,13.285032272338867
2020-04-15,12.588703155517578
2020-04-16,12.322688102722168
2020-04-17,12.588703155517578
2020-04-20,12.267922401428224
2020-04-21,12.009732246398926
2020-04-22,12.12709140777588
2020-04-23,11.954961776733398
2020-04-24,12.189682006835938
2020-04-27,12.760828018188477
2020-04-28,13.128557205200195
2020-04-29,14.00483226776123
2020-04-30,13.629284858703612
2020-05-01,12.956427574157717
2020-05-04,12.815592765808104
2020-05-05,12.854716300964355
2020-05-06,12.713886260986328
2020-05-07,12.964251518249512
2020-05-08,13.371095657348633
2020-05-11,13.065961837768556
2020-05-12,12.338335990905762
2020-05-13,11.634183883666992
2020-05-14,11.884546279907228
2020-05-15,11.970611572265623
2020-05-18,12.92513370513916
2020-05-19,13.48845672607422
2020-05-20,14.020485877990724
2020-05-21,14.341262817382812
2020-05-22,14.73245906829834
2020-05-26,15.514851570129396
2020-05-27,15.694799423217772
2020-05-28,15.162775039672852
2020-05-29,15.350549697875977
2020-06-01,16.117292404174805
2020-06-02,16.007761001586914
2020-06-03,17.142229080200195
2020-06-04,17.392597198486328
2020-06-05,17.987211227416992
2020-06-08,17.86203384399414
2020-06-09,17.212646484375
2020-06-10,16.547611236572266
2020-06-11,16.046876907348633
2020-06-12,17.439537048339844
2020-06-15,17.86203384399414
2020-06-16,17.50213050842285
2020-06-17,17.916797637939453
2020-06-18,17.682077407836914
2020-06-19,17.588193893432617
2020-06-22,17.048341751098633
2020-06-23,17.259584426879883
2020-06-24,16.492841720581055
2020-06-25,16.477195739746094
2020-06-26,15.67133331298828
2020-06-29,15.884180068969728
2020-06-30,16.035072326660156
2020-07-01,16.440128326416016
2020-07-02,16.56719970703125
2020-07-06,16.058900833129883
2020-07-07,15.876237869262695
2020-07-08,16.043020248413086
2020-07-09,15.71739387512207
2020-07-10,15.85240650177002
2020-07-13,15.685626029968262
2020-07-14,15.630035400390623
2020-07-15,16.829288482666016
2020-07-16,16.726037979125977
2020-07-17,17.11520004272461
2020-07-20,16.781633377075195
2020-07-21,17.051668167114258
2020-07-22,17.679094314575195
2020-07-23,17.154911041259766
2020-07-24,16.702213287353516
2020-07-27,16.495718002319336
2020-07-28,16.44806480407715
2020-07-29,17.0119571685791
2020-07-30,17.202564239501953
2020-07-31,17.24227523803711
2020-08-03,17.472593307495117
2020-08-04,18.028545379638672
2020-08-05,17.758508682250977
2020-08-06,18.028545379638672
2020-08-07,18.171499252319336
2020-08-10,18.370052337646484
2020-08-11,18.48124122619629
2020-08-12,18.53683853149414
2020-08-13,18.282691955566406
2020-08-14,18.211212158203125
2020-08-17,18.41770362854004
2020-08-18,18.250917434692383
2020-08-19,18.354169845581055
2020-08-20,18.354169845581055
2020-08-21,17.88558578491211
2020-08-24,18.258861541748047
2020-08-25,18.1873836517334
2020-08-26,18.092077255249023
2020-08-27,18.377994537353516
2020-08-28,18.250917434692383
2020-08-31,17.74262809753418
2020-09-01,18.56066513061523
2020-09-02,18.735387802124023
2020-09-03,18.20326805114746
2020-09-04,18.171499252319336
2020-09-08,18.48918342590332
2020-09-09,18.87834930419922
2020-09-10,18.86246109008789
2020-09-11,19.108667373657227
2020-09-14,19.704320907592773
2020-09-15,20.18878936767578
2020-09-16,19.93464469909668
2020-09-17,19.43429183959961
2020-09-18,18.910112380981445
2020-09-21,18.274742126464844
2020-09-22,18.473297119140625
2020-09-23,18.115903854370117
2020-09-24,18.29063415527344
2020-09-25,18.711565017700195
2020-09-28,19.211912155151367
2020-09-29,18.833473205566406
2020-09-30,18.81736946105957
2020-10-01,19.09918785095215
2020-10-02,19.372953414916992
2020-10-05,19.52593994140625
2020-10-06,19.2038631439209
2020-10-07,19.09918785095215
2020-10-08,19.340744018554688
2020-10-09,19.03477478027344
2020-10-12,19.219966888427734
2020-10-13,19.09113311767578
2020-10-14,19.066980361938477
2020-10-15,19.276329040527344
2020-10-16,19.066980361938477
2020-10-19,18.640226364135746
2020-10-20,18.73685073852539
2020-10-21,18.86568069458008
2020-10-22,19.244121551513672
2020-10-23,19.4132137298584
2020-10-26,18.833473205566406
2020-10-27,18.22152328491211
2020-10-28,18.14906120300293
2020-10-29,18.72074508666992
2020-10-30,18.47918701171875
2020-11-02,19.03477478027344
2020-11-03,19.26022148132324
2020-11-04,19.71113014221191
2020-11-05,19.4293155670166
2020-11-06,19.308534622192383
2020-11-09,19.179702758789062
2020-11-10,20.355295181274418
2020-11-11,20.4519100189209
2020-11-12,20.0493106842041
2020-11-13,20.782039642333984
2020-11-16,21.096067428588867
2020-11-17,21.28126335144043
2020-11-18,20.782039642333984
2020-11-19,20.83035469055176
2020-11-20,20.83035469055176
2020-11-23,21.00749397277832
2020-11-24,21.02359962463379
2020-11-25,20.532434463500977
2020-11-27,20.6773624420166
2020-11-30,20.363340377807617
2020-12-01,20.54853630065918
2020-12-02,20.37944602966309
2020-12-03,20.983335494995117
2020-12-04,20.86256217956543
2020-12-07,20.69346809387207
2020-12-08,20.596845626831055
2020-12-09,20.484119415283203
2020-12-10,20.476070404052734
2020-12-11,20.65321350097656
2020-12-14,20.435806274414062
2020-12-15,21.02359962463379
2020-12-16,20.97528648376465
2020-12-17,21.41814422607422
2020-12-18,20.76593780517578
2020-12-21,20.69346809387207
2020-12-22,21.150243759155273
2020-12-23,21.133930206298828
2020-12-24,21.109460830688477
2020-12-28,21.03605079650879
2020-12-29,20.603750228881836
2020-12-30,20.938167572021484
2020-12-31,20.79950904846191
2021-01-04,20.106191635131836
2021-01-05,20.36720085144043
2021-01-06,20.4161434173584
2021-01-07,20.31010055541992
2021-01-08,20.938167572021484
2021-01-11,20.66899871826172
2021-01-12,20.579280853271484
2021-01-13,20.611900329589844
2021-01-14,20.652685165405273
2021-01-15,20.522180557250977
2021-01-19,20.693470001220703
2021-01-20,21.509138107299805
2021-01-21,21.411252975463867
2021-01-22,21.525449752807617
2021-01-25,21.411252975463867
2021-01-26,21.26443672180176
2021-01-27,20.187755584716797
2021-01-28,21.084991455078125
2021-01-29,20.62006187438965
2021-02-01,21.452035903930664
2021-02-02,21.835403442382812
2021-02-03,21.72936630249023
2021-02-04,21.851716995239254
2021-02-05,21.982223510742188
2021-02-08,21.80277633666992
2021-02-09,21.72936630249023
2021-02-10,22.01485061645508
2021-02-11,22.055635452270508
2021-02-12,22.23508071899414
2021-02-16,22.169824600219727
