,MMC
2018-10-03,75.57160186767578
2018-10-04,75.71650695800781
2018-10-05,75.33610534667969
2018-10-08,75.65309143066406
2018-10-09,75.42666625976562
2018-10-10,73.7837142944336
2018-10-11,72.49116516113281
2018-10-12,72.43656921386719
2018-10-15,71.90862274169922
2018-10-16,73.1192398071289
2018-10-17,73.64717102050781
2018-10-18,72.8643798828125
2018-10-19,73.2375717163086
2018-10-22,73.1283187866211
2018-10-23,72.90077209472656
2018-10-24,70.25199127197266
2018-10-25,74.38446807861328
2018-10-26,74.59379577636719
2018-10-29,74.96700286865234
2018-10-30,76.63272857666016
2018-10-31,77.14248657226562
2018-11-01,76.98773956298828
2018-11-02,76.91490173339844
2018-11-05,78.025390625
2018-11-06,78.6170425415039
2018-11-07,79.39985656738281
2018-11-08,79.94598388671875
2018-11-09,79.88228607177734
2018-11-12,79.3452377319336
2018-11-13,78.73538970947266
2018-11-14,79.0357437133789
2018-11-15,79.48177337646484
2018-11-16,80.10072326660156
2018-11-19,80.86534118652344
2018-11-20,78.55333709716797
2018-11-21,77.5885009765625
2018-11-23,77.24259948730469
2018-11-26,78.18923950195312
2018-11-27,78.15286254882812
2018-11-28,79.49089813232422
2018-11-29,79.3452377319336
2018-11-30,80.73789978027344
2018-12-03,81.10198211669922
2018-12-04,78.99024963378906
2018-12-06,77.57937622070312
2018-12-07,77.16068267822266
2018-12-10,76.97862243652344
2018-12-11,75.9864501953125
2018-12-12,76.41427612304688
2018-12-13,76.48711395263672
2018-12-14,75.549560546875
2018-12-17,74.14779663085938
2018-12-18,73.71089935302734
2018-12-19,72.99179077148438
2018-12-20,72.18168640136719
2018-12-21,70.53417205810547
2018-12-24,68.74098205566406
2018-12-26,70.49774932861328
2018-12-27,71.81758880615234
2018-12-28,71.79029083251953
2018-12-31,72.5912857055664
2019-01-02,71.94502258300781
2019-01-03,71.00749206542969
2019-01-04,72.74604034423828
2019-01-07,73.06461334228516
2019-01-08,73.56525421142578
2019-01-09,73.62895965576172
2019-01-10,74.14779663085938
2019-01-11,73.8656234741211
2019-01-14,74.17509460449219
2019-01-15,74.34806823730469
2019-01-16,74.63932037353516
2019-01-17,74.98522186279297
2019-01-18,76.51439666748047
2019-01-22,75.70430755615234
2019-01-23,75.83171081542969
2019-01-24,75.549560546875
2019-01-25,76.02288055419922
2019-01-28,75.60417938232422
2019-01-29,75.58131408691406
2019-01-30,76.62417602539062
2019-01-31,80.67677307128906
2019-02-01,82.56128692626953
2019-02-04,84.04327392578125
2019-02-05,84.24451446533203
2019-02-06,82.74423217773438
2019-02-07,81.88433074951172
2019-02-08,82.2593765258789
2019-02-11,82.85399627685547
2019-02-12,83.16505432128906
2019-02-13,83.46693420410156
2019-02-14,82.46979522705078
2019-02-15,83.39373779296875
2019-02-19,83.73223114013672
2019-02-20,84.11643981933594
2019-02-21,84.24451446533203
2019-02-22,84.66532897949219
2019-02-25,84.69277954101562
2019-02-26,84.68362426757812
2019-02-27,84.89403533935547
2019-02-28,85.09529113769531
2019-03-01,84.97636413574219
2019-03-04,84.73851776123047
2019-03-05,83.58584594726562
2019-03-06,83.42120361328125
2019-03-07,82.18620300292969
2019-03-08,81.9483413696289
2019-03-11,83.04610443115234
2019-03-12,83.60417175292969
2019-03-13,83.91516876220703
2019-03-14,84.61043548583984
2019-03-15,85.34226989746094
2019-03-18,85.0586929321289
2019-03-19,84.79340362548828
2019-03-20,84.32684326171875
2019-03-21,85.15017700195312
2019-03-22,84.22623443603516
2019-03-25,84.39089965820312
2019-03-26,84.80255889892578
2019-03-27,84.17133331298828
2019-03-28,85.01294708251953
2019-03-29,85.90032958984375
2019-04-01,86.73280334472656
2019-04-02,86.41259765625
2019-04-03,86.57726287841797
2019-04-04,86.49493408203125
2019-04-05,86.00096130371094
2019-04-08,85.61672973632812
2019-04-09,85.17105865478516
2019-04-10,85.5661849975586
2019-04-11,86.0348129272461
2019-04-12,86.99044799804688
2019-04-15,87.18340301513672
2019-04-16,87.78068542480469
2019-04-17,86.75154876708984
2019-04-18,86.11751556396484
2019-04-22,85.77751922607422
2019-04-23,87.10073852539062
2019-04-24,86.95369720458984
2019-04-25,86.29210662841797
2019-04-26,86.04402160644531
2019-04-29,85.73158264160156
2019-04-30,86.64128875732422
2019-05-01,84.9964828491211
2019-05-02,85.58456420898438
2019-05-03,86.2645492553711
2019-05-06,86.37480163574219
2019-05-07,85.70402526855469
2019-05-08,86.05320739746094
2019-05-09,86.31964874267578
2019-05-10,88.32284545898438
2019-05-13,87.01801300048828
2019-05-14,87.2018051147461
2019-05-15,87.04560089111328
2019-05-16,87.94608306884766
2019-05-17,88.01959228515625
2019-05-20,88.12068176269531
2019-05-21,89.26927185058594
2019-05-22,89.39791870117188
2019-05-23,88.38715362548828
2019-05-24,87.64286804199219
2019-05-28,87.16504669189453
2019-05-29,87.76231384277344
2019-05-30,88.05635070800781
2019-05-31,87.84500885009766
2019-06-03,88.62606811523438
2019-06-04,89.09468078613281
2019-06-05,90.29843139648438
2019-06-06,90.96000671386719
2019-06-07,91.13461303710938
2019-06-10,91.15296936035156
2019-06-11,90.49138641357422
2019-06-12,90.20652770996094
2019-06-13,90.05951690673828
2019-06-14,90.2157211303711
2019-06-17,89.18656158447266
2019-06-18,89.30604553222656
2019-06-19,89.95843505859375
2019-06-20,89.56331634521484
2019-06-21,89.14983367919922
2019-06-24,90.12382507324219
2019-06-25,90.61083984375
2019-06-26,89.65522003173828
2019-06-27,91.2724380493164
2019-06-28,91.65835571289062
2019-07-01,92.65076446533203
2019-07-02,93.79017639160156
2019-07-03,94.57122802734375
2019-07-05,94.41502380371094
2019-07-08,93.7258529663086
2019-07-09,93.75341796875
2019-07-10,93.85957336425781
2019-07-11,94.0626220703125
2019-07-12,94.89332580566406
2019-07-15,95.087158203125
2019-07-16,94.69026947021484
2019-07-17,93.37037658691406
2019-07-18,93.73957061767578
2019-07-19,92.8534927368164
2019-07-22,93.20425415039062
2019-07-23,93.656494140625
2019-07-24,94.21952056884766
2019-07-25,93.90570831298828
2019-07-26,94.56103515625
2019-07-29,95.18868255615234
2019-07-30,92.71505737304688
2019-07-31,91.19210815429688
2019-08-01,91.01673126220703
2019-08-02,91.31209564208984
2019-08-05,88.35851287841797
2019-08-06,90.139892578125
2019-08-07,89.57687377929688
2019-08-08,91.9858627319336
2019-08-09,91.6351547241211
2019-08-12,90.139892578125
2019-08-13,91.57976531982422
2019-08-14,88.72769927978516
2019-08-15,89.21688842773438
2019-08-16,90.25064086914062
2019-08-19,91.01673126220703
2019-08-20,89.72451782226562
2019-08-21,90.26910400390625
2019-08-22,90.61060333251953
2019-08-23,88.29388427734375
2019-08-26,89.51225280761719
2019-08-27,90.04759216308594
2019-08-28,90.21372985839844
2019-08-29,91.56128692626953
2019-08-30,92.19815826416016
2019-09-03,91.19210815429688
2019-09-04,92.27202606201172
2019-09-05,93.26886749267578
2019-09-06,93.1396484375
2019-09-09,92.1797103881836
2019-09-10,90.52752685546875
2019-09-11,91.12750244140625
2019-09-12,92.00434112548828
2019-09-13,92.15203094482422
2019-09-16,92.32738494873047
2019-09-17,93.64727783203125
2019-09-18,93.79496002197266
2019-09-19,94.36721801757812
2019-09-20,93.13037872314453
2019-09-23,93.3334732055664
2019-09-24,92.78888702392578
2019-09-25,92.65966796875
2019-09-26,92.54888916015625
2019-09-27,92.07817840576172
2019-09-30,92.34587097167969
2019-10-01,90.73059844970703
2019-10-02,88.68154907226562
2019-10-03,89.10614776611328
2019-10-04,90.7859878540039
2019-10-07,90.11219787597656
2019-10-08,87.91545104980469
2019-10-09,88.2569808959961
2019-10-10,89.24466705322266
2019-10-11,90.04222106933594
2019-10-14,90.07006072998047
2019-10-15,90.58942413330078
2019-10-16,91.07164764404297
2019-10-17,91.30352020263672
2019-10-18,91.85997009277344
2019-10-21,92.4998779296875
2019-10-22,91.85997009277344
2019-10-23,91.8042984008789
2019-10-24,91.53536987304688
2019-10-25,90.48739624023438
2019-10-28,90.765625
2019-10-29,94.67927551269531
2019-10-30,96.0147705078125
2019-10-31,96.09821319580078
2019-11-01,96.70101928710938
2019-11-04,95.2357406616211
2019-11-05,94.31758880615234
2019-11-06,95.9405746459961
2019-11-07,95.69943237304688
2019-11-08,95.81072998046875
2019-11-11,95.90347290039062
2019-11-12,96.58975219726562
2019-11-13,97.3687744140625
2019-11-14,97.69337463378906
2019-11-15,97.84174346923828
2019-11-18,98.52804565429688
2019-11-19,99.3998031616211
2019-11-20,99.3812484741211
2019-11-21,99.34414672851562
2019-11-22,100.09537506103516
2019-11-25,100.1602783203125
2019-11-26,100.32720184326172
2019-11-27,100.4848861694336
2019-11-29,100.2251968383789
2019-12-02,99.16795349121094
2019-12-03,98.33329010009766
2019-12-04,99.34414672851562
2019-12-05,99.57601928710938
2019-12-06,100.39213562011719
2019-12-09,100.4756088256836
2019-12-10,100.8094711303711
2019-12-11,101.05986785888672
2019-12-12,102.2747802734375
2019-12-13,102.51592254638672
2019-12-16,103.54531860351562
2019-12-17,103.91629028320312
2019-12-18,103.43402099609375
2019-12-19,104.06466674804688
2019-12-20,104.16670227050781
2019-12-23,103.2021713256836
2019-12-24,103.47113037109375
2019-12-26,103.7215576171875
2019-12-27,103.89773559570312
2019-12-30,103.7122573852539
2019-12-31,103.32273864746094
2020-01-02,103.91629028320312
2020-01-03,103.75862121582031
2020-01-06,103.78645324707031
2020-01-07,103.47113037109375
2020-01-08,103.16509246826172
2020-01-09,103.89773559570312
2020-01-10,103.59169006347656
2020-01-13,103.86994171142578
2020-01-14,103.41551208496094
2020-01-15,104.06466674804688
2020-01-16,104.63038635253906
2020-01-17,105.86385345458984
2020-01-21,105.68765258789062
2020-01-22,105.363037109375
2020-01-23,105.93804931640625
2020-01-24,105.60417175292969
2020-01-27,104.79733276367188
2020-01-28,107.21368408203125
2020-01-29,107.95861053466797
2020-01-30,106.71086120605469
2020-01-31,104.15948486328125
2020-02-03,105.64002227783203
2020-02-04,106.8319091796875
2020-02-05,108.65699768066406
2020-02-06,108.43350219726562
2020-02-07,108.64766693115234
2020-02-10,109.47640991210938
