,ETR
2018-09-06,29.14584732055664
2018-09-07,28.86641502380371
2018-09-10,29.029987335205078
2018-09-11,28.79145050048828
2018-09-12,28.638097763061523
2018-09-13,28.699440002441406
2018-09-14,28.54268455505371
2018-09-17,28.76759147644043
2018-09-18,28.60062026977539
2018-09-19,27.90886116027832
2018-09-20,28.109905242919922
2018-09-21,28.137168884277344
2018-09-24,27.820261001586914
2018-09-25,27.32274055480957
2018-09-26,26.951295852661133
2018-09-27,27.2375431060791
2018-09-28,27.646461486816406
2018-10-01,27.482900619506836
2018-10-02,27.885005950927734
2018-10-03,27.373851776123047
2018-10-04,27.670320510864258
2018-10-05,28.201921463012695
2018-10-08,28.50179672241211
2018-10-09,28.430227279663086
2018-10-10,28.266658782958984
2018-10-11,27.670320510864258
2018-10-12,27.721433639526367
2018-10-15,27.891815185546875
2018-10-16,28.18829345703125
2018-10-17,28.157625198364258
2018-10-18,28.150800704956055
2018-10-19,28.665363311767578
2018-10-22,28.409791946411133
2018-10-23,28.334808349609375
2018-10-24,29.104949951171875
2018-10-25,28.45408821105957
2018-10-26,28.08946990966797
2018-10-29,28.627878189086914
2018-10-30,28.263256072998047
2018-10-31,28.607425689697266
2018-11-01,28.287111282348633
2018-11-02,28.372303009033203
2018-11-05,28.750553131103516
2018-11-06,29.108354568481445
2018-11-07,29.38046646118164
2018-11-08,29.321903228759766
2018-11-09,29.47001838684082
2018-11-12,29.590572357177734
2018-11-13,29.58712387084961
2018-11-14,29.445905685424805
2018-11-15,29.611228942871094
2018-11-16,29.731792449951172
2018-11-19,29.883344650268555
2018-11-20,29.73523712158203
2018-11-21,29.39768409729004
2018-11-23,29.40457534790039
2018-11-26,29.573339462280273
2018-11-27,29.721454620361328
2018-11-28,29.64912986755371
2018-11-29,29.576797485351562
2018-11-30,29.986679077148438
2018-12-03,30.244993209838867
2018-12-04,30.647985458374023
2018-12-06,30.396556854248047
2018-12-07,30.468881607055664
2018-12-10,30.7065486907959
2018-12-11,30.858091354370117
2018-12-12,30.623886108398438
2018-12-13,31.157758712768555
2018-12-14,30.923540115356445
2018-12-17,29.890226364135742
2018-12-18,29.99700927734375
2018-12-19,29.9108943939209
2018-12-20,30.083110809326172
2018-12-21,29.883344650268555
2018-12-24,28.670921325683594
2018-12-26,29.08425521850586
2018-12-27,29.394237518310547
2018-12-28,29.445905685424805
2018-12-31,29.64568519592285
2019-01-02,28.932703018188477
2019-01-03,28.991247177124023
2019-01-04,29.208248138427734
2019-01-07,29.07047462463379
2019-01-08,29.58712387084961
2019-01-09,29.432130813598633
2019-01-10,29.83856773376465
2019-01-11,29.5595703125
2019-01-14,29.177249908447266
