,WM
2020-04-29,93.33489227294922
2020-04-30,92.48420715332031
2020-05-01,90.81059265136719
2020-05-04,92.05887603759766
2020-05-05,91.55956268310547
2020-05-06,89.50682067871094
2020-05-07,93.80646514892578
2020-05-08,93.3626480102539
2020-05-11,92.92803955078125
2020-05-12,90.90304565429688
2020-05-13,89.24790954589844
2020-05-14,89.85819244384766
2020-05-15,88.7023696899414
2020-05-18,92.15133666992188
2020-05-19,90.92155456542969
2020-05-20,91.95716094970703
2020-05-21,91.47632598876953
2020-05-22,91.46707153320312
2020-05-26,93.9451675415039
2020-05-27,96.44175720214844
2020-05-28,98.47598266601562
2020-05-29,98.7071533203125
2020-06-01,98.02289581298828
2020-06-02,99.33590698242188
2020-06-03,101.90647888183594
2020-06-04,100.3499755859375
2020-06-05,104.2621078491211
2020-06-08,105.49803924560547
2020-06-09,103.37931823730469
2020-06-10,101.59517669677734
2020-06-11,95.89886474609375
2020-06-12,96.54003143310547
2020-06-15,97.09759521484375
2020-06-16,98.22197723388672
2020-06-17,98.22197723388672
2020-06-18,97.23697662353516
2020-06-19,94.57001495361328
2020-06-22,96.36347198486328
2020-06-23,96.51217651367188
2020-06-24,94.19831848144531
2020-06-25,95.14616394042969
2020-06-26,95.53643798828125
2020-06-29,96.23338317871094
2020-06-30,98.41712188720703
2020-07-01,97.6551284790039
2020-07-02,97.54362487792969
2020-07-06,97.76664733886719
2020-07-07,97.21839904785156
2020-07-08,95.82449340820312
2020-07-09,94.85808563232422
2020-07-10,96.47499084472656
2020-07-13,96.94889831542969
2020-07-14,98.68660736083984
2020-07-15,99.23486328125
2020-07-16,99.85745239257812
2020-07-17,101.0097427368164
2020-07-20,99.03043365478516
2020-07-21,99.91322326660156
2020-07-22,100.55441284179688
2020-07-23,100.38716125488281
2020-07-24,99.69021606445312
2020-07-27,99.49506378173828
2020-07-28,99.91322326660156
2020-07-29,101.89252471923828
2020-07-30,101.64163970947266
2020-07-31,101.8460693359375
2020-08-03,101.26990509033203
2020-08-04,101.12124633789062
2020-08-05,101.45576477050781
2020-08-06,102.56159210205078
2020-08-07,104.74533081054688
2020-08-10,103.71387481689453
2020-08-11,103.69528198242188
2020-08-12,104.30857849121094
2020-08-13,103.46297454833984
2020-08-14,103.58378601074219
2020-08-17,103.02621459960938
2020-08-18,103.15631103515625
2020-08-19,102.73814392089844
2020-08-20,102.35714721679688
2020-08-21,103.29571533203125
2020-08-24,104.55017852783203
2020-08-25,105.18209838867188
2020-08-26,105.84185791015625
2020-08-27,106.18567657470703
2020-08-28,105.94404602050781
2020-08-31,105.93478393554688
2020-09-01,105.60025024414062
2020-09-02,106.07415008544922
2020-09-03,103.8472671508789
2020-09-04,103.83793640136719
2020-09-08,103.13764953613281
2020-09-09,105.09841918945312
2020-09-10,104.27677154541016
2020-09-11,105.64933776855469
2020-09-14,108.64654541015625
2020-09-15,109.3094711303711
2020-09-16,109.10404968261719
2020-09-17,107.89957427978516
2020-09-18,107.6287841796875
2020-09-21,106.72309112548828
2020-09-22,107.34866333007812
2020-09-23,104.32344818115234
2020-09-24,103.92195129394531
2020-09-25,106.09751892089844
2020-09-28,106.48033142089844
2020-09-29,105.89208984375
2020-09-30,105.6679916381836
2020-10-01,105.40656280517578
2020-10-02,106.34027099609375
2020-10-05,106.66706085205078
2020-10-06,105.74270629882812
2020-10-07,106.3309326171875
2020-10-08,107.09656524658203
2020-10-09,107.70347595214844
2020-10-12,109.0760269165039
2020-10-13,107.84353637695312
2020-10-14,106.98454284667969
2020-10-15,107.6287841796875
2020-10-16,108.18901824951172
2020-10-19,106.16284942626953
2020-10-20,106.73242950439453
2020-10-21,106.60172271728516
2020-10-22,108.09565734863281
2020-10-23,108.96398162841797
2020-10-26,105.88275146484375
2020-10-27,103.29637145996094
2020-10-28,99.8696517944336
2020-10-29,100.42054748535156
2020-10-30,100.75669860839844
2020-11-02,103.33373260498047
2020-11-03,107.10591888427734
2020-11-04,108.35708618164062
2020-11-05,111.75578308105469
2020-11-06,111.37296295166016
2020-11-09,112.94160461425781
2020-11-10,115.20117950439453
2020-11-11,114.65962219238281
2020-11-12,113.06298828125
2020-11-13,113.83795928955078
2020-11-16,113.90332794189453
2020-11-17,113.25904846191406
2020-11-18,112.54010772705078
2020-11-19,112.58680725097656
2020-11-20,112.37203216552734
2020-11-23,112.14795684814453
2020-11-24,112.44672393798828
2020-11-25,111.7091064453125
2020-11-27,111.28893280029297
2020-11-30,111.23290252685547
2020-12-01,111.7091064453125
2020-12-02,109.36549377441406
2020-12-03,109.88612365722656
2020-12-04,110.26134490966797
2020-12-07,109.53903198242188
2020-12-08,109.52027893066406
2020-12-09,109.36080932617188
2020-12-10,107.82234191894531
2020-12-11,108.26326751708984
2020-12-14,107.67224884033203
2020-12-15,109.54841613769531
2020-12-16,108.89176177978516
2020-12-17,110.23320770263672
2020-12-18,110.139404296875
2020-12-21,109.29512786865234
2020-12-22,110.6178207397461
2020-12-23,109.05123138427734
2020-12-24,109.75479125976562
2020-12-28,110.77729797363281
2020-12-29,109.58592224121094
2020-12-30,109.68914794921875
2020-12-31,110.62721252441406
2021-01-04,107.71917724609375
2021-01-05,108.07563781738281
2021-01-06,110.46773529052734
2021-01-07,110.73978424072266
2021-01-08,111.25569915771484
2021-01-11,109.7923355102539
2021-01-12,109.19195556640625
2021-01-13,109.01373291015625
2021-01-14,107.54094696044922
2021-01-15,107.6159896850586
2021-01-19,107.88802337646484
2021-01-20,107.92556762695312
2021-01-21,107.48465728759766
2021-01-22,108.21635437011719
2021-01-25,107.11880493164062
2021-01-26,106.89366912841797
2021-01-27,104.08882141113281
2021-01-28,105.16761016845703
2021-01-29,104.42652130126953
2021-02-01,105.14884185791016
2021-02-02,106.00249481201172
2021-02-03,105.27081298828125
2021-02-04,106.07752227783203
2021-02-05,106.68728637695312
2021-02-08,107.29703521728516
2021-02-09,106.5184555053711
2021-02-10,106.6497802734375
2021-02-11,106.20889282226562
2021-02-12,106.23701477050781
2021-02-16,105.62726593017578
2021-02-17,105.26141357421875
2021-02-18,106.4058837890625
2021-02-19,104.71733093261719
2021-02-22,103.71358489990234
2021-02-23,103.11322784423828
2021-02-24,104.9424819946289
2021-02-25,105.31771087646484
2021-02-26,104.02316284179688
2021-03-01,105.51469421386719
2021-03-02,107.25013732910156
2021-03-03,106.91243743896484
2021-03-04,108.366455078125
2021-03-05,111.33075714111328
2021-03-08,114.19190216064453
2021-03-09,112.19380187988281
2021-03-10,114.15438079833984
2021-03-11,113.10343170166016
2021-03-12,114.79057312011719
2021-03-15,115.57288360595703
2021-03-16,115.8462142944336
2021-03-17,112.1514892578125
2021-03-18,114.8942642211914
2021-03-19,114.58319854736328
2021-03-22,116.2797622680664
2021-03-23,116.96781921386719
2021-03-24,117.64642333984375
2021-03-25,120.1064453125
2021-03-26,122.34024047851562
2021-03-29,122.84918212890625
2021-03-30,121.8501205444336
2021-03-31,121.60506439208984
2021-04-01,121.8501205444336
2021-04-05,123.46184539794922
2021-04-06,124.03679656982422
2021-04-07,124.80023193359375
2021-04-08,125.2055435180664
2021-04-09,126.93976593017578
2021-04-12,126.74182891845703
2021-04-13,126.73241424560547
2021-04-14,126.18575286865234
2021-04-15,126.78894805908203
2021-04-16,127.28852844238281
2021-04-19,126.70413208007812
2021-04-20,127.11885070800781
2021-04-21,127.76920318603516
2021-04-22,127.00574493408203
2021-04-23,127.71265411376953
2021-04-26,126.23287963867188
2021-04-27,127.29792785644531
2021-04-28,128.40069580078125
2021-04-29,129.29611206054688
2021-04-30,130.0406951904297
2021-05-03,132.2744903564453
2021-05-04,132.78343200683594
2021-05-05,133.49974060058594
2021-05-06,133.3489532470703
2021-05-07,133.2547149658203
2021-05-10,135.02664184570312
2021-05-11,133.0850372314453
2021-05-12,130.23863220214844
2021-05-13,133.29238891601562
2021-05-14,133.7825164794922
2021-05-17,133.37722778320312
2021-05-18,132.39700317382812
2021-05-19,131.15286254882812
2021-05-20,132.35928344726562
2021-05-21,132.86827087402344
2021-05-24,133.00022888183594
2021-05-25,132.60438537597656
2021-05-26,131.7372283935547
2021-05-27,132.472412109375
2021-05-28,132.5949249267578
2021-06-01,132.02003479003906
2021-06-02,133.00962829589844
2021-06-03,133.04278564453125
2021-06-04,133.2036895751953
2021-06-07,132.08694458007812
2021-06-08,131.86924743652344
2021-06-09,132.09642028808594
2021-06-10,132.42759704589844
2021-06-11,132.40872192382812
2021-06-14,132.73046875
2021-06-15,133.30776977539062
2021-06-16,132.32351684570312
2021-06-17,131.8314208984375
2021-06-18,129.72097778320312
2021-06-21,131.88816833496094
2021-06-22,132.1815643310547
2021-06-23,131.09323120117188
2021-06-24,131.11215209960938
2021-06-25,131.651611328125
2021-06-28,131.7178192138672
2021-06-29,131.9828338623047
2021-06-30,132.5979766845703
2021-07-01,133.60110473632812
2021-07-02,134.3582763671875
2021-07-06,135.1153564453125
2021-07-07,136.3172607421875
2021-07-08,134.5475616455078
2021-07-09,135.37088012695312
2021-07-12,135.4371795654297
2021-07-13,134.87876892089844
2021-07-14,136.2699737548828
2021-07-15,137.56649780273438
2021-07-16,137.98289489746094
2021-07-19,135.9292755126953
2021-07-20,137.38670349121094
2021-07-21,137.0838623046875
2021-07-22,137.2068634033203
2021-07-23,138.541259765625
2021-07-26,138.82516479492188
2021-07-27,139.0806884765625
2021-07-28,137.85986328125
2021-07-29,138.3709259033203
2021-07-30,140.31101989746094
2021-08-02,139.3740997314453
2021-08-03,141.39935302734375
2021-08-04,140.8788299560547
2021-08-05,140.37725830078125
2021-08-06,139.91354370117188
2021-08-09,139.3362274169922
2021-08-10,139.0996856689453
2021-08-11,141.13436889648438
2021-08-12,142.03343200683594
2021-08-13,142.53500366210938
2021-08-16,143.7842559814453
2021-08-17,143.56658935546875
2021-08-18,141.54132080078125
2021-08-19,143.49085998535156
2021-08-20,144.74012756347656
2021-08-23,143.6233673095703
2021-08-24,144.21957397460938
2021-08-25,144.63597106933594
2021-08-26,145.3647003173828
2021-08-27,145.8852081298828
2021-08-30,146.8126678466797
2021-08-31,146.7937469482422
2021-09-01,147.4940948486328
2021-09-02,148.0022735595703
2021-09-03,147.6128387451172
2021-09-07,145.580078125
2021-09-08,146.51095581054688
2021-09-09,146.093017578125
2021-09-10,146.71041870117188
2021-09-13,147.35635375976562
2021-09-14,146.8339080810547
2021-09-15,147.83126831054688
2021-09-16,146.17849731445312
2021-09-17,145.02911376953125
2021-09-20,145.0765838623047
2021-09-21,145.09559631347656
2021-09-22,145.73202514648438
2021-09-23,145.8080291748047
2021-09-24,146.46343994140625
2021-09-27,144.43067932128906
2021-09-28,142.4074249267578
2021-09-29,144.00320434570312
2021-09-30,141.87551879882812
2021-10-01,142.33140563964844
2021-10-04,141.37205505371094
2021-10-05,142.34095764160156
2021-10-06,143.6992645263672
2021-10-07,146.27349853515625
2021-10-08,146.96690368652344
2021-10-11,146.3589630126953
2021-10-12,146.7199249267578
2021-10-13,147.20437622070312
2021-10-14,150.04454040527344
2021-10-15,150.24403381347656
2021-10-18,149.28460693359375
2021-10-19,150.8804168701172
2021-10-20,152.45726013183594
2021-10-21,153.7681121826172
2021-10-22,156.1808319091797
2021-10-25,153.0746612548828
2021-10-26,151.29837036132812
2021-10-27,147.37535095214844
2021-10-28,149.6075897216797
2021-10-29,152.20077514648438
2021-11-01,151.29837036132812
2021-11-02,153.15069580078125
2021-11-03,151.7163543701172
2021-11-04,152.65673828125
2021-11-05,151.8778076171875
2021-11-08,152.02980041503906
2021-11-09,151.58335876464844
2021-11-10,153.9580841064453
2021-11-11,153.16017150878906
2021-11-12,154.81298828125
2021-11-15,154.8319854736328
2021-11-16,156.3802947998047
2021-11-17,157.12118530273438
2021-11-18,156.24729919433594
2021-11-19,155.20245361328125
2021-11-22,154.8509521484375
2021-11-23,156.57977294921875
2021-11-24,157.41567993164062
2021-11-26,155.2784423828125
2021-11-29,158.4700469970703
2021-11-30,152.61874389648438
2021-12-01,152.46673583984375
2021-12-02,156.0941162109375
2021-12-03,155.5983428955078
2021-12-06,155.84619140625
2021-12-07,156.58026123046875
2021-12-08,155.8939208984375
2021-12-09,155.1884307861328
2021-12-10,157.02833557128906
2021-12-13,156.56118774414062
2021-12-14,154.9882354736328
2021-12-15,154.94058227539062
2021-12-16,158.28668212890625
2021-12-17,153.7775421142578
2021-12-20,153.09117126464844
2021-12-21,152.55731201171875
2021-12-22,153.1579132080078
2021-12-23,154.3781280517578
2021-12-27,156.14169311523438
2021-12-28,157.4287109375
2021-12-29,158.61080932617188
2021-12-30,157.9911651611328
2021-12-31,159.1065216064453
2022-01-03,155.14076232910156
2022-01-04,156.62794494628906
2022-01-05,154.28282165527344
2022-01-06,155.2456512451172
2022-01-07,154.20654296875
2022-01-10,151.96627807617188
2022-01-11,152.01394653320312
2022-01-12,151.98532104492188
2022-01-13,150.09780883789062
2022-01-14,149.33514404296875
2022-01-18,148.09584045410156
2022-01-19,147.83847045898438
2022-01-20,146.0748748779297
2022-01-21,144.33030700683594
2022-01-24,142.79547119140625
2022-01-25,141.09861755371094
2022-01-26,141.05093383789062
2022-01-27,139.42080688476562
2022-01-28,140.9937286376953
2022-01-31,143.41514587402344
2022-02-01,142.76687622070312
2022-02-02,141.20347595214844
2022-02-03,139.5923614501953
2022-02-04,138.2577362060547
2022-02-07,138.31494140625
2022-02-08,138.37213134765625
2022-02-09,139.7925567626953
2022-02-10,137.10426330566406
2022-02-11,135.9793701171875
2022-02-14,135.1499786376953
2022-02-15,136.01748657226562
2022-02-16,135.9126434326172
2022-02-17,136.37974548339844
2022-02-18,135.683837890625
2022-02-22,134.92117309570312
2022-02-23,134.03460693359375
2022-02-24,135.28343200683594
2022-02-25,138.38169860839844
2022-02-28,137.6571807861328
2022-03-01,139.73536682128906
2022-03-02,143.1482391357422
2022-03-03,145.67446899414062
2022-03-04,150.45050048828125
2022-03-07,148.57252502441406
2022-03-08,141.05093383789062
2022-03-09,142.97659301757812
2022-03-10,144.37794494628906
2022-03-11,144.3970489501953
2022-03-14,147.23788452148438
2022-03-15,147.9242401123047
2022-03-16,147.90512084960938
2022-03-17,148.98684692382812
2022-03-18,149.02517700195312
2022-03-21,149.36981201171875
2022-03-22,148.22105407714844
2022-03-23,146.99569702148438
2022-03-24,148.4220428466797
2022-03-25,149.60911560058594
2022-03-28,151.4088897705078
2022-03-29,151.01637268066406
2022-03-30,152.64382934570312
2022-03-31,151.73434448242188
2022-04-01,152.9884490966797
2022-04-04,152.58639526367188
2022-04-05,153.7351531982422
2022-04-06,154.223388671875
2022-04-07,156.78900146484375
2022-04-08,158.10049438476562
2022-04-11,157.1527557373047
2022-04-12,154.94140625
2022-04-13,152.9214324951172
2022-04-14,152.3662109375
2022-04-18,151.2653045654297
2022-04-19,152.2896270751953
2022-04-20,153.7351531982422
2022-04-21,154.2808380126953
2022-04-22,150.78663635253906
2022-04-25,149.30282592773438
2022-04-26,157.1431884765625
2022-04-27,160.30233764648438
2022-04-28,162.4084014892578
2022-04-29,157.42080688476562
2022-05-02,152.25132751464844
2022-05-03,152.5289306640625
2022-05-04,155.40086364746094
2022-05-05,151.86839294433594
2022-05-06,154.87435913085938
2022-05-09,152.4427947998047
2022-05-10,150.2505340576172
2022-05-11,151.04510498046875
2022-05-12,148.84326171875
2022-05-13,151.15997314453125
2022-05-16,150.7100372314453
2022-05-17,150.51856994628906
2022-05-18,146.5265655517578
2022-05-19,146.2489471435547
2022-05-20,147.90512084960938
2022-05-23,149.4176788330078
2022-05-24,150.872802734375
2022-05-25,149.3506622314453
2022-05-26,151.24612426757812
2022-05-27,154.12765502929688
2022-05-31,151.74395751953125
2022-06-01,151.7631072998047
2022-06-02,153.2049560546875
2022-06-03,152.9550323486328
2022-06-06,151.8207550048828
2022-06-07,153.6086883544922
2022-06-08,150.974853515625
2022-06-09,147.40863037109375
2022-06-10,145.54376220703125
2022-06-13,142.13131713867188
2022-06-14,139.9781036376953
2022-06-15,139.77622985839844
2022-06-16,136.8251953125
2022-06-17,135.2006378173828
2022-06-21,138.41127014160156
2022-06-22,139.2956085205078
2022-06-23,141.4872589111328
2022-06-24,144.4863739013672
2022-06-27,143.73658752441406
2022-06-28,143.1117706298828
2022-06-29,145.38998413085938
2022-06-30,147.05291748046875
2022-07-01,149.61947631835938
2022-07-05,145.82252502441406
2022-07-06,148.5717315673828
2022-07-07,147.61044311523438
2022-07-08,146.84144592285156
2022-07-11,146.66844177246094
2022-07-12,145.178466796875
2022-07-13,144.60174560546875
2022-07-14,145.21693420410156
2022-07-15,146.12051391601562
2022-07-18,143.48666381835938
2022-07-19,146.2454833984375
2022-07-20,146.83184814453125
2022-07-21,149.23495483398438
2022-07-22,148.92738342285156
2022-07-25,149.85980224609375
2022-07-26,149.00425720214844
2022-07-27,153.12808227539062
2022-07-28,158.19390869140625
2022-07-29,158.1842498779297
2022-08-01,157.03074645996094
2022-08-02,157.00193786621094
2022-08-03,159.74151611328125
2022-08-04,162.57723999023438
2022-08-05,162.28883361816406
2022-08-08,162.932861328125
2022-08-09,163.31736755371094
2022-08-10,163.48080444335938
2022-08-11,163.16357421875
2022-08-12,165.0861053466797
2022-08-15,166.00889587402344
2022-08-16,168.03712463378906
2022-08-17,168.49855041503906
2022-08-18,168.21017456054688
2022-08-19,167.566162109375
2022-08-22,167.48922729492188
2022-08-23,166.71060180664062
2022-08-24,166.75868225097656
2022-08-25,167.86416625976562
2022-08-26,164.864990234375
2022-08-29,165.0764923095703
2022-08-30,164.11520385742188
2022-08-31,162.48106384277344
2022-09-01,163.45196533203125
2022-09-02,161.92355346679688
2022-09-06,162.60606384277344
2022-09-07,166.99899291992188
2022-09-08,167.48143005371094
2022-09-09,167.30775451660156
2022-09-12,167.60687255859375
2022-09-13,165.1947021484375
2022-09-14,165.6964111328125
2022-09-15,165.02101135253906
2022-09-16,163.390380859375
2022-09-19,164.90525817871094
2022-09-20,163.7377471923828
2022-09-21,162.95620727539062
2022-09-22,161.0071563720703
2022-09-23,159.91690063476562
2022-09-26,159.4151611328125
2022-09-27,157.4853973388672
2022-09-28,158.88446044921875
2022-09-29,156.221435546875
2022-09-30,154.58114624023438
2022-10-03,159.28968811035156
2022-10-04,162.27114868164062
2022-10-05,160.775634765625
2022-10-06,153.7996063232422
2022-10-07,149.78578186035156
2022-10-10,150.03663635253906
2022-10-11,150.77960205078125
2022-10-12,148.92706298828125
2022-10-13,151.85060119628906
2022-10-14,149.29371643066406
2022-10-17,152.275146484375
2022-10-18,155.45919799804688
2022-10-19,155.8258514404297
2022-10-20,153.68385314941406
2022-10-21,154.2145538330078
2022-10-24,156.97402954101562
2022-10-25,159.25112915039062
2022-10-26,154.349609375
2022-10-27,152.73828125
2022-10-28,152.3619842529297
2022-10-31,152.80580139160156
