,XOM
2015-08-24,45.950103759765625
2015-08-25,45.94341278076172
2015-08-26,48.477622985839844
2015-08-27,50.0489616394043
2015-08-28,50.19607162475586
2015-08-31,50.30975341796875
2015-09-01,48.19679641723633
2015-09-02,48.96574783325195
2015-09-03,49.340187072753906
2015-09-04,48.45088195800781
2015-09-08,49.14628982543945
2015-09-09,48.14328384399414
2015-09-10,48.49099349975586
2015-09-11,48.604671478271484
2015-09-14,48.47093200683594
2015-09-15,48.71834182739258
2015-09-16,49.68120574951172
2015-09-17,49.7881965637207
2015-09-18,48.59797286987305
2015-09-21,49.072723388671875
2015-09-22,48.63810348510742
2015-09-23,48.34389114379883
2015-09-24,48.63141632080078
2015-09-25,48.96574783325195
2015-09-28,48.544490814208984
2015-09-29,48.79189682006836
2015-09-30,49.714637756347656
2015-10-01,49.52071762084961
2015-10-02,50.73768615722656
2015-10-05,51.35953903198242
2015-10-06,52.08168029785156
2015-10-07,52.957637786865234
2015-10-08,53.51261520385742
2015-10-09,52.99775695800781
2015-10-12,53.02450180053711
2015-10-13,52.9308967590332
2015-10-14,53.599544525146484
2015-10-15,54.48215866088867
2015-10-16,55.15082550048828
2015-10-19,54.15451431274414
2015-10-20,54.04753494262695
2015-10-21,53.63296890258789
2015-10-22,55.42496109008789
2015-10-23,55.48514175415039
2015-10-26,54.30829620361328
2015-10-27,54.221378326416016
2015-10-28,55.01707077026367
2015-10-29,54.98366928100586
2015-10-30,55.32468032836914
2015-11-02,57.0230712890625
2015-11-03,58.07284927368164
2015-11-04,57.49109649658203
2015-11-05,56.708797454833984
2015-11-06,56.48145294189453
2015-11-09,55.27411651611328
2015-11-10,55.543907165527344
2015-11-11,55.0515251159668
2015-11-12,53.5609245300293
2015-11-13,52.67734909057617
2015-11-16,54.56590270996094
2015-11-17,53.931884765625
2015-11-18,54.457984924316406
2015-11-19,54.16122055053711
2015-11-20,53.81723403930664
2015-11-23,54.147735595703125
2015-11-24,55.226890563964844
2015-11-25,54.80198287963867
2015-11-27,54.78850555419922
2015-11-30,55.078521728515625
2015-12-01,55.2336311340332
2015-12-02,53.65535354614258
2015-12-03,52.88644027709961
2015-12-04,53.18996047973633
2015-12-07,51.80052947998047
2015-12-08,50.336875915527344
2015-12-09,51.01136016845703
2015-12-10,51.05183029174805
2015-12-11,50.14127731323242
2015-12-14,51.28116226196289
2015-12-15,53.57442092895508
2015-12-16,53.385555267333984
2015-12-17,52.58291244506836
2015-12-18,52.124267578125
2015-12-21,52.110782623291016
2015-12-22,52.37383270263672
2015-12-23,54.08701705932617
2015-12-24,53.5069694519043
2015-12-28,53.1090087890625
2015-12-29,53.39231872558594
2015-12-30,52.68408966064453
2015-12-31,52.576175689697266
2016-01-04,52.24568557739258
2016-01-05,52.69083023071289
2016-01-06,52.25243377685547
2016-01-07,51.41606140136719
2016-01-08,50.37733840942383
2016-01-11,49.702877044677734
2016-01-12,50.721343994140625
2016-01-13,51.02485275268555
2016-01-14,53.36531448364258
2016-01-15,52.32662582397461
2016-01-19,51.530723571777344
2016-01-20,49.35887908935547
2016-01-21,49.979408264160156
2016-01-22,51.64535903930664
2016-01-25,49.89847183227539
2016-01-26,51.73305892944336
2016-01-27,50.782039642333984
2016-01-28,51.928680419921875
2016-01-29,52.508731842041016
2016-02-01,51.4565315246582
2016-02-02,50.309906005859375
2016-02-03,52.93364334106445
2016-02-04,53.84421157836914
2016-02-05,54.01283264160156
2016-02-08,54.74128341674805
2016-02-09,54.50306701660156
2016-02-10,54.00620651245117
2016-02-11,54.176368713378906
2016-02-12,55.1496467590332
2016-02-16,55.27894973754883
2016-02-17,55.80982971191406
2016-02-18,56.11609649658203
2016-02-19,56.1501350402832
2016-02-22,56.07526397705078
2016-02-23,55.2857551574707
2016-02-24,55.483131408691406
2016-02-25,55.8166389465332
2016-02-26,55.639671325683594
2016-02-29,54.55070495605469
2016-03-01,55.31978225708008
2016-03-02,56.286258697509766
2016-03-03,56.082069396972656
2016-03-04,56.00719451904297
2016-03-07,57.48412322998047
2016-03-08,56.238609313964844
2016-03-09,56.082069396972656
2016-03-10,55.93233108520508
2016-03-11,55.939144134521484
2016-03-14,56.088871002197266
2016-03-15,56.367916107177734
2016-03-16,56.4019660949707
2016-03-17,57.23910140991211
2016-03-18,57.30715560913086
2016-03-21,56.91240310668945
2016-03-22,57.252716064453125
2016-03-23,57.000892639160156
2016-03-24,57.15742111206055
2016-03-28,57.32079315185547
2016-03-29,57.53178024291992
2016-03-30,57.52494812011719
2016-03-31,56.89199447631836
2016-04-01,56.46320724487305
2016-04-04,56.59933853149414
2016-04-05,55.95275115966797
2016-04-06,56.70142364501953
2016-04-07,56.06163787841797
2016-04-08,56.63336181640625
2016-04-11,56.70823287963867
2016-04-12,57.40925979614258
2016-04-13,57.73595428466797
2016-04-14,58.14430236816406
2016-04-15,57.83123016357422
2016-04-18,58.38250732421875
2016-04-19,58.6751823425293
2016-04-20,59.07674026489258
2016-04-21,59.069942474365234
2016-04-22,59.573604583740234
2016-04-25,59.43746566772461
2016-04-26,59.64164352416992
2016-04-27,60.206565856933594
2016-04-28,59.91388702392578
2016-04-29,60.16572570800781
2016-05-02,60.66254806518555
2016-05-03,59.96832275390625
2016-05-04,59.852638244628906
2016-05-05,59.92070388793945
2016-05-06,60.2405891418457
2016-05-09,60.28142166137695
2016-05-10,61.24787902832031
2016-05-11,60.9527587890625
2016-05-12,61.543006896972656
2016-05-13,60.84981918334961
2016-05-16,61.47437286376953
2016-05-17,61.44691467285156
2016-05-18,61.32337188720703
2016-05-19,61.84499740600586
2016-05-20,61.591060638427734
2016-05-23,61.49497604370117
2016-05-24,61.543006896972656
2016-05-25,61.94794464111328
2016-05-26,61.63223648071289
2016-05-27,61.776371002197266
2016-05-31,61.09690856933594
2016-06-01,61.247886657714844
2016-06-02,60.760589599609375
2016-06-03,60.650787353515625
2016-06-06,61.3165168762207
