,NTAP
2018-06-08,62.003936767578125
2018-06-11,63.03803253173828
2018-06-12,63.52173614501953
2018-06-13,63.47169876098633
2018-06-14,64.63087463378906
2018-06-15,64.79766082763672
2018-06-18,65.206298828125
2018-06-19,64.95611572265625
2018-06-20,65.1812973022461
2018-06-21,64.83937072753906
2018-06-22,64.18054962158203
2018-06-25,64.16387176513672
2018-06-26,64.98946380615234
2018-06-27,63.66349792480469
2018-06-28,64.47242736816406
2018-06-29,65.48983764648438
2018-07-02,66.03191375732422
2018-07-03,64.45575714111328
2018-07-05,65.20181274414062
2018-07-06,66.03170013427734
2018-07-09,66.55148315429688
2018-07-10,66.42571258544922
2018-07-11,66.71913146972656
2018-07-12,68.61366271972656
2018-07-13,69.32617950439453
2018-07-16,68.61366271972656
2018-07-17,69.09982299804688
2018-07-18,68.93217468261719
2018-07-19,69.00764465332031
2018-07-20,68.74777221679688
2018-07-23,68.22803497314453
2018-07-24,65.88921356201172
2018-07-25,68.25318145751953
2018-07-26,68.14420318603516
2018-07-27,66.60173797607422
2018-07-30,64.79106903076172
2018-07-31,64.9838638305664
2018-08-01,65.8473129272461
2018-08-02,67.53225708007812
2018-08-03,68.47112274169922
2018-08-06,68.67231750488281
2018-08-07,68.73099517822266
2018-08-08,69.55252838134766
2018-08-09,69.23397827148438
2018-08-10,68.69746398925781
2018-08-13,67.33106231689453
2018-08-14,69.37649536132812
2018-08-15,69.13337707519531
2018-08-16,66.65205383300781
2018-08-17,68.03524017333984
2018-08-20,69.04953002929688
2018-08-21,68.65557098388672
2018-08-22,69.34296417236328
2018-08-23,69.7117919921875
2018-08-24,70.61712646484375
2018-08-27,71.22909545898438
2018-08-28,72.042236328125
2018-08-29,72.30210876464844
2018-08-30,72.77992248535156
2018-08-31,72.77154541015625
2018-09-04,73.7020263671875
2018-09-05,69.84590148925781
2018-09-06,69.92137908935547
2018-09-07,69.66988372802734
2018-09-10,70.047119140625
2018-09-11,71.35482025146484
2018-09-12,71.41349792480469
2018-09-13,71.6733627319336
2018-09-14,71.89971160888672
2018-09-17,69.94651794433594
2018-09-18,71.51412200927734
2018-09-19,70.4075698852539
2018-09-20,71.55601501464844
2018-09-21,72.80506134033203
2018-09-24,72.4278335571289
2018-09-25,72.2518081665039
2018-09-26,72.18474578857422
2018-09-27,71.79911041259766
2018-09-28,72.00029754638672
2018-10-01,72.21826934814453
2018-10-02,71.81590270996094
2018-10-03,71.89971160888672
2018-10-04,70.67008972167969
2018-10-05,69.33096313476562
