,LDOS
2020-08-11,90.1617202758789
2020-08-12,88.71460723876953
2020-08-13,88.6958236694336
2020-08-14,89.00591278076172
2020-08-17,86.6755142211914
2020-08-18,86.27146911621094
2020-08-19,87.0138168334961
2020-08-20,85.52912139892578
2020-08-21,83.79074096679688
2020-08-24,85.33179473876953
2020-08-25,85.15327453613281
2020-08-26,85.07808685302734
2020-08-27,86.14930725097656
2020-08-28,85.8016357421875
2020-08-31,85.03108978271484
2020-09-01,84.28875732421875
2020-09-02,86.1117172241211
2020-09-03,83.64037322998047
2020-09-04,83.15174865722656
2020-09-08,81.32878875732422
2020-09-09,81.91136169433594
2020-09-10,80.71800994873047
2020-09-11,81.91136169433594
2020-09-14,83.33584594726562
2020-09-15,83.71318817138672
2020-09-16,84.05278015136719
2020-09-17,85.1187744140625
2020-09-18,84.95841979980469
2020-09-21,83.42074584960938
2020-09-22,86.41116333007812
2020-09-23,84.90180969238281
2020-09-24,83.04340362548828
2020-09-25,86.76964569091797
2020-09-28,86.38287353515625
2020-09-29,85.43952178955078
2020-09-30,84.09996032714844
2020-10-01,85.29800415039062
2020-10-02,85.26970672607422
2020-10-05,84.73199462890625
2020-10-06,83.96788024902344
2020-10-07,83.46790313720703
2020-10-08,84.13770294189453
2020-10-09,85.72254180908203
2020-10-12,84.62824249267578
2020-10-13,83.1943359375
2020-10-14,83.47734832763672
2020-10-15,82.80756378173828
2020-10-16,82.854736328125
2020-10-19,81.46800231933594
2020-10-20,81.25102996826172
2020-10-21,79.76996612548828
2020-10-22,80.94914245605469
2020-10-23,80.93970489501953
2020-10-26,78.71340942382812
2020-10-27,78.01534271240234
2020-10-28,74.84565734863281
2020-10-29,76.64747619628906
2020-10-30,78.2983169555664
2020-11-02,80.87369537353516
2020-11-03,82.97737121582031
2020-11-04,87.09037780761719
2020-11-05,86.2225112915039
2020-11-06,85.34518432617188
2020-11-09,89.26953887939453
2020-11-10,89.56197357177734
2020-11-11,89.60914611816406
2020-11-12,88.82615661621094
2020-11-13,92.89200592041016
2020-11-16,94.92964172363281
2020-11-17,94.59949493408203
2020-11-18,93.89195251464844
2020-11-19,94.65606689453125
2020-11-20,94.68438720703125
2020-11-23,96.58052825927734
2020-11-24,96.75975799560547
2020-11-25,96.82579803466797
2020-11-27,96.4862060546875
2020-11-30,94.99568176269531
2020-12-01,95.8824462890625
2020-12-02,97.25972747802734
2020-12-03,97.06163024902344
2020-12-04,98.87285614013672
2020-12-07,97.6370849609375
2020-12-08,98.06156921386719
2020-12-09,98.21253204345703
2020-12-10,98.88230895996094
2020-12-11,99.44831085205078
2020-12-14,98.54922485351562
2020-12-15,99.22117614746094
2020-12-16,99.45777893066406
2020-12-17,99.21173095703125
2020-12-18,100.00669860839844
2020-12-21,97.60282135009766
2020-12-22,96.86463165283203
2020-12-23,99.00350189208984
2020-12-24,98.65335083007812
2020-12-28,99.16438293457031
2020-12-29,98.03816223144531
2020-12-30,98.40729522705078
2020-12-31,99.48616790771484
2021-01-04,96.9498062133789
2021-01-05,96.99711608886719
2021-01-06,98.41673278808594
2021-01-07,98.59654998779297
2021-01-08,99.05083465576172
2021-01-11,98.41673278808594
2021-01-12,99.73223114013672
2021-01-13,99.93098449707031
2021-01-14,100.57453155517578
2021-01-15,101.4168472290039
2021-01-19,103.24340057373047
2021-01-20,103.76394653320312
2021-01-21,103.45160675048828
2021-01-22,106.04476928710938
2021-01-25,106.65991973876953
2021-01-26,105.78924560546875
2021-01-27,105.40122985839844
2021-01-28,102.74180603027344
2021-01-29,100.37579345703125
2021-02-01,99.42938995361328
2021-02-02,100.14866638183594
2021-02-03,97.92461395263672
2021-02-04,101.52094268798828
2021-02-05,101.03827667236328
2021-02-08,102.29701232910156
2021-02-09,103.85857391357422
2021-02-10,103.48945617675781
2021-02-11,103.89643096923828
2021-02-12,102.02254486083984
2021-02-16,99.58081817626953
2021-02-17,99.82688903808594
2021-02-18,99.4010009765625
2021-02-19,98.1990737915039
2021-02-22,98.23692321777344
2021-02-23,88.49840545654297
2021-02-24,85.53614807128906
2021-02-25,84.3531494140625
2021-02-26,83.70958709716797
2021-03-01,87.48575592041016
2021-03-02,85.21436309814453
2021-03-03,85.4320297241211
2021-03-04,84.30582427978516
2021-03-05,85.8579330444336
2021-03-08,87.06932830810547
2021-03-09,88.26180267333984
2021-03-10,89.4069595336914
2021-03-11,89.5583724975586
2021-03-12,90.16627502441406
2021-03-15,90.49869537353516
2021-03-16,89.90032196044922
2021-03-17,92.4078369140625
2021-03-18,92.14187622070312
2021-03-19,90.18524932861328
2021-03-22,90.67918395996094
2021-03-23,89.51087951660156
2021-03-24,90.11878204345703
2021-03-25,91.42952728271484
2021-03-26,91.37254333496094
2021-03-29,93.25316619873047
