,DTE
2021-04-12,102.09671783447266
2021-04-13,103.60224151611328
2021-04-14,104.4227523803711
2021-04-15,104.9948501586914
2021-04-16,105.89815521240234
2021-04-19,105.16046905517578
2021-04-20,106.64338684082031
2021-04-21,105.49168395996094
2021-04-22,104.0011978149414
2021-04-23,103.75279998779297
2021-04-26,103.52696990966797
2021-04-27,102.56343841552734
2021-04-28,102.81183624267578
2021-04-29,105.0550765991211
2021-04-30,105.4013442993164
2021-05-03,105.7175064086914
2021-05-04,105.86052703857422
2021-05-05,104.54320526123047
2021-05-06,106.3648681640625
2021-05-07,106.65843200683594
2021-05-10,108.51024627685547
2021-05-11,107.06493377685547
2021-05-12,104.33242797851562
2021-05-13,105.58201599121094
2021-05-14,106.2293701171875
2021-05-17,105.96590423583984
2021-05-18,103.76033782958984
2021-05-19,104.48297882080078
2021-05-20,105.65728759765625
2021-05-21,105.89063262939453
2021-05-24,107.01978302001953
2021-05-25,104.46038055419922
2021-05-26,103.75279998779297
2021-05-27,103.83560943603516
2021-05-28,103.87326049804688
2021-06-01,103.93346405029297
2021-06-02,103.459228515625
2021-06-03,103.62483215332031
2021-06-04,103.38396453857422
2021-06-07,103.76785278320312
2021-06-08,103.48934173583984
2021-06-09,104.62599182128906
2021-06-10,104.0011978149414
2021-06-11,104.35501861572266
2021-06-14,104.16680908203125
2021-06-15,103.60224151611328
2021-06-16,102.05156707763672
2021-06-17,101.25364685058594
2021-06-18,100.0508041381836
2021-06-21,100.86280059814453
2021-06-22,99.9825210571289
2021-06-23,99.0794448852539
2021-06-24,98.82901763916016
2021-06-25,99.61825561523438
2021-06-28,99.41334533691406
2021-06-29,98.2674331665039
2021-06-30,98.35092163085938
2021-07-01,99.76168060302734
2021-07-02,99.6368408203125
2021-07-06,100.13618469238281
2021-07-07,101.61639404296875
2021-07-08,101.85713195800781
2021-07-09,103.07874298095703
2021-07-12,103.4354248046875
2021-07-13,102.45455932617188
2021-07-14,102.45455932617188
2021-07-15,103.2481689453125
2021-07-16,104.37169647216797
2021-07-19,101.56288146972656
2021-07-20,103.54242706298828
2021-07-21,102.57939910888672
2021-07-22,102.43672180175781
2021-07-23,103.75641632080078
2021-07-26,103.32840728759766
2021-07-27,105.84296417236328
2021-07-28,104.94236755371094
2021-07-29,105.33470153808594
2021-07-30,104.61243438720703
2021-08-02,104.86210632324219
2021-08-03,105.33470153808594
2021-08-04,105.03153991699219
2021-08-05,106.40473175048828
2021-08-06,106.6276626586914
2021-08-09,106.91299438476562
2021-08-10,107.00214385986328
2021-08-11,107.16266632080078
2021-08-12,106.95758819580078
2021-08-13,107.26964569091797
2021-08-16,107.00214385986328
2021-08-17,107.278564453125
2021-08-18,107.1269760131836
2021-08-19,107.15374755859375
2021-08-20,108.32184600830078
2021-08-23,108.02759552001953
2021-08-24,107.43907928466797
2021-08-25,107.69767761230469
2021-08-26,107.43907928466797
2021-08-27,107.58174896240234
2021-08-30,107.35884094238281
2021-08-31,107.3053207397461
2021-09-01,108.2237777709961
2021-09-02,108.90144348144531
2021-09-03,107.6709213256836
2021-09-07,106.36013793945312
2021-09-08,108.18811798095703
2021-09-09,107.51041412353516
2021-09-10,105.90538787841797
2021-09-13,105.26338195800781
2021-09-14,104.70161437988281
2021-09-15,104.22010040283203
2021-09-16,104.82643127441406
2021-09-17,102.37045288085938
2021-09-20,102.30758666992188
2021-09-21,101.8136978149414
2021-09-22,102.32555389404297
2021-09-23,102.14595031738281
2021-09-24,102.11002349853516
2021-09-27,101.11328125
2021-09-28,100.0626449584961
2021-09-29,101.58920288085938
2021-09-30,100.31407165527344
2021-10-01,100.27814483642578
2021-10-04,101.48145294189453
2021-10-05,102.181884765625
2021-10-06,103.51985931396484
2021-10-07,103.32231903076172
2021-10-08,102.48719787597656
2021-10-11,100.70917510986328
2021-10-12,101.29287719726562
2021-10-13,102.34352111816406
2021-10-14,103.32231903076172
2021-10-15,103.30435180664062
2021-10-18,102.11002349853516
2021-10-19,102.79249572753906
2021-10-20,103.69050598144531
2021-10-21,103.62763977050781
2021-10-22,104.16642761230469
2021-10-25,103.85214233398438
2021-10-26,104.49868774414062
2021-10-27,102.20883178710938
2021-10-28,102.73861694335938
2021-10-29,101.7867660522461
2021-11-01,101.4455337524414
2021-11-02,101.54430389404297
2021-11-03,101.70594787597656
2021-11-04,101.83165740966797
2021-11-05,102.48719787597656
2021-11-08,100.87080383300781
2021-11-09,101.02347564697266
2021-11-10,101.6251220703125
2021-11-11,101.01448059082031
2021-11-12,100.53855895996094
2021-11-15,101.65205383300781
2021-11-16,101.28388977050781
2021-11-17,101.24797821044922
2021-11-18,100.0177230834961
2021-11-19,99.83812713623047
2021-11-22,101.41858673095703
2021-11-23,100.79898071289062
2021-11-24,100.73611450195312
2021-11-26,99.37118530273438
2021-11-29,100.11650848388672
2021-11-30,97.28785705566406
2021-12-01,98.01522064208984
2021-12-02,98.77850341796875
2021-12-03,100.47570037841797
2021-12-06,102.54106903076172
2021-12-07,103.27742767333984
2021-12-08,102.83741760253906
2021-12-09,103.4749755859375
2021-12-10,104.36397552490234
2021-12-13,105.21707153320312
2021-12-14,105.47747802734375
2021-12-15,107.39918518066406
2021-12-16,108.05470275878906
2021-12-17,105.48100280761719
2021-12-20,105.9604721069336
2021-12-21,105.37245178222656
2021-12-22,105.57145690917969
2021-12-23,105.68003845214844
2021-12-27,106.61180114746094
2021-12-28,107.40789794921875
2021-12-29,107.99589538574219
2021-12-30,107.9416275024414
2021-12-31,108.14064025878906
2022-01-03,107.81499481201172
2022-01-04,107.99589538574219
2022-01-05,107.87831115722656
2022-01-06,108.16778564453125
2022-01-07,108.2763442993164
2022-01-10,108.6924819946289
2022-01-11,107.45311737060547
2022-01-12,107.84210968017578
2022-01-13,108.40299224853516
2022-01-14,107.99589538574219
2022-01-18,107.09127044677734
2022-01-19,107.35360717773438
2022-01-20,107.07316589355469
2022-01-21,107.16364288330078
2022-01-24,105.73430633544922
2022-01-25,106.41278839111328
2022-01-26,106.91033935546875
2022-01-27,108.38490295410156
2022-01-28,108.77389526367188
2022-01-31,108.94577026367188
2022-02-01,107.18173217773438
2022-02-02,108.76485443115234
2022-02-03,108.6110610961914
2022-02-04,108.55677032470703
2022-02-07,108.19493865966797
2022-02-08,108.49346160888672
2022-02-09,109.02719116210938
2022-02-10,104.82966613769531
2022-02-11,105.08296966552734
2022-02-14,104.98345947265625
2022-02-15,105.21866607666016
2022-02-16,105.38150024414062
2022-02-17,107.24504852294922
2022-02-18,107.96876525878906
2022-02-22,107.04602813720703
2022-02-23,106.07807159423828
2022-02-24,106.51229858398438
2022-02-25,110.32083129882812
2022-02-28,109.99516296386719
2022-03-01,108.55677032470703
2022-03-02,110.7007827758789
2022-03-03,113.26996612548828
2022-03-04,115.68534088134766
2022-03-07,114.98877716064453
2022-03-08,114.13841247558594
2022-03-09,113.10713195800781
2022-03-10,115.16065216064453
2022-03-11,114.86212158203125
2022-03-14,114.45502471923828
2022-03-15,115.57679748535156
2022-03-16,115.60392761230469
2022-03-17,115.59488677978516
2022-03-18,114.84335327148438
2022-03-21,115.78163146972656
2022-03-22,114.51541900634766
2022-03-23,115.65409088134766
2022-03-24,116.4101791381836
2022-03-25,118.2867431640625
2022-03-28,118.15008544921875
2022-03-29,118.96082305908203
