,AWK
2020-06-18,119.8132095336914
2020-06-19,117.20674896240234
2020-06-22,117.6427230834961
2020-06-23,116.14933776855469
2020-06-24,115.38874053955078
2020-06-25,113.36666870117188
2020-06-26,115.0919189453125
2020-06-29,116.2884750366211
2020-06-30,119.34015655517578
2020-07-01,121.15815734863281
2020-07-02,121.56629180908203
2020-07-06,121.54774475097656
2020-07-07,120.87062072753906
2020-07-08,122.2155990600586
2020-07-09,121.22308349609375
2020-07-10,123.72753143310547
2020-07-13,123.33792114257812
2020-07-14,125.07247161865234
2020-07-15,124.34898376464844
2020-07-16,128.30043029785156
2020-07-17,130.9903106689453
2020-07-20,129.5897216796875
2020-07-21,130.9532012939453
2020-07-22,133.37413024902344
2020-07-23,134.39447021484375
2020-07-24,134.05128479003906
2020-07-27,133.87506103515625
2020-07-28,134.83045959472656
2020-07-29,137.2699432373047
2020-07-30,136.00843811035156
2020-07-31,136.6020965576172
2020-08-03,136.4072723388672
2020-08-04,136.8153839111328
2020-08-05,136.58349609375
2020-08-06,136.32383728027344
2020-08-07,138.93954467773438
2020-08-10,138.30880737304688
2020-08-11,132.5924530029297
2020-08-12,135.80441284179688
2020-08-13,136.40025329589844
2020-08-14,135.2830810546875
2020-08-17,136.44680786132812
2020-08-18,135.92543029785156
2020-08-19,133.98898315429688
2020-08-20,134.32412719726562
2020-08-21,133.72828674316406
2020-08-24,133.95172119140625
2020-08-25,133.6259002685547
2020-08-26,131.1773223876953
2020-08-27,131.6149444580078
2020-08-28,131.07493591308594
2020-08-31,131.58700561523438
2020-09-01,130.4977264404297
2020-09-02,134.20309448242188
2020-09-03,132.6483154296875
2020-09-04,133.29071044921875
2020-09-08,131.05633544921875
2020-09-09,133.31863403320312
2020-09-10,131.05633544921875
2020-09-11,131.3635711669922
2020-09-14,133.02073669433594
2020-09-15,133.68173217773438
2020-09-16,132.9183349609375
2020-09-17,131.2891082763672
2020-09-18,128.73817443847656
2020-09-21,130.0787811279297
2020-09-22,130.4977264404297
2020-09-23,128.52403259277344
2020-09-24,130.95391845703125
2020-09-25,134.27757263183594
2020-09-28,134.57550048828125
2020-09-29,133.78416442871094
2020-09-30,134.8827362060547
2020-10-01,138.318115234375
2020-10-02,138.6811981201172
2020-10-05,141.40902709960938
2020-10-06,141.96762084960938
2020-10-07,143.8482208251953
2020-10-08,145.09576416015625
2020-10-09,145.0026397705078
2020-10-12,147.3953094482422
2020-10-13,145.3098907470703
2020-10-14,145.01194763183594
2020-10-15,145.10504150390625
2020-10-16,144.97476196289062
2020-10-19,143.85752868652344
2020-10-20,142.5820770263672
2020-10-21,141.74417114257812
2020-10-22,143.0103302001953
2020-10-23,143.44786071777344
2020-10-26,143.3827362060547
2020-10-27,143.95062255859375
2020-10-28,142.44239807128906
2020-10-29,141.660400390625
2020-10-30,140.12420654296875
2020-11-02,143.6527099609375
2020-11-03,146.25955200195312
2020-11-04,144.68614196777344
2020-11-05,147.29290771484375
2020-11-06,150.0114288330078
2020-11-09,151.64620971679688
2020-11-10,152.7485809326172
2020-11-11,153.55197143554688
2020-11-12,150.78675842285156
2020-11-13,150.693359375
2020-11-16,154.65431213378906
2020-11-17,148.80633544921875
2020-11-18,145.9103546142578
2020-11-19,146.3400421142578
2020-11-20,147.33029174804688
2020-11-23,145.00418090820312
2020-11-24,143.11715698242188
2020-11-25,143.0517578125
2020-11-27,143.61224365234375
2020-11-30,143.2852783203125
2020-12-01,144.1447296142578
2020-12-02,144.6398468017578
2020-12-03,142.4445037841797
2020-12-04,139.10012817382812
2020-12-07,140.4267120361328
2020-12-08,139.52052307128906
2020-12-09,138.69845581054688
2020-12-10,138.3247833251953
2020-12-11,138.52093505859375
2020-12-14,138.773193359375
2020-12-15,142.9209442138672
2020-12-16,140.47335815429688
2020-12-17,141.86534118652344
2020-12-18,140.35194396972656
2020-12-21,139.29632568359375
2020-12-22,138.31541442871094
2020-12-23,137.70819091796875
2020-12-24,139.3243408203125
2020-12-28,139.80075073242188
2020-12-29,140.80970764160156
2020-12-30,140.71629333496094
2020-12-31,143.36936950683594
2021-01-04,140.35194396972656
2021-01-05,141.14599609375
2021-01-06,142.3323974609375
2021-01-07,142.11756896972656
