,MSCI
2016-08-18,80.13353729248047
2016-08-19,80.2714614868164
2016-08-22,80.32660675048828
2016-08-23,80.5748062133789
2016-08-24,80.99767303466797
2016-08-25,81.50328826904297
2016-08-26,81.73310089111328
2016-08-29,82.53286743164062
2016-08-30,82.7075424194336
2016-08-31,82.8454360961914
2016-09-01,82.06405639648438
2016-09-02,82.3214340209961
2016-09-06,81.44811248779297
2016-09-07,81.8709945678711
2016-09-08,80.20710754394531
2016-09-09,77.89051818847656
2016-09-12,79.02123260498047
2016-09-13,78.01922607421875
2016-09-14,77.86292266845703
2016-09-15,78.92931365966797
2016-09-16,78.46966552734375
2016-09-19,78.35932159423828
2016-09-20,78.74543762207031
2016-09-21,79.73824310302734
2016-09-22,79.76583099365234
2016-09-23,79.42571258544922
2016-09-26,78.5799789428711
2016-09-27,78.42367553710938
2016-09-28,78.04679107666016
2016-09-29,76.77819061279297
2016-09-30,77.16427612304688
2016-10-03,76.76897430419922
2016-10-04,76.31856536865234
2016-10-05,76.49320220947266
2016-10-06,76.41046905517578
2016-10-07,75.98760223388672
2016-10-10,76.27256774902344
2016-10-11,73.63424682617188
2016-10-12,75.30732727050781
2016-10-13,75.34410095214844
2016-10-14,76.21741485595703
2016-10-17,76.22662353515625
2016-10-18,76.3001708984375
2016-10-19,76.23580169677734
2016-10-20,75.77616882324219
2016-10-21,76.20820617675781
2016-10-24,76.50238037109375
2016-10-25,76.47480773925781
2016-10-26,76.23580169677734
2016-10-27,73.17461395263672
2016-10-28,72.57706451416016
2016-10-31,73.71701049804688
2016-11-01,72.78851318359375
2016-11-02,72.45758819580078
2016-11-03,72.69660186767578
2016-11-04,72.96318817138672
2016-11-07,74.3328857421875
2016-11-08,74.53514862060547
2016-11-09,75.4483871459961
2016-11-10,74.87645721435547
2016-11-11,73.79716491699219
2016-11-14,71.54635620117188
2016-11-15,71.50025177001953
2016-11-16,71.88768005371094
2016-11-17,73.33595275878906
2016-11-18,73.51122283935547
2016-11-21,74.17539978027344
2016-11-22,73.80638885498047
2016-11-23,73.97245788574219
2016-11-25,74.51667785644531
2016-11-28,74.05546569824219
2016-11-29,74.3783187866211
2016-11-30,72.69021606445312
2016-12-01,71.15892028808594
2016-12-02,73.17910766601562
2016-12-05,74.489013671875
2016-12-06,73.32672119140625
2016-12-07,74.49824523925781
2016-12-08,74.4428939819336
2016-12-09,75.14397430419922
2016-12-12,74.23997497558594
2016-12-13,74.75653076171875
2016-12-14,73.65882110595703
2016-12-15,74.29531860351562
2016-12-16,73.7049331665039
2016-12-19,74.02778625488281
2016-12-20,74.47980499267578
2016-12-21,73.48353576660156
2016-12-22,72.40425109863281
2016-12-23,72.49650573730469
2016-12-27,72.736328125
2016-12-28,72.28434753417969
2016-12-29,72.47805786132812
2016-12-30,72.67176818847656
2017-01-03,72.60718536376953
2017-01-04,74.45211029052734
2017-01-05,75.31002807617188
2017-01-06,76.93354797363281
2017-01-09,76.26937866210938
2017-01-10,75.1993179321289
2017-01-11,75.1993179321289
2017-01-12,74.95024108886719
2017-01-13,76.0110855102539
2017-01-17,74.8118896484375
2017-01-18,75.90963745117188
2017-01-19,74.86724853515625
2017-01-20,75.41149139404297
2017-01-23,75.76200103759766
2017-01-24,75.8358154296875
2017-01-25,76.3062973022461
2017-01-26,77.03501892089844
2017-01-27,76.34318542480469
2017-01-30,77.12726593017578
2017-01-31,76.33396911621094
2017-02-01,77.25641632080078
2017-02-02,82.01631927490234
2017-02-03,84.54388427734375
2017-02-06,85.85379028320312
2017-02-07,85.46636199951172
2017-02-08,85.42943572998047
2017-02-09,83.32625579833984
2017-02-10,84.14723205566406
2017-02-13,85.59550476074219
2017-02-14,86.6655502319336
2017-02-15,87.50752258300781
2017-02-16,87.15592193603516
2017-02-17,87.22071075439453
2017-02-21,87.45201110839844
2017-02-22,87.8498306274414
2017-02-23,87.88684844970703
2017-02-24,88.3957290649414
2017-02-27,88.38644409179688
2017-02-28,87.51676177978516
2017-03-01,88.71027374267578
2017-03-02,87.8498306274414
2017-03-03,88.3031997680664
2017-03-06,87.664794921875
2017-03-07,88.31242370605469
2017-03-08,87.39647674560547
2017-03-09,87.37799072265625
2017-03-10,87.77579498291016
2017-03-13,88.17366790771484
2017-03-14,89.12664031982422
2017-03-15,91.88381958007812
2017-03-16,90.3664321899414
2017-03-17,90.0518569946289
2017-03-20,90.1351318359375
2017-03-21,88.40496063232422
2017-03-22,88.92310333251953
2017-03-23,89.85757446289062
2017-03-24,90.15364074707031
2017-03-27,89.39496612548828
2017-03-28,89.38571166992188
2017-03-29,89.19141387939453
2017-03-30,89.47823333740234
2017-03-31,89.92235565185547
2017-04-03,89.52452087402344
2017-04-04,89.3672103881836
2017-04-05,90.53298950195312
2017-04-06,90.47745513916016
2017-04-07,90.60700988769531
2017-04-10,89.97785949707031
2017-04-11,90.20915985107422
2017-04-12,90.0333480834961
2017-04-13,89.06189727783203
2017-04-17,90.66248321533203
2017-04-18,90.39419555664062
2017-04-19,90.81056213378906
2017-04-20,91.3471908569336
2017-04-21,90.69953918457031
2017-04-24,91.28238677978516
2017-04-25,92.01332092285156
2017-04-26,92.1706314086914
2017-04-27,92.89228820800781
2017-04-28,92.81829833984375
2017-05-01,93.1051025390625
2017-05-02,94.31714630126953
2017-05-03,93.8267822265625
2017-05-04,90.29242706298828
2017-05-05,92.09662628173828
2017-05-08,90.86607360839844
2017-05-09,90.34794616699219
2017-05-10,90.92157745361328
2017-05-11,90.93080139160156
2017-05-12,90.4589614868164
2017-05-15,91.41194915771484
2017-05-16,90.81056213378906
2017-05-17,90.0218734741211
2017-05-18,90.24455261230469
2017-05-19,91.74768829345703
2017-05-22,92.1930923461914
2017-05-23,91.77554321289062
2017-05-24,92.79620361328125
2017-05-25,93.64982604980469
2017-05-26,93.26013946533203
2017-05-30,92.85186004638672
2017-05-31,94.3921127319336
2017-06-01,96.51693725585938
2017-06-02,96.92521667480469
2017-06-05,97.04582977294922
2017-06-06,96.6561279296875
2017-06-07,96.4334487915039
2017-06-08,96.12725067138672
2017-06-09,96.51693725585938
2017-06-12,96.33138275146484
2017-06-13,98.2613525390625
2017-06-14,97.78811645507812
2017-06-15,98.06649780273438
2017-06-16,98.00154876708984
2017-06-19,98.51187896728516
2017-06-20,96.10868072509766
2017-06-21,94.48491668701172
2017-06-22,95.87671661376953
2017-06-23,97.16645812988281
2017-06-26,96.70252990722656
2017-06-27,95.28290557861328
2017-06-28,97.4262466430664
2017-06-29,96.56332397460938
2017-06-30,95.56124114990234
2017-07-03,95.37565612792969
2017-07-05,95.6447525024414
2017-07-06,94.90245056152344
2017-07-07,95.14369201660156
2017-07-10,95.56124114990234
2017-07-11,97.658203125
2017-07-12,97.79740905761719
2017-07-13,98.44691467285156
2017-07-14,99.69952392578125
2017-07-17,99.26344299316406
2017-07-18,99.26344299316406
2017-07-19,99.82942962646484
2017-07-20,99.65315246582031
2017-07-21,100.34904479980469
2017-07-24,101.11919403076172
2017-07-25,102.30685424804688
2017-07-26,102.39035034179688
2017-07-27,101.88931274414062
2017-07-28,102.40892028808594
2017-07-31,101.09134674072266
2017-08-01,102.52025604248047
2017-08-02,100.8129653930664
2017-08-03,103.65225982666016
2017-08-04,103.15122985839844
2017-08-07,103.17903137207031
2017-08-08,102.42748260498047
2017-08-09,101.7686767578125
2017-08-10,99.52326202392578
2017-08-11,99.40258026123047
2017-08-14,102.32539367675781
2017-08-15,101.38825988769531
2017-08-16,104.4609146118164
2017-08-17,102.73834991455078
2017-08-18,103.46463775634766
2017-08-21,102.71973419189453
2017-08-22,105.18717956542969
2017-08-23,104.48883056640625
2017-08-24,104.3026123046875
2017-08-25,106.3882827758789
2017-08-28,106.13690185546875
2017-08-29,105.28959655761719
2017-08-30,105.20578002929688
2017-08-31,106.71416473388672
2017-09-01,107.49632263183594
2017-09-05,105.33614349365234
2017-09-06,104.3678207397461
2017-09-07,106.16484832763672
2017-09-08,106.97490692138672
2017-09-11,107.79427337646484
2017-09-12,109.62854766845703
2017-09-13,106.41622924804688
2017-09-14,105.64341735839844
2017-09-15,105.49444580078125
2017-09-18,105.3547592163086
2017-09-19,105.96929931640625
2017-09-20,106.41622924804688
2017-09-21,107.3566665649414
2017-09-22,109.33058166503906
2017-09-25,108.01775360107422
2017-09-26,107.2542495727539
2017-09-27,107.78496551513672
2017-09-28,108.91161346435547
2017-09-29,108.84644317626953
2017-10-02,108.92092895507812
2017-10-03,110.34550476074219
2017-10-04,111.86320495605469
2017-10-05,112.75706481933594
2017-10-06,112.92469787597656
2017-10-09,113.1667709350586
2017-10-10,113.52058410644531
2017-10-11,113.48333740234375
2017-10-12,114.27478790283203
2017-10-13,113.67887878417969
2017-10-16,114.9731216430664
2017-10-17,114.01405334472656
2017-10-18,114.14442443847656
2017-10-19,113.5950698852539
2017-10-20,113.5950698852539
2017-10-23,113.31573486328125
2017-10-24,112.15185546875
2017-10-25,110.37342834472656
2017-10-26,111.96562957763672
2017-10-27,111.73284149169922
2017-10-30,109.54475402832031
2017-10-31,109.27472686767578
2017-11-01,109.4888916015625
2017-11-02,116.77946472167969
2017-11-03,117.35674285888672
2017-11-06,118.90238189697266
2017-11-07,117.3008804321289
2017-11-08,118.3437271118164
2017-11-09,119.06999969482422
2017-11-10,116.40702056884766
2017-11-13,116.81669616699219
2017-11-14,116.5001220703125
2017-11-15,115.67142486572266
2017-11-16,117.10040283203125
2017-11-17,118.22115325927734
2017-11-20,118.7908935546875
2017-11-21,119.08039855957031
2017-11-22,119.08039855957031
2017-11-24,120.38796997070312
2017-11-27,120.24786376953125
2017-11-28,120.80825805664062
