,PSX
2018-11-15,74.60625457763672
2018-11-16,75.5287857055664
2018-11-19,74.19190216064453
2018-11-20,72.34688568115234
2018-11-21,73.21468353271484
2018-11-23,69.57936096191406
2018-11-26,71.97945404052734
2018-11-27,71.34619903564453
2018-11-28,72.4172592163086
2018-11-29,72.4563217163086
2018-11-30,73.113037109375
2018-12-03,71.99510192871094
2018-12-04,71.45564270019531
2018-12-06,72.393798828125
2018-12-07,70.634765625
2018-12-10,69.45426940917969
2018-12-11,69.12591552734375
2018-12-12,69.77481079101562
2018-12-13,69.44646453857422
2018-12-14,67.88286590576172
2018-12-17,67.12452697753906
2018-12-18,66.24110412597656
2018-12-19,66.57727813720703
2018-12-20,64.71660614013672
2018-12-21,64.4039077758789
2018-12-24,61.37056350708008
2018-12-26,65.82675170898438
2018-12-27,67.09326934814453
2018-12-28,66.42091369628906
2018-12-31,67.35123443603516
2019-01-02,68.89137268066406
2019-01-03,67.93761444091797
2019-01-04,71.0178451538086
2019-01-07,71.51036834716797
2019-01-08,71.44784545898438
2019-01-09,71.91690826416016
2019-01-10,72.65962219238281
2019-01-11,72.46416473388672
2019-01-14,72.57361602783203
2019-01-15,72.27652740478516
2019-01-16,72.69869995117188
2019-01-17,73.03485870361328
2019-01-18,74.50462341308594
2019-01-22,72.7065200805664
2019-01-23,72.4172592163086
2019-01-24,71.40092468261719
2019-01-25,72.7221450805664
2019-01-28,72.31562805175781
2019-01-29,72.98015594482422
2019-01-30,73.90266418457031
2019-01-31,74.59064483642578
2019-02-01,73.65248107910156
2019-02-04,74.08247375488281
2019-02-05,74.40299987792969
2019-02-06,73.81665802001953
2019-02-07,71.7214584350586
2019-02-08,73.113037109375
2019-02-11,73.66812896728516
2019-02-12,73.48831176757812
2019-02-13,75.14570617675781
2019-02-14,74.77825927734375
2019-02-15,75.67701721191406
2019-02-19,76.27619171142578
2019-02-20,76.82805633544922
2019-02-21,76.3235092163086
2019-02-22,76.75711059570312
2019-02-25,76.7019271850586
2019-02-26,77.1355209350586
2019-02-27,76.97785186767578
2019-02-28,75.9687271118164
2019-03-01,76.85172271728516
2019-03-04,76.69403839111328
2019-03-05,76.83594512939453
2019-03-06,76.94631958007812
2019-03-07,76.03966522216797
2019-03-08,74.35253143310547
2019-03-11,76.2131118774414
2019-03-12,76.78076934814453
2019-03-13,77.32473754882812
2019-03-14,77.6322250366211
2019-03-15,77.67163848876953
2019-03-18,77.82931518554688
2019-03-19,77.96334838867188
2019-03-20,77.40357971191406
2019-03-21,77.69530487060547
2019-03-22,75.66914367675781
2019-03-25,75.57453918457031
2019-03-26,77.27745819091797
2019-03-27,76.68617248535156
2019-03-28,75.42475128173828
2019-03-29,75.03053283691406
2019-04-01,74.95169067382812
2019-04-02,74.5180892944336
2019-04-03,74.92806243896484
2019-04-04,76.36292266845703
2019-04-05,77.09611511230469
2019-04-08,77.49818420410156
2019-04-09,76.76500701904297
2019-04-10,77.74256896972656
2019-04-11,77.66374969482422
2019-04-12,76.60730743408203
2019-04-15,75.87411499023438
2019-04-16,75.66914367675781
2019-04-17,76.04756164550781
2019-04-18,75.22761535644531
2019-04-22,76.58367156982422
2019-04-23,76.78865051269531
2019-04-24,74.3288803100586
2019-04-25,75.0699691772461
2019-04-26,74.83345031738281
2019-04-29,75.18032836914062
2019-04-30,74.32099151611328
2019-05-01,72.40522766113281
2019-05-02,70.24506378173828
2019-05-03,70.60770416259766
2019-05-06,68.61308288574219
2019-05-07,68.23467254638672
2019-05-08,67.72223663330078
2019-05-09,67.60397338867188
2019-05-10,68.31349182128906
2019-05-13,67.63548278808594
2019-05-14,68.52635955810547
2019-05-15,68.82595825195312
2019-05-16,69.61434173583984
2019-05-17,67.55140686035156
