,USB
2021-02-25,43.96665954589844
2021-02-26,42.57859420776367
2021-03-01,43.5664176940918
2021-03-02,43.13211441040039
2021-03-03,43.5664176940918
2021-03-04,43.44719314575195
2021-03-05,44.681976318359375
2021-03-08,46.027462005615234
2021-03-09,45.048152923583984
2021-03-10,45.79753112792969
2021-03-11,45.43135070800781
2021-03-12,46.529884338378906
2021-03-15,45.96785354614258
2021-03-16,45.848628997802734
2021-03-17,46.40215301513672
2021-03-18,47.91794967651367
2021-03-19,47.01528549194336
2021-03-22,46.18926239013672
2021-03-23,45.627220153808594
2021-03-24,45.533546447753906
2021-03-25,46.742774963378906
2021-03-26,47.86686325073242
2021-03-29,47.34739303588867
2021-03-30,47.939453125
2021-03-31,47.458946228027344
2021-04-01,47.905128479003906
2021-04-05,48.36847686767578
2021-04-06,48.24835205078125
2021-04-07,48.74601745605469
2021-04-08,48.720279693603516
2021-04-09,49.15788650512695
2021-04-12,49.492530822753906
2021-04-13,48.59157943725586
2021-04-14,49.40673065185547
2021-04-15,48.33415985107422
2021-04-16,49.64698028564453
2021-04-19,49.52684783935547
2021-04-20,48.23977279663086
2021-04-21,48.90047073364258
2021-04-22,48.18828201293945
2021-04-23,49.10640335083008
2021-04-26,49.5869140625
2021-04-27,50.04168701171875
2021-04-28,50.59941864013672
2021-04-29,51.50895690917969
2021-04-30,50.92547607421875
2021-05-03,50.87399673461914
2021-05-04,51.998046875
2021-05-05,51.81785202026367
2021-05-06,52.718807220458984
2021-05-07,52.65874481201172
2021-05-10,52.48714065551758
2021-05-11,51.6119270324707
2021-05-12,51.105674743652344
2021-05-13,52.42707824707031
2021-05-14,53.122100830078125
2021-05-17,53.37950897216797
2021-05-18,52.21255874633789
2021-05-19,51.54327392578125
2021-05-20,51.16573715209961
2021-05-21,51.80069351196289
2021-05-24,51.843597412109375
2021-05-25,51.182899475097656
2021-05-26,51.25154113769531
2021-05-27,52.1181755065918
2021-05-28,52.15249252319336
2021-06-01,52.33269500732422
2021-06-02,52.058109283447266
2021-06-03,52.03237533569336
2021-06-04,52.143917083740234
2021-06-07,51.946563720703125
2021-06-08,51.732051849365234
2021-06-09,50.83967590332031
2021-06-10,50.2905158996582
2021-06-11,50.74528884887695
2021-06-14,49.904396057128906
2021-06-15,50.2047004699707
2021-06-16,50.1446533203125
2021-06-17,47.81074905395508
2021-06-18,46.9698486328125
2021-06-21,48.03384017944336
2021-06-22,47.999515533447266
2021-06-23,48.17113494873047
2021-06-24,48.80608367919922
2021-06-25,49.63839340209961
2021-06-28,49.372406005859375
2021-06-29,48.97479248046875
2021-06-30,49.242740631103516
2021-07-01,49.7700080871582
2021-07-02,49.7613639831543
2021-07-06,48.4129524230957
2021-07-07,48.395668029785156
2021-07-08,47.574527740478516
2021-07-09,49.242740631103516
2021-07-12,49.7700080871582
2021-07-13,49.19953155517578
2021-07-14,49.260032653808594
2021-07-15,50.84182357788086
2021-07-16,49.415618896484375
2021-07-19,47.11640548706055
2021-07-20,48.48210144042969
2021-07-21,49.44154739379883
2021-07-22,48.240089416503906
2021-07-23,48.16230010986328
2021-07-26,48.55990219116211
2021-07-27,48.53397750854492
2021-07-28,48.43889236450195
2021-07-29,48.78463363647461
2021-07-30,48.0067024230957
2021-08-02,47.652320861816406
2021-08-03,48.30923080444336
2021-08-04,47.591819763183594
2021-08-05,48.240089416503906
2021-08-06,49.2686767578125
2021-08-09,49.303253173828125
2021-08-10,49.84779739379883
2021-08-11,50.815887451171875
2021-08-12,50.86775207519531
2021-08-13,50.32320022583008
2021-08-16,49.7613639831543
2021-08-17,49.06122970581055
2021-08-18,48.447532653808594
2021-08-19,47.83383560180664
2021-08-20,48.12771224975586
2021-08-23,48.5512580871582
2021-08-24,49.10444641113281
2021-08-25,49.821868896484375
2021-08-26,49.47611999511719
2021-08-27,50.39234924316406
2021-08-30,49.33782196044922
2021-08-31,49.60578155517578
2021-09-01,48.5512580871582
2021-09-02,48.78463363647461
2021-09-03,48.53397750854492
2021-09-07,48.25737762451172
2021-09-08,47.83383560180664
2021-09-09,48.24872970581055
2021-09-10,47.92892074584961
2021-09-13,48.871070861816406
2021-09-14,48.32652282714844
2021-09-15,49.96017074584961
2021-09-16,49.35511779785156
2021-09-17,49.277320861816406
2021-09-20,48.12771224975586
2021-09-21,49.35511779785156
2021-09-22,50.06388854980469
2021-09-23,51.24807357788086
2021-09-24,51.680259704589844
2021-09-27,52.81256866455078
2021-09-28,52.22480010986328
2021-09-29,52.48609161376953
2021-09-30,51.77188491821289
2021-10-01,52.92159652709961
2021-10-04,52.72126770019531
2021-10-05,53.38322448730469
2021-10-06,53.522579193115234
2021-10-07,53.89710998535156
2021-10-08,54.28905487060547
2021-10-11,53.870975494384766
2021-10-12,53.70548629760742
2021-10-13,53.531288146972656
2021-10-14,52.329322814941406
2021-10-15,52.459964752197266
2021-10-18,52.76482391357422
2021-10-19,53.43547821044922
2021-10-20,54.50680160522461
2021-10-21,54.15840530395508
2021-10-22,54.64616012573242
2021-10-25,54.45454025268555
2021-10-26,54.38486862182617
2021-10-27,52.503509521484375
2021-10-28,53.06966781616211
2021-10-29,52.5819091796875
2021-11-01,52.93901062011719
2021-11-02,53.008689880371094
2021-11-03,53.853553771972656
2021-11-04,52.503509521484375
2021-11-05,52.860618591308594
2021-11-08,52.860618591308594
2021-11-09,52.32060623168945
2021-11-10,52.68642807006836
2021-11-11,52.93901062011719
2021-11-12,52.69512939453125
2021-11-15,52.6602897644043
2021-11-16,52.712554931640625
2021-11-17,51.667362213134766
2021-11-18,51.08379364013672
2021-11-19,50.160545349121094
2021-11-22,51.3712272644043
2021-11-23,52.32060623168945
2021-11-24,52.12027359008789
2021-11-26,50.0821533203125
2021-11-29,49.99505615234375
2021-11-30,48.200801849365234
2021-12-01,47.77401351928711
2021-12-02,49.298255920410156
2021-12-03,48.418556213378906
2021-12-06,49.54214096069336
2021-12-07,50.24763870239258
2021-12-08,49.68149948120117
2021-12-09,49.829566955566406
2021-12-10,50.317317962646484
2021-12-13,49.489871978759766
2021-12-14,49.91666030883789
2021-12-15,49.420196533203125
2021-12-16,50.02119064331055
2021-12-17,48.54049301147461
2021-12-20,47.79144287109375
2021-12-21,48.63629913330078
2021-12-22,48.83662796020508
2021-12-23,49.0456657409668
2021-12-27,49.420196533203125
2021-12-28,49.42890930175781
2021-12-29,49.298255920410156
2021-12-30,49.307037353515625
2021-12-31,49.32460021972656
2022-01-03,50.29054260253906
2022-01-04,51.60773849487305
2022-01-05,51.33552169799805
2022-01-06,52.731746673583984
2022-01-07,53.56597137451172
2022-01-10,53.882102966308594
2022-01-11,54.549476623535156
2022-01-12,54.874393463134766
2022-01-13,55.489078521728516
2022-01-14,55.541770935058594
2022-01-18,54.61094284057617
2022-01-19,50.378353118896484
2022-01-20,50.000762939453125
2022-01-21,48.3849983215332
2022-01-24,49.88660430908203
2022-01-25,50.413482666015625
2022-01-26,50.54521560668945
2022-01-27,50.4398307800293
2022-01-28,51.001834869384766
2022-01-31,51.09842300415039
2022-02-01,52.04680633544922
2022-02-02,52.48587417602539
2022-02-03,51.94143295288086
2022-02-04,52.42440414428711
2022-02-07,52.319026947021484
2022-02-08,52.319026947021484
2022-02-09,52.46830749511719
2022-02-10,51.99412155151367
2022-02-11,51.414546966552734
2022-02-14,50.81743240356445
2022-02-15,51.46724319458008
2022-02-16,51.458457946777344
2022-02-17,50.167606353759766
2022-02-18,50.14126968383789
2022-02-22,50.75595474243164
2022-02-23,49.7461051940918
2022-02-24,48.58697509765625
2022-02-25,50.352020263671875
2022-02-28,49.64950942993164
2022-03-01,47.296119689941406
2022-03-02,49.37729263305664
2022-03-03,49.447540283203125
2022-03-04,48.516719818115234
2022-03-07,46.62873840332031
2022-03-08,46.760459899902344
2022-03-09,47.86690139770508
2022-03-10,46.532142639160156
2022-03-11,46.233585357666016
2022-03-14,47.375160217285156
2022-03-15,47.77030944824219
2022-03-16,49.42119216918945
2022-03-17,49.7461051940918
2022-03-18,49.64072799682617
2022-03-21,49.315818786621094
2022-03-22,50.07101058959961
2022-03-23,49.043601989746094
2022-03-24,49.21922302246094
2022-03-25,50.1588249206543
2022-03-28,49.798789978027344
2022-03-29,49.939292907714844
2022-03-30,48.85038757324219
2022-03-31,47.05324935913086
2022-04-01,46.8319206237793
2022-04-04,46.619449615478516
2022-04-05,46.92045593261719
2022-04-06,46.893898010253906
2022-04-07,46.54862594604492
2022-04-08,46.2564811706543
2022-04-11,45.78728485107422
2022-04-12,44.990516662597656
2022-04-13,44.80460739135742
2022-04-14,46.663719177246094
2022-04-18,46.69027328491211
2022-04-19,46.81421661376953
2022-04-20,46.96471405029297
2022-04-21,46.60174560546875
2022-04-22,44.99937057495117
2022-04-25,45.008216857910156
2022-04-26,44.291133880615234
2022-04-27,43.945865631103516
2022-04-28,44.29998779296875
2022-04-29,42.9897575378418
