,INTU
2020-06-19,278.3430480957031
2020-06-22,285.92572021484375
2020-06-23,285.6437683105469
2020-06-24,278.1583557128906
2020-06-25,280.705322265625
2020-06-26,278.5375061035156
2020-06-29,279.89849853515625
2020-06-30,287.9380798339844
2020-07-01,294.1500244140625
2020-07-02,296.794189453125
2020-07-06,301.0230712890625
2020-07-07,299.3509521484375
2020-07-08,301.7327880859375
2020-07-09,299.8435363769531
2020-07-10,299.4930114746094
2020-07-13,289.8426513671875
2020-07-14,277.89410400390625
2020-07-15,282.3735656738281
2020-07-16,278.2154235839844
2020-07-17,281.6918640136719
2020-07-20,290.894287109375
2020-07-21,290.0762939453125
2020-07-22,288.6740417480469
2020-07-23,283.9121398925781
2020-07-24,281.1173095703125
2020-07-27,288.39166259765625
2020-07-28,289.02459716796875
2020-07-29,294.26361083984375
2020-07-30,295.9776306152344
2020-07-31,298.3438720703125
2020-08-03,303.53436279296875
2020-08-04,302.5020751953125
2020-08-05,302.8039245605469
2020-08-06,304.05035400390625
2020-08-07,301.3237609863281
2020-08-10,296.2113037109375
2020-08-11,291.36175537109375
2020-08-12,296.7663879394531
2020-08-13,298.6749572753906
2020-08-14,297.53564453125
2020-08-17,299.9409484863281
2020-08-18,300.8076171875
2020-08-19,302.4144287109375
2020-08-20,311.67529296875
2020-08-21,313.7884216308594
2020-08-24,324.3930969238281
2020-08-25,327.606689453125
2020-08-26,333.3716125488281
2020-08-27,335.96185302734375
2020-08-28,337.04278564453125
2020-08-31,336.3417053222656
2020-09-01,338.084716796875
2020-09-02,344.90142822265625
2020-09-03,330.7325439453125
2020-09-04,324.3833923339844
2020-09-08,312.4153747558594
2020-09-09,319.6117858886719
2020-09-10,311.9966125488281
2020-09-11,306.747802734375
2020-09-14,309.9710388183594
2020-09-15,314.0221862792969
2020-09-16,305.17034912109375
2020-09-17,299.1813659667969
2020-09-18,292.2673645019531
2020-09-21,299.6390686035156
2020-09-22,308.9681091308594
2020-09-23,296.94158935546875
2020-09-24,300.5057678222656
2020-09-25,310.15618896484375
2020-09-28,317.02142333984375
2020-09-29,315.16156005859375
2020-09-30,317.6641540527344
2020-10-01,323.6335754394531
2020-10-02,313.4573669433594
2020-10-05,322.67926025390625
2020-10-06,316.85595703125
2020-10-07,326.1361999511719
2020-10-08,326.7898254394531
2020-10-09,333.4428405761719
2020-10-12,342.3396911621094
2020-10-13,341.03240966796875
2020-10-14,336.8474426269531
2020-10-15,333.5989685058594
2020-10-16,332.79901123046875
2020-10-19,327.06298828125
2020-10-20,326.3215637207031
2020-10-21,324.6437072753906
2020-10-22,323.6974182128906
2020-10-23,326.2337646484375
2020-10-26,320.0587158203125
2020-10-27,322.1854248046875
2020-10-28,310.7132568359375
2020-10-29,317.63946533203125
2020-10-30,306.9769592285156
2020-11-02,308.6744384765625
2020-11-03,316.7809753417969
2020-11-04,334.603759765625
2020-11-05,342.3688659667969
2020-11-06,343.6370544433594
2020-11-09,351.32421875
2020-11-10,333.8818054199219
2020-11-11,343.7736511230469
2020-11-12,340.9543762207031
2020-11-13,348.2121887207031
2020-11-16,348.319580078125
2020-11-17,349.9682312011719
2020-11-18,346.0563659667969
2020-11-19,352.5924072265625
2020-11-20,339.1789855957031
2020-11-23,334.9256591796875
2020-11-24,336.7499084472656
2020-11-25,341.890869140625
2020-11-27,345.5686950683594
2020-11-30,343.4029541015625
2020-12-01,348.0854797363281
2020-12-02,346.7879638671875
2020-12-03,354.79705810546875
2020-12-04,359.5771484375
2020-12-07,363.07928466796875
2020-12-08,363.469482421875
2020-12-09,355.26531982421875
2020-12-10,353.62640380859375
2020-12-11,355.40191650390625
2020-12-14,356.5627746582031
2020-12-15,351.6070556640625
2020-12-16,360.22088623046875
2020-12-17,371.0102233886719
2020-12-18,370.80535888671875
2020-12-21,366.7276916503906
2020-12-22,370.66876220703125
2020-12-23,367.69342041015625
2020-12-24,371.8296813964844
2020-12-28,371.7906188964844
2020-12-29,369.06890869140625
2020-12-30,366.3569030761719
2020-12-31,370.5517272949219
2021-01-04,362.6012878417969
2021-01-05,359.8404541015625
2021-01-06,352.1631164550781
2021-01-07,359.60638427734375
2021-01-08,365.8792724609375
2021-01-11,363.8077697753906
2021-01-12,357.29071044921875
2021-01-13,356.5968933105469
2021-01-14,357.1343688964844
2021-01-15,362.5082702636719
