,NXPI
2016-12-08,89.26470947265625
2016-12-09,89.42841339111328
2016-12-12,89.25562286376953
2016-12-13,89.31017303466797
2016-12-14,88.97369384765625
2016-12-15,88.92821502685547
2016-12-16,88.39161682128906
2016-12-19,88.3370590209961
2016-12-20,88.3097915649414
2016-12-21,88.85543823242188
2016-12-22,89.01914978027344
2016-12-23,89.31017303466797
2016-12-27,90.03776550292969
2016-12-28,89.48297882080078
2016-12-29,89.21924591064453
2016-12-30,89.13737487792969
2017-01-03,88.8190689086914
2017-01-04,89.40116119384766
2017-01-05,89.49208068847656
2017-01-06,89.31929016113281
2017-01-09,89.22833251953125
2017-01-10,89.70125579833984
2017-01-11,89.5648422241211
2017-01-12,89.40116119384766
2017-01-13,89.47389221191406
2017-01-17,88.78268432617188
2017-01-18,89.13737487792969
2017-01-19,89.18287658691406
2017-01-20,88.94639587402344
2017-01-23,87.30934143066406
2017-01-24,87.94596862792969
2017-01-25,88.6735610961914
2017-01-26,88.45528411865234
2017-01-27,89.01914978027344
2017-01-30,89.14649963378906
2017-01-31,88.99187469482422
2017-02-01,88.90092468261719
2017-02-02,90.04684448242188
2017-02-03,90.45613861083984
2017-02-06,90.99272155761719
2017-02-07,92.1022720336914
2017-02-08,92.83895111083984
2017-02-09,92.40241241455078
2017-02-10,92.75707244873047
2017-02-13,93.00263977050781
2017-02-14,93.02084350585938
2017-02-15,93.2936782836914
2017-02-16,93.21183013916016
2017-02-17,93.12997436523438
2017-02-21,93.31185913085938
2017-02-22,93.35735321044922
2017-02-23,93.30278015136719
2017-02-24,93.52104187011719
2017-02-27,93.50286865234375
2017-02-28,93.50286865234375
2017-03-01,93.85755157470703
2017-03-02,94.23043060302734
2017-03-03,94.45780181884766
2017-03-06,94.4850845336914
2017-03-07,94.37596130371094
2017-03-08,94.46688842773438
2017-03-09,94.51237487792969
2017-03-10,94.78521728515625
2017-03-13,94.57604217529297
2017-03-14,94.40322875976562
2017-03-15,94.3577651977539
2017-03-16,94.03945922851562
2017-03-17,93.92121124267578
2017-03-20,93.97577667236328
2017-03-21,93.62108612060547
2017-03-22,93.43011474609375
2017-03-23,93.40279388427734
2017-03-24,93.66655731201172
2017-03-27,93.87574005126953
2017-03-28,93.83934783935547
2017-03-29,94.23954010009766
2017-03-30,94.3577651977539
2017-03-31,94.1303939819336
2017-04-03,94.8306884765625
2017-04-04,95.54008483886719
2017-04-05,95.31272888183594
2017-04-06,94.94892883300781
2017-04-07,95.08534240722656
2017-04-10,94.7397232055664
2017-04-11,94.5578384399414
2017-04-12,94.3031997680664
2017-04-13,93.88483428955078
2017-04-17,93.83027648925781
2017-04-18,93.95758819580078
2017-04-19,94.79431915283203
2017-04-20,94.97620391845703
2017-04-21,94.91254425048828
2017-04-24,95.28543090820312
2017-04-25,95.68560028076172
2017-04-26,95.92205047607422
2017-04-27,95.90386199951172
2017-04-28,96.17670440673828
2017-05-01,96.36769104003906
2017-05-02,96.18580627441406
2017-05-03,96.21307373046875
2017-05-04,97.11347198486328
2017-05-05,96.93157196044922
2017-05-08,97.22260284423828
2017-05-09,97.10436248779297
2017-05-10,97.02253723144531
2017-05-11,97.18621063232422
2017-05-12,97.19530487060547
2017-05-15,97.34992218017578
2017-05-16,97.9501724243164
2017-05-17,97.6682357788086
2017-05-18,97.55909729003906
2017-05-19,97.99565124511719
2017-05-22,98.37760925292969
2017-05-23,98.30487060546875
