,MSI
2019-11-19,154.62173461914062
2019-11-20,154.9570770263672
2019-11-21,153.74618530273438
2019-11-22,154.48204040527344
2019-11-25,154.36093139648438
2019-11-26,154.9570770263672
2019-11-27,155.92579650878906
2019-11-29,155.83262634277344
2019-12-02,153.72752380371094
2019-12-03,153.55987548828125
2019-12-04,153.82070922851562
2019-12-05,149.44287109375
2019-12-06,149.69436645507812
2019-12-09,150.43020629882812
2019-12-10,149.8899688720703
2019-12-11,150.6909637451172
2019-12-12,151.46717834472656
2019-12-13,150.0924835205078
2019-12-16,150.93409729003906
2019-12-17,150.54136657714844
2019-12-18,149.05445861816406
2019-12-19,150.6629638671875
2019-12-20,150.56942749023438
2019-12-23,151.68226623535156
2019-12-24,151.19598388671875
2019-12-26,150.91543579101562
2019-12-27,150.98089599609375
2019-12-30,150.52267456054688
2019-12-31,150.6909942626953
2020-01-02,151.14918518066406
2020-01-03,153.72091674804688
2020-01-06,156.09619140625
2020-01-07,154.97398376464844
2020-01-08,155.1330108642578
2020-01-09,157.7514190673828
2020-01-10,156.45156860351562
2020-01-13,159.79006958007812
2020-01-14,157.4241180419922
2020-01-15,159.49081420898438
2020-01-16,161.65103149414062
2020-01-17,164.69960021972656
2020-01-21,165.46646118164062
2020-01-22,166.2145538330078
2020-01-23,165.55996704101562
2020-01-24,168.01007080078125
2020-01-27,166.45770263671875
2020-01-28,167.4583282470703
2020-01-29,167.78564453125
2020-01-30,168.3935089111328
2020-01-31,165.5225372314453
2020-02-03,164.615478515625
2020-02-04,166.75698852539062
2020-02-05,165.23268127441406
2020-02-06,167.32742309570312
2020-02-07,167.82302856445312
2020-02-10,172.13409423828125
2020-02-11,172.49879455566406
2020-02-12,172.69522094726562
2020-02-13,172.1808624267578
2020-02-14,172.45205688476562
2020-02-18,172.88223266601562
2020-02-19,174.0511932373047
2020-02-20,173.5648956298828
2020-02-21,173.25631713867188
2020-02-24,170.0113067626953
2020-02-25,166.56057739257812
2020-02-26,166.22390747070312
2020-02-27,157.86361694335938
2020-02-28,154.93661499023438
2020-03-02,162.2401580810547
2020-03-03,163.64292907714844
2020-03-04,170.58175659179688
2020-03-05,168.74887084960938
2020-03-06,164.51260375976562
2020-03-09,154.94590759277344
2020-03-10,159.65914916992188
2020-03-11,150.7564697265625
2020-03-12,132.72991943359375
2020-03-13,145.47991943359375
2020-03-16,136.3634033203125
2020-03-17,140.20343017578125
2020-03-18,139.1424560546875
2020-03-19,140.569580078125
2020-03-20,128.26083374023438
2020-03-23,116.94728088378906
2020-03-24,122.81527709960938
2020-03-25,125.49111938476562
2020-03-26,139.8842010498047
2020-03-27,126.8149185180664
2020-03-30,125.21882629394531
2020-03-31,124.7963638305664
2020-04-01,118.38375091552734
2020-04-02,122.43035125732422
2020-04-03,118.88137817382812
2020-04-06,132.2886199951172
2020-04-07,133.7344970703125
2020-04-08,138.73873901367188
2020-04-09,143.5458221435547
2020-04-13,137.30226135253906
2020-04-14,143.45188903808594
2020-04-15,139.53680419921875
2020-04-16,143.4144287109375
2020-04-17,148.1276092529297
2020-04-20,145.8836669921875
2020-04-21,135.83755493164062
2020-04-22,142.3252716064453
2020-04-23,144.2218475341797
2020-04-24,143.46131896972656
2020-04-27,145.0010528564453
2020-04-28,136.54177856445312
2020-04-29,139.81846618652344
2020-04-30,135.02078247070312
2020-05-01,130.34518432617188
2020-05-04,132.5327606201172
2020-05-05,132.21351623535156
2020-05-06,127.03084564208984
2020-05-07,127.88526153564453
2020-05-08,123.24714660644531
2020-05-11,122.18624114990234
2020-05-12,123.2096176147461
2020-05-13,120.52440643310547
2020-05-14,119.53858947753906
2020-05-15,121.1816635131836
2020-05-18,127.23741149902344
2020-05-19,128.6551513671875
2020-05-20,130.11981201171875
2020-05-21,128.80538940429688
2020-05-22,125.98868560791016
2020-05-26,128.99314880371094
2020-05-27,125.82911682128906
2020-05-28,127.56603240966797
2020-05-29,127.0590591430664
2020-06-01,130.44842529296875
2020-06-02,131.1244354248047
2020-06-03,138.83265686035156
2020-06-04,140.10951232910156
2020-06-05,146.37185668945312
2020-06-08,148.6439971923828
2020-06-09,142.4942626953125
2020-06-10,139.1706085205078
2020-06-11,127.76316833496094
2020-06-12,132.63076782226562
2020-06-15,129.76304626464844
2020-06-16,133.87591552734375
2020-06-17,132.12135314941406
2020-06-18,133.3571014404297
2020-06-19,131.00823974609375
2020-06-22,133.13070678710938
2020-06-23,133.03634643554688
2020-06-24,131.40443420410156
2020-06-25,132.52699279785156
2020-06-26,130.9138946533203
2020-06-29,130.3101806640625
2020-06-30,132.1873779296875
2020-07-01,128.26312255859375
2020-07-02,127.43302917480469
2020-07-06,128.3008575439453
2020-07-07,123.6503677368164
2020-07-08,124.64082336425781
2020-07-09,123.50881958007812
2020-07-10,121.14110565185547
2020-07-13,123.63147735595703
2020-07-14,125.43321228027344
2020-07-15,126.93309783935547
2020-07-16,127.0745849609375
2020-07-17,129.87625122070312
2020-07-20,127.96129608154297
2020-07-21,130.17813110351562
2020-07-22,133.19671630859375
2020-07-23,136.0455322265625
2020-07-24,133.6967010498047
2020-07-27,133.91366577148438
2020-07-28,129.04612731933594
2020-07-29,132.1024627685547
2020-07-30,131.3006591796875
2020-07-31,131.8760986328125
2020-08-03,129.7441864013672
2020-08-04,129.77249145507812
2020-08-05,130.48939514160156
2020-08-06,135.86630249023438
2020-08-07,136.08328247070312
2020-08-10,134.15892028808594
2020-08-11,134.77207946777344
2020-08-12,136.79074096679688
2020-08-13,137.68695068359375
2020-08-14,137.13035583496094
2020-08-17,139.0076141357422
2020-08-18,141.30926513671875
2020-08-19,141.93190002441406
2020-08-20,143.0166778564453
2020-08-21,143.30911254882812
