,ORCL
2018-04-09,40.37850570678711
2018-04-10,41.20586013793945
2018-04-11,41.01700973510742
2018-04-12,41.25981521606445
2018-04-13,41.43967819213867
2018-04-16,41.58415985107422
2018-04-17,42.13499450683594
2018-04-18,42.514278411865234
2018-04-19,42.27949142456055
2018-04-20,41.74671173095703
2018-04-23,41.35841369628906
2018-04-24,41.114585876464844
2018-04-25,41.313255310058594
2018-04-26,41.502891540527344
2018-04-27,41.114585876464844
2018-04-30,41.24101257324219
2018-05-01,41.49385452270508
2018-05-02,41.09653091430664
2018-05-03,40.69015884399414
2018-05-04,41.277130126953125
2018-05-07,41.60222244262695
2018-05-08,41.48482131958008
2018-05-09,42.062767028808594
2018-05-10,42.378814697265625
2018-05-11,42.27949142456055
2018-05-14,42.27949142456055
2018-05-15,42.27046203613281
2018-05-16,42.198211669921875
2018-05-17,42.026641845703125
2018-05-18,41.82797622680664
2018-05-21,42.63166046142578
2018-05-22,41.873130798339844
2018-05-23,42.35173034667969
2018-05-24,41.95439529418945
2018-05-25,42.4420280456543
2018-05-29,41.77378463745117
2018-05-30,42.487178802490234
2018-05-31,42.18919372558594
2018-06-01,42.75809097290039
2018-06-04,42.73100662231445
2018-06-05,42.55942153930664
2018-06-06,43.119293212890625
2018-06-07,43.05608367919922
2018-06-08,43.50759506225586
2018-06-11,43.51662826538086
2018-06-12,43.75141143798828
2018-06-13,43.588863372802734
2018-06-14,41.44871520996094
2018-06-15,41.79185485839844
2018-06-18,42.008583068847656
2018-06-19,41.78282928466797
2018-06-20,38.66739273071289
2018-06-21,38.92024230957031
2018-06-22,39.823272705078125
2018-06-25,39.98580551147461
2018-06-26,40.10320281982422
2018-06-27,39.236305236816406
2018-06-28,39.588478088378906
2018-06-29,39.78714370727539
2018-07-02,40.59083557128906
2018-07-03,40.38315200805664
2018-07-05,41.0062255859375
2018-07-06,41.539005279541016
2018-07-09,42.198211669921875
2018-07-10,42.43299865722656
2018-07-11,43.01996612548828
2018-07-12,43.480506896972656
2018-07-13,43.913963317871094
2018-07-16,43.93207931518555
2018-07-17,44.33097839355469
2018-07-18,44.09526824951172
2018-07-19,43.913944244384766
2018-07-20,43.986480712890625
