,SPG
2014-11-05,110.19886016845703
2014-11-06,109.25244903564453
2014-11-07,108.86418914794922
2014-11-10,110.58106231689453
2014-11-11,109.57396697998047
2014-11-12,108.96900939941406
2014-11-13,109.72672271728516
2014-11-14,108.79182434082031
2014-11-17,109.06675720214844
2014-11-18,109.50064086914062
2014-11-19,107.77738189697266
2014-11-20,109.30509948730469
2014-11-21,109.04845428466797
2014-11-24,109.12792205810547
2014-11-25,109.390625
2014-11-26,110.41727447509766
2014-11-28,110.48448944091797
2014-12-01,110.22783660888672
2014-12-02,111.12612915039062
2014-12-03,110.97338104248047
2014-12-04,111.24835205078125
2014-12-05,110.50281524658203
2014-12-08,111.74331665039062
2014-12-09,111.35831451416016
2014-12-10,111.65166473388672
2014-12-11,111.74331665039062
2014-12-12,110.2645263671875
2014-12-15,110.19120025634766
2014-12-16,109.4762191772461
2014-12-17,111.81663513183594
2014-12-18,113.33829498291016
2014-12-19,112.15277099609375
2014-12-22,114.55435943603516
2014-12-23,113.86991882324219
2014-12-24,113.1243667602539
2014-12-26,112.82495880126953
2014-12-29,113.97380065917969
2014-12-30,113.3871841430664
2014-12-31,111.2850341796875
2015-01-02,113.25882720947266
2015-01-05,113.7232666015625
2015-01-06,116.888671875
2015-01-07,119.03972625732422
2015-01-08,118.86861419677734
2015-01-09,120.12134552001953
2015-01-12,120.23745727539062
2015-01-13,120.31688690185547
2015-01-14,121.38020324707031
2015-01-15,122.26017761230469
2015-01-16,122.70623016357422
2015-01-20,121.99126434326172
2015-01-21,122.3518295288086
2015-01-22,124.68000030517578
2015-01-23,124.11785125732422
2015-01-26,125.37057495117188
2015-01-27,125.07727813720703
2015-01-28,124.36222076416016
2015-01-29,125.1261215209961
2015-01-30,121.39848327636719
2015-02-02,121.85681915283203
2015-02-03,122.27237701416016
2015-02-04,123.33565521240234
2015-02-05,124.18509674072266
2015-02-06,119.21080780029297
2015-02-09,118.61807250976562
2015-02-10,119.00917053222656
2015-02-11,118.43673706054688
2015-02-12,119.8523941040039
2015-02-13,118.86143493652344
2015-02-17,118.67681884765625
2015-02-18,119.58158874511719
2015-02-19,116.83023071289062
2015-02-20,118.06128692626953
2015-02-23,119.16921997070312
2015-02-24,116.98412322998047
2015-02-25,117.24263000488281
2015-02-26,115.18679809570312
2015-02-27,117.16876220703125
2015-03-02,116.97178649902344
2015-03-03,116.7071304321289
2015-03-04,115.4453353881836
2015-03-05,115.18069458007812
2015-03-06,111.14908599853516
2015-03-09,111.06291961669922
2015-03-10,110.74282836914062
2015-03-11,110.39199829101562
2015-03-12,113.0079116821289
2015-03-13,113.2418212890625
2015-03-16,115.14374542236328
2015-03-17,114.56517791748047
2015-03-18,117.87045288085938
2015-03-19,118.2397689819336
2015-03-20,121.46503448486328
2015-03-23,121.588134765625
2015-03-24,121.151123046875
2015-03-25,119.5015869140625
2015-03-26,118.57828521728516
2015-03-27,119.56927490234375
2015-03-30,121.2372817993164
2015-03-31,120.41869354248047
2015-04-01,121.8651123046875
2015-04-02,122.7083969116211
2015-04-06,123.59471130371094
2015-04-07,122.04978942871094
2015-04-08,121.53888702392578
2015-04-09,118.8737564086914
2015-04-10,117.72888946533203
2015-04-13,117.1502685546875
2015-04-14,117.82120513916016
2015-04-15,116.97178649902344
2015-04-16,117.00872802734375
2015-04-17,115.8761978149414
2015-04-20,116.08549499511719
2015-04-21,116.22702026367188
2015-04-22,116.39940643310547
2015-04-23,116.36860656738281
2015-04-24,116.15320587158203
2015-04-27,116.87335205078125
2015-04-28,115.87006378173828
2015-04-29,112.70015716552734
2015-04-30,111.70919799804688
2015-05-01,113.3587646484375
2015-05-04,112.8663330078125
2015-05-05,111.07518768310547
2015-05-06,111.78305053710938
2015-05-07,112.7309341430664
2015-05-08,115.500732421875
2015-05-11,113.3587646484375
2015-05-12,113.51876831054688
2015-05-13,112.5321273803711
2015-05-14,114.65441131591797
2015-05-15,115.18185424804688
2015-05-18,114.66686248779297
2015-05-19,114.201416015625
2015-05-20,113.92832946777344
2015-05-21,113.89733123779297
2015-05-22,113.94696044921875
2015-05-26,112.99131774902344
2015-05-27,114.26966857910156
2015-05-28,114.07108306884766
2015-05-29,112.56932830810547
2015-06-01,113.80425262451172
2015-06-02,113.03475952148438
2015-06-03,111.03654479980469
2015-06-04,111.09862518310547
2015-06-05,109.59687042236328
