,NEE
2020-08-28,63.12164306640625
2020-08-31,63.03583526611328
2020-09-01,62.5752067565918
2020-09-02,65.08834838867188
2020-09-03,63.35646438598633
2020-09-04,62.61811065673828
2020-09-08,62.7513313293457
2020-09-09,63.758384704589844
2020-09-10,62.52553176879883
2020-09-11,62.805519104003906
2020-09-14,63.656776428222656
2020-09-15,66.76827239990234
2020-09-16,63.30229568481445
2020-09-17,63.1148681640625
2020-09-18,62.527801513671875
2020-09-21,62.3652229309082
2020-09-22,62.785194396972656
2020-09-23,61.712669372558594
2020-09-24,62.66778564453125
2020-09-25,63.63420104980469
2020-09-28,64.15805053710938
2020-09-29,63.927730560302734
2020-09-30,62.672306060791016
2020-10-01,63.84644317626953
2020-10-02,63.48744583129883
2020-10-05,65.00932312011719
2020-10-06,65.54444122314453
2020-10-07,67.08891296386719
2020-10-08,67.97402954101562
2020-10-09,68.3962631225586
2020-10-12,69.01947021484375
2020-10-13,68.07111358642578
2020-10-14,67.88370513916016
2020-10-15,67.3914566040039
2020-10-16,69.00366973876953
2020-10-19,67.63758087158203
2020-10-20,67.96273040771484
2020-10-21,67.21534729003906
2020-10-22,68.25173950195312
2020-10-23,68.43240356445312
2020-10-26,68.33756256103516
2020-10-27,68.44367980957031
2020-10-28,67.25148010253906
2020-10-29,66.84504699707031
2020-10-30,66.12249755859375
2020-11-02,67.85661315917969
2020-11-03,68.66043853759766
2020-11-04,66.22184753417969
2020-11-05,67.51339721679688
2020-11-06,68.38948059082031
2020-11-09,68.19981384277344
2020-11-10,68.63335418701172
2020-11-11,70.0333023071289
2020-11-12,69.24751281738281
2020-11-13,69.7171859741211
2020-11-16,70.22296905517578
2020-11-17,69.19332122802734
2020-11-18,68.45272064208984
2020-11-19,67.85661315917969
2020-11-20,68.23594665527344
2020-11-23,67.35081481933594
2020-11-24,67.72113800048828
2020-11-25,68.93708038330078
2020-11-27,68.17484283447266
2020-11-30,66.77740478515625
2020-12-01,67.28556823730469
2020-12-02,67.43077087402344
2020-12-03,66.55961608886719
2020-12-04,65.80646514892578
2020-12-07,66.48704528808594
2020-12-08,66.85907745361328
2020-12-09,66.85000610351562
2020-12-10,66.49610137939453
2020-12-11,66.96795654296875
2020-12-14,66.74110412597656
2020-12-15,67.9752197265625
2020-12-16,67.54873657226562
2020-12-17,68.11132049560547
2020-12-18,67.61223602294922
2020-12-21,67.5124282836914
2020-12-22,67.79373168945312
2020-12-23,67.44891357421875
2020-12-24,68.03872680664062
2020-12-28,68.50152587890625
2020-12-29,68.35633850097656
2020-12-30,68.88265228271484
2020-12-31,70.00786590576172
2021-01-04,67.34907531738281
2021-01-05,67.84817504882812
2021-01-06,71.16934967041016
2021-01-07,71.94973754882812
2021-01-08,73.619384765625
2021-01-11,72.31271362304688
2021-01-12,72.36714172363281
2021-01-13,74.263671875
2021-01-14,74.88978576660156
2021-01-15,74.44515228271484
2021-01-19,75.14387512207031
2021-01-20,76.26909637451172
2021-01-21,75.96055603027344
2021-01-22,76.41426086425781
2021-01-25,78.82801818847656
2021-01-26,77.33982849121094
2021-01-27,72.76641082763672
2021-01-28,74.8262710571289
2021-01-29,73.38347625732422
2021-02-01,74.13662719726562
2021-02-02,75.25276184082031
2021-02-03,75.36165618896484
2021-02-04,75.31627655029297
2021-02-05,75.86074829101562
2021-02-08,75.67925262451172
2021-02-09,76.06944274902344
2021-02-10,76.14205169677734
2021-02-11,76.1783218383789
