,MGM
2016-01-27,18.389623641967773
2016-01-28,18.210161209106445
2016-01-29,18.965776443481445
2016-02-01,18.93743324279785
2016-02-02,18.030702590942383
2016-02-03,17.520673751831055
2016-02-04,17.728458404541016
2016-02-05,16.88784408569336
2016-02-08,15.933897018432617
2016-02-09,15.641093254089355
2016-02-10,16.217247009277344
2016-02-11,15.99056625366211
2016-02-12,17.105085372924805
2016-02-16,18.08737564086914
2016-02-17,18.956321716308594
2016-02-18,17.378999710083008
2016-02-19,17.057863235473633
2016-02-22,17.719017028808594
2016-02-23,17.208980560302734
2016-02-24,17.237316131591797
2016-02-25,17.322324752807617
2016-02-26,17.82291603088379
2016-02-29,17.87958526611328
2016-03-01,18.824094772338867
2016-03-02,19.14522933959961
2016-03-03,19.20189666748047
2016-03-04,18.710750579833984
2016-03-07,18.72020149230957
2016-03-08,18.257394790649414
2016-03-09,18.93743324279785
2016-03-10,19.211345672607422
2016-03-11,19.65526580810547
2016-03-14,19.77804946899414
2016-03-15,19.523033142089844
2016-03-16,20.023622512817383
2016-03-17,19.787494659423828
2016-03-18,20.231414794921875
2016-03-21,19.806386947631836
2016-03-22,20.0614013671875
2016-03-23,19.608036041259766
2016-03-24,19.381357192993164
2016-03-28,19.31524085998535
2016-03-29,20.042512893676758
2016-03-30,20.10862922668457
2016-03-31,20.250308990478516
2016-04-01,20.703670501708984
2016-04-04,20.420318603515625
2016-04-05,20.08973503112793
2016-04-06,20.17474937438965
2016-04-07,20.467546463012695
2016-04-08,21.1475887298584
2016-04-11,20.835901260375977
2016-04-12,21.39316177368164
2016-04-13,21.818195343017578
2016-04-14,21.544286727905273
2016-04-15,21.5253963470459
2016-04-18,21.600954055786133
2016-04-19,21.752077102661133
2016-04-20,21.5253963470459
2016-04-21,21.053144454956055
2016-04-22,20.939796447753906
2016-04-25,20.55254364013672
2016-04-26,20.628114700317383
2016-04-27,20.713119506835938
2016-04-28,20.16530418395996
2016-04-29,20.118074417114258
2016-05-02,20.467546463012695
2016-05-03,20.250308990478516
