,EMR
2017-08-04,50.73258972167969
2017-08-07,50.533477783203125
2017-08-08,50.13524627685547
2017-08-09,50.20216369628906
2017-08-10,49.457862854003906
2017-08-11,49.2487907409668
2017-08-14,49.86764144897461
2017-08-15,49.68365478515625
2017-08-16,49.608402252197266
2017-08-17,48.74702453613281
2017-08-18,48.5045051574707
2017-08-21,48.5045051574707
2017-08-22,49.190242767333984
2017-08-23,48.864097595214844
2017-08-24,48.52122497558594
2017-08-25,48.972816467285156
2017-08-28,48.83900833129883
2017-08-29,48.79718780517578
2017-08-30,49.03135681152344
2017-08-31,49.37424087524414
2017-09-01,49.181884765625
2017-09-05,49.05644989013672
2017-09-06,50.101806640625
2017-09-07,50.35268020629883
2017-09-08,50.51158905029297
2017-09-11,50.93809127807617
2017-09-12,51.230777740478516
2017-09-13,51.26422882080078
2017-09-14,51.75764083862305
2017-09-15,52.142330169677734
2017-09-18,52.677555084228516
2017-09-19,52.86153030395508
2017-09-20,53.43021774291992
2017-09-21,53.05387878417969
2017-09-22,53.05387878417969
2017-09-25,53.19605255126953
2017-09-26,52.769554138183594
2017-09-27,52.97026062011719
2017-09-28,52.5688362121582
2017-09-29,52.55210494995117
2017-10-02,52.853172302246094
2017-10-03,52.96189498901367
2017-10-04,53.455284118652344
2017-10-05,53.50548553466797
2017-10-06,53.27131652832031
2017-10-09,53.37166976928711
2017-10-10,53.03715133666992
2017-10-11,53.04552459716797
2017-10-12,53.455284118652344
2017-10-13,53.49711608886719
2017-10-16,53.89017868041992
2017-10-17,54.75991439819336
2017-10-18,54.78498840332031
2017-10-19,54.4922981262207
2017-10-20,55.010780334472656
2017-10-23,55.27839279174805
2017-10-24,55.8136100769043
2017-10-25,55.612918853759766
2017-10-26,55.88889694213867
2017-10-27,56.34884262084961
2017-10-30,56.31538009643555
2017-10-31,53.906890869140625
2017-11-01,53.58073806762695
2017-11-02,53.20441818237305
2017-11-03,53.60584259033203
2017-11-06,53.957069396972656
2017-11-07,52.7528190612793
2017-11-08,52.284507751464844
2017-11-09,51.414764404296875
2017-11-10,51.52347946166992
2017-11-13,51.33950424194336
2017-11-14,50.7959098815918
2017-11-15,49.83418655395508
2017-11-16,49.76252365112305
2017-11-17,50.46234130859375
2017-11-20,50.80802536010742
2017-11-21,50.883907318115234
2017-11-22,52.17391586303711
2017-11-24,51.96314239501953
2017-11-27,52.17391586303711
2017-11-28,54.08787155151367
2017-11-29,53.85177230834961
2017-11-30,54.65277862548828
2017-12-01,54.54316711425781
2017-12-04,54.88885498046875
2017-12-05,54.53472900390625
2017-12-06,54.57689666748047
2017-12-07,55.46218490600586
2017-12-08,56.111419677734375
2017-12-11,55.99337387084961
2017-12-12,56.21260070800781
2017-12-13,56.65947723388672
2017-12-14,56.07768630981445
2017-12-15,56.71004867553711
2017-12-18,57.637516021728516
