,BAX
2021-01-19,72.12259674072266
2021-01-20,72.75387573242188
2021-01-21,73.20217895507812
2021-01-22,72.7447280883789
2021-01-25,73.28450775146484
2021-01-26,73.93411254882812
2021-01-27,71.38151550292969
2021-01-28,70.58553314208984
2021-01-29,70.29277038574219
2021-02-01,69.88105010986328
2021-02-02,70.00914764404297
2021-02-03,70.713623046875
2021-02-04,70.61299133300781
2021-02-05,70.7227783203125
2021-02-08,70.99725341796875
2021-02-09,70.43916320800781
2021-02-10,71.00639343261719
2021-02-11,71.235107421875
2021-02-12,72.03109741210938
2021-02-16,71.18022155761719
2021-02-17,71.07044982910156
2021-02-18,72.12259674072266
2021-02-19,71.7657699584961
2021-02-22,72.15919494628906
2021-02-23,71.49130249023438
2021-02-24,71.82981872558594
2021-02-25,72.18315124511719
2021-02-26,71.30209350585938
2021-03-01,71.53153228759766
2021-03-02,71.29292297363281
2021-03-03,70.8064956665039
2021-03-04,70.13652038574219
2021-03-05,71.64167785644531
2021-03-08,71.84358215332031
2021-03-09,70.91663360595703
2021-03-10,71.32962036132812
2021-03-11,71.34797668457031
2021-03-12,71.54988861083984
2021-03-15,72.20150756835938
2021-03-16,72.44013977050781
2021-03-17,73.13764953613281
2021-03-18,73.29365539550781
2021-03-19,73.6974868774414
2021-03-22,74.56019592285156
2021-03-23,74.89059448242188
2021-03-24,75.33113098144531
2021-03-25,76.5517807006836
2021-03-26,78.88291931152344
2021-03-29,78.95635223388672
2021-03-30,78.54335021972656
2021-03-31,77.40530395507812
2021-04-01,77.38695526123047
2021-04-05,78.26802062988281
2021-04-06,77.93761444091797
2021-04-07,77.72653198242188
2021-04-08,77.09326934814453
2021-04-09,77.93761444091797
2021-04-12,77.58885955810547
2021-04-13,77.81830596923828
2021-04-14,77.6806411743164
2021-04-15,78.7452621459961
2021-04-16,79.44276428222656
2021-04-19,79.40605926513672
2021-04-20,79.91083526611328
2021-04-21,80.67259979248047
2021-04-22,80.7735595703125
2021-04-23,80.64508056640625
2021-04-26,80.17699432373047
2021-04-27,79.62632751464844
2021-04-28,79.83743286132812
2021-04-29,78.33226776123047
2021-04-30,78.6443099975586
2021-05-03,79.42443084716797
2021-05-04,80.25041961669922
2021-05-05,79.57127380371094
2021-05-06,80.33301544189453
2021-05-07,79.49785614013672
2021-05-10,79.37852478027344
2021-05-11,76.70780181884766
2021-05-12,76.26728057861328
2021-05-13,76.54258728027344
2021-05-14,76.96478271484375
2021-05-17,76.03781127929688
2021-05-18,76.11124420166016
2021-05-19,75.69824981689453
2021-05-20,76.13878631591797
2021-05-21,76.23054504394531
2021-05-24,75.96439361572266
2021-05-25,75.57893371582031
2021-05-26,75.64318084716797
2021-05-27,75.08332824707031
2021-05-28,75.36785125732422
2021-06-01,75.38619995117188
2021-06-02,74.89059448242188
2021-06-03,75.23135375976562
2021-06-04,75.7470703125
2021-06-07,74.83533477783203
2021-06-08,74.67876434326172
2021-06-09,75.83916473388672
2021-06-10,77.44160461425781
2021-06-11,75.73786163330078
2021-06-14,76.2259521484375
2021-06-15,75.47078704833984
2021-06-16,75.30501556396484
2021-06-17,74.73404693603516
2021-06-18,74.43013000488281
2021-06-21,75.06558227539062
2021-06-22,74.89982604980469
2021-06-23,74.53142547607422
2021-06-24,74.96427154541016
2021-06-25,75.69181823730469
2021-06-28,75.19450378417969
2021-06-29,75.3879165649414
2021-06-30,74.13543701171875
2021-07-01,75.02875518798828
2021-07-02,75.29581451416016
2021-07-06,74.6603775024414
2021-07-07,75.37870788574219
2021-07-08,74.89982604980469
2021-07-09,74.07097625732422
2021-07-12,74.42090606689453
2021-07-13,74.67876434326172
2021-07-14,74.59590148925781
2021-07-15,74.65116119384766
2021-07-16,74.98269653320312
2021-07-19,73.92362213134766
2021-07-20,74.17227935791016
2021-07-21,73.92362213134766
2021-07-22,74.1446533203125
2021-07-23,74.72483825683594
2021-07-26,74.38407897949219
2021-07-27,75.61812591552734
2021-07-28,75.4339599609375
2021-07-29,71.26211547851562
2021-07-30,71.23448944091797
2021-08-02,71.10555267333984
2021-08-03,70.24907684326172
2021-08-04,69.20843505859375
2021-08-05,68.57296752929688
2021-08-06,68.91374206542969
2021-08-09,68.14933776855469
2021-08-10,68.01119995117188
2021-08-11,68.13093566894531
2021-08-12,68.0204086303711
2021-08-13,68.66506958007812
2021-08-16,69.69651794433594
2021-08-17,69.9267578125
2021-08-18,69.31893157958984
2021-08-19,69.08869934082031
2021-08-20,69.2452392578125
2021-08-23,68.89529418945312
2021-08-24,68.63744354248047
2021-08-25,67.96516418457031
2021-08-26,67.93751525878906
2021-08-27,68.12171173095703
