,FANG
2017-04-28,79.79100799560547
2017-05-01,79.08773040771484
2017-05-02,78.62419891357422
2017-05-03,80.14266204833984
2017-05-04,76.09077453613281
2017-05-05,79.63916778564453
2017-05-08,80.41439056396484
2017-05-09,79.61517333984375
2017-05-10,81.82096099853516
2017-05-11,81.0217514038086
2017-05-12,81.43734741210938
2017-05-15,82.54022979736328
2017-05-16,83.08364868164062
2017-05-17,81.34942626953125
2017-05-18,81.21356201171875
2017-05-19,82.41236114501953
2017-05-22,81.717041015625
2017-05-23,80.43834686279297
2017-05-24,79.4153823852539
2017-05-25,79.6231918334961
2017-05-26,78.6481704711914
2017-05-30,75.34751892089844
2017-05-31,74.13275146484375
2017-06-01,75.09976959228516
2017-06-02,73.39749908447266
2017-06-05,72.44647216796875
2017-06-06,74.13275146484375
2017-06-07,70.80811309814453
2017-06-08,70.18476104736328
2017-06-09,72.04685974121094
2017-06-12,72.45446014404297
2017-06-13,73.87702178955078
2017-06-14,71.44747924804688
2017-06-15,68.62635040283203
2017-06-16,67.8271484375
2017-06-19,68.642333984375
2017-06-20,69.56139373779297
2017-06-21,69.32963562011719
2017-06-22,68.7142562866211
2017-06-23,70.6482925415039
2017-06-26,69.76919555664062
2017-06-27,70.32061767578125
2017-06-28,69.20973205566406
2017-06-29,69.7612075805664
2017-06-30,70.97596740722656
2017-07-03,72.20670318603516
2017-07-05,70.72022247314453
2017-07-06,68.69828033447266
2017-07-07,68.80215454101562
2017-07-10,70.35258483886719
2017-07-11,70.82411193847656
2017-07-12,70.41651916503906
2017-07-13,71.46347045898438
2017-07-14,72.31060791015625
2017-07-17,72.30260467529297
2017-07-18,72.2546615600586
2017-07-19,75.06781005859375
2017-07-20,73.8290786743164
2017-07-21,73.51739501953125
2017-07-24,74.49237823486328
2017-07-25,76.49835968017578
2017-07-26,77.10575103759766
2017-07-27,77.17766571044922
2017-07-28,77.2416000366211
2017-07-31,76.626220703125
2017-08-01,76.20265197753906
2017-08-02,76.59424591064453
2017-08-03,71.67924499511719
2017-08-04,76.09077453613281
2017-08-07,76.75408935546875
2017-08-08,75.90695190429688
2017-08-09,75.58729553222656
2017-08-10,73.57332611083984
2017-08-11,74.22066497802734
2017-08-14,72.52639770507812
2017-08-15,70.34458923339844
2017-08-16,70.37655639648438
2017-08-17,68.8101577758789
2017-08-18,69.73721313476562
2017-08-21,69.5933609008789
2017-08-22,69.87308502197266
2017-08-23,71.01592254638672
2017-08-24,71.22371673583984
2017-08-25,70.9200210571289
2017-08-28,70.35258483886719
2017-08-29,70.4644775390625
2017-08-30,70.7042236328125
2017-08-31,72.55834197998047
2017-09-01,73.46144104003906
2017-09-05,73.31758117675781
2017-09-06,74.05284118652344
2017-09-07,73.2217025756836
2017-09-08,71.04788970947266
2017-09-11,71.48744201660156
2017-09-12,72.2546615600586
2017-09-13,74.71617126464844
2017-09-14,74.9719009399414
2017-09-15,75.09976959228516
