,ABT
2019-07-30,80.61321258544922
2019-07-31,79.50867462158203
2019-08-01,78.57756805419922
2019-08-02,78.34024047851562
2019-08-05,75.91207122802734
2019-08-06,77.4638900756836
2019-08-07,77.2265625
2019-08-08,78.10289764404297
2019-08-09,79.07051849365234
2019-08-12,77.28132629394531
2019-08-13,79.31698608398438
2019-08-14,76.62409210205078
2019-08-15,76.62409210205078
2019-08-16,77.390869140625
2019-08-19,78.10289764404297
2019-08-20,77.17179870605469
2019-08-21,77.50041198730469
2019-08-22,77.01661682128906
2019-08-23,74.78926086425781
2019-08-26,75.87557983398438
2019-08-27,76.35936737060547
2019-08-28,76.87967681884766
2019-08-29,77.4273910522461
2019-08-30,77.8838119506836
2019-09-03,76.733642578125
2019-09-04,76.87967681884766
2019-09-05,78.41327667236328
2019-09-06,78.54107666015625
2019-09-09,76.87967681884766
2019-09-10,75.95771026611328
2019-09-11,77.15352630615234
2019-09-12,77.78338623046875
2019-09-13,76.92530059814453
2019-09-16,76.0946273803711
2019-09-17,76.29547882080078
2019-09-18,76.35022735595703
2019-09-19,75.97598266601562
2019-09-20,76.29547882080078
2019-09-23,75.91207122802734
2019-09-24,75.25482940673828
2019-09-25,75.63821411132812
2019-09-26,75.4556655883789
2019-09-27,74.70711517333984
2019-09-30,76.37762451171875
2019-10-01,74.70711517333984
2019-10-02,72.59844970703125
2019-10-03,74.00425720214844
2019-10-04,74.84404754638672
2019-10-07,73.97684478759766
2019-10-08,71.66735076904297
2019-10-09,72.57106018066406
2019-10-10,73.1552734375
2019-10-11,72.98114776611328
2019-10-14,73.15528106689453
2019-10-15,75.13494110107422
2019-10-16,74.9516372680664
2019-10-17,75.50154113769531
2019-10-18,75.87730407714844
2019-10-21,74.83250427246094
2019-10-22,73.81517028808594
2019-10-23,74.48421478271484
2019-10-24,74.56669616699219
2019-10-25,74.83250427246094
2019-10-28,75.7581558227539
2019-10-29,76.482177734375
2019-10-30,76.99544525146484
2019-10-31,76.62884521484375
2019-11-01,75.7581558227539
2019-11-04,75.35490417480469
2019-11-05,75.46485900878906
2019-11-06,76.17976379394531
2019-11-07,76.42720794677734
2019-11-08,76.74796295166016
2019-11-11,76.76629638671875
2019-11-12,77.29786682128906
2019-11-13,77.18790435791016
2019-11-14,77.09624481201172
2019-11-15,78.5534896850586
2019-11-18,77.22454833984375
2019-11-19,77.25205993652344
2019-11-20,76.88546752929688
2019-11-21,76.6929931640625
2019-11-22,76.74796295166016
2019-11-25,77.43535614013672
2019-11-26,78.2876968383789
2019-11-27,78.2876968383789
2019-11-29,78.31519317626953
2019-12-02,77.45368194580078
2019-12-03,77.31621551513672
2019-12-04,78.06774139404297
2019-12-05,78.12274169921875
2019-12-06,78.34268951416016
2019-12-09,76.86712646484375
2019-12-10,77.49950408935547
2019-12-11,77.82028198242188
2019-12-12,78.79179382324219
2019-12-13,79.14005279541016
2019-12-16,79.18588256835938
2019-12-17,79.7907485961914
2019-12-18,79.671630859375
2019-12-19,80.05654907226562
2019-12-20,79.4241714477539
2019-12-23,80.05654907226562
2019-12-24,79.99239349365234
2019-12-26,79.99239349365234
2019-12-27,80.10238647460938
2019-12-30,79.5524673461914
2019-12-31,79.60746002197266
2020-01-02,79.68994140625
2020-01-03,78.71845245361328
2020-01-06,79.13089752197266
2020-01-07,78.69096374511719
2020-01-08,79.01172637939453
2020-01-09,79.22252655029297
2020-01-10,78.23272705078125
2020-01-13,78.01275634765625
2020-01-14,78.91473388671875
2020-01-15,80.4241714477539
2020-01-16,81.25255584716797
2020-01-17,81.91522979736328
2020-01-21,82.58709716796875
2020-01-22,84.54756164550781
2020-01-23,83.50751495361328
2020-01-24,83.20378112792969
2020-01-27,82.4582290649414
2020-01-28,82.41223907470703
2020-01-29,82.04407501220703
2020-01-30,82.06249237060547
2020-01-31,80.20330047607422
2020-02-03,80.12964630126953
2020-02-04,81.20652770996094
2020-02-05,82.43065643310547
2020-02-06,82.34781646728516
2020-02-07,80.87517547607422
2020-02-10,81.27096557617188
2020-02-11,82.07169342041016
2020-02-12,81.72193908691406
2020-02-13,81.62068176269531
2020-02-14,82.5226821899414
2020-02-18,81.80477142333984
2020-02-19,82.2465591430664
2020-02-20,81.418212890625
2020-02-21,80.4886245727539
2020-02-24,77.8930892944336
2020-02-25,74.67169952392578
2020-02-26,74.88340759277344
2020-02-27,72.88616180419922
2020-02-28,70.89808654785156
2020-03-02,75.11351013183594
2020-03-03,71.78167724609375
2020-03-04,75.55530548095703
2020-03-05,74.11026763916016
2020-03-06,75.23316192626953
2020-03-09,70.88887786865234
2020-03-10,74.44160461425781
2020-03-11,71.87371063232422
2020-03-12,68.7903823852539
2020-03-13,75.15032196044922
2020-03-16,67.79634094238281
2020-03-17,73.1622543334961
2020-03-18,72.95056915283203
2020-03-19,68.56947326660156
2020-03-20,62.5869140625
2020-03-23,57.81926345825195
2020-03-24,64.14237976074219
2020-03-25,65.11800384521484
2020-03-26,69.77521514892578
2020-03-27,68.62471008300781
2020-03-30,73.0241928100586
2020-03-31,72.62843322753906
2020-04-01,70.4747085571289
2020-04-02,73.11624908447266
2020-04-03,73.12545013427734
2020-04-06,76.14434814453125
2020-04-07,75.40801239013672
2020-04-08,78.1876220703125
2020-04-09,79.19085693359375
2020-04-13,79.01597595214844
2020-04-14,82.38955688476562
2020-04-15,84.05326843261719
2020-04-16,88.7300796508789
2020-04-17,88.73933410644531
2020-04-20,90.57862091064453
2020-04-21,86.92774963378906
2020-04-22,88.24945068359375
2020-04-23,86.8260726928711
2020-04-24,86.93698120117188
2020-04-27,87.75957489013672
2020-04-28,84.53388214111328
2020-04-29,85.29178619384766
2020-04-30,85.11617279052734
2020-05-01,83.0457992553711
2020-05-04,83.0273208618164
2020-05-05,85.98499298095703
2020-05-06,84.18267059326172
2020-05-07,86.8722915649414
2020-05-08,86.604248046875
2020-05-11,88.7947998046875
2020-05-12,86.69667053222656
2020-05-13,85.18087005615234
2020-05-14,84.82965087890625
2020-05-15,83.08277893066406
2020-05-18,83.43399047851562
2020-05-19,81.53923797607422
2020-05-20,83.26762390136719
2020-05-21,83.54489135742188
2020-05-22,84.54312133789062
2020-05-26,82.70382690429688
2020-05-27,83.88687896728516
2020-05-28,85.12541198730469
2020-05-29,87.73186492919922
2020-06-01,85.96651458740234
2020-06-02,85.60604095458984
2020-06-03,84.47843933105469
2020-06-04,81.56698608398438
2020-06-05,83.0550537109375
2020-06-08,85.55057525634766
2020-06-09,83.43399047851562
2020-06-10,85.18087005615234
2020-06-11,81.13256072998047
2020-06-12,82.27864074707031
2020-06-15,82.76851654052734
2020-06-16,82.94412994384766
2020-06-17,84.01628875732422
2020-06-18,83.44324493408203
2020-06-19,83.81295013427734
2020-06-22,83.49869537353516
2020-06-23,84.38600158691406
2020-06-24,80.68892669677734
2020-06-25,82.8332290649414
2020-06-26,81.99214172363281
2020-06-29,82.26940155029297
2020-06-30,84.50615692138672
2020-07-01,84.70024871826172
2020-07-02,85.24557495117188
2020-07-06,85.92952728271484
2020-07-07,85.4581527709961
2020-07-08,85.5690689086914
2020-07-09,86.57650756835938
2020-07-10,85.9942398071289
2020-07-13,86.0404281616211
2020-07-14,87.97967529296875
2020-07-15,89.75187683105469
2020-07-16,89.44568634033203
2020-07-17,92.09008026123047
2020-07-20,91.932373046875
2020-07-21,91.10655212402344
2020-07-22,92.96228790283203
2020-07-23,93.54683685302734
2020-07-24,91.81172180175781
2020-07-27,92.77668762207031
2020-07-28,92.65607452392578
2020-07-29,95.12418365478516
2020-07-30,94.20560455322266
2020-07-31,93.37980651855469
2020-08-03,93.41695404052734
2020-08-04,92.72102355957031
2020-08-05,94.7716064453125
2020-08-06,94.40972900390625
2020-08-07,93.92725372314453
2020-08-10,92.82310485839844
2020-08-11,91.91380310058594
2020-08-12,93.38910675048828
2020-08-13,93.80662536621094
2020-08-14,92.77668762207031
2020-08-17,93.44477081298828
2020-08-18,93.67672729492188
2020-08-19,93.23136901855469
2020-08-20,94.29839324951172
2020-08-21,95.01284790039062
2020-08-24,94.07571411132812
2020-08-25,95.07779693603516
2020-08-26,95.7458724975586
2020-08-27,103.26152801513672
2020-08-28,102.79759216308594
2020-08-31,101.57282257080078
2020-09-01,98.86347198486328
2020-09-02,101.54497528076172
2020-09-03,97.91704559326172
2020-09-04,96.6458969116211
2020-09-08,95.42111206054688
2020-09-09,98.17684936523438
2020-09-10,96.49742889404297
2020-09-11,97.14691925048828
2020-09-14,98.0655288696289
2020-09-15,98.89128875732422
2020-09-16,98.07479858398438
2020-09-17,98.96553802490234
2020-09-18,99.1511001586914
2020-09-21,98.30674743652344
2020-09-22,97.2397232055664
2020-09-23,95.31905364990234
2020-09-24,93.6396255493164
2020-09-25,95.98709106445312
2020-09-28,96.90570831298828
2020-09-29,97.60157775878906
2020-09-30,100.97898864746094
2020-10-01,100.80269622802734
2020-10-02,98.81707000732422
2020-10-05,100.72845458984375
2020-10-06,98.58512878417969
2020-10-07,99.96762084960938
2020-10-08,100.70992279052734
2020-10-09,101.73983001708984
2020-10-12,103.03882598876953
2020-10-13,100.55217742919922
2020-10-14,100.31011199951172
2020-10-15,99.9098129272461
2020-10-16,102.0975570678711
2020-10-19,100.58009338378906
2020-10-20,100.87799835205078
2020-10-21,98.61579132080078
2020-10-22,101.92068481445312
2020-10-23,100.34736633300781
2020-10-26,101.47380828857422
2020-10-27,101.08280944824219
2020-10-28,99.07195281982422
2020-10-29,97.75001525878906
2020-10-30,97.85240936279297
2020-11-02,100.05876922607422
2020-11-03,101.99516296386719
2020-11-04,103.8291244506836
2020-11-05,105.69102478027344
2020-11-06,106.51956939697266
2020-11-09,101.83687591552734
2020-11-10,103.15882873535156
2020-11-11,104.87178802490234
2020-11-12,104.22013092041016
2020-11-13,104.82524108886719
2020-11-16,105.82137298583984
2020-11-17,105.25347900390625
2020-11-18,102.19064331054688
2020-11-19,103.33572387695312
2020-11-20,103.23330688476562
2020-11-23,101.72517395019531
2020-11-24,100.17977905273438
2020-11-25,99.06266021728516
2020-11-27,100.18909454345703
2020-11-30,100.74766540527344
2020-12-01,100.99901580810547
2020-12-02,100.68250274658203
2020-12-03,100.10531616210938
2020-12-04,100.44976806640625
2020-12-07,99.77947998046875
2020-12-08,99.42574310302734
2020-12-09,98.97886657714844
2020-12-10,99.16505432128906
2020-12-11,99.63053894042969
2020-12-14,99.41641235351562
2020-12-15,100.03082275390625
2020-12-16,99.9284439086914
2020-12-17,101.26900482177734
2020-12-18,101.44587707519531
2020-12-21,100.62663269042969
2020-12-22,100.80351257324219
2020-12-23,100.03082275390625
2020-12-24,100.86869812011719
2020-12-28,100.34736633300781
2020-12-29,100.8500747680664
2020-12-30,100.95248413085938
2020-12-31,101.92997741699219
2021-01-04,101.57622528076172
2021-01-05,102.8330078125
2021-01-06,102.61888885498047
2021-01-07,103.61500549316406
2021-01-08,103.90359497070312
2021-01-11,103.18677520751953
2021-01-12,101.3248519897461
2021-01-13,104.40631866455078
2021-01-14,102.85469818115234
2021-01-15,104.03243255615234
2021-01-19,105.2195053100586
2021-01-20,105.51860809326172
2021-01-21,105.57469177246094
2021-01-22,105.47187042236328
2021-01-25,107.22911071777344
2021-01-26,107.23845672607422
2021-01-27,106.82718658447266
2021-01-28,112.52888488769531
2021-01-29,115.51993560791016
2021-02-01,114.53849792480469
2021-02-02,112.38867950439453
2021-02-03,112.36997985839844
2021-02-04,111.92133331298828
2021-02-05,115.93119049072266
2021-02-08,116.37049865722656
2021-02-09,116.97805786132812
2021-02-10,117.10891723632812
2021-02-11,118.55770874023438
2021-02-12,119.85694885253906
2021-02-16,119.66065979003906
2021-02-17,118.93158721923828
2021-02-18,117.22107696533203
2021-02-19,115.00584411621094
2021-02-22,114.54783630371094
2021-02-23,112.91211700439453
2021-02-24,114.38894653320312
2021-02-25,113.64117431640625
2021-02-26,111.9587173461914
2021-03-01,114.23004150390625
2021-03-02,114.5291519165039
2021-03-03,111.39790344238281
2021-03-04,108.43488311767578
2021-03-05,109.5938949584961
2021-03-08,108.07970428466797
2021-03-09,109.079833984375
2021-03-10,108.31336212158203
2021-03-11,109.84628295898438
2021-03-12,109.08917236328125
2021-03-15,110.38839721679688
2021-03-16,110.50057220458984
2021-03-17,109.93974304199219
2021-03-18,110.39775848388672
2021-03-19,112.39801788330078
2021-03-22,113.53836822509766
2021-03-23,112.62232971191406
2021-03-24,110.31362915039062
2021-03-25,111.27637481689453
2021-03-26,114.09918212890625
2021-03-29,114.24874114990234
2021-03-30,111.9306640625
2021-03-31,112.01477813720703
2021-04-01,111.17355346679688
2021-04-05,112.03349304199219
2021-04-06,112.13632202148438
2021-04-07,112.26715850830078
2021-04-08,111.9587173461914
2021-04-09,113.00558471679688
2021-04-12,113.13644409179688
2021-04-13,114.97781372070312
2021-04-14,113.98336791992188
2021-04-15,116.27243041992188
2021-04-16,116.65706634521484
2021-04-19,116.825927734375
2021-04-20,112.576171875
2021-04-21,115.01532745361328
2021-04-22,115.85966491699219
2021-04-23,115.68140411376953
2021-04-26,114.9965591430664
2021-04-27,114.17100524902344
2021-04-28,113.93646240234375
2021-04-29,113.52368927001953
2021-04-30,112.65121459960938
2021-05-03,112.13523864746094
2021-05-04,110.26837158203125
2021-05-05,111.1783676147461
2021-05-06,111.4410400390625
2021-05-07,111.59111785888672
2021-05-10,111.58174133300781
2021-05-11,111.06576538085938
2021-05-12,109.15199279785156
2021-05-13,110.1839370727539
2021-05-14,110.99073028564453
2021-05-17,109.51786041259766
2021-05-18,109.74299621582031
2021-05-19,109.18012237548828
2021-05-20,110.51227569580078
2021-05-21,109.88372039794922
2021-05-24,110.0338363647461
2021-05-25,111.07516479492188
2021-05-26,109.52723693847656
2021-05-27,108.53282928466797
2021-05-28,109.43342590332031
2021-06-01,99.24529266357422
2021-06-02,100.28662109375
2021-06-03,102.4443130493164
2021-06-04,102.52875518798828
2021-06-07,103.19483184814453
2021-06-08,101.22474670410156
2021-06-09,102.3035888671875
2021-06-10,103.33553314208984
2021-06-11,103.11039733886719
2021-06-14,103.6451416015625
2021-06-15,103.5794677734375
2021-06-16,103.25111389160156
2021-06-17,104.72399139404297
2021-06-18,103.50440979003906
2021-06-21,104.54573822021484
2021-06-22,104.09542083740234
2021-06-23,103.98286437988281
