,CMI
2015-11-12,75.40121459960938
2015-11-13,76.04864501953125
2015-11-16,76.40316772460938
2015-11-17,75.45516204833984
2015-11-18,76.56451416015625
2015-11-19,76.73577880859375
2015-11-20,76.83697509765625
2015-11-23,76.40105438232422
2015-11-24,76.82144165039062
2015-11-25,77.51426696777344
2015-11-27,77.64664459228516
2015-11-30,78.1370849609375
2015-12-01,71.94031524658203
2015-12-02,73.83980560302734
2015-12-03,71.9947738647461
2015-12-04,72.01034545898438
2015-12-07,71.16181945800781
2015-12-08,70.20425415039062
2015-12-09,70.0018310546875
2015-12-10,70.18869018554688
2015-12-11,68.20353698730469
2015-12-14,67.59632110595703
2015-12-15,67.80651092529297
2015-12-16,68.00892639160156
2015-12-17,66.91902923583984
2015-12-18,66.33516693115234
2015-12-21,66.47528076171875
2015-12-22,68.04785919189453
2015-12-23,69.72159576416016
2015-12-24,69.51919555664062
2015-12-28,69.4958267211914
2015-12-29,69.94734954833984
2015-12-30,69.42577362060547
2015-12-31,68.51492309570312
2016-01-04,70.0407943725586
2016-01-05,69.3556900024414
2016-01-06,69.03651428222656
2016-01-07,67.87657928466797
2016-01-08,66.96573638916016
2016-01-11,66.4986343383789
2016-01-12,67.44063568115234
2016-01-13,66.09382629394531
2016-01-14,67.47953033447266
2016-01-15,65.6656494140625
2016-01-19,65.01954650878906
2016-01-20,65.58003234863281
2016-01-21,66.96573638916016
2016-01-22,67.26934051513672
2016-01-25,65.43209838867188
2016-01-26,66.46749877929688
2016-01-27,66.33516693115234
2016-01-28,67.68972778320312
2016-01-29,69.9784927368164
2016-02-01,70.9749526977539
2016-02-02,69.26227569580078
2016-02-03,70.57793426513672
2016-02-04,75.95729064941406
2016-02-05,77.07054901123047
2016-02-08,76.62680053710938
2016-02-09,77.61548614501953
2016-02-10,74.99198150634766
2016-02-11,74.15119171142578
2016-02-12,75.52134704589844
2016-02-16,77.17955017089844
2016-02-17,76.68026733398438
2016-02-18,76.42080688476562
2016-02-19,75.94123077392578
2016-02-22,77.46652221679688
2016-02-23,76.68026733398438
2016-02-24,75.57955932617188
2016-02-25,76.81392669677734
2016-02-26,76.78247833251953
2016-02-29,76.71174621582031
2016-03-01,78.82666015625
2016-03-02,78.19770812988281
2016-03-03,79.60504913330078
2016-03-04,80.38339233398438
2016-03-07,82.60838317871094
2016-03-08,80.02174377441406
2016-03-09,80.24974060058594
2016-03-10,80.8157958984375
2016-03-11,81.76713562011719
2016-03-14,82.64771270751953
2016-03-15,82.22313690185547
2016-03-16,83.63833618164062
2016-03-17,86.1542739868164
2016-03-18,86.55521392822266
2016-03-21,86.96407318115234
2016-03-22,86.05206298828125
2016-03-23,84.7076187133789
2016-03-24,84.44029235839844
2016-03-28,85.25798034667969
2016-03-29,86.42942810058594
2016-03-30,85.9419937133789
2016-03-31,86.43730926513672
2016-04-01,86.57882690429688
2016-04-04,85.76901245117188
2016-04-05,84.92774200439453
2016-04-06,83.6776351928711
2016-04-07,82.62413024902344
2016-04-08,83.5597152709961
2016-04-11,83.54401397705078
2016-04-12,84.7547836303711
2016-04-13,89.39350891113281
2016-04-14,90.07752227783203
2016-04-15,90.66718292236328
2016-04-18,91.7207260131836
2016-04-19,92.57769012451172
2016-04-20,91.6814193725586
2016-04-21,90.52567291259766
2016-04-22,91.28829193115234
2016-04-25,90.3448486328125
2016-04-26,91.34334564208984
2016-04-27,91.76789855957031
2016-04-28,91.6814193725586
2016-04-29,92.0115966796875
2016-05-02,91.61849975585938
2016-05-03,93.2459945678711
2016-05-04,89.97530364990234
2016-05-05,89.5428695678711
2016-05-06,90.40772247314453
2016-05-09,88.38711547851562
2016-05-10,90.24263763427734
2016-05-11,90.19546508789062
2016-05-12,89.9360122680664
2016-05-13,87.89179992675781
2016-05-16,89.77874755859375
2016-05-17,89.8494873046875
2016-05-18,87.75997924804688
2016-05-19,85.70616149902344
2016-05-20,85.8092269897461
2016-05-23,85.76957702636719
2016-05-24,86.99872589111328
2016-05-25,89.74244689941406
2016-05-26,90.004150390625
2016-05-27,89.79793548583984
2016-05-31,90.77335357666016
2016-06-01,90.50372314453125
2016-06-02,91.29669952392578
2016-06-03,90.11515808105469
2016-06-06,92.2245101928711
2016-06-07,92.89852905273438
2016-06-08,94.26248168945312
2016-06-09,94.0801010131836
2016-06-10,91.98661041259766
2016-06-13,90.19445037841797
2016-06-14,89.5679931640625
2016-06-15,89.95654296875
2016-06-16,89.88519287109375
2016-06-17,90.54338073730469
2016-06-20,91.96281433105469
2016-06-21,91.47911834716797
2016-06-22,91.81214141845703
2016-06-23,94.33385467529297
2016-06-24,87.62516784667969
2016-06-27,83.85846710205078
2016-06-28,84.8021240234375
2016-06-29,87.01457214355469
2016-06-30,89.16358184814453
2016-07-01,89.5442123413086
2016-07-05,87.37142944335938
2016-07-06,87.71240997314453
2016-07-07,88.22784423828125
2016-07-08,90.95571899414062
2016-07-11,91.89940643310547
2016-07-12,94.34971618652344
2016-07-13,93.67567443847656
2016-07-14,94.73828125
2016-07-15,94.37350463867188
2016-07-18,93.72325897216797
2016-07-19,92.35931396484375
2016-07-20,93.22368621826172
2016-07-21,93.93734741210938
2016-07-22,93.7391128540039
2016-07-25,93.72325897216797
2016-07-26,96.7841796875
2016-07-27,97.87055969238281
2016-07-28,96.87145233154297
2016-07-29,97.35514068603516
2016-08-01,96.5859603881836
2016-08-02,95.98329162597656
2016-08-03,96.96659088134766
2016-08-04,97.73577880859375
2016-08-05,99.39312744140625
2016-08-08,100.2416000366211
2016-08-09,99.82132720947266
2016-08-10,99.97200775146484
2016-08-11,100.79669952392578
2016-08-12,100.49537658691406
2016-08-15,100.71741485595703
2016-08-16,100.60639190673828
2016-08-17,100.3208999633789
2016-08-18,100.90850830078125
2016-08-19,100.83658599853516
2016-08-22,100.2129898071289
2016-08-23,100.46083068847656
2016-08-24,99.88519287109375
2016-08-25,100.19699096679688
2016-08-26,99.54144287109375
2016-08-29,100.32491302490234
2016-08-30,100.77259063720703
2016-08-31,100.42085266113281
2016-09-01,100.2609634399414
2016-09-02,100.86056518554688
2016-09-06,93.48946380615234
2016-09-07,95.73600006103516
2016-09-08,95.83989715576172
2016-09-09,93.38554382324219
2016-09-12,95.11239624023438
2016-09-13,93.78527069091797
2016-09-14,94.37689208984375
2016-09-15,95.54410552978516
2016-09-16,95.58406066894531
2016-09-19,95.36823272705078
2016-09-20,95.27228546142578
2016-09-21,96.67134857177734
2016-09-22,97.47083282470703
2016-09-23,96.43949127197266
2016-09-26,96.11973571777344
2016-09-27,96.31160736083984
2016-09-28,98.81389617919922
2016-09-29,99.34158325195312
2016-09-30,102.45148468017578
2016-10-03,102.21965026855469
2016-10-04,101.77993774414062
2016-10-05,104.13037872314453
2016-10-06,104.32225036621094
2016-10-07,102.6833267211914
2016-10-10,102.46748352050781
2016-10-11,102.21965026855469
2016-10-12,102.14768981933594
2016-10-13,100.83658599853516
2016-10-14,100.540771484375
2016-10-17,100.57273864746094
2016-10-18,101.57208251953125
2016-10-19,102.57141876220703
2016-10-20,101.51612091064453
2016-10-21,101.24430847167969
2016-10-24,101.28424835205078
2016-10-25,100.38887023925781
2016-10-26,101.14836883544922
2016-10-27,100.94050598144531
2016-10-28,101.22830963134766
2016-10-31,102.18767547607422
2016-11-01,97.7666244506836
2016-11-02,97.31092834472656
2016-11-03,97.33493041992188
2016-11-04,99.38153839111328
2016-11-07,104.20233154296875
2016-11-08,104.61802673339844
2016-11-09,109.4068374633789
2016-11-10,110.17430877685547
2016-11-11,109.51876831054688
2016-11-14,107.71995544433594
2016-11-15,110.15033721923828
2016-11-16,109.4228286743164
2016-11-17,109.08853149414062
2016-11-18,108.76634979248047
2016-11-21,110.21626281738281
2016-11-22,112.24608612060547
2016-11-23,113.4140853881836
2016-11-25,113.80879974365234
2016-11-28,111.41648864746094
2016-11-29,111.33584594726562
2016-11-30,114.20343780517578
2016-12-01,114.88811492919922
2016-12-02,115.1458969116211
2016-12-05,115.0733871459961
2016-12-06,114.91230773925781
2016-12-07,117.97318267822266
2016-12-08,115.81446838378906
2016-12-09,114.58207702636719
2016-12-12,114.63037109375
2016-12-13,114.88811492919922
2016-12-14,111.8514175415039
2016-12-15,111.83528900146484
2016-12-16,109.02410888671875
2016-12-19,110.68342590332031
