,MPWR
2016-08-16,68.91825866699219
2016-08-17,68.91825866699219
2016-08-18,69.4134521484375
2016-08-19,70.0862045288086
2016-08-22,70.637451171875
2016-08-23,70.9271011352539
2016-08-24,70.09551239013672
2016-08-25,70.34782409667969
2016-08-26,71.65592956542969
2016-08-29,71.1700668334961
2016-08-30,71.35693359375
2016-08-31,71.68395233154297
2016-09-01,72.562255859375
2016-09-02,72.29129791259766
2016-09-06,71.61854553222656
2016-09-07,71.64657592773438
2016-09-08,70.6000747680664
2016-09-09,68.60057067871094
2016-09-12,70.4319076538086
2016-09-13,69.78719329833984
2016-09-14,69.75919342041016
2016-09-15,70.2730712890625
2016-09-16,70.65615844726562
2016-09-19,70.97383880615234
2016-09-20,70.60942840576172
2016-09-21,71.43167114257812
2016-09-22,72.28193664550781
2016-09-23,71.50640869140625
2016-09-26,71.34756469726562
2016-09-27,73.27237701416016
2016-09-28,73.94679260253906
2016-09-29,73.95619201660156
2016-09-30,75.40814208984375
2016-10-03,74.18101501464844
2016-10-04,74.0592269897461
2016-10-05,74.95849609375
2016-10-06,75.23014068603516
2016-10-07,75.19267272949219
2016-10-10,75.39877319335938
2016-10-11,74.11543273925781
2016-10-12,73.16930389404297
2016-10-13,72.03585815429688
2016-10-14,72.28878021240234
2016-10-17,71.67051696777344
2016-10-18,72.11078643798828
2016-10-19,72.24192810058594
2016-10-20,72.07334899902344
2016-10-21,72.68219757080078
2016-10-24,74.34961700439453
2016-10-25,74.17162322998047
2016-10-26,74.24657440185547
2016-10-27,74.01238250732422
2016-10-28,73.03816986083984
2016-10-31,73.82504272460938
2016-11-01,71.65177154541016
2016-11-02,71.67051696777344
2016-11-03,71.60494995117188
2016-11-04,71.83914184570312
2016-11-07,73.59085845947266
2016-11-08,73.70326232910156
2016-11-09,74.7149429321289
2016-11-10,72.86954498291016
2016-11-11,74.2746810913086
2016-11-14,74.780517578125
2016-11-15,75.12711334228516
2016-11-16,75.85780334472656
2016-11-17,76.47601318359375
2016-11-18,76.65401458740234
2016-11-21,77.61886596679688
2016-11-22,78.63990783691406
2016-11-23,78.686767578125
