,BX
2015-08-11,24.338062286376953
2015-08-12,24.453596115112305
2015-08-13,24.492107391357422
2015-08-14,24.806589126586914
2015-08-17,24.665401458740234
2015-08-18,23.92729377746582
2015-08-19,23.587121963500977
2015-08-20,22.149436950683594
2015-08-21,21.790008544921875
2015-08-24,20.981307983398438
2015-08-25,20.795185089111328
2015-08-26,22.033903121948242
2015-08-27,22.855440139770508
2015-08-28,22.893949508666992
2015-08-31,21.982563018798828
2015-09-01,20.8272705078125
2015-09-02,20.929960250854492
2015-09-03,21.488346099853516
2015-09-04,21.610300064086914
2015-09-08,22.727083206176758
2015-09-09,22.18794822692871
2015-09-10,21.847774505615234
2015-09-11,21.828519821166992
2015-09-14,21.828519821166992
2015-09-15,22.264963150024414
2015-09-16,22.28421401977539
2015-09-17,22.938879013061523
2015-09-18,21.9376277923584
2015-09-21,22.014646530151367
2015-09-22,21.757923126220703
2015-09-23,21.443429946899414
2015-09-24,20.91071319580078
2015-09-25,21.084003448486328
2015-09-28,19.832439422607422
2015-09-29,19.299724578857422
2015-09-30,20.326644897460938
2015-10-01,20.172605514526367
2015-10-02,20.21753692626953
2015-10-05,21.430585861206055
2015-10-06,21.6937313079834
2015-10-07,22.271385192871094
2015-10-08,21.828519821166992
2015-10-09,21.899118423461914
2015-10-12,21.700151443481445
2015-10-13,21.302217483520508
2015-10-14,21.533281326293945
2015-10-15,21.854188919067383
2015-10-16,22.155855178833008
2015-10-19,21.777172088623047
2015-10-20,21.41132926940918
2015-10-21,21.578208923339844
2015-10-22,21.714982986450195
2015-10-23,22.4249210357666
2015-10-26,22.418411254882812
2015-10-27,22.203474044799805
2015-10-28,22.470516204833984
2015-10-29,22.001567840576172
2015-10-30,21.532621383666992
2015-11-02,22.229530334472656
2015-11-03,22.529132843017578
2015-11-04,21.982027053833008
2015-11-05,21.832225799560547
2015-11-06,21.41537857055664
2015-11-09,20.87478256225586
2015-11-10,21.005046844482422
2015-11-11,20.549123764038086
2015-11-12,20.249521255493164
2015-11-13,19.936880111694336
2015-11-16,20.438396453857422
2015-11-17,20.10622787475586
2015-11-18,20.57518196105957
2015-11-19,20.477476119995117
2015-11-20,20.30813217163086
2015-11-23,20.197410583496094
2015-11-24,19.9759578704834
2015-11-25,20.243005752563477
2015-11-27,20.190902709960938
2015-11-30,20.340700149536133
2015-12-01,20.653335571289062
2015-12-02,19.956422805786133
2015-12-03,19.800106048583984
2015-12-04,19.962934494018555
2015-12-07,19.806615829467773
2015-12-08,19.53306770324707
2015-12-09,19.878263473510742
2015-12-10,19.806615829467773
2015-12-11,18.771018981933594
2015-12-14,18.106674194335938
2015-12-15,18.862207412719727
2015-12-16,19.409305572509766
2015-12-17,19.910831451416016
2015-12-18,19.279052734375
2015-12-21,19.611221313476562
2015-12-22,19.591684341430664
2015-12-23,20.099714279174805
2015-12-24,19.9759578704834
2015-12-28,19.806615829467773
2015-12-29,19.650299072265625
2015-12-30,19.350696563720703
2015-12-31,19.044574737548828
2016-01-04,18.855690002441406
2016-01-05,18.328125
2016-01-06,17.774505615234375
2016-01-07,17.18180274963379
2016-01-08,16.608642578125
2016-01-11,16.055017471313477
2016-01-12,16.39371109008789
2016-01-13,15.924760818481445
2016-01-14,16.699825286865234
2016-01-15,15.996400833129883
2016-01-19,15.638178825378418
2016-01-20,15.468828201293945
2016-01-21,15.73587417602539
2016-01-22,17.071081161499023
2016-01-25,16.302520751953125
2016-01-26,17.123186111450195
2016-01-27,16.67377281188965
2016-01-28,16.361143112182617
2016-01-29,17.110164642333984
2016-02-01,17.82660484313965
2016-02-02,17.18180274963379
2016-02-03,17.24042320251465
2016-02-04,17.567102432250977
2016-02-05,17.6471004486084
2016-02-08,16.293733596801758
2016-02-09,16.30706214904785
2016-02-10,16.333738327026367
2016-02-11,15.347044944763184
2016-02-12,16.420398712158203
2016-02-16,17.313756942749023
2016-02-17,17.753768920898438
2016-02-18,17.6471004486084
2016-02-19,17.24709129333496
2016-02-22,17.78043556213379
2016-02-23,17.16042137145996
2016-02-24,17.153749465942383
2016-02-25,16.987083435058594
2016-02-26,17.073749542236328
2016-02-29,17.313756942749023
2016-03-01,18.033775329589844
2016-03-02,18.720455169677734
2016-03-03,19.02713394165039
2016-03-04,19.380474090576172
2016-03-07,19.37380599975586
2016-03-08,18.83379554748535
2016-03-09,18.41378402709961
2016-03-10,18.247108459472656
2016-03-11,18.347118377685547
2016-03-14,18.207109451293945
2016-03-15,18.053775787353516
2016-03-16,18.5137882232666
2016-03-17,18.787126541137695
2016-03-18,18.66045570373535
2016-03-21,18.680461883544922
2016-03-22,18.533782958984375
