,OTIS
2021-03-17,65.2037353515625
2021-03-18,64.79491424560547
2021-03-19,63.568416595458984
2021-03-22,63.53038787841797
2021-03-23,63.66350555419922
2021-03-24,63.863155364990234
2021-03-25,64.51918029785156
2021-03-26,65.64109802246094
2021-03-29,66.46826171875
2021-03-30,66.30662536621094
2021-03-31,65.08013916015625
2021-04-01,65.85026550292969
2021-04-05,65.82174682617188
2021-04-06,66.28759765625
2021-04-07,66.20204162597656
2021-04-08,65.99288177490234
2021-04-09,67.26689910888672
2021-04-12,67.17184448242188
2021-04-13,67.61869049072266
2021-04-14,66.93413543701172
2021-04-15,67.47607421875
2021-04-16,67.10527801513672
2021-04-19,67.53311920166016
2021-04-20,67.00069427490234
2021-04-21,67.54263305664062
2021-04-22,67.4570541381836
2021-04-23,67.77080535888672
2021-04-26,72.5151596069336
2021-04-27,75.11076354980469
2021-04-28,74.15998840332031
2021-04-29,74.81600189208984
2021-04-30,74.0363998413086
2021-05-03,74.5403060913086
2021-05-04,74.84454345703125
2021-05-05,74.21702575683594
2021-05-06,74.50227355957031
2021-05-07,74.34063720703125
2021-05-10,74.39766693115234
2021-05-11,73.79869842529297
2021-05-12,72.3820571899414
2021-05-13,73.35183715820312
2021-05-14,74.99665832519531
2021-05-17,75.12026977539062
2021-05-18,74.73043823242188
2021-05-19,73.65607452392578
2021-05-20,73.7800521850586
2021-05-21,73.9803466796875
2021-05-24,74.5144271850586
2021-05-25,74.09477996826172
2021-05-26,74.17105865478516
2021-05-27,75.06758880615234
2021-05-28,74.70516204833984
2021-06-01,74.7814712524414
2021-06-02,74.64795684814453
2021-06-03,75.47769165039062
2021-06-04,76.17390441894531
2021-06-07,75.92594146728516
2021-06-08,77.10855102539062
2021-06-09,77.01317596435547
2021-06-10,76.69844055175781
2021-06-11,76.81289672851562
2021-06-14,77.06087493896484
2021-06-15,77.24208068847656
2021-06-16,76.89874267578125
2021-06-17,76.74613189697266
2021-06-18,75.82101440429688
2021-06-21,77.28976440429688
2021-06-22,77.6044921875
2021-06-23,77.07994842529297
2021-06-24,77.6044921875
2021-06-25,77.87152862548828
2021-06-28,77.8810806274414
2021-06-29,78.2816390991211
2021-06-30,77.98597717285156
2021-07-01,78.2816390991211
2021-07-02,78.83479309082031
2021-07-06,78.44377136230469
2021-07-07,80.18907928466797
2021-07-08,79.2448959350586
2021-07-09,79.94111633300781
2021-07-12,79.94111633300781
2021-07-13,79.66453552246094
2021-07-14,80.85668182373047
2021-07-15,81.28588104248047
2021-07-16,80.9902114868164
2021-07-19,80.17000579833984
2021-07-20,82.11559295654297
2021-07-21,82.79273223876953
2021-07-22,83.2886734008789
2021-07-23,84.4236068725586
2021-07-26,84.93861389160156
2021-07-27,84.13750457763672
2021-07-28,83.86090850830078
2021-07-29,84.7574234008789
2021-07-30,85.40595245361328
2021-08-02,85.76834869384766
2021-08-03,87.0558853149414
2021-08-04,86.59809875488281
2021-08-05,86.5313491821289
2021-08-06,85.96864318847656
2021-08-09,85.57762908935547
2021-08-10,85.71115112304688
2021-08-11,86.24522399902344
2021-08-12,86.02586364746094
2021-08-13,86.46459197998047
2021-08-16,87.6471939086914
2021-08-17,86.54088592529297
2021-08-18,86.3119888305664
2021-08-19,86.2546157836914
2021-08-20,86.08246612548828
2021-08-23,85.98686218261719
2021-08-24,86.41716003417969
2021-08-25,87.14393615722656
2021-08-26,87.794189453125
2021-08-27,87.98545837402344
2021-08-30,88.32969665527344
2021-08-31,88.1862564086914
2021-09-01,87.49774932861328
2021-09-02,88.0332260131836
2021-09-03,87.80374908447266
2021-09-07,85.47046661376953
2021-09-08,86.75186920166016
2021-09-09,86.5223617553711
2021-09-10,86.58930206298828
2021-09-13,86.01554870605469
2021-09-14,86.4076156616211
2021-09-15,86.39804077148438
2021-09-16,84.34210205078125
2021-09-17,81.30117797851562
2021-09-20,79.54167175292969
2021-09-21,78.41328430175781
2021-09-22,80.6031265258789
2021-09-23,81.98970031738281
2021-09-24,81.14820098876953
2021-09-27,80.54573822021484
2021-09-28,80.04849243164062
2021-09-29,79.67554473876953
2021-09-30,78.68104553222656
2021-10-01,78.89142608642578
2021-10-04,78.32721710205078
2021-10-05,79.71379852294922
2021-10-06,79.2452163696289
2021-10-07,80.6891860961914
2021-10-08,79.79985046386719
2021-10-11,78.04991149902344
2021-10-12,78.35591125488281
2021-10-13,77.72476959228516
2021-10-14,79.76161193847656
2021-10-15,80.42141723632812
2021-10-18,79.67554473876953
2021-10-19,80.7274398803711
2021-10-20,81.72193908691406
2021-10-21,81.61675262451172
2021-10-22,81.88451385498047
2021-10-25,78.27941131591797
2021-10-26,76.75894927978516
2021-10-27,76.23301696777344
2021-10-28,76.42425537109375
2021-10-29,76.79720306396484
2021-11-01,77.38052368164062
2021-11-02,77.56221008300781
2021-11-03,77.0840835571289
2021-11-04,78.2602767944336
2021-11-05,78.1359634399414
2021-11-08,78.64278411865234
2021-11-09,79.88591766357422
2021-11-10,79.71379852294922
2021-11-11,79.7520523071289
2021-11-12,81.88451385498047
2021-11-15,80.47880554199219
2021-11-16,80.82305908203125
2021-11-17,81.82713317871094
2021-11-18,82.69017791748047
2021-11-19,82.71895599365234
2021-11-22,80.74351501464844
2021-11-23,80.3695297241211
2021-11-24,80.99284362792969
2021-11-26,79.77498626708984
2021-11-29,80.14897918701172
2021-11-30,77.09950256347656
2021-12-01,77.14745330810547
2021-12-02,79.44893646240234
2021-12-03,79.4009780883789
2021-12-06,80.56131744384766
2021-12-07,82.18193054199219
2021-12-08,82.67100524902344
2021-12-09,82.65180969238281
2021-12-10,82.54634094238281
2021-12-13,81.87507629394531
2021-12-14,81.32847595214844
2021-12-15,81.4339599609375
2021-12-16,82.95868682861328
2021-12-17,80.70516204833984
2021-12-20,78.95028686523438
2021-12-21,80.72432708740234
2021-12-22,80.84898376464844
2021-12-23,81.75041961669922
2021-12-27,82.9682846069336
2021-12-28,82.9107437133789
2021-12-29,83.2559585571289
2021-12-30,82.81485748291016
2021-12-31,83.49569702148438
2022-01-03,82.05726623535156
2022-01-04,82.68059539794922
2022-01-05,80.38871002197266
2022-01-06,81.23257446289062
2022-01-07,80.8969497680664
2022-01-10,81.18463134765625
2022-01-11,82.69976806640625
2022-01-12,83.38062286376953
2022-01-13,82.23948669433594
2022-01-14,80.72432708740234
2022-01-18,80.44622802734375
2022-01-19,79.68867492675781
2022-01-20,78.83518981933594
2022-01-21,79.69825744628906
2022-01-24,79.81333923339844
2022-01-25,79.56401062011719
2022-01-26,78.17353057861328
2022-01-27,79.21879577636719
2022-01-28,79.3722152709961
2022-01-31,81.92302703857422
2022-02-01,80.1297836303711
2022-02-02,79.85167694091797
2022-02-03,78.48998260498047
2022-02-04,79.05577087402344
2022-02-07,78.30779266357422
2022-02-08,80.61884307861328
2022-02-09,80.33116149902344
2022-02-10,78.20230102539062
2022-02-11,76.37071228027344
2022-02-14,76.4761962890625
2022-02-15,75.55561065673828
2022-02-16,75.63231658935547
2022-02-17,73.314208984375
2022-02-18,73.43923950195312
2022-02-22,73.39115142822266
2022-02-23,71.84252166748047
2022-02-24,73.67009735107422
2022-02-25,75.51689147949219
2022-02-28,75.34375762939453
2022-03-01,74.68968963623047
2022-03-02,75.77660369873047
