,LVS
2016-02-04,33.55541229248047
2016-02-05,33.005062103271484
2016-02-08,31.86505699157715
2016-02-09,31.1181583404541
2016-02-10,31.550569534301758
2016-02-11,31.64491844177246
2016-02-12,34.66395950317383
2016-02-16,36.024105072021484
2016-02-17,36.41721725463867
2016-02-18,36.181331634521484
2016-02-19,36.05554962158203
2016-02-22,37.35279846191406
2016-02-23,37.132652282714844
2016-02-24,36.88893508911133
2016-02-25,37.29776382446289
2016-02-26,37.67514419555664
2016-02-29,37.95817947387695
2016-03-01,39.86080551147461
2016-03-02,40.128108978271484
2016-03-03,41.35459899902344
2016-03-04,40.72563934326172
2016-03-07,39.9630126953125
2016-03-08,38.50065612792969
2016-03-09,39.36549377441406
2016-03-10,39.78218078613281
2016-03-11,40.552669525146484
2016-03-14,41.15018844604492
2016-03-15,40.83570098876953
2016-03-16,41.94425964355469
2016-03-17,42.52605056762695
2016-03-18,42.72526550292969
2016-03-21,42.44636917114258
2016-03-22,42.45433044433594
2016-03-23,41.73720169067383
2016-03-24,41.808921813964844
2016-03-28,41.386600494384766
2016-03-29,41.85673522949219
2016-03-30,41.617679595947266
2016-03-31,41.17943572998047
2016-04-01,41.2113037109375
2016-04-04,40.247169494628906
2016-04-05,39.80094528198242
2016-04-06,39.66548156738281
2016-04-07,40.016075134277344
2016-04-08,39.42644500732422
2016-04-11,39.29096984863281
2016-04-12,39.46628189086914
2016-04-13,40.621665954589844
2016-04-14,40.398555755615234
2016-04-15,40.58979034423828
2016-04-18,40.76509475708008
2016-04-19,41.83282470703125
2016-04-20,41.577842712402344
2016-04-21,37.76110076904297
2016-04-22,37.34675598144531
2016-04-25,36.51009750366211
2016-04-26,36.733211517333984
2016-04-27,36.39057159423828
2016-04-28,36.541969299316406
2016-04-29,35.97622299194336
2016-05-02,37.25114440917969
2016-05-03,36.47026062011719
2016-05-04,36.02403259277344
2016-05-05,35.41845703125
2016-05-06,36.24715042114258
2016-05-09,35.816864013671875
2016-05-10,36.7491340637207
2016-05-11,36.223243713378906
2016-05-12,36.36666488647461
2016-05-13,35.76905059814453
2016-05-16,36.31885528564453
2016-05-17,36.19136428833008
2016-05-18,35.729217529296875
2016-05-19,35.31486892700195
