,ECL
2016-08-04,111.41930389404297
2016-08-05,111.865966796875
2016-08-08,111.43753051757812
2016-08-09,111.93889617919922
2016-08-10,111.99357604980469
2016-08-11,112.25792694091797
2016-08-12,111.6198501586914
2016-08-15,111.8294906616211
2016-08-16,111.4284439086914
2016-08-17,111.4466552734375
2016-08-18,111.56517791748047
2016-08-19,111.9115219116211
2016-08-22,111.4466552734375
2016-08-23,111.82040405273438
2016-08-24,110.94528198242188
2016-08-25,111.93889617919922
2016-08-26,112.057373046875
2016-08-29,112.93246459960938
2016-08-30,113.0145263671875
2016-08-31,112.1667709350586
2016-09-01,112.21234130859375
2016-09-02,113.07833862304688
2016-09-06,112.75928497314453
2016-09-07,111.88418579101562
2016-09-08,111.5560302734375
2016-09-09,108.18328857421875
2016-09-12,109.44120788574219
2016-09-13,107.15320587158203
2016-09-14,107.13499450683594
2016-09-15,107.63633728027344
2016-09-16,107.27064514160156
2016-09-19,107.5357666015625
2016-09-20,107.25234985351562
2016-09-21,108.33116912841797
2016-09-22,108.92544555664062
2016-09-23,108.83403778076172
2016-09-26,108.73344421386719
2016-09-27,109.63858795166016
2016-09-28,110.90026092529297
2016-09-29,110.37914276123047
2016-09-30,111.28425598144531
2016-10-03,110.72655487060547
2016-10-04,109.8580322265625
2016-10-05,109.72086334228516
2016-10-06,110.20543670654297
2016-10-07,108.81571960449219
2016-10-10,108.86145782470703
2016-10-11,107.11519622802734
2016-10-12,107.09693908691406
2016-10-13,106.97808074951172
2016-10-14,106.7495346069336
2016-10-17,106.36552429199219
2016-10-18,106.60319519042969
2016-10-19,106.80437469482422
2016-10-20,106.44779968261719
2016-10-21,105.85352325439453
2016-10-24,106.70379638671875
2016-10-25,106.00895690917969
2016-10-26,105.46039581298828
2016-10-27,105.10382080078125
2016-10-28,105.2318344116211
2016-10-31,104.38156127929688
2016-11-01,102.5256118774414
2016-11-02,102.38846588134766
2016-11-03,101.64791107177734
2016-11-04,101.18165588378906
2016-11-07,103.19302368164062
2016-11-08,103.86044311523438
2016-11-09,104.92095947265625
2016-11-10,106.19181060791016
2016-11-11,105.7529525756836
2016-11-14,104.2078628540039
2016-11-15,104.35414123535156
2016-11-16,104.93926239013672
2016-11-17,104.9849853515625
2016-11-18,104.48213195800781
2016-11-21,105.06727600097656
2016-11-22,106.38378143310547
2016-11-23,106.77694702148438
2016-11-25,106.63980102539062
2016-11-28,106.36552429199219
2016-11-29,106.42951965332031
2016-11-30,106.72207641601562
2016-12-01,108.33116912841797
2016-12-02,106.86837005615234
2016-12-05,108.39518737792969
2016-12-06,106.86837005615234
2016-12-07,108.62374877929688
2016-12-08,109.35515594482422
2016-12-09,110.16886138916016
2016-12-12,111.0556869506836
2016-12-13,111.74139404296875
2016-12-14,110.67171478271484
2016-12-15,111.57682037353516
2016-12-16,110.29296112060547
2016-12-19,110.56807708740234
2016-12-20,110.43050384521484
2016-12-21,109.4676284790039
2016-12-22,108.75231170654297
2016-12-23,108.9082260131836
2016-12-27,109.32089233398438
2016-12-28,108.21126556396484
2016-12-29,107.94532012939453
2016-12-30,107.49598693847656
2017-01-03,108.24795532226562
2017-01-04,108.93573760986328
2017-01-05,108.77068328857422
2017-01-06,109.054931640625
2017-01-09,108.98158264160156
2017-01-10,108.08289337158203
2017-01-11,108.50473022460938
2017-01-12,108.79817199707031
2017-01-13,108.73400115966797
2017-01-17,108.83487701416016
2017-01-18,109.1925048828125
2017-01-19,108.99077606201172
2017-01-20,108.57809448242188
2017-01-23,109.44927978515625
2017-01-24,111.55850219726562
2017-01-25,112.32881164550781
2017-01-26,110.91654968261719
2017-01-27,111.22835540771484
2017-01-30,111.4117431640625
2017-01-31,110.1645736694336
2017-02-01,110.7606430053711
2017-02-02,110.23793029785156
2017-02-03,110.73316955566406
