,CRM
2015-06-30,69.32225036621094
2015-07-01,70.22823333740234
2015-07-02,70.10875701904297
2015-07-06,68.85433197021484
2015-07-07,69.94947052001953
2015-07-08,69.08331298828125
2015-07-09,69.65079498291016
2015-07-10,70.8255844116211
2015-07-13,70.73597717285156
2015-07-14,71.47270965576172
2015-07-15,71.04460906982422
2015-07-16,72.09992218017578
2015-07-17,72.48819732666016
2015-07-20,72.44837188720703
2015-07-21,73.50370025634766
2015-07-22,73.54352569580078
2015-07-23,71.89085388183594
2015-07-24,73.5932846069336
2015-07-27,72.13973999023438
2015-07-28,73.4638671875
2015-07-29,73.55345916748047
2015-07-30,73.0357666015625
2015-07-31,72.97602844238281
2015-08-03,72.11982727050781
2015-08-04,71.57225799560547
2015-08-05,72.20943450927734
2015-08-06,70.11871337890625
2015-08-07,70.09880065917969
2015-08-10,70.95499420166016
2015-08-11,71.31340789794922
2015-08-12,70.72602081298828
2015-08-13,71.08443450927734
2015-08-14,72.66740417480469
2015-08-17,73.7127685546875
2015-08-18,72.25921630859375
2015-08-19,71.72160339355469
2015-08-20,67.52024841308594
2015-08-21,68.8443832397461
2015-08-24,64.8819580078125
2015-08-25,64.89192199707031
2015-08-26,68.2171630859375
2015-08-27,69.63088989257812
2015-08-28,69.93951416015625
2015-08-31,69.0534439086914
2015-09-01,66.33551025390625
2015-09-02,67.67955017089844
2015-09-03,67.94835662841797
2015-09-04,66.83329772949219
2015-09-08,70.447265625
2015-09-09,68.72489929199219
2015-09-10,69.43177032470703
2015-09-11,69.74040222167969
2015-09-14,69.58110046386719
2015-09-15,70.95499420166016
2015-09-16,71.56230163574219
2015-09-17,72.0003662109375
2015-09-18,71.08443450927734
2015-09-21,71.82115936279297
2015-09-22,71.33332061767578
2015-09-23,71.67182159423828
2015-09-24,71.39305877685547
2015-09-25,72.11982727050781
2015-09-28,68.73486328125
2015-09-29,68.07777404785156
2015-09-30,69.12313842773438
2015-10-01,72.58776092529297
2015-10-02,73.6032485961914
2015-10-05,74.93732452392578
2015-10-06,74.0910873413086
2015-10-07,74.66852569580078
2015-10-08,74.75811767578125
2015-10-09,74.91741943359375
2015-10-12,75.54463195800781
2015-10-13,76.29131317138672
2015-10-14,75.24595642089844
2015-10-15,77.35658264160156
2015-10-16,78.42185974121094
2015-10-19,77.58557891845703
2015-10-20,77.18733978271484
2015-10-21,75.49485778808594
2015-10-22,77.02804565429688
2015-10-23,78.21278381347656
2015-10-26,77.8742904663086
2015-10-27,77.40636444091797
2015-10-28,78.18291473388672
2015-10-29,77.79464721679688
2015-10-30,77.36653900146484
2015-11-02,78.8499526977539
2015-11-03,78.282470703125
2015-11-04,78.04354095458984
2015-11-05,78.36212158203125
2015-11-06,79.05903625488281
2015-11-09,77.8742904663086
2015-11-10,77.9041519165039
2015-11-11,78.36212158203125
2015-11-12,77.95393371582031
2015-11-13,75.265869140625
2015-11-16,75.9229507446289
2015-11-17,76.89862060546875
2015-11-18,77.00814056396484
2015-11-19,80.2835922241211
2015-11-20,80.63204193115234
2015-11-23,80.4229736328125
2015-11-24,80.03469848632812
2015-11-25,80.05461883544922
2015-11-27,79.6165542602539
2015-11-30,79.3377914428711
2015-12-01,80.65196228027344
2015-12-02,80.52252197265625
2015-12-03,79.57673645019531
2015-12-04,81.77696228027344
2015-12-07,80.32341003417969
2015-12-08,80.72164916992188
2015-12-09,79.35769653320312
2015-12-10,79.02916717529297
2015-12-11,76.53025817871094
2015-12-14,76.64971923828125
2015-12-15,77.02804565429688
2015-12-16,78.54132080078125
2015-12-17,78.08335876464844
2015-12-18,76.68954467773438
2015-12-21,76.94840240478516
2015-12-22,77.51588439941406
2015-12-23,77.69508361816406
2015-12-24,77.48601531982422
2015-12-28,77.8543701171875
2015-12-29,79.0888900756836
2015-12-30,78.79022216796875
2015-12-31,78.0534896850586
2016-01-04,76.37096405029297
2016-01-05,76.70946502685547
2016-01-06,75.95281982421875
2016-01-07,73.97161102294922
2016-01-08,72.9063491821289
2016-01-11,72.8565673828125
2016-01-12,74.13090515136719
2016-01-13,72.03023529052734
2016-01-14,72.7470474243164
2016-01-15,70.54681396484375
2016-01-19,70.4870834350586
2016-01-20,70.0191650390625
2016-01-21,69.20278930664062
2016-01-22,71.23377227783203
2016-01-25,69.61096954345703
2016-01-26,69.56119537353516
2016-01-27,67.1319808959961
2016-01-28,65.39967346191406
2016-01-29,67.75919342041016
2016-02-01,68.13751220703125
2016-02-02,64.2348403930664
2016-02-03,65.05120849609375
2016-02-04,66.90298461914062
2016-02-05,58.251399993896484
2016-02-08,53.81111526489258
2016-02-09,57.07661819458008
2016-02-10,58.50029373168945
2016-02-11,58.97817611694336
2016-02-12,59.416229248046875
2016-02-16,59.456058502197266
2016-02-17,63.20939254760742
2016-02-18,61.42730712890625
2016-02-19,61.8653564453125
2016-02-22,63.69722366333008
2016-02-23,62.62200164794922
2016-02-24,62.24367904663086
2016-02-25,69.1131820678711
2016-02-26,69.41185760498047
2016-02-29,67.4505615234375
2016-03-01,69.71052551269531
2016-03-02,70.11871337890625
2016-03-03,70.4870834350586
2016-03-04,70.74592590332031
2016-03-07,70.17845153808594
2016-03-08,69.51140594482422
2016-03-09,70.72602081298828
2016-03-10,70.38751983642578
2016-03-11,71.31340789794922
2016-03-14,71.90081024169922
2016-03-15,71.38310241699219
2016-03-16,72.40855407714844
2016-03-17,72.39859008789062
2016-03-18,72.32890319824219
2016-03-21,71.93067169189453
2016-03-22,72.52801513671875
2016-03-23,71.46275329589844
2016-03-24,72.11982727050781
2016-03-28,71.63199615478516
2016-03-29,71.98045349121094
2016-03-30,73.97161102294922
2016-03-31,73.50370025634766
2016-04-01,75.39529418945312
2016-04-04,75.35547637939453
2016-04-05,74.25037384033203
2016-04-06,75.24595642089844
2016-04-07,74.98710632324219
2016-04-08,74.51918029785156
2016-04-11,73.83223724365234
2016-04-12,73.94174194335938
2016-04-13,75.61431121826172
2016-04-14,75.81343841552734
2016-04-15,75.97273254394531
2016-04-18,76.92848205566406
2016-04-19,75.85326385498047
2016-04-20,75.80348205566406
2016-04-21,76.80902099609375
2016-04-22,76.1419906616211
2016-04-25,76.17184448242188
2016-04-26,75.8731689453125
2016-04-27,75.35547637939453
2016-04-28,75.04683685302734
2016-04-29,75.4649887084961
2016-05-02,76.90857696533203
2016-05-03,74.5689697265625
2016-05-04,73.66297912597656
2016-05-05,73.48377990722656
2016-05-06,73.92183685302734
2016-05-09,74.29020690917969
2016-05-10,75.5844497680664
2016-05-11,75.45503234863281
2016-05-12,75.5545883178711
2016-05-13,76.03246307373047
2016-05-16,76.96831512451172
2016-05-17,76.43069458007812
2016-05-18,77.52584075927734
2016-05-19,80.73159790039062
2016-05-20,80.66191101074219
2016-05-23,81.3687744140625
2016-05-24,82.38426208496094
2016-05-25,83.20063781738281
2016-05-26,82.98161315917969
2016-05-27,83.39974975585938
2016-05-31,83.34002685546875
2016-06-01,83.08116912841797
2016-06-02,82.87210083007812
2016-06-03,82.1851577758789
2016-06-06,82.46392059326172
2016-06-07,82.77254486083984
2016-06-08,82.98161315917969
2016-06-09,82.3643569946289
2016-06-10,81.46833801269531
2016-06-13,81.12982940673828
2016-06-14,80.73159790039062
2016-06-15,81.62762451171875
2016-06-16,81.2791748046875
2016-06-17,80.14421081542969
2016-06-20,80.86103057861328
2016-06-21,81.26921844482422
2016-06-22,80.26368713378906
2016-06-23,81.91635131835938
2016-06-24,78.11322784423828
2016-06-27,75.73379516601562
2016-06-28,77.20726013183594
2016-06-29,78.65084838867188
2016-06-30,79.05903625488281
2016-07-01,79.47718048095703
2016-07-05,78.32229614257812
2016-07-06,78.1530532836914
2016-07-07,78.41191101074219
2016-07-08,80.53247833251953
2016-07-11,81.2990951538086
2016-07-12,81.5678939819336
2016-07-13,80.97054290771484
2016-07-14,81.19952392578125
2016-07-15,81.04023742675781
2016-07-18,81.26921844482422
2016-07-19,81.01036834716797
2016-07-20,81.77696228027344
2016-07-21,81.33890533447266
2016-07-22,82.1851577758789
2016-07-25,81.82674407958984
2016-07-26,81.39864349365234
2016-07-27,81.13978576660156
2016-07-28,81.96611785888672
2016-07-29,81.43846893310547
2016-08-01,80.66191101074219
2016-08-02,80.14421081542969
2016-08-03,80.05461883544922
2016-08-04,80.20394134521484
2016-08-05,80.97054290771484
2016-08-08,80.81124877929688
2016-08-09,80.82120513916016
2016-08-10,79.88536834716797
2016-08-11,81.11988830566406
2016-08-12,81.26921844482422
2016-08-15,78.5711898803711
2016-08-16,77.61543273925781
2016-08-17,75.9826889038086
2016-08-18,76.57008361816406
2016-08-19,77.13756561279297
2016-08-22,76.90857696533203
2016-08-23,77.67516326904297
2016-08-24,77.4760513305664
2016-08-25,79.80571746826172
2016-08-26,79.67628479003906
2016-08-29,79.5667724609375
2016-08-30,79.47718048095703
