,DAL
2020-11-09,36.20085525512695
2020-11-10,36.4666748046875
2020-11-11,34.477943420410156
2020-11-12,33.84785461425781
2020-11-13,35.895652770996094
2020-11-16,37.41182327270508
2020-11-17,37.01800537109375
2020-11-18,37.323211669921875
2020-11-19,37.323211669921875
2020-11-20,36.55528259277344
2020-11-23,38.18959045410156
2020-11-24,40.62135696411133
2020-11-25,40.65089797973633
2020-11-27,40.4244499206543
2020-11-30,39.62699508666992
2020-12-01,39.34148025512695
2020-12-02,40.434295654296875
2020-12-03,42.28520202636719
2020-12-04,41.7043342590332
2020-12-07,41.69448471069336
2020-12-08,41.75355911254883
2020-12-09,41.45820617675781
2020-12-10,41.96031188964844
2020-12-11,41.09393310546875
2020-12-14,40.060176849365234
2020-12-15,41.20222091674805
2020-12-16,40.44414520263672
2020-12-17,40.47368621826172
2020-12-18,40.05033493041992
2020-12-21,39.51869201660156
2020-12-22,38.33726501464844
2020-12-23,39.61714553833008
2020-12-24,39.11503982543945
2020-12-28,39.528541564941406
2020-12-29,39.41039276123047
2020-12-30,39.93218994140625
2020-12-31,39.587608337402344
2021-01-04,38.13051986694336
2021-01-05,38.93782424926758
2021-01-06,39.75497817993164
2021-01-07,39.607303619384766
2021-01-08,39.40055465698242
2021-01-11,38.79999542236328
2021-01-12,39.67621612548828
2021-01-13,39.82389831542969
2021-01-14,40.8281135559082
2021-01-15,39.361175537109375
2021-01-19,39.686065673828125
2021-01-20,40.97578430175781
2021-01-21,40.040489196777344
2021-01-22,39.380859375
2021-01-25,38.297889709472656
2021-01-26,38.71139144897461
2021-01-27,37.923770904541016
2021-01-28,39.45962905883789
2021-01-29,37.3724365234375
2021-02-01,37.23460388183594
2021-02-02,38.199432373046875
2021-02-03,39.164268493652344
2021-02-04,40.29646682739258
2021-02-05,40.513065338134766
2021-02-08,42.57071304321289
2021-02-09,41.85200500488281
2021-02-10,42.2359733581543
2021-02-11,42.05876159667969
2021-02-12,42.619937896728516
2021-02-16,43.95888900756836
2021-02-17,43.70290756225586
2021-02-18,43.69306945800781
2021-02-19,44.96309280395508
2021-02-22,47.00106430053711
2021-02-23,47.591766357421875
2021-02-24,48.8322639465332
2021-02-25,47.50316619873047
2021-02-26,47.19796371459961
2021-03-01,47.31610107421875
2021-03-02,47.48347473144531
2021-03-03,47.60161209106445
2021-03-04,46.233131408691406
2021-03-05,45.4947395324707
2021-03-08,47.13888931274414
2021-03-09,46.88291549682617
2021-03-10,47.06012725830078
2021-03-11,47.572078704833984
2021-03-12,49.058712005615234
2021-03-15,50.20075225830078
2021-03-16,48.62552261352539
2021-03-17,49.659263610839844
2021-03-18,48.418766021728516
2021-03-19,48.241554260253906
2021-03-22,47.22749710083008
2021-03-23,44.93355941772461
2021-03-24,44.90402603149414
2021-03-25,46.28235626220703
2021-03-26,46.92229080200195
2021-03-29,46.58755874633789
2021-03-30,48.14310836791992
2021-03-31,47.53269958496094
2021-04-01,48.074188232421875
2021-04-05,49.47220993041992
2021-04-06,50.85053634643555
2021-04-07,49.42298126220703
2021-04-08,49.03901672363281
2021-04-09,48.50737380981445
2021-04-12,48.0643424987793
2021-04-13,47.51300811767578
2021-04-14,47.424400329589844
2021-04-15,46.095298767089844
2021-04-16,45.91808319091797
2021-04-19,45.4356689453125
2021-04-20,43.76198196411133
2021-04-21,44.992637634277344
2021-04-22,43.95888900756836
2021-04-23,45.091087341308594
2021-04-26,45.8885498046875
2021-04-27,45.62272262573242
2021-04-28,45.7211799621582
2021-04-29,45.662113189697266
2021-04-30,46.19375228881836
2021-05-03,45.84917068481445
2021-05-04,43.968727111816406
2021-05-05,44.50037384033203
2021-05-06,44.234554290771484
2021-05-07,45.39628982543945
2021-05-10,44.72681427001953
2021-05-11,43.830894470214844
2021-05-12,42.36396026611328
2021-05-13,43.28941345214844
2021-05-14,45.59319305419922
2021-05-17,46.02638626098633
2021-05-18,46.006690979003906
2021-05-19,45.425819396972656
2021-05-20,44.707122802734375
2021-05-21,44.510215759277344
2021-05-24,45.45535659790039
2021-05-25,45.94761276245117
2021-05-26,46.75492477416992
2021-05-27,47.30625915527344
2021-05-28,46.941986083984375
2021-06-01,46.9616813659668
2021-06-02,47.030601501464844
2021-06-03,45.415985107421875
2021-06-04,45.26829528808594
2021-06-07,45.36675262451172
2021-06-08,46.311893463134766
2021-06-09,45.7999382019043
2021-06-10,45.56365203857422
2021-06-11,45.78024673461914
2021-06-14,45.18954086303711
2021-06-15,44.82526397705078
2021-06-16,44.8154182434082
2021-06-17,43.880123138427734
2021-06-18,44.26408767700195
2021-06-21,45.061553955078125
2021-06-22,44.66774368286133
2021-06-23,44.56929016113281
2021-06-24,44.21486282348633
2021-06-25,43.74229049682617
2021-06-28,42.452571868896484
2021-06-29,42.20643615722656
2021-06-30,42.59040069580078
2021-07-01,43.545387268066406
2021-07-02,43.46663284301758
2021-07-06,42.57071304321289
2021-07-07,41.88154602050781
2021-07-08,41.418819427490234
2021-07-09,42.25566101074219
2021-07-12,42.18674850463867
2021-07-13,40.690277099609375
2021-07-14,40.05033493041992
2021-07-15,40.7099609375
2021-07-16,39.43993377685547
2021-07-19,37.96315002441406
2021-07-20,40.03064727783203
2021-07-21,40.9659423828125
2021-07-22,40.4244499206543
2021-07-23,39.78451919555664
2021-07-26,41.0250129699707
2021-07-27,40.32600021362305
2021-07-28,40.660743713378906
2021-07-29,40.591819763183594
2021-07-30,39.282413482666016
2021-08-02,38.83937454223633
2021-08-03,39.1544189453125
2021-08-04,37.75640106201172
2021-08-05,39.37101745605469
2021-08-06,39.69590759277344
2021-08-09,38.681854248046875
2021-08-10,39.833740234375
2021-08-11,40.660743713378906
2021-08-12,39.90265655517578
2021-08-13,39.282413482666016
2021-08-16,39.31194305419922
2021-08-17,38.179744720458984
2021-08-18,38.0517578125
2021-08-19,37.342899322509766
2021-08-20,37.52995681762695
2021-08-23,38.60308837890625
2021-08-24,39.90265655517578
2021-08-25,40.660743713378906
2021-08-26,40.138946533203125
2021-08-27,40.8773307800293
2021-08-30,39.29225158691406
2021-08-31,39.81405258178711
2021-09-01,39.7746696472168
2021-09-02,40.188167572021484
2021-09-03,39.62699508666992
2021-09-07,39.72544860839844
2021-09-08,39.03628158569336
2021-09-09,40.4539909362793
2021-09-10,38.750770568847656
2021-09-13,39.558074951171875
2021-09-14,38.82952880859375
2021-09-15,39.026432037353516
2021-09-16,39.59745788574219
2021-09-17,39.489158630371094
2021-09-20,40.14878845214844
2021-09-21,39.735286712646484
2021-09-22,40.946250915527344
2021-09-23,41.9307746887207
2021-09-24,42.85622024536133
2021-09-27,43.102352142333984
2021-09-28,42.76761245727539
2021-09-29,42.6888542175293
2021-09-30,41.95046615600586
2021-10-01,44.677589416503906
2021-10-04,44.26408767700195
2021-10-05,44.0474967956543
2021-10-06,43.33863830566406
2021-10-07,43.003902435302734
2021-10-08,42.70854568481445
2021-10-11,42.521480560302734
2021-10-12,42.866065979003906
2021-10-13,40.39491271972656
2021-10-14,40.56229019165039
2021-10-15,40.35553741455078
2021-10-18,40.37522888183594
2021-10-19,39.82389831542969
2021-10-20,39.67621612548828
2021-10-21,39.7746696472168
2021-10-22,39.12488555908203
2021-10-25,38.898441314697266
2021-10-26,39.0953483581543
2021-10-27,38.46525573730469
2021-10-28,38.54401779174805
2021-10-29,38.524330139160156
2021-11-01,39.79436111450195
2021-11-02,39.764827728271484
2021-11-03,40.6016731262207
2021-11-04,40.35553741455078
2021-11-05,43.604461669921875
2021-11-08,43.95888900756836
2021-11-09,43.84074020385742
2021-11-10,43.0334358215332
2021-11-11,42.77745819091797
2021-11-12,41.566497802734375
2021-11-15,41.72401809692383
2021-11-16,40.404762268066406
2021-11-17,40.07986831665039
2021-11-18,39.49900436401367
2021-11-19,39.07565689086914
2021-11-22,39.1544189453125
2021-11-23,38.91813659667969
2021-11-24,39.07565689086914
2021-11-26,35.81689453125
2021-11-29,35.67905807495117
2021-11-30,35.63968276977539
2021-12-01,33.01100540161133
2021-12-02,36.07286834716797
2021-12-03,35.4230842590332
2021-12-06,37.549652099609375
2021-12-07,37.451202392578125
2021-12-08,38.278194427490234
2021-12-09,37.90407943725586
2021-12-10,37.58903503417969
2021-12-13,36.29930877685547
2021-12-14,35.964569091796875
2021-12-15,36.043331146240234
2021-12-16,35.245872497558594
2021-12-17,35.994110107421875
2021-12-20,35.807044982910156
2021-12-21,37.923770904541016
2021-12-22,38.524330139160156
2021-12-23,38.69169235229492
2021-12-27,38.396339416503906
2021-12-28,39.0165901184082
2021-12-29,38.553863525390625
2021-12-30,38.43572235107422
2021-12-31,38.475101470947266
2022-01-03,39.666378021240234
2022-01-04,39.96173095703125
2022-01-05,39.65652847290039
2022-01-06,39.489158630371094
2022-01-07,40.867488861083984
2022-01-10,40.0011100769043
2022-01-11,40.591819763183594
2022-01-12,39.98142623901367
2022-01-13,40.8281135559082
2022-01-14,39.686065673828125
2022-01-18,38.92798614501953
2022-01-19,38.21912384033203
2022-01-20,38.23881530761719
2022-01-21,37.27398681640625
2022-01-24,37.323211669921875
2022-01-25,38.12067413330078
2022-01-26,38.16005325317383
2022-01-27,37.74655532836914
2022-01-28,37.68748474121094
2022-01-31,39.07565689086914
2022-02-01,39.863277435302734
2022-02-02,39.89281463623047
2022-02-03,39.11503982543945
2022-02-04,39.233184814453125
2022-02-07,40.30630874633789
2022-02-08,41.95046615600586
2022-02-09,43.2008056640625
2022-02-10,43.22049331665039
2022-02-11,41.674800872802734
2022-02-14,41.320369720458984
2022-02-15,43.80136489868164
2022-02-16,43.72260284423828
2022-02-17,42.63962936401367
2022-02-18,42.17689895629883
2022-02-22,41.241600036621094
2022-02-23,39.56791687011719
2022-02-24,39.70575714111328
2022-02-25,40.89702606201172
2022-02-28,39.302101135253906
2022-03-01,37.05739212036133
2022-03-02,37.451202392578125
2022-03-03,35.994110107421875
2022-03-04,33.98568344116211
2022-03-07,29.643943786621094
2022-03-08,30.73676300048828
2022-03-09,32.252925872802734
2022-03-10,32.04617691040039
2022-03-11,31.573606491088867
2022-03-14,31.573606491088867
2022-03-15,34.32041931152344
2022-03-16,36.35837936401367
2022-03-17,36.574981689453125
2022-03-18,37.09677505493164
2022-03-21,35.53137969970703
2022-03-22,36.40760803222656
2022-03-23,35.65937423706055
2022-03-24,36.683265686035156
2022-03-25,37.323211669921875
2022-03-28,37.74655532836914
2022-03-29,38.908294677734375
2022-03-30,38.72123336791992
2022-03-31,38.957515716552734
2022-04-01,38.701541900634766
2022-04-04,38.79015350341797
2022-04-05,38.425880432128906
2022-04-06,37.00816345214844
2022-04-07,36.55528259277344
2022-04-08,36.17131805419922
2022-04-11,37.618568420410156
2022-04-12,38.022216796875
2022-04-13,40.38507080078125
2022-04-14,41.7043342590332
2022-04-18,41.47789764404297
2022-04-19,42.37380599975586
2022-04-20,42.866065979003906
2022-04-21,44.03765106201172
2022-04-22,43.01374435424805
2022-04-25,42.600242614746094
2022-04-26,41.2514533996582
2022-04-27,42.44272232055664
2022-04-28,43.64384078979492
2022-04-29,42.36396026611328
2022-05-02,42.00953674316406
2022-05-03,42.67900848388672
2022-05-04,43.1712646484375
2022-05-05,41.47789764404297
2022-05-06,40.365379333496094
2022-05-09,37.65794372558594
2022-05-10,38.08129119873047
2022-05-11,37.30351638793945
2022-05-12,36.1024055480957
2022-05-13,37.73671340942383
2022-05-16,37.579185485839844
2022-05-17,40.08971405029297
2022-05-18,38.701541900634766
2022-05-19,38.63262176513672
2022-05-20,38.04191207885742
2022-05-23,38.908294677734375
2022-05-24,36.64389419555664
2022-05-25,38.002532958984375
2022-05-26,40.19801712036133
2022-05-27,41.57634735107422
2022-05-31,41.04469680786133
2022-06-01,38.92798614501953
2022-06-02,39.37101745605469
2022-06-03,37.94346237182617
2022-06-06,38.396339416503906
2022-06-07,39.12488555908203
2022-06-08,37.628414154052734
2022-06-09,36.18116760253906
2022-06-10,34.576393127441406
2022-06-13,31.711437225341797
2022-06-14,30.894283294677734
2022-06-15,31.465307235717773
2022-06-16,29.122146606445312
2022-06-17,29.7916202545166
2022-06-21,29.584871292114258
2022-06-22,29.535646438598633
2022-06-23,29.10245704650879
2022-06-24,30.717071533203125
2022-06-27,29.968833923339844
2022-06-28,29.860536575317383
2022-06-29,29.181215286254883
2022-06-30,28.521589279174805
2022-07-01,29.063074111938477
2022-07-05,29.35843276977539
2022-07-06,29.072921752929688
2022-07-07,29.447040557861328
2022-07-08,29.259981155395508
2022-07-11,28.83663558959961
2022-07-12,30.60877227783203
2022-07-13,29.24028778076172
2022-07-14,29.309206008911133
2022-07-15,29.624252319335938
2022-07-18,30.658000946044922
2022-07-19,32.095401763916016
2022-07-20,32.34152603149414
2022-07-21,31.465307235717773
2022-07-22,30.864749908447266
2022-07-25,30.92382049560547
2022-07-26,30.165739059448242
2022-07-27,31.012426376342773
2022-07-28,31.209333419799805
2022-07-29,31.307785034179688
2022-08-01,31.73112678527832
2022-08-02,31.327476501464844
2022-08-03,32.735347747802734
2022-08-04,32.81410217285156
2022-08-05,32.430137634277344
2022-08-08,33.22760772705078
2022-08-09,32.69595718383789
2022-08-10,33.404815673828125
2022-08-11,33.434349060058594
2022-08-12,33.96599197387695
2022-08-15,34.458255767822266
2022-08-16,34.79298782348633
2022-08-17,34.005374908447266
2022-08-18,33.956146240234375
2022-08-19,32.735347747802734
2022-08-22,31.87881088256836
2022-08-23,32.3612174987793
2022-08-24,32.79441452026367
2022-08-25,33.46388626098633
2022-08-26,32.174163818359375
2022-08-29,31.534221649169922
2022-08-30,31.229021072387695
2022-08-31,30.58908462524414
2022-09-01,30.60877227783203
2022-09-02,30.461095809936523
2022-09-06,30.707225799560547
2022-09-07,31.73112678527832
2022-09-08,31.622831344604492
2022-09-09,32.15447235107422
2022-09-12,32.63689041137695
2022-09-13,31.24871253967285
2022-09-14,32.15447235107422
2022-09-15,32.76487350463867
2022-09-16,31.612987518310547
2022-09-19,32.430137634277344
2022-09-20,32.243080139160156
2022-09-21,30.677690505981445
2022-09-22,29.496265411376953
2022-09-23,28.570816040039062
2022-09-26,27.586294174194336
2022-09-27,28.05886459350586
2022-09-28,29.033538818359375
2022-09-29,27.999794006347656
2022-09-30,27.62567710876465
2022-10-03,27.822580337524414
2022-10-04,30.274038314819336
2022-10-05,30.047595977783203
2022-10-06,30.14604949951172
2022-10-07,28.93508529663086
2022-10-10,28.964624404907227
2022-10-11,28.393604278564453
2022-10-12,28.757871627807617
2022-10-13,29.90976333618164
2022-10-14,30.598928451538086
2022-10-17,30.648157119750977
2022-10-18,31.672056198120117
2022-10-19,32.01663589477539
2022-10-20,31.652368545532227
2022-10-21,32.075714111328125
2022-10-24,32.75503158569336
2022-10-25,33.37527847290039
2022-10-26,33.37527847290039
2022-10-27,33.56233596801758
2022-10-28,34.133358001708984
2022-10-31,33.404815673828125
2022-11-01,33.109458923339844
2022-11-02,31.56376075744629
2022-11-03,31.47515296936035
2022-11-04,32.252925872802734
2022-11-07,32.8436393737793
2022-11-08,33.0700798034668
2022-11-09,32.94208526611328
2022-11-10,34.940670013427734
2022-11-11,34.891441345214844
2022-11-14,34.15304946899414
2022-11-15,34.35980224609375
2022-11-16,33.59187698364258
2022-11-17,33.532806396484375
2022-11-18,33.936458587646484
2022-11-21,33.70016860961914
2022-11-22,33.70016860961914
2022-11-23,33.956146240234375
