,LYB
2017-01-26,62.03131866455078
2017-01-27,61.972755432128906
2017-01-30,61.3224983215332
2017-01-31,60.65268325805664
2017-02-01,61.823211669921875
2017-02-02,60.96483612060547
2017-02-03,61.57609939575195
2017-02-06,61.73869323730469
2017-02-07,60.05441665649414
2017-02-08,59.605709075927734
2017-02-09,59.98288345336914
2017-02-10,59.73576354980469
2017-02-13,59.96987533569336
2017-02-14,60.574649810791016
2017-02-15,60.5356330871582
2017-02-16,60.2755012512207
2017-02-17,60.41858673095703
2017-02-21,61.465545654296875
2017-02-22,61.1339111328125
2017-02-23,60.561649322509766
2017-02-24,60.10645294189453
2017-02-27,59.39111328125
2017-02-28,59.332584381103516
2017-03-01,61.055870056152344
2017-03-02,60.563690185546875
2017-03-03,60.53087615966797
2017-03-06,60.078094482421875
2017-03-07,59.86808395385742
2017-03-08,58.923118591308594
2017-03-09,58.732810974121094
2017-03-10,58.923118591308594
2017-03-13,59.17905807495117
2017-03-14,58.12907028198242
2017-03-15,59.644954681396484
2017-03-16,59.29059982299805
2017-03-17,59.11342239379883
2017-03-20,59.2578010559082
2017-03-21,57.84690856933594
2017-03-22,57.84690856933594
2017-03-23,57.94533157348633
2017-03-24,57.459720611572266
2017-03-27,58.155338287353516
2017-03-28,59.651519775390625
2017-03-29,59.53997802734375
2017-03-30,59.89433670043945
2017-03-31,59.84184265136719
2017-04-03,59.231544494628906
2017-04-04,59.51372146606445
2017-04-05,58.010955810546875
2017-04-06,58.52937698364258
2017-04-07,58.26689910888672
2017-04-10,58.09627151489258
2017-04-11,57.761592864990234
2017-04-12,56.65910720825195
2017-04-13,55.7207145690918
2017-04-17,55.96350860595703
2017-04-18,56.33098602294922
2017-04-19,56.1275634765625
2017-04-20,56.11442565917969
2017-04-21,56.05537796020508
2017-04-24,56.7772216796875
2017-04-25,57.098793029785156
2017-04-26,57.13160705566406
2017-04-27,57.36785125732422
2017-04-28,55.62226104736328
2017-05-01,54.769168853759766
2017-05-02,54.82166290283203
2017-05-03,53.732322692871094
2017-05-04,53.43046951293945
2017-05-05,55.22853088378906
2017-05-08,53.01046371459961
2017-05-09,53.752017974853516
2017-05-10,54.11293411254883
2017-05-11,53.7913818359375
2017-05-12,53.181095123291016
2017-05-15,54.15886688232422
2017-05-16,54.506683349609375
2017-05-17,52.485469818115234
2017-05-18,52.767662048339844
2017-05-19,53.2204475402832
2017-05-22,52.69546890258789
2017-05-23,52.872650146484375
2017-05-24,53.56825637817383
2017-05-25,52.93828201293945
2017-05-26,52.977664947509766
2017-05-30,52.866085052490234
2017-05-31,52.8398323059082
2017-06-01,53.457027435302734
2017-06-02,53.118568420410156
2017-06-05,52.368656158447266
2017-06-06,52.52129364013672
2017-06-07,52.587646484375
2017-06-08,52.7469367980957
2017-06-09,54.33969497680664
2017-06-12,54.2733154296875
2017-06-13,55.04977798461914
2017-06-14,53.70923614501953
2017-06-15,53.18492126464844
2017-06-16,53.67604446411133
2017-06-19,53.95478439331055
2017-06-20,53.158382415771484
2017-06-21,52.80666732788086
2017-06-22,53.09865951538086
2017-06-23,53.20484161376953
2017-06-26,53.68267822265625
2017-06-27,54.46579360961914
2017-06-28,55.6139030456543
2017-06-29,55.593994140625
2017-06-30,56.00544738769531
2017-07-03,56.64917755126953
2017-07-05,55.3218879699707
2017-07-06,55.11616516113281
2017-07-07,55.70016860961914
2017-07-10,55.87934494018555
2017-07-11,56.051910400390625
2017-07-12,56.888126373291016
2017-07-13,56.728843688964844
2017-07-14,56.9876708984375
2017-07-17,56.841651916503906
2017-07-18,56.576210021972656
2017-07-19,57.84375762939453
2017-07-20,57.75083923339844
2017-07-21,57.65131378173828
2017-07-24,57.903507232666016
2017-07-25,58.36804962158203
2017-07-26,57.96323013305664
2017-07-27,57.42567443847656
2017-07-28,59.655517578125
2017-07-31,59.78825378417969
2017-08-01,59.23741912841797
2017-08-02,58.64678955078125
2017-08-03,58.89895248413086
2017-08-04,58.91888427734375
2017-08-07,59.1445198059082
2017-08-08,58.885704040527344
2017-08-09,59.19761657714844
2017-08-10,58.13576889038086
2017-08-11,57.863670349121094
2017-08-14,58.421138763427734
2017-08-15,58.36804962158203
2017-08-16,58.17558288574219
2017-08-17,57.2265739440918
2017-08-18,57.96323013305664
2017-08-21,58.467586517333984
2017-08-22,58.912235260009766
2017-08-23,59.303802490234375
2017-08-24,59.403350830078125
2017-08-25,59.90107727050781
2017-08-28,59.94091796875
2017-08-29,59.46308135986328
2017-08-30,59.94753646850586
2017-08-31,60.120086669921875
2017-09-01,60.49545669555664
2017-09-05,59.91898727416992
2017-09-06,61.48080062866211
2017-09-07,61.48080062866211
2017-09-08,61.40037536621094
2017-09-11,62.78120422363281
2017-09-12,63.39790344238281
2017-09-13,63.123085021972656
2017-09-14,63.29735565185547
2017-09-15,63.79336166381836
2017-09-18,64.06819915771484
2017-09-19,64.72511291503906
2017-09-20,64.38326263427734
2017-09-21,64.20897674560547
2017-09-22,64.9328842163086
2017-09-25,65.63671875
2017-09-26,66.87012481689453
2017-09-27,66.88350677490234
2017-09-28,66.88350677490234
2017-09-29,66.39419555664062
2017-10-02,67.39965057373047
2017-10-03,66.87012481689453
2017-10-04,66.28022003173828
2017-10-05,66.68241882324219
2017-10-06,66.29361724853516
2017-10-09,66.38748168945312
2017-10-10,65.7305908203125
2017-10-11,65.1943359375
2017-10-12,65.37531280517578
2017-10-13,65.4758529663086
2017-10-16,65.4892349243164
2017-10-17,65.83110046386719
2017-10-18,65.8646240234375
2017-10-19,66.6220932006836
2017-10-20,66.3204574584961
2017-10-23,66.06572723388672
2017-10-24,67.66104888916016
2017-10-25,66.86341857910156
2017-10-26,67.85547637939453
2017-10-27,66.36737060546875
2017-10-30,71.05282592773438
2017-10-31,69.39716339111328
2017-11-01,69.33015441894531
2017-11-02,69.40387725830078
2017-11-03,70.77130126953125
