,MCO
2016-05-19,85.65629577636719
2016-05-20,86.35576629638672
2016-05-23,86.24530792236328
2016-05-24,90.00952911376953
2016-05-25,90.30402374267578
2016-05-26,89.78862762451172
2016-05-27,90.86543273925781
2016-05-31,90.7825927734375
2016-06-01,90.9850845336914
2016-06-02,91.65692138671875
2016-06-03,90.89305877685547
2016-06-06,92.95459747314453
2016-06-07,92.20914459228516
2016-06-08,93.01905059814453
2016-06-09,93.01905059814453
2016-06-10,91.51885986328125
2016-06-13,90.48810577392578
2016-06-14,90.41444396972656
2016-06-15,90.51571655273438
2016-06-16,89.24560546875
2016-06-17,88.98793029785156
2016-06-20,90.79180145263672
2016-06-21,90.62616729736328
2016-06-22,90.432861328125
2016-06-23,93.59884643554688
2016-06-24,86.19929504394531
2016-06-27,80.87969970703125
2016-06-28,82.00252532958984
2016-06-29,84.28500366210938
2016-06-30,86.24530792236328
2016-07-01,86.58585357666016
2016-07-05,85.20533752441406
2016-07-06,85.56427001953125
2016-07-07,86.72386932373047
2016-07-08,89.02471923828125
2016-07-11,90.05552673339844
2016-07-12,92.19074249267578
2016-07-13,93.61725616455078
2016-07-14,94.80449676513672
2016-07-15,95.10820770263672
2016-07-18,95.6788330078125
2016-07-19,95.33830261230469
2016-07-20,95.92729187011719
2016-07-21,96.00093841552734
2016-07-22,96.90288543701172
2016-07-25,97.28023529052734
2016-07-26,97.731201171875
2016-07-27,96.74642944335938
2016-07-28,97.72197723388672
2016-07-29,97.56554412841797
2016-08-01,96.88447570800781
2016-08-02,95.8905258178711
2016-08-03,96.25863647460938
2016-08-04,95.6328125
2016-08-05,96.68199920654297
2016-08-08,96.17583465576172
2016-08-09,95.93650817871094
2016-08-10,95.4487533569336
2016-08-11,96.18504333496094
2016-08-12,95.21862030029297
2016-08-15,96.70040893554688
2016-08-16,95.8168716430664
2016-08-17,95.85371398925781
2016-08-18,96.26932525634766
2016-08-19,96.59257507324219
2016-08-22,96.51870727539062
2016-08-23,97.56237030029297
2016-08-24,97.49774932861328
2016-08-25,97.62706756591797
2016-08-26,98.10733795166016
2016-08-29,98.97552490234375
2016-08-30,99.97305297851562
2016-08-31,100.3886947631836
2016-09-01,100.25936126708984
2016-09-02,101.07217407226562
2016-09-06,101.68175506591797
2016-09-07,101.73715209960938
2016-09-08,101.54322814941406
2016-09-09,98.47679901123047
2016-09-12,100.31480407714844
2016-09-13,99.12330627441406
2016-09-14,99.12330627441406
2016-09-15,100.3979263305664
2016-09-16,100.19474029541016
2016-09-19,100.19474029541016
2016-09-20,99.7052001953125
2016-09-21,101.0998764038086
2016-09-22,101.74639892578125
2016-09-23,100.92438507080078
2016-09-26,100.66576385498047
2016-09-27,101.58940887451172
2016-09-28,101.20146942138672
2016-09-29,99.52046966552734
2016-09-30,100.010009765625
2016-10-03,100.93363952636719
2016-10-04,100.10235595703125
2016-10-05,100.20396423339844
2016-10-06,100.54568481445312
2016-10-07,99.99152374267578
2016-10-10,100.81356811523438
2016-10-11,99.36346435546875
2016-10-12,99.99152374267578
2016-10-13,98.467529296875
2016-10-14,98.9016342163086
2016-10-17,98.55065155029297
2016-10-18,99.56665802001953
2016-10-19,100.1208267211914
2016-10-20,99.83450317382812
2016-10-21,94.43131256103516
2016-10-24,94.98546600341797
2016-10-25,94.92082977294922
2016-10-26,94.3297119140625
2016-10-27,94.357421875
2016-10-28,93.44303131103516
2016-10-31,92.8426742553711
2016-11-01,91.47570037841797
2016-11-02,90.47817993164062
2016-11-03,90.57054901123047
2016-11-04,90.15493774414062
2016-11-07,91.9744873046875
2016-11-08,92.06684112548828
2016-11-09,92.98123931884766
2016-11-10,92.61177825927734
2016-11-11,92.76878356933594
2016-11-14,92.41778564453125
2016-11-15,91.70661163330078
2016-11-16,91.14318084716797
2016-11-17,93.82251739501953
2016-11-18,93.22917175292969
2016-11-21,93.75763702392578
2016-11-22,94.24900817871094
2016-11-23,93.50730895996094
2016-11-25,93.65563201904297
2016-11-28,93.53511810302734
2016-11-29,93.72054290771484
2016-11-30,93.1735610961914
2016-12-01,90.16049194335938
2016-12-02,90.50350952148438
2016-12-05,89.77111053466797
2016-12-06,89.84528350830078
2016-12-07,90.76307678222656
2016-12-08,90.92070770263672
2016-12-09,92.49678039550781
2016-12-12,91.10611724853516
2016-12-13,92.24642944335938
2016-12-14,90.34588623046875
2016-12-15,89.7061996459961
2016-12-16,89.43734741210938
2016-12-19,88.92743682861328
2016-12-20,89.69692993164062
2016-12-21,89.45587158203125
2016-12-22,88.87181091308594
2016-12-23,88.46389770507812
2016-12-27,88.72344207763672
2016-12-28,87.78712463378906
2016-12-29,87.416259765625
2016-12-30,87.39773559570312
2017-01-03,88.51022338867188
2017-01-04,90.01213836669922
2017-01-05,90.72601318359375
2017-01-06,91.13391876220703
2017-01-09,89.79891967773438
2017-01-10,87.76854705810547
2017-01-11,88.0930404663086
2017-01-12,89.46514892578125
2017-01-13,89.8916244506836
2017-01-17,91.92196655273438
2017-01-18,92.0888671875
2017-01-19,92.67292785644531
2017-01-20,93.65563201904297
2017-01-23,94.3509521484375
2017-01-24,94.5178451538086
2017-01-25,96.1680679321289
2017-01-26,96.48330688476562
2017-01-27,96.39984893798828
2017-01-30,96.19590759277344
2017-01-31,96.11249542236328
2017-02-01,96.00121307373047
2017-02-02,96.80777740478516
2017-02-03,98.43022155761719
2017-02-06,98.97718811035156
2017-02-07,99.25533294677734
2017-02-08,99.03282165527344
2017-02-09,99.7374267578125
2017-02-10,100.12681579589844
2017-02-13,101.08171844482422
2017-02-14,101.29496765136719
2017-02-15,102.19738006591797
2017-02-16,102.54161071777344
2017-02-17,105.03490447998047
2017-02-21,105.00699615478516
2017-02-22,105.6489028930664
2017-02-23,105.34191131591797
2017-02-24,105.39774322509766
2017-02-27,104.2441177368164
2017-02-28,103.61148834228516
2017-03-01,105.31401062011719
2017-03-02,104.63485717773438
2017-03-03,104.77440643310547
2017-03-06,104.44877624511719
2017-03-07,104.81163024902344
2017-03-08,104.83020782470703
2017-03-09,104.64413452148438
2017-03-10,104.13249969482422
2017-03-13,104.337158203125
2017-03-14,104.29995727539062
2017-03-15,105.02558898925781
2017-03-16,105.63032531738281
2017-03-17,104.14176940917969
2017-03-20,104.43949890136719
2017-03-21,103.1556167602539
2017-03-22,103.38819122314453
2017-03-23,104.35574340820312
2017-03-24,104.63485717773438
2017-03-27,103.64873504638672
2017-03-28,103.50914764404297
2017-03-29,103.6858901977539
2017-03-30,103.8440933227539
2017-03-31,104.23480987548828
2017-04-03,104.10456085205078
2017-04-04,103.62081146240234
2017-04-05,105.19304656982422
2017-04-06,105.44425964355469
2017-04-07,105.38844299316406
2017-04-10,105.07211303710938
2017-04-11,105.48145294189453
2017-04-12,105.10932922363281
2017-04-13,104.59764862060547
2017-04-17,106.30947875976562
2017-04-18,106.18852233886719
2017-04-19,106.41178131103516
2017-04-20,107.32353210449219
2017-04-21,107.00723266601562
2017-04-24,109.50051879882812
2017-04-25,109.84473419189453
